Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-181.25519	8.5873575	-161.5094	-191.15874	-168.67029	16.333412	-137.84102	-189.83852	100.0	100.0	1499	-3.3731103	1.0745468	0.011688434	-6.070657	3.279296	0.111800544	5.828138828277588
2	-182.23389	7.1138153	-167.99391	-191.66281	-182.2454	7.133416	-169.98654	-191.49965	100.0	100.0	2999	-10.750121	3.350697	-3.7677896	-20.070583	10.640658	0.067069724	14.87417721748352
3	-177.85335	8.531668	-162.18881	-190.32834	-183.1016	5.987517	-171.69827	-191.8387	100.0	100.0	4499	-22.027485	3.4220314	-13.224831	-32.00528	21.87225	0.11623582	24.054518222808838
4	-177.65727	8.961004	-157.61853	-190.98958	-177.72832	7.3415074	-157.3124	-185.01773	100.0	100.0	5999	-32.880424	3.438042	-22.13395	-43.700825	32.691708	0.21117637	33.22893500328064
5	-180.65926	7.3460274	-161.13461	-192.5879	-170.10579	13.566989	-140.36331	-186.55647	100.0	100.0	7499	-43.20899	3.536299	-31.499275	-54.554375	43.001884	0.27783102	42.378438234329224
6	-181.924	6.55146	-161.27834	-190.08008	-174.4274	10.138252	-159.21611	-188.91528	100.0	100.0	8999	-53.07202	3.504485	-40.569386	-64.98937	52.835094	0.31753346	51.52356767654419
7	-167.6258	22.202156	-91.28179	-185.26245	-171.89401	24.334875	-113.070816	-193.94751	100.0	100.0	10499	-62.384846	3.5214937	-48.630108	-75.21686	62.13326	0.35922873	60.89689087867737
8	-158.69273	25.679216	-95.60814	-186.57935	-157.09651	33.678345	-78.79007	-193.10901	100.0	100.0	11999	-71.02664	3.7466931	-56.445198	-84.207504	70.78368	0.3889426	70.45295333862305
9	-162.32938	28.307333	-77.60788	-190.15189	-171.06721	14.954809	-155.10909	-191.83879	100.0	100.0	13499	-79.33264	4.131378	-63.076164	-94.44442	79.09325	0.42643183	80.0133285522461
10	-153.73535	24.97757	-114.1117	-184.26033	-161.52798	28.00097	-107.84908	-184.60994	100.0	100.0	14999	-87.10971	4.670302	-68.00528	-102.77995	86.85839	0.51000553	89.52837300300598
11	-153.63081	25.682302	-89.66651	-179.94353	-137.22592	33.411438	-69.52157	-182.12906	100.0	100.0	16499	-94.18671	5.4461145	-72.212524	-109.00672	93.91996	0.5670865	98.93002724647522
12	-152.14317	30.794916	-83.822136	-197.39731	-163.58496	18.015299	-134.75185	-190.75713	100.0	100.0	17999	-100.95229	5.8843007	-77.88229	-116.5033	100.674446	0.63041115	108.38690304756165
13	-154.23145	30.407122	-56.67638	-189.17024	-156.70119	22.184738	-110.14743	-186.0867	100.0	100.0	19499	-107.054695	6.608153	-82.63741	-124.137245	106.76366	0.66802615	117.83454298973083
14	-142.34122	30.201647	-82.52948	-191.19025	-150.23573	24.096636	-98.68141	-191.4877	100.0	100.0	20999	-112.82658	7.2150607	-87.05563	-131.87938	112.52889	0.74432313	127.21029019355774
15	-157.902	22.874651	-118.15935	-190.60805	-157.35281	26.918037	-103.34955	-188.84236	100.0	100.0	22499	-118.27019	7.7352057	-91.0828	-139.04214	117.96479	0.78109854	136.58142161369324
16	-135.7314	32.805912	-68.80118	-183.97183	-144.56792	19.420748	-118.54529	-180.67285	100.0	100.0	23999	-123.20232	8.23795	-94.65571	-145.14305	122.8815	0.8269686	146.0649712085724
17	-152.99782	35.112038	-87.27451	-191.06369	-139.85373	38.582523	-75.36367	-191.64641	100.0	100.0	25499	-128.09085	8.808	-99.08048	-151.07602	127.75906	0.84767807	155.62593603134155
18	-132.50267	34.6844	-60.343285	-186.23193	-155.69093	20.741125	-115.72396	-195.51855	100.0	100.0	26999	-132.62946	9.422456	-103.80049	-157.30972	132.28647	0.848815	165.14957809448242
19	-153.84053	23.68686	-111.77698	-190.7018	-149.32486	22.369364	-109.198784	-181.1341	100.0	100.0	28499	-136.82129	9.993098	-106.13536	-163.19582	136.46497	0.8999572	174.61048436164856
