Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-177.81651	6.3319654	-168.41725	-188.80171	-178.37347	12.090651	-153.77734	-194.65129	100.0	100.0	1499	-3.3448117	1.0402082	0.027516976	-6.243849	3.2797964	0.11780144	5.510657072067261
2	-181.59706	4.9099426	-172.38089	-192.80388	-182.70638	9.785551	-158.42712	-193.34012	100.0	100.0	2999	-10.66386	3.3517818	-3.728316	-18.994305	10.554551	0.073572665	14.577840328216553
3	-179.90433	6.048188	-167.83975	-189.81761	-177.6982	8.25629	-161.63185	-190.49869	100.0	100.0	4499	-22.015673	3.4545352	-12.621065	-34.337658	21.848083	0.14727907	23.545121908187866
4	-177.45384	10.987786	-147.32567	-190.44777	-168.4458	21.72556	-124.9968	-188.63214	100.0	100.0	5999	-32.75543	3.5253415	-22.072592	-44.7619	32.54321	0.21807434	32.493927240371704
5	-180.44244	9.171518	-158.88045	-196.06987	-165.04288	19.41935	-118.35794	-196.10532	100.0	100.0	7499	-43.030334	3.6131096	-31.322618	-55.96508	42.829224	0.26608253	41.52785587310791
6	-180.04924	9.47168	-162.7292	-189.83296	-173.35681	12.644635	-149.10118	-195.45132	100.0	100.0	8999	-52.942497	3.6777024	-40.355965	-66.07957	52.72106	0.32123962	50.460880517959595
7	-177.994	8.974932	-158.4554	-189.18053	-176.45485	15.1093645	-145.00711	-193.93436	100.0	100.0	10499	-62.424225	3.7214735	-49.373333	-75.87537	62.185272	0.38587436	59.59813928604126
8	-170.34848	15.088819	-127.45437	-189.94838	-165.86044	17.23054	-132.65402	-186.76944	100.0	100.0	11999	-71.32779	3.7237709	-56.724754	-85.079636	71.09546	0.41543987	68.80509734153748
9	-162.07965	18.881313	-116.56147	-187.5513	-158.76895	17.517168	-129.81398	-188.59709	100.0	100.0	13499	-79.733475	3.9938445	-63.759193	-95.38751	79.50838	0.41620556	78.18551898002625
10	-167.63884	15.9167	-129.35617	-190.46326	-153.86108	27.011572	-90.48145	-180.23816	100.0	100.0	14999	-87.699684	4.27901	-69.91308	-105.39616	87.46738	0.45640746	87.38599586486816
11	-152.73903	31.814909	-82.7537	-183.44199	-148.7547	39.072838	-52.652023	-186.42938	100.0	100.0	16499	-95.449	4.38504	-78.19788	-112.49273	95.207664	0.5058735	96.56014704704285
12	-162.74112	19.171705	-114.79354	-188.90385	-172.34396	19.182774	-137.62418	-191.06287	100.0	100.0	17999	-102.536476	4.7141924	-85.22056	-119.99086	102.2888	0.55368483	105.8664038181305
13	-151.65474	29.810863	-80.68413	-186.59998	-161.54196	22.965372	-115.75468	-185.67218	100.0	100.0	19499	-109.180405	4.9624786	-91.329834	-127.98105	108.91069	0.6164301	115.10260605812073
14	-163.3571	22.616571	-92.73399	-185.51793	-141.94118	32.475323	-79.78082	-182.41254	100.0	100.0	20999	-115.40421	5.2294703	-96.61443	-133.6265	115.128136	0.64373964	124.34528470039368
15	-164.31273	17.573078	-126.325005	-190.26372	-164.37563	18.863281	-131.90544	-190.17271	100.0	100.0	22499	-121.40705	5.5291653	-100.648605	-139.72864	121.112366	0.71121305	133.57951307296753
