Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-475.09296	193.1684	-256.19165	-948.0435	-70.282	17.169785	-45.57969	-97.4137	100.0	100.0	1499	-7.9784436	4.952276	0.054957427	-45.87089	6.94939	5.9376426	7.871352910995483
2	-338.75986	221.19554	-110.209404	-838.42255	-68.87846	8.389402	-55.579823	-83.192505	100.0	100.0	2999	-15.756957	11.889599	1.4232169	-115.52894	12.6703825	2.1074429	22.302701950073242
3	-452.5609	468.86142	-112.123924	-1805.102	-73.6931	12.463852	-42.932636	-86.90733	100.0	100.0	4499	-17.834682	17.00931	2.1124852	-253.87534	14.0996275	1.8767893	36.16855502128601
4	-353.62024	185.20152	-111.93323	-737.0405	-73.56095	10.754031	-59.96175	-91.27259	100.0	100.0	5999	-19.394705	21.410862	0.59749216	-319.94867	15.478762	1.9904174	50.05154490470886
5	-397.58197	377.07135	-115.3289	-1563.2527	-71.99142	11.902696	-56.823524	-99.71358	100.0	100.0	7499	-20.804255	21.567883	-1.5841444	-338.86096	16.925684	1.9007492	63.94233989715576
6	-374.1886	252.23543	-130.89938	-1177.5626	-60.922108	18.858166	-34.688797	-92.665726	100.0	100.0	8999	-21.925997	20.195581	-2.3891752	-343.4978	18.150906	1.8631693	78.0420069694519
7	-293.93463	202.7216	-52.58582	-745.2057	-67.74508	11.440184	-51.694984	-89.922676	100.0	100.0	10499	-22.85938	19.798618	-2.4442315	-334.40408	19.031836	1.7695138	92.10087084770203
8	-71.61744	12.49838	-47.29992	-92.968124	-59.51895	13.233087	-43.915096	-88.994095	100.0	100.0	11999	-22.397816	18.649086	-2.1406	-338.80054	18.88712	1.4766996	106.46017789840698
9	-71.24448	13.026525	-45.953693	-92.27687	-66.117874	14.487026	-38.62792	-86.183075	100.0	100.0	13499	-22.109373	17.72252	-3.4087532	-334.67603	18.987392	1.2663685	120.82864117622375
10	-63.540794	10.156931	-45.056305	-80.34426	-65.4899	14.297032	-30.387213	-79.59978	100.0	100.0	14999	-22.387854	16.790766	-4.9686685	-323.92664	19.612492	1.1810727	135.3709909915924
11	-65.05651	13.957997	-45.78348	-87.34341	-70.246124	14.586587	-41.08718	-93.11931	100.0	100.0	16499	-23.151531	16.118174	-5.1264033	-327.31512	20.633827	1.1813415	149.91632604599
12	-58.097713	19.08248	-27.641296	-87.04578	-53.42929	17.226881	-27.816162	-85.64485	100.0	100.0	17999	-24.24735	15.582615	-5.4214215	-346.5973	21.97354	1.2863752	164.3446090221405
13	-53.74518	20.979431	-25.264158	-95.264915	-68.65211	19.33756	-30.328922	-94.84186	100.0	100.0	19499	-25.552322	15.503872	-6.3381824	-348.02487	23.436693	0.94941163	178.8911190032959
14	-60.38108	14.286454	-31.698185	-79.76404	-60.381805	14.495071	-39.73309	-83.210045	100.0	100.0	20999	-26.82487	14.72707	-5.924744	-346.95706	24.848854	0.99760693	193.38222789764404
15	-58.286026	16.708075	-17.87525	-81.76868	-59.28723	10.771207	-47.500916	-74.86398	100.0	100.0	22499	-28.085243	14.300183	-8.266764	-342.52118	26.25045	1.0923815	208.058119058609
16	-51.53682	12.983377	-23.544235	-74.70984	-55.490456	17.844706	-28.946215	-82.87108	100.0	100.0	23999	-29.398207	13.984178	-9.509786	-335.72534	27.645546	0.81435853	222.50392293930054
17	-58.280037	14.548343	-26.169474	-87.17372	-55.864082	19.558815	-26.623112	-84.159424	100.0	100.0	25499	-30.49253	13.946716	-9.969862	-364.80356	28.80922	1.040027	236.98257684707642
18	-51.760765	13.993043	-22.72527	-69.56716	-47.679043	13.079354	-28.746706	-67.86267	100.0	100.0	26999	-31.317137	13.634516	-9.983647	-335.37628	29.69395	0.82959855	251.42812705039978
19	-51.826942	11.673106	-28.98947	-71.50532	-43.711613	14.138367	-23.477442	-65.25273	100.0	100.0	28499	-31.954866	13.839248	-10.340367	-354.2766	30.37441	0.88421386	266.3156681060791
20	-54.7463	9.190417	-38.46248	-66.16234	-45.73534	15.202623	-24.06983	-73.72293	100.0	100.0	29999	-32.387783	13.863964	-10.357775	-341.47388	30.879513	0.99029744	281.14276790618896
21	-46.926777	18.11143	-24.807095	-81.87109	-47.459503	12.217085	-26.545185	-68.427605	100.0	100.0	31499	-32.863033	13.483395	-10.017448	-354.79367	31.419146	0.88345426	295.9081439971924
22	-51.552788	17.03661	-18.321972	-85.934	-44.683495	17.18209	-21.01264	-75.86113	100.0	100.0	32999	-33.320175	13.217024	-9.264001	-350.89502	31.928083	1.0024511	311.1931300163269
23	-47.09036	18.163483	-21.897182	-86.69841	-49.524055	9.821333	-26.258968	-61.941467	100.0	100.0	34499	-33.73424	13.318344	-6.499237	-355.05957	32.396088	1.0131257	325.79716205596924
24	-60.15198	13.373238	-34.06916	-79.18383	-54.541054	17.651394	-26.014688	-87.38625	100.0	100.0	35999	-34.12678	13.260651	-5.2444386	-353.37366	32.817177	1.0074298	340.3690528869629
25	-42.01111	12.9284315	-25.352005	-68.66843	-43.01378	16.084578	-16.182129	-75.40981	100.0	100.0	37499	-34.413567	13.08519	-3.8547378	-321.57806	33.143494	0.8920451	355.01615500450134
26	-44.691277	13.722052	-16.877644	-66.218185	-44.289898	14.028699	-22.582302	-61.76282	100.0	100.0	38999	-34.59441	13.521182	-2.480062	-349.5159	33.34313	1.106406	369.545334815979
27	-48.242653	13.596771	-28.421316	-72.30691	-44.232136	16.119522	-16.47032	-68.51868	100.0	100.0	40499	-34.425663	13.674702	-0.42936927	-378.89288	33.174965	1.1289122	384.0844328403473
28	-42.32369	16.850882	-13.594543	-77.159645	-52.91558	16.236889	-25.793787	-83.81401	100.0	100.0	41999	-34.12522	13.28745	1.1127934	-369.04565	32.906544	1.0617349	398.58833289146423
29	-40.319168	13.359678	-16.122486	-71.66173	-45.12886	15.743947	-20.785559	-65.46762	100.0	100.0	43499	-33.688377	13.3128395	2.6258757	-375.15494	32.497566	1.0893813	413.13866806030273
30	-40.997673	17.791641	-11.77632	-68.58495	-44.31674	21.026735	-12.762429	-70.71993	100.0	100.0	44999	-33.27839	13.739781	3.8705688	-357.21884	32.093372	1.1278989	427.852432012558
31	-43.398033	16.082373	-19.901178	-77.37398	-42.400433	10.191337	-31.367903	-69.6548	100.0	100.0	46499	-32.71839	13.56624	3.7702737	-372.64468	31.54888	1.0923749	442.4522969722748
32	-43.273296	14.056535	-23.90937	-73.97125	-34.764183	12.6553755	-19.590788	-57.29662	100.0	100.0	47999	-32.225075	13.077159	4.8895636	-357.71344	31.090534	1.0272126	457.0135259628296
33	-43.875206	13.5135765	-10.852038	-64.72806	-39.29262	12.794329	-20.54191	-66.00668	100.0	100.0	49499	-31.824923	13.010215	5.9997272	-393.82153	30.730484	1.1359773	471.80626106262207
34	-40.182888	14.69742	-15.242026	-69.47931	-35.63041	11.338781	-17.605381	-52.008343	100.0	100.0	50999	-31.28795	12.702176	6.010779	-382.20837	30.207611	0.96058625	486.53636479377747
35	-43.962948	14.999685	-11.890963	-67.71355	-49.13139	16.264648	-25.11473	-69.72643	100.0	100.0	52499	-30.7221	12.45601	6.270705	-340.4823	29.636421	0.9792656	502.02537775039673
36	-34.648438	8.434139	-23.042898	-51.426914	-43.5465	10.57703	-30.437145	-58.277016	100.0	100.0	53999	-30.04325	12.4536085	7.4474382	-341.03177	28.99328	0.9998846	517.109915971756
37	-33.839626	9.927142	-16.17423	-50.74103	-36.16981	5.344752	-28.134703	-45.261234	100.0	100.0	55499	-29.29034	12.330003	8.475467	-319.819	28.231737	0.97830355	531.9684209823608
38	-33.235043	14.105031	-9.536873	-59.519566	-35.187202	14.331989	-16.276388	-64.39995	100.0	100.0	56999	-28.446966	12.621662	7.3658504	-361.53214	27.370173	1.0402575	546.6415140628815
39	-35.792046	9.302487	-24.586935	-48.346077	-43.921894	16.670746	-11.195502	-78.430595	100.0	100.0	58499	-27.291365	12.042215	7.2923827	-344.7553	26.23859	0.96325505	561.4342720508575
40	-38.585976	18.082476	-15.043433	-71.3808	-36.15106	15.146656	-16.074158	-69.959656	100.0	100.0	59999	-26.287615	12.138685	8.263062	-360.57663	25.240475	1.0867496	576.1459748744965
41	-36.92784	11.407349	-16.657095	-60.778084	-34.916855	6.3128986	-25.025042	-45.317905	100.0	100.0	61499	-25.21252	11.851657	9.4373665	-346.06622	24.167671	1.1813685	590.9995679855347
42	-33.25514	11.42568	-16.08064	-54.623455	-31.27528	8.978178	-16.08152	-47.239765	100.0	100.0	62999	-24.008055	11.607243	9.559203	-306.64728	22.990828	0.9938927	606.1105208396912
43	-38.311626	14.421065	-10.9154415	-60.845135	-36.56841	10.902608	-20.844679	-53.514893	100.0	100.0	64499	-22.888136	12.1785755	8.824911	-322.06262	21.875067	1.1091089	621.2413508892059
44	-34.110348	11.801539	-9.9095335	-60.813114	-33.670937	11.741903	-14.277142	-48.72876	100.0	100.0	65999	-21.781057	12.266077	8.207953	-344.09808	20.777601	1.1466818	635.7343597412109
45	-42.973557	14.195947	-9.991775	-66.90497	-32.691128	6.412903	-24.919422	-46.500225	100.0	100.0	67499	-20.562775	12.086531	9.778739	-333.22406	19.56487	1.0964621	649.3892419338226
46	-42.04488	18.590069	-17.129547	-69.91059	-42.933064	10.082527	-20.345919	-55.35674	100.0	100.0	68999	-19.471624	12.157212	11.014422	-328.75424	18.502592	1.1392646	662.9840049743652
47	-41.654438	12.178993	-18.469625	-62.624565	-40.86846	13.305968	-23.462156	-69.00732	100.0	100.0	70499	-18.66146	12.219225	12.998811	-324.50867	17.719229	1.1109828	676.5312027931213
48	-46.247974	11.39022	-23.224735	-63.34552	-41.462303	9.178177	-30.899382	-65.35823	100.0	100.0	71999	-17.879108	12.1392975	15.401647	-430.26703	16.954699	1.2275681	690.3007309436798
49	-43.49343	13.848923	-18.760586	-71.68776	-44.805458	12.259925	-27.873196	-66.93876	100.0	100.0	73499	-17.07191	12.139683	17.75071	-314.39685	16.141378	0.9934209	704.0298550128937
50	-41.53701	12.66854	-21.572691	-68.25262	-48.25109	17.638233	-12.757034	-67.35406	100.0	100.0	74999	-16.275682	12.291069	19.487461	-346.18585	15.333409	1.1549671	717.7121779918671
51	-43.36128	13.373866	-17.850649	-65.16796	-33.15218	9.906883	-12.3057575	-44.398006	100.0	100.0	76499	-15.192039	12.440452	19.474308	-356.6936	14.246577	1.0893787	731.5037949085236
52	-40.74511	10.484712	-11.502109	-54.84199	-49.0848	11.011538	-32.96506	-71.19245	100.0	100.0	77999	-14.196235	12.471589	20.288832	-388.637	13.274095	1.1619669	745.6470007896423
53	-43.361187	11.690096	-22.786827	-68.4637	-44.788822	10.256064	-23.136385	-58.033558	100.0	100.0	79499	-13.199589	12.247871	20.7558	-350.04202	12.2994585	1.1712484	759.4511868953705
54	-41.75991	9.991378	-24.367302	-60.926414	-44.00157	12.377311	-20.190573	-61.11167	100.0	100.0	80999	-12.436055	12.116025	21.545588	-338.64142	11.5465	1.0816469	773.2702438831329
55	-33.743473	11.551517	-19.361567	-55.685448	-42.575413	15.167013	-15.684126	-68.301445	100.0	100.0	82499	-11.690865	12.115102	23.88354	-316.4821	10.830422	1.0411681	787.0184190273285
56	-37.527775	14.877561	-16.25047	-64.855835	-44.565094	6.9082255	-30.316158	-53.40049	100.0	100.0	83999	-11.114999	12.526053	25.711058	-340.3278	10.261621	1.034269	800.8532428741455
57	-40.416615	10.393985	-21.352736	-56.598953	-42.099434	18.704885	-22.881643	-89.11038	100.0	100.0	85499	-10.488207	12.780455	26.688833	-347.00394	9.639028	1.1428254	816.1627929210663
58	-43.180077	15.818006	-13.76891	-66.867256	-39.207882	14.001756	-23.338673	-68.387276	100.0	100.0	86999	-9.857338	12.890214	27.7705	-324.0867	9.001532	1.1365126	830.1377458572388
59	-40.72875	14.771201	-15.99071	-65.95176	-39.91491	12.022386	-14.932508	-62.31665	100.0	100.0	88499	-9.019681	12.883805	28.722868	-299.60388	8.156693	1.1918285	843.9261860847473
60	-44.592026	14.577114	-20.792421	-71.06708	-37.38628	15.212361	-8.401654	-62.148808	100.0	100.0	89999	-8.150328	13.070464	28.800497	-323.4473	7.271146	1.1380411	857.7275228500366
61	-40.196472	13.534238	-19.928158	-80.341354	-42.789143	11.206448	-26.241365	-57.858425	100.0	100.0	91499	-7.176202	13.25626	28.878992	-322.19943	6.2945924	1.2285211	871.9180040359497
62	-42.317028	11.591034	-24.252378	-60.58261	-37.239304	13.672805	-12.998374	-59.481384	100.0	100.0	92999	-6.1740847	13.211166	28.912235	-342.5947	5.3006907	1.1807529	885.9895009994507
