Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-510.4582	445.12106	-91.912766	-1422.5272	-13.806676	44.08201	48.73687	-76.71284	100.0	100.0	1499	-9.245376	8.613129	0.02265098	-63.745003	7.5422697	7.0367103	10.040498971939087
2	-295.6487	139.42812	-125.45914	-655.9464	-45.109993	32.915966	28.07935	-84.56023	100.0	100.0	2999	-15.225912	17.647678	0.55216104	-176.67772	11.542003	2.1898146	26.440771102905273
3	-351.58298	243.32391	-90.38898	-868.6907	-40.710735	28.184803	10.185573	-67.71288	100.0	100.0	4499	-15.769629	19.053606	1.2341532	-203.41742	11.766394	1.6648694	43.960243940353394
4	-268.46262	130.2265	-106.590675	-543.91144	-42.314705	30.40938	6.0367956	-89.09206	100.0	100.0	5999	-14.832025	16.52886	1.1614114	-204.5938	11.225044	1.6369196	62.75927400588989
5	-543.402	480.45093	-118.82204	-1682.7496	-43.541615	24.524832	16.710865	-69.275154	100.0	100.0	7499	-16.12534	19.868605	3.5294652	-243.33556	12.271274	2.2201998	81.43294405937195
6	-324.5304	232.18262	-106.928444	-965.5552	-29.132038	36.432755	57.07805	-78.91229	100.0	100.0	8999	-15.965867	20.834677	4.6733584	-252.48038	11.909361	1.9613218	103.3543028831482
7	-321.4659	491.58194	57.958595	-2055.6855	8.734955	81.172874	188.54898	-70.99164	100.0	100.0	10499	-15.628317	21.951815	5.467743	-251.52856	11.669833	2.0355663	121.6286871433258
8	-42.694363	31.566366	42.153233	-77.53991	-24.541836	46.027637	106.76603	-53.219376	100.0	100.0	11999	-14.274877	21.881231	7.3035374	-247.63881	10.643846	1.7554861	145.58433604240417
9	-46.717644	19.64276	-1.8042828	-70.79489	-13.451162	88.7934	172.33414	-79.02899	100.0	100.0	13499	-12.295468	20.897032	8.65867	-251.04591	9.080036	1.6438402	179.3447630405426
10	-24.84385	49.750595	139.80963	-66.2272	-43.45475	20.629873	-3.6420527	-73.83916	100.0	100.0	14999	-11.027832	20.310007	11.626346	-253.47112	8.1143055	1.5997465	212.46078205108643
11	-8.440272	55.769512	118.47504	-72.66852	-3.5744965	56.628117	130.95042	-76.932365	100.0	100.0	16499	-9.594458	20.267725	16.003738	-250.1705	6.8222003	1.7800982	240.40369200706482
12	-23.388334	47.1865	109.85988	-75.55399	-18.13667	55.908325	91.82149	-83.14797	100.0	100.0	17999	-6.914688	20.384184	21.568642	-268.82074	4.2953515	2.1498969	274.58286213874817
13	-7.842055	48.985836	72.48963	-86.68031	-15.75824	46.970078	107.91532	-58.42779	100.0	100.0	19499	-3.490356	20.560194	31.168837	-257.51938	0.9078872	2.430614	300.77108812332153
14	-15.853134	51.641045	151.57796	-56.80761	13.840349	85.10845	161.51859	-69.47488	100.0	100.0	20999	0.792571	21.250465	40.478176	-248.48457	-3.3592434	2.8798919	327.1007480621338
15	3.6676857	59.751587	145.74585	-79.49156	-0.9712402	75.30028	168.83936	-54.531105	100.0	100.0	22499	5.640432	22.226765	48.77609	-249.61891	-8.18935	3.1282325	360.0775020122528
16	13.961068	69.105064	154.02792	-63.48218	-4.9079742	71.20943	182.76552	-57.07667	100.0	100.0	23999	11.096537	22.73813	57.55891	-248.6317	-13.595736	3.4341443	391.51977801322937
