Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-191.3192	2.0641353	-187.8795	-195.7057	-189.32166	3.89047	-182.36826	-194.28453	100.0	100.0	1499	-3.5658615	1.1170039	0.0067542642	-6.0789967	3.4877832	0.07353443	9.6716628074646
2	-190.98277	1.6452293	-187.5267	-194.15396	-191.46634	1.6346309	-188.6956	-193.71188	100.0	100.0	2999	-11.818097	3.7915032	-4.893336	-20.603159	11.764323	0.01208727	42.77123308181763
3	-189.9001	2.2397425	-184.11267	-193.89748	-187.65582	4.3118353	-178.23853	-191.39061	100.0	100.0	4499	-25.147348	3.916695	-17.473227	-34.244877	25.082388	0.030450098	65.57088589668274
4	-190.24667	2.055459	-186.71996	-194.30984	-188.64018	3.1576731	-183.8168	-193.83847	100.0	100.0	5999	-38.611626	3.9121	-30.322016	-47.32749	38.542496	0.05039086	82.68823289871216
5	-191.20244	1.6038836	-188.34111	-194.29092	-188.18655	3.0272434	-180.87296	-190.902	100.0	100.0	7499	-52.100327	3.9520462	-43.66458	-60.9032	52.02461	0.070614636	97.52085781097412
6	-190.49089	2.1341026	-185.80513	-196.62617	-189.64743	1.2592582	-187.09746	-191.10414	100.0	100.0	8999	-65.63728	3.9454906	-57.14905	-74.554886	65.56128	0.087789945	121.5043158531189
7	-191.01172	1.4172318	-188.82098	-193.65375	-188.11801	2.613243	-182.20782	-192.20496	100.0	100.0	10499	-79.18262	3.970809	-70.56761	-88.13099	79.10536	0.10362733	157.6724569797516
8	-189.3312	1.9428324	-184.82733	-192.97664	-189.23622	1.5341995	-186.29747	-191.17836	100.0	100.0	11999	-92.78247	4.004258	-84.26677	-102.15329	92.7203	0.1139457	182.76162099838257
9	-188.94246	2.0124712	-184.10751	-191.23715	-189.2518	2.805658	-184.31267	-193.88174	100.0	100.0	13499	-106.46507	4.005759	-97.84596	-116.1477	106.40796	0.13275942	210.18109488487244
10	-188.24213	2.8404212	-180.71167	-191.84502	-188.92236	1.9639072	-185.68947	-191.51862	100.0	100.0	14999	-120.1352	4.013256	-111.478485	-129.6807	120.07602	0.14336188	244.34073281288147
11	-188.67352	2.264866	-182.9384	-192.26723	-188.64133	2.9436982	-182.80174	-192.87769	100.0	100.0	16499	-133.83897	4.014247	-125.37655	-143.0834	133.78624	0.15262689	267.29074573516846
12	-188.93484	2.77051	-180.98485	-192.30077	-187.00528	2.6545072	-181.42479	-190.71866	100.0	100.0	17999	-147.5754	4.025901	-138.46574	-157.58357	147.52858	0.16463625	291.85432600975037
13	-188.77704	1.9133369	-185.3588	-191.73163	-189.14258	1.8719481	-186.67392	-192.26187	100.0	100.0	19499	-161.32472	4.015525	-152.6416	-170.69264	161.27744	0.16284241	318.71710991859436
14	-188.95114	2.63691	-182.30234	-191.2188	-188.71294	1.955194	-183.9651	-191.56416	100.0	100.0	20999	-175.07805	4.0181746	-166.35736	-184.87305	175.0338	0.17382173	342.7812087535858
15	-187.76329	3.4739742	-177.9047	-191.34576	-190.06808	2.4569252	-186.61812	-195.99458	100.0	100.0	22499	-188.8536	4.0230727	-180.05421	-200.75874	188.81091	0.17445801	367.6444528102875
16	-187.55171	3.782021	-175.63492	-191.71968	-188.48344	2.1474645	-183.86568	-191.18579	100.0	100.0	23999	-202.65775	4.0274816	-193.26988	-211.646	202.6177	0.17297387	394.75960183143616
