Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-182.73154	2.3661065	-178.47115	-188.57094	-181.32744	2.7168581	-176.50618	-185.92853	100.0	100.0	1499	-3.4149187	1.0492	-0.0065405816	-5.9655786	3.3458285	0.07316863	5.304397344589233
2	-182.30157	2.6748888	-178.22842	-186.7576	-183.32852	2.8359451	-179.47234	-189.51978	100.0	100.0	2999	-11.016097	3.4829912	-4.5352125	-19.10019	10.943181	0.01826355	14.792499542236328
3	-182.5111	3.1918392	-176.02118	-188.0619	-183.52762	3.4195151	-178.0882	-190.3985	100.0	100.0	4499	-22.893192	3.437148	-15.561937	-31.25965	22.79131	0.04871357	24.303024768829346
4	-181.8946	3.2925422	-176.13428	-188.50601	-179.02925	4.951248	-170.05302	-186.07732	100.0	100.0	5999	-34.359444	3.3778355	-26.489954	-42.68487	34.25362	0.08677185	33.77575325965881
5	-182.43927	4.0672097	-175.72186	-188.63716	-178.3699	4.054692	-170.36812	-182.3433	100.0	100.0	7499	-45.480984	3.2832944	-37.170486	-53.899967	45.372906	0.11241935	43.351128578186035
6	-180.79848	4.0897336	-171.84615	-188.31078	-180.63776	2.8085542	-174.75052	-184.04309	100.0	100.0	8999	-56.160908	3.1754706	-47.800465	-65.27274	56.041054	0.13342613	52.63461494445801
7	-179.54166	4.7962246	-170.10733	-186.80173	-175.44804	10.369129	-147.04233	-187.37854	100.0	100.0	10499	-66.433044	3.0751362	-58.457012	-80.62635	66.29978	0.16695555	62.00761556625366
8	-180.09166	3.2413423	-170.89948	-184.10777	-172.90411	9.26409	-157.26886	-183.13612	100.0	100.0	11999	-76.20407	2.9559567	-68.37415	-86.98587	76.07477	0.17799975	71.69941258430481
9	-178.63445	3.1021924	-171.52174	-182.45311	-179.88593	5.5788355	-166.78938	-185.99016	100.0	100.0	13499	-85.60589	2.8649864	-77.8072	-94.2256	85.477745	0.18621665	81.33391070365906
10	-180.65207	3.2331138	-170.56895	-185.39629	-178.30516	5.5262465	-169.5826	-188.17061	100.0	100.0	14999	-94.65053	2.7993355	-86.49843	-103.229324	94.52875	0.20567049	90.98173499107361
11	-177.13037	5.1768823	-167.35225	-186.71814	-177.31154	4.344584	-169.53716	-183.24698	100.0	100.0	16499	-103.45786	2.7364829	-95.73005	-111.623955	103.346344	0.21457133	100.63684439659119
12	-176.83455	5.8563294	-164.1578	-184.49683	-175.13101	7.8988867	-157.08412	-182.63332	100.0	100.0	17999	-111.976906	2.6558454	-104.29631	-120.36035	111.86654	0.20951945	110.46858382225037
13	-175.25458	5.9869123	-162.4327	-182.50502	-171.94864	5.6817594	-163.4391	-179.53595	100.0	100.0	19499	-120.16063	2.584926	-113.003784	-128.28882	120.04908	0.20794506	120.07167315483093
14	-176.30019	6.1859465	-164.14941	-182.09143	-174.42563	5.944604	-161.86572	-183.68484	100.0	100.0	20999	-128.06717	2.5194967	-120.64001	-136.08916	127.95917	0.20164123	129.6847047805786
15	-173.31815	8.3380575	-154.55963	-184.00467	-173.81104	10.510186	-147.49716	-182.80882	100.0	100.0	22499	-135.67642	2.4671824	-128.54573	-143.81781	135.57558	0.20854604	139.33832550048828
16	-174.9039	5.440443	-164.73576	-182.25864	-167.19809	3.906516	-161.47778	-172.71555	100.0	100.0	23999	-142.9861	2.4263914	-135.576	-151.26878	142.88344	0.20710349	148.8613564968109
17	-175.17528	4.718949	-167.54723	-186.36258	-168.29489	14.093624	-141.51047	-183.11815	100.0	100.0	25499	-150.02928	2.4133444	-142.42337	-158.90623	149.92679	0.21477267	158.40297031402588
18	-168.11084	10.99722	-142.79454	-181.99374	-173.95523	10.562396	-145.12401	-183.76167	100.0	100.0	26999	-156.77414	2.406193	-149.02222	-167.03323	156.67017	0.2182043	167.99283385276794
19	-176.1158	5.749035	-161.0133	-183.33856	-171.8053	7.5861235	-158.32285	-181.60886	100.0	100.0	28499	-163.22807	2.428358	-155.22311	-173.28899	163.12302	0.2279109	177.76822209358215
20	-172.01286	7.7349668	-155.19606	-183.11395	-168.59006	5.437773	-159.09618	-173.39435	100.0	100.0	29999	-169.43623	2.472625	-160.78087	-179.49713	169.32951	0.22918974	187.5139799118042
21	-168.90767	9.512429	-144.39229	-185.63817	-165.61423	12.724852	-145.65184	-182.59361	100.0	100.0	31499	-175.34683	2.5628817	-166.53928	-185.0514	175.23755	0.23627645	197.247976064682
22	-169.8411	10.828237	-139.0926	-181.84023	-167.30406	6.0947943	-155.09367	-177.67598	100.0	100.0	32999	-181.01009	2.6669862	-171.9321	-189.87642	180.8975	0.23900716	206.90584468841553
23	-166.4265	8.749593	-144.4755	-176.96773	-170.44846	9.92739	-146.95532	-185.1777	100.0	100.0	34499	-186.44284	2.8259654	-176.47752	-195.86557	186.33217	0.24538879	216.59692239761353
24	-165.31532	7.616501	-151.77293	-180.41048	-163.73203	10.354627	-139.71936	-180.20636	100.0	100.0	35999	-191.61032	3.0078743	-180.55609	-201.11826	191.49165	0.24093774	226.14072346687317
25	-166.83601	12.082614	-135.58832	-182.22809	-167.90915	9.567217	-157.69884	-187.74414	100.0	100.0	37499	-196.48616	3.2320848	-184.56552	-206.40416	196.36333	0.24685118	235.6878695487976
26	-166.99452	9.578684	-148.03555	-180.2446	-164.70013	12.332999	-144.57895	-181.32054	100.0	100.0	38999	-201.15901	3.4264066	-188.55017	-212.78815	201.02736	0.25078687	245.17012214660645
27	-171.7316	10.446313	-153.81232	-187.27824	-159.3954	15.329795	-134.74214	-187.50296	100.0	100.0	40499	-205.57866	3.6537807	-192.12115	-217.7077	205.43675	0.25824943	254.62860584259033
28	-165.23804	12.298943	-142.94006	-181.98405	-160.96938	9.369147	-140.33989	-174.49771	100.0	100.0	41999	-209.75153	3.8363736	-195.8884	-222.66403	209.60223	0.2606036	264.08308386802673
29	-162.24812	7.553448	-144.66077	-176.19875	-162.78032	8.88028	-147.3908	-175.68451	100.0	100.0	43499	-213.67703	4.020073	-199.60464	-227.27315	213.52328	0.26238078	273.62517285346985
30	-160.22588	9.380849	-144.85931	-177.19962	-168.38757	8.588361	-158.96716	-183.18837	100.0	100.0	44999	-217.3819	4.2222176	-202.43698	-231.23004	217.23112	0.26419795	283.09482502937317
31	-160.9583	10.641731	-145.07695	-180.51657	-159.0331	11.281607	-137.58984	-174.02295	100.0	100.0	46499	-220.95428	4.4641213	-205.90082	-234.80304	220.8059	0.27510318	292.5365068912506
32	-162.93434	9.191724	-151.58733	-178.5421	-164.74728	16.312984	-132.15031	-189.21613	100.0	100.0	47999	-224.39018	4.610886	-209.17412	-239.3421	224.2336	0.26218554	302.10663628578186
33	-163.57246	9.541354	-142.81825	-178.48337	-163.10123	11.5993595	-134.60733	-181.0856	100.0	100.0	49499	-227.59688	4.773521	-212.54895	-243.45425	227.43358	0.27654287	311.7168159484863
