Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-373.69717	6.7541356	-361.08755	-388.68567	-378.3697	7.53992	-364.0152	-387.753	100.0	100.0	1499	-6.4464207	2.1071339	0.0027522221	-11.663621	6.2861767	0.43723145	5.525416612625122
2	-376.93784	5.251068	-367.68503	-386.8117	-376.51935	8.925559	-359.11404	-386.39966	100.0	100.0	2999	-21.89237	7.1071935	-8.588086	-37.563625	21.75043	0.09275309	14.673762798309326
3	-377.993	4.274905	-368.85083	-384.91043	-368.94946	14.725505	-341.3001	-390.1639	100.0	100.0	4499	-46.346348	7.068323	-30.682085	-61.488537	46.14601	0.16935194	23.84805417060852
4	-376.12375	5.5844707	-365.1879	-385.31427	-376.22903	3.912971	-368.6884	-380.35895	100.0	100.0	5999	-70.18199	6.909779	-54.616898	-85.57104	69.97438	0.24163313	33.0723135471344
5	-379.1701	4.240012	-371.98993	-386.29288	-366.6601	20.05543	-324.16562	-393.13718	100.0	100.0	7499	-93.1982	6.751281	-77.528046	-111.24966	92.97275	0.3095397	42.29249024391174
6	-379.19012	4.793085	-370.3998	-386.76373	-367.5097	19.895864	-324.36575	-384.55804	100.0	100.0	8999	-115.57604	6.602063	-99.38387	-132.44571	115.34805	0.39171302	51.676305055618286
7	-376.21536	8.503087	-352.43143	-387.74033	-376.47845	6.826087	-367.21054	-388.1321	100.0	100.0	10499	-137.16405	6.449544	-120.47352	-155.00964	136.94093	0.43796557	61.101245641708374
8	-374.53714	8.765423	-353.41257	-387.16602	-375.82352	4.860283	-363.6841	-382.2721	100.0	100.0	11999	-158.09474	6.437303	-140.863	-177.05571	157.91087	0.5008839	70.82986569404602
9	-364.95584	15.395567	-334.6701	-383.50003	-375.98404	10.464594	-349.40445	-385.96005	100.0	100.0	13499	-178.44574	6.2892127	-161.42815	-197.5106	178.27722	0.52377224	80.5491509437561
10	-370.0611	9.338334	-350.48068	-383.19492	-367.2304	14.759253	-342.1415	-385.3861	100.0	100.0	14999	-197.85747	6.2041855	-179.96843	-218.11433	197.68675	0.5278182	90.24068069458008
11	-371.9676	6.0858836	-356.761	-381.05496	-374.44006	6.020879	-361.48633	-380.42215	100.0	100.0	16499	-216.64514	6.157798	-198.97993	-237.16649	216.48209	0.56012607	100.02551603317261
12	-372.33652	13.12588	-344.5838	-391.85196	-363.45477	17.806944	-327.211	-380.6783	100.0	100.0	17999	-234.83005	6.154689	-217.1494	-255.801	234.66884	0.57789534	110.7223174571991
13	-372.8885	7.0707974	-359.1331	-380.80127	-371.90125	9.827123	-350.27277	-383.66666	100.0	100.0	19499	-252.36061	6.055784	-234.23666	-273.64157	252.20392	0.6184408	122.84896278381348
14	-370.0468	11.177606	-343.3206	-385.05768	-364.80252	13.933803	-339.7062	-384.4185	100.0	100.0	20999	-269.25177	5.9226613	-251.20091	-291.28	269.10342	0.6387915	134.32840991020203
15	-368.25443	16.506224	-330.8414	-385.43076	-374.6411	9.132055	-351.14108	-385.12274	100.0	100.0	22499	-285.63892	5.7976956	-267.8221	-307.37396	285.4971	0.61771244	144.55191254615784
16	-362.94843	15.26662	-321.2786	-380.7707	-369.2115	9.887826	-348.834	-379.99707	100.0	100.0	23999	-301.43784	5.7080617	-283.49417	-323.22137	301.29642	0.62305516	154.51548218727112
17	-368.5148	6.082689	-358.0339	-380.8805	-365.0407	12.526485	-347.7559	-386.96957	100.0	100.0	25499	-316.55624	5.605741	-298.58493	-338.35004	316.4208	0.6748998	165.71867990493774
18	-369.71692	7.7707543	-350.78275	-381.52112	-366.00742	13.386238	-343.11746	-387.85873	100.0	100.0	26999	-331.0972	5.4514494	-313.24176	-352.87897	330.9579	0.6519951	177.56596422195435
19	-365.0544	16.267075	-324.013	-380.8564	-364.10294	22.351505	-312.28076	-387.98132	100.0	100.0	28499	-345.09302	5.3075213	-327.28165	-366.52078	344.94318	0.66888344	188.29707884788513
20	-368.27527	15.50589	-325.6157	-384.82736	-365.88428	10.660817	-349.91104	-382.9427	100.0	100.0	29999	-358.46555	5.1371107	-340.53522	-379.76306	358.30768	0.7038794	198.44147610664368
21	-366.04425	15.925417	-337.74854	-385.69016	-354.81345	14.889702	-333.14252	-376.6797	100.0	100.0	31499	-371.30573	4.983262	-354.068	-390.4609	371.14743	0.7079326	208.882474899292
22	-375.87408	7.1618233	-354.86844	-387.14005	-363.7164	15.639139	-339.9949	-380.83615	100.0	100.0	32999	-383.6888	4.8430505	-365.9974	-401.83716	383.5255	0.72318625	218.7206163406372
23	-362.98618	12.266364	-343.45935	-383.21237	-357.9334	22.756958	-301.70523	-384.91656	100.0	100.0	34499	-395.54544	4.7742786	-378.2089	-412.56274	395.38596	0.73705274	229.56580328941345
24	-361.06415	22.934713	-297.98334	-384.5201	-361.7207	25.24815	-312.41867	-381.03738	100.0	100.0	35999	-407.03558	4.7152686	-389.01138	-423.46988	406.88174	0.73375374	241.70092844963074
25	-359.4057	24.49208	-292.36218	-379.3763	-362.73956	12.806164	-337.73465	-380.60895	100.0	100.0	37499	-418.07632	4.662395	-402.03622	-434.7232	417.92126	0.7473581	252.82639145851135
26	-365.90646	13.720389	-337.81116	-381.46515	-365.3009	29.52927	-277.72308	-380.36783	100.0	100.0	38999	-428.58698	4.6769037	-412.405	-445.92477	428.42758	0.764667	262.94624400138855
27	-366.34552	12.991056	-328.38016	-384.00906	-355.60812	12.440028	-325.3664	-372.16293	100.0	100.0	40499	-438.78732	4.769853	-422.94485	-456.40686	438.63174	0.8065714	273.0173168182373
28	-351.3754	27.089325	-262.06375	-374.59753	-357.6457	21.573553	-314.5876	-381.3642	100.0	100.0	41999	-448.51782	4.8311687	-431.79623	-467.85428	448.35675	0.78430444	283.19239020347595
29	-357.25687	15.16031	-327.11255	-380.9012	-361.6325	10.991207	-338.19193	-376.24872	100.0	100.0	43499	-457.77884	4.989162	-441.5061	-477.54742	457.60907	0.81405455	293.24779081344604
30	-360.02936	13.6600895	-326.7006	-383.3912	-351.09787	28.635756	-282.53482	-376.06592	100.0	100.0	44999	-466.68405	5.12582	-449.66263	-485.60336	466.5137	0.80193883	302.97065782546997
31	-356.95392	19.892582	-291.06708	-379.03098	-349.29166	31.113081	-279.94543	-379.52914	100.0	100.0	46499	-475.2665	5.2214184	-456.31177	-493.37445	475.09088	0.8374765	313.9048011302948
32	-353.03564	25.116512	-264.01413	-372.83273	-353.50073	27.889286	-277.84625	-377.0784	100.0	100.0	47999	-483.4647	5.3100677	-463.96735	-503.55423	483.28467	0.85297924	325.95004057884216
33	-354.54523	16.033031	-320.9836	-374.9176	-360.78204	15.06511	-327.21036	-378.3395	100.0	100.0	49499	-491.24146	5.467311	-472.802	-510.87576	491.05814	0.86031526	337.0082006454468
34	-349.54254	18.718607	-308.32312	-372.91058	-361.72885	9.343336	-342.16544	-377.0101	100.0	100.0	50999	-498.69046	5.6642756	-479.75842	-519.31964	498.50717	0.8748439	347.2715287208557
35	-357.23917	19.155865	-313.59616	-379.31473	-341.18192	31.364105	-274.09305	-364.2796	100.0	100.0	52499	-505.83615	5.8396273	-485.35608	-527.60376	505.65207	0.92990595	357.6257266998291
36	-347.62628	16.05611	-310.0103	-370.19287	-344.74957	27.889229	-290.23483	-375.47256	100.0	100.0	53999	-512.7271	6.0317874	-491.03848	-534.97363	512.5338	0.8958382	368.64316749572754
37	-348.32462	21.244717	-296.9568	-381.04007	-354.5828	12.59947	-327.06424	-366.01297	100.0	100.0	55499	-519.0908	6.234174	-497.14822	-541.9165	518.89514	0.9090691	379.45272564888
38	-334.2866	36.029877	-234.30423	-375.56192	-342.14215	27.032576	-269.5545	-367.77344	100.0	100.0	56999	-525.31213	6.393176	-503.7195	-548.11395	525.115	0.94893986	389.89448833465576
39	-338.97845	23.679592	-273.91925	-372.9249	-325.45502	37.885868	-243.22952	-371.63483	100.0	100.0	58499	-531.12067	6.649681	-509.01718	-555.1919	530.91394	0.9928665	399.8336606025696
40	-333.607	22.844492	-305.71475	-374.22565	-312.16867	55.867466	-183.70152	-367.89093	100.0	100.0	59999	-536.59344	6.9153028	-510.53586	-561.4209	536.36395	1.0061797	409.6615173816681
41	-331.31583	29.867802	-264.3485	-374.5999	-328.39658	33.735355	-245.24092	-371.3982	100.0	100.0	61499	-541.62036	7.016037	-514.4864	-566.7344	541.3815	1.0494611	419.5248484611511
42	-337.775	26.566624	-291.74542	-380.06924	-346.2354	22.39615	-292.0807	-372.32703	100.0	100.0	62999	-546.38275	7.225155	-518.65515	-572.8395	546.12885	1.1021429	429.37844491004944
43	-341.75208	21.398777	-302.26367	-370.81796	-327.0152	44.711742	-204.99513	-365.89355	100.0	100.0	64499	-550.7462	7.371607	-522.0132	-578.25574	550.4688	1.1391433	439.1852126121521
44	-332.22818	22.156464	-285.5949	-376.59103	-355.87506	9.095955	-340.06476	-367.72134	100.0	100.0	65999	-554.7755	7.4800916	-525.52203	-582.6567	554.47754	1.1825771	449.0639545917511
45	-334.05478	21.895145	-294.51056	-377.44003	-346.33286	25.604362	-278.36255	-374.2017	100.0	100.0	67499	-558.51697	7.5711756	-529.73804	-589.0823	558.20544	1.2444751	458.94760489463806
46	-335.47232	21.485811	-299.33646	-382.3919	-323.97482	39.063065	-219.60307	-360.64175	100.0	100.0	68999	-561.94916	7.794139	-532.0355	-594.97205	561.6381	1.2229215	468.8257451057434
47	-330.89832	20.823277	-298.91425	-365.14252	-320.32617	42.28541	-258.34528	-378.16214	100.0	100.0	70499	-565.1813	7.934216	-533.7089	-595.66296	564.862	1.2822951	478.7539451122284
48	-338.435	26.145582	-274.50204	-374.04584	-318.89157	31.5289	-274.57874	-370.15048	100.0	100.0	71999	-568.1349	8.177547	-536.7551	-598.8707	567.8195	1.2709181	488.7227020263672
49	-323.9541	28.79138	-289.07996	-377.68423	-336.94977	22.612207	-290.28763	-365.07175	100.0	100.0	73499	-571.0466	8.411343	-539.774	-603.1551	570.7354	1.3012024	498.7392358779907
50	-342.6325	24.589905	-283.20807	-381.16077	-333.79767	32.299026	-253.32228	-364.6559	100.0	100.0	74999	-573.72656	8.635852	-540.6565	-606.1044	573.40875	1.3191565	508.7619559764862
51	-326.02032	22.358845	-274.0684	-355.8086	-311.5146	46.826523	-240.75569	-372.4651	100.0	100.0	76499	-576.32355	8.8258505	-543.62866	-608.68506	575.9913	1.3055122	518.9553649425507
52	-328.53165	31.016191	-231.14935	-360.20065	-317.66235	32.1021	-248.88368	-363.11865	100.0	100.0	77999	-578.63727	9.041769	-545.3261	-613.15173	578.29333	1.4058324	529.1992332935333
53	-337.90118	19.358833	-289.43668	-363.8199	-332.3336	37.934914	-236.06404	-367.13022	100.0	100.0	79499	-580.6907	9.253907	-545.85254	-615.5972	580.3354	1.3929739	539.4640619754791
54	-335.31097	28.055971	-283.61957	-375.52304	-339.7293	30.47916	-283.7083	-376.08188	100.0	100.0	80999	-582.5937	9.442409	-545.7909	-617.96265	582.2184	1.3997009	549.7673337459564
55	-342.37024	28.085943	-282.7177	-378.46948	-341.14273	26.680902	-293.91748	-369.05234	100.0	100.0	82499	-584.35065	9.627098	-547.8868	-622.3086	583.98315	1.4363122	560.0577762126923
56	-323.98114	32.123474	-266.10303	-370.00174	-325.122	35.664494	-255.6494	-360.29593	100.0	100.0	83999	-585.9831	9.851266	-548.82715	-623.3542	585.60657	1.4085337	570.3217647075653
57	-330.44446	25.839575	-290.73474	-367.86526	-325.41406	42.746094	-262.89	-374.59903	100.0	100.0	85499	-587.5234	10.09582	-549.50684	-626.18256	587.1506	1.4585801	580.6455492973328
58	-326.22318	39.347836	-264.03653	-374.42035	-310.82687	31.398048	-260.11746	-355.79285	100.0	100.0	86999	-588.9483	10.364944	-550.47546	-628.9962	588.5732	1.5011156	590.9947371482849
59	-315.6512	32.457226	-240.30226	-367.28845	-325.69525	30.694862	-289.33755	-366.66425	100.0	100.0	88499	-590.2602	10.572823	-552.1353	-630.8497	589.9039	1.4619709	601.3392560482025
60	-336.36594	24.850779	-297.91888	-379.03693	-334.86044	25.894516	-302.4652	-376.77115	100.0	100.0	89999	-591.5619	10.811282	-553.203	-632.3393	591.1857	1.5138857	611.6222581863403
61	-335.84375	24.995491	-272.20157	-364.274	-309.9952	37.06722	-227.18025	-364.47583	100.0	100.0	91499	-592.7202	11.04054	-555.5047	-633.9524	592.35016	1.4821342	621.9019632339478
62	-327.03387	28.128197	-262.33426	-371.77997	-336.33966	29.256842	-275.3851	-370.79785	100.0	100.0	92999	-593.78735	11.292034	-555.63135	-634.6665	593.40875	1.5063096	632.1820206642151
63	-338.6794	42.61358	-193.86406	-377.33688	-331.99362	23.909609	-297.242	-368.322	100.0	100.0	94499	-594.8004	11.607039	-557.8454	-636.7691	594.4231	1.5502574	642.553364276886
64	-328.72748	34.724182	-259.91098	-377.4253	-336.27557	27.841389	-282.69147	-370.22867	100.0	100.0	95999	-595.8866	11.947619	-558.6694	-637.7947	595.52	1.5353557	652.9155459403992
65	-329.0599	34.21616	-259.50378	-369.4233	-318.27203	42.367092	-223.15349	-362.8407	100.0	100.0	97499	-596.69855	12.3368025	-559.16187	-640.6551	596.31506	1.5814974	663.2493062019348
66	-328.60895	21.856075	-290.38333	-365.99942	-323.0514	37.61716	-246.52579	-369.90674	100.0	100.0	98999	-597.4079	12.706802	-559.3326	-640.87805	597.0263	1.6261308	673.6526110172272
67	-319.41455	43.5918	-208.90643	-373.2468	-330.34122	33.156982	-253.76076	-371.26324	100.0	100.0	100499	-598.1317	13.177291	-558.7389	-643.9199	597.75146	1.6495765	684.0681672096252
68	-327.97244	27.417555	-266.23584	-360.8305	-336.3808	23.86184	-293.50565	-369.92972	100.0	100.0	101999	-598.8661	13.656375	-559.9179	-647.1544	598.47675	1.6324987	694.4160950183868
69	-335.40787	31.980848	-232.52267	-378.64456	-339.5732	27.616096	-291.25772	-376.47073	100.0	100.0	103499	-599.3328	14.106431	-560.35315	-646.85315	598.9473	1.6309893	704.6824109554291
70	-323.18484	19.077208	-293.13495	-360.59393	-303.3985	48.83029	-215.14674	-372.48853	100.0	100.0	104999	-600.0256	14.496291	-560.81866	-649.11096	599.6369	1.6607757	714.9378407001495
