Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-376.9755	4.479114	-367.64	-384.7278	-375.59317	12.925278	-343.9703	-389.4843	100.0	100.0	1499	-6.502032	2.1294749	0.027665593	-11.489398	6.3522573	0.4626762	5.576019525527954
2	-379.39355	5.5638175	-367.10632	-390.98267	-370.89856	9.997982	-352.386	-381.37494	100.0	100.0	2999	-22.037296	7.1172805	-8.743759	-36.860264	21.90481	0.081698485	15.613317012786865
3	-378.92413	5.019241	-364.33313	-385.8393	-375.40878	5.417129	-363.47635	-381.29834	100.0	100.0	4499	-46.749645	7.2057276	-29.552689	-63.168354	46.589592	0.17029421	24.762598991394043
4	-376.54718	5.8204284	-363.91345	-383.04657	-375.7531	4.5914803	-368.4956	-384.1438	100.0	100.0	5999	-70.987755	6.934144	-52.84543	-87.095085	70.81093	0.24791797	34.08159255981445
5	-379.17773	3.6706288	-373.44495	-384.90854	-375.03647	6.2886686	-359.91162	-382.29553	100.0	100.0	7499	-94.250786	6.7813935	-77.197	-111.16483	94.055374	0.3300947	43.27051043510437
6	-378.7804	3.4079757	-373.55493	-386.3331	-374.2531	7.0699277	-360.86996	-385.57556	100.0	100.0	8999	-116.65737	6.609572	-99.95884	-133.59572	116.45778	0.3775262	52.339025259017944
7	-374.40152	7.9488053	-352.89957	-387.25104	-375.5373	11.097975	-347.71017	-385.5747	100.0	100.0	10499	-138.36195	6.430671	-121.92273	-155.40944	138.17209	0.41740265	61.88155460357666
8	-376.1042	5.1633105	-360.74536	-381.3825	-371.05972	9.90116	-351.2101	-383.78754	100.0	100.0	11999	-159.43814	6.4055114	-142.6904	-177.50609	159.27005	0.4708352	71.47684383392334
9	-373.7658	6.55647	-354.29224	-383.464	-372.5502	15.698648	-327.52496	-386.02744	100.0	100.0	13499	-179.91478	6.2846475	-162.57712	-198.01756	179.76825	0.52420557	81.25763154029846
10	-372.40158	7.11894	-356.12265	-380.8672	-372.41492	6.872759	-361.61478	-381.1857	100.0	100.0	14999	-199.77368	6.152519	-181.69722	-217.45743	199.63441	0.5482893	90.8397171497345
11	-367.81174	12.053096	-332.01578	-384.79016	-371.01413	7.34266	-361.43695	-384.17978	100.0	100.0	16499	-218.92053	5.9374948	-200.41812	-236.03351	218.7902	0.54723024	100.40019655227661
12	-367.02496	11.565466	-336.425	-378.85898	-373.9364	4.6285644	-362.92914	-379.61642	100.0	100.0	17999	-237.253	5.8063936	-218.92703	-254.06152	237.1196	0.5716128	110.15076947212219
13	-370.19962	9.448851	-344.87933	-381.1645	-371.85596	11.150455	-347.22525	-384.97235	100.0	100.0	19499	-255.00923	5.714396	-236.9248	-272.408	254.88231	0.61210996	119.73917841911316
14	-372.01855	6.6903934	-360.4639	-386.3756	-370.51953	14.234217	-331.91766	-381.5256	100.0	100.0	20999	-272.07285	5.5911427	-254.42163	-289.61322	271.9497	0.6218093	129.4848916530609
15	-368.3968	7.941187	-349.7699	-377.8757	-369.1735	8.226356	-353.50116	-380.04453	100.0	100.0	22499	-288.5398	5.5177917	-269.06363	-304.75674	288.41745	0.6639706	139.01160216331482
16	-368.8884	13.603629	-329.4384	-385.00787	-367.68164	7.710876	-350.76852	-376.36084	100.0	100.0	23999	-304.41937	5.3957787	-284.77783	-320.59534	304.3006	0.68812954	148.59871983528137
17	-370.2481	8.317392	-345.8154	-379.366	-378.9187	4.8220506	-369.2274	-387.88037	100.0	100.0	25499	-319.77682	5.3236976	-299.84277	-336.27594	319.66397	0.70551825	158.34317564964294
18	-364.58844	12.146698	-335.76508	-382.3396	-362.60132	28.144714	-293.93097	-386.06522	100.0	100.0	26999	-334.49582	5.2429705	-314.79712	-351.85535	334.37772	0.74140495	167.91537499427795
19	-365.66953	13.9406595	-344.12915	-381.82993	-352.7126	34.70548	-263.75516	-377.90073	100.0	100.0	28499	-348.55313	5.1974635	-328.57117	-365.14	348.43353	0.7151935	177.65692687034607
20	-355.96756	21.541922	-296.09146	-377.9448	-362.51965	13.468852	-332.28085	-377.38702	100.0	100.0	29999	-362.16907	5.0755754	-342.21518	-378.4948	362.03992	0.7183818	187.16108202934265
21	-355.61426	13.099967	-324.27863	-376.02884	-360.94427	13.452067	-334.72406	-378.39047	100.0	100.0	31499	-375.0359	5.0275483	-354.4963	-391.32968	374.9005	0.7474575	196.79539132118225
22	-360.36313	31.58253	-248.03546	-384.1709	-357.82758	22.240372	-303.38284	-377.2328	100.0	100.0	32999	-387.40262	5.0274158	-367.29474	-403.29532	387.26263	0.7797306	206.32193732261658
23	-358.2474	15.709057	-316.2005	-376.95166	-358.13297	18.241043	-328.86948	-388.4316	100.0	100.0	34499	-399.20724	4.9640102	-378.61493	-413.97116	399.05957	0.78980446	215.91251730918884
24	-359.5008	12.020493	-340.36053	-385.30603	-352.9035	19.613901	-318.74945	-377.2804	100.0	100.0	35999	-410.49026	4.9657493	-390.48734	-425.92288	410.3342	0.85535675	225.61821126937866
25	-349.58456	21.20249	-297.67285	-375.59393	-351.8324	22.846111	-303.97385	-381.1439	100.0	100.0	37499	-421.18777	4.940711	-400.53012	-435.7454	421.02008	0.9045312	235.1906955242157
26	-356.50412	21.40042	-299.14508	-381.08755	-359.08536	18.038515	-322.91187	-380.93283	100.0	100.0	38999	-431.3916	4.9908996	-409.2716	-447.45117	431.21854	0.94809383	244.91131591796875
27	-342.2725	39.520866	-239.29935	-380.30807	-358.9112	21.623812	-300.91672	-383.43835	100.0	100.0	40499	-441.15497	4.9776554	-420.1411	-456.69785	440.97174	0.94737905	254.4521186351776
28	-344.75095	20.405592	-311.36826	-371.748	-355.49567	17.761372	-330.54242	-378.13104	100.0	100.0	41999	-450.37573	5.032298	-429.61813	-469.1382	450.17584	1.014656	263.9833948612213
29	-345.0085	18.866652	-316.84882	-373.54257	-348.19144	23.349026	-295.5177	-372.5741	100.0	100.0	43499	-459.0744	5.125314	-437.70038	-475.97433	458.866	1.1107293	273.6041657924652
30	-355.08163	14.395069	-317.60648	-373.05142	-337.98077	31.538671	-269.6377	-376.24597	100.0	100.0	44999	-467.3766	5.2509794	-445.84344	-486.64	467.1641	1.1417503	283.1413836479187
31	-342.957	23.616457	-292.1587	-379.96307	-346.34674	29.91889	-288.22714	-373.02777	100.0	100.0	46499	-475.21338	5.3890543	-453.12296	-493.97708	474.9909	1.1722919	292.8316628932953
32	-351.2511	21.79763	-303.19565	-387.4459	-343.31635	28.207478	-273.938	-382.77005	100.0	100.0	47999	-482.67078	5.538249	-460.8912	-503.16888	482.4527	1.2063079	302.52379059791565
33	-341.8819	21.55841	-293.9029	-370.38733	-354.72708	12.653378	-325.2927	-368.58295	100.0	100.0	49499	-489.80826	5.6230884	-467.7071	-511.22775	489.56982	1.2259552	312.2200710773468
34	-339.647	22.162582	-302.00552	-374.71222	-343.63013	20.217302	-303.08347	-360.7904	100.0	100.0	50999	-496.53116	5.8500247	-474.9012	-517.41785	496.28094	1.2368709	321.8022286891937
35	-340.0376	28.211458	-277.18344	-370.5274	-331.4926	54.776455	-186.44121	-380.05862	100.0	100.0	52499	-502.84897	6.032473	-481.68936	-522.263	502.5818	1.3142906	331.38502287864685
36	-347.05194	25.052876	-305.0105	-376.9141	-347.52545	29.570284	-295.33075	-379.2287	100.0	100.0	53999	-508.78842	6.213394	-487.02533	-528.0026	508.51428	1.3199722	341.1511240005493
37	-334.67386	26.702095	-292.80725	-368.55493	-340.0456	34.31027	-266.83316	-372.30655	100.0	100.0	55499	-514.32166	6.345152	-492.05542	-536.21045	514.0407	1.3890315	350.61177825927734
38	-337.92398	30.163792	-265.05267	-376.19873	-353.70615	23.762499	-285.10886	-371.3542	100.0	100.0	56999	-519.6129	6.5347757	-498.3004	-541.3645	519.3396	1.3612102	360.3207824230194
39	-337.24298	21.329689	-299.807	-375.78232	-353.85492	21.399313	-318.83975	-379.84323	100.0	100.0	58499	-524.5961	6.6832657	-502.91168	-546.0681	524.31024	1.4007946	369.8207001686096
40	-347.03165	27.394947	-280.67444	-381.62592	-342.71344	35.018757	-255.7564	-376.02917	100.0	100.0	59999	-529.33813	6.835693	-508.05325	-551.77515	529.05164	1.4310188	379.31674432754517
41	-353.96793	20.840248	-308.04218	-378.2917	-349.58246	31.855146	-281.97964	-379.56668	100.0	100.0	61499	-533.891	6.9293714	-511.69412	-558.9812	533.59717	1.4186436	389.0970540046692
42	-331.255	26.828918	-287.29276	-375.6836	-316.42325	42.446583	-220.3745	-370.67026	100.0	100.0	62999	-538.1891	7.1090655	-516.34827	-563.90955	537.9019	1.4756826	398.6617362499237
43	-335.50006	28.59623	-295.19574	-378.40067	-346.91583	22.06232	-298.94598	-373.92416	100.0	100.0	64499	-542.30457	7.2869134	-520.20044	-568.3581	542.01465	1.4678702	408.38352155685425
44	-346.15866	20.929708	-307.24515	-379.8248	-346.28287	47.48669	-209.75789	-374.32687	100.0	100.0	65999	-546.23645	7.521404	-523.82745	-571.00806	545.9477	1.4713193	418.01516938209534
45	-341.48193	23.729692	-284.86618	-375.93127	-345.6756	16.19068	-307.2281	-362.06406	100.0	100.0	67499	-549.9889	7.698038	-527.6027	-576.0701	549.7006	1.4728929	427.8507730960846
46	-333.90814	40.353733	-236.32166	-383.636	-344.17975	18.798946	-309.9004	-368.4096	100.0	100.0	68999	-553.6099	7.9602666	-530.8138	-579.41705	553.3294	1.465258	437.53681540489197
47	-339.71936	28.270163	-281.36496	-375.8561	-343.2466	28.75494	-265.69135	-371.12946	100.0	100.0	70499	-557.05804	8.275868	-534.30945	-584.5429	556.7836	1.5052171	447.21581506729126
48	-334.03064	29.104414	-272.97748	-374.7062	-353.81863	20.367676	-320.6219	-376.15167	100.0	100.0	71999	-560.4186	8.493299	-536.1575	-591.688	560.1394	1.5547396	457.1057002544403
49	-340.9659	30.664074	-271.3434	-377.41306	-345.66318	40.067944	-239.73413	-389.5995	100.0	100.0	73499	-563.5321	8.818098	-538.8745	-593.2092	563.23224	1.5503327	466.8407418727875
50	-322.00345	43.22354	-233.76772	-369.67514	-345.48642	32.144016	-290.1913	-382.9199	100.0	100.0	74999	-566.3095	9.201361	-541.03	-597.2519	566.0077	1.599101	476.87540316581726
51	-342.3836	32.93921	-287.38602	-383.33005	-352.69855	19.040485	-325.00586	-386.49585	100.0	100.0	76499	-569.00964	9.584975	-542.5514	-600.0639	568.70044	1.663665	486.70886850357056
52	-352.78485	15.88049	-322.43753	-373.94336	-310.36823	43.848236	-249.36732	-378.0068	100.0	100.0	77999	-571.4801	10.053935	-543.57385	-601.4355	571.1583	1.6411325	496.80377173423767
53	-346.1451	21.202606	-301.75262	-377.14645	-312.0726	36.758183	-239.13715	-370.2678	100.0	100.0	79499	-573.9415	10.518755	-543.14734	-606.30206	573.6172	1.7528316	506.8953866958618
54	-348.41162	23.244968	-280.6295	-373.3167	-336.07474	39.69923	-258.20355	-380.4453	100.0	100.0	80999	-576.18445	11.018457	-544.4014	-608.7186	575.8618	1.6961074	516.9151086807251
55	-338.8031	25.867958	-282.8174	-371.61557	-310.22333	50.757885	-210.03558	-378.5293	100.0	100.0	82499	-578.28436	11.475799	-545.855	-612.9157	577.9676	1.7169404	527.2036707401276
56	-347.27454	24.367113	-300.58096	-380.0118	-339.52417	23.658207	-292.45233	-374.82092	100.0	100.0	83999	-580.4596	11.986278	-546.5075	-614.34686	580.15607	1.7097546	537.2873084545135
57	-347.56677	26.05706	-288.46393	-384.5551	-332.28778	23.79504	-287.85187	-363.39597	100.0	100.0	85499	-582.56573	12.424602	-547.5924	-617.4584	582.26385	1.7497594	547.4920501708984
58	-339.05914	25.839195	-293.09146	-378.9215	-329.86484	33.605038	-267.28955	-366.3268	100.0	100.0	86999	-584.62085	12.824365	-547.9429	-621.2205	584.304	1.791126	557.6002945899963
59	-335.82367	31.645336	-278.62607	-383.15234	-323.21368	42.372246	-259.77173	-384.98663	100.0	100.0	88499	-586.3921	13.176349	-548.57275	-626.1943	586.08124	1.74926	567.8772962093353
60	-321.4321	44.85482	-199.9111	-372.86658	-334.753	22.908758	-274.69382	-352.9141	100.0	100.0	89999	-588.16864	13.734832	-549.8347	-629.89294	587.857	1.7431796	578.0340559482574
61	-321.86172	32.119473	-275.3454	-381.79227	-345.58835	24.46192	-295.92194	-370.63577	100.0	100.0	91499	-589.7253	14.22724	-550.0974	-628.78625	589.4004	1.6934958	588.2216498851776
62	-333.86417	32.741295	-251.99326	-372.23788	-352.97473	17.358198	-324.4808	-374.4844	100.0	100.0	92999	-591.1084	14.685496	-550.6323	-631.44275	590.78375	1.7210778	598.4560611248016
63	-346.2417	20.115025	-313.0483	-380.7751	-337.68912	39.85093	-266.5857	-379.68625	100.0	100.0	94499	-592.4587	15.196117	-550.6175	-635.3148	592.1394	1.7925895	608.5265018939972
64	-333.10303	38.676804	-246.04695	-377.58533	-350.90244	21.791899	-304.87805	-379.46692	100.0	100.0	95999	-593.8133	15.576749	-550.9476	-637.3557	593.4909	1.7332422	618.9166231155396
65	-325.08917	26.64885	-266.07968	-367.55182	-303.19196	69.136566	-190.40804	-371.73874	100.0	100.0	97499	-595.0131	15.986178	-551.1824	-638.5023	594.6856	1.8598908	629.0287189483643
66	-332.81192	32.59808	-255.70758	-377.314	-343.4147	22.673044	-291.41788	-374.07266	100.0	100.0	98999	-596.12445	16.400263	-550.59406	-641.3496	595.7926	1.8054951	639.2733976840973
67	-338.24866	31.275526	-244.34073	-372.85754	-317.73007	62.01846	-177.11769	-376.35886	100.0	100.0	100499	-597.0559	16.748335	-550.272	-644.6005	596.7221	1.827959	649.3937697410583
68	-346.90353	29.746254	-265.9544	-378.1927	-333.34805	31.103735	-268.49133	-375.20627	100.0	100.0	101999	-598.0911	17.088268	-549.9689	-644.6501	597.76294	1.825782	659.5552868843079
69	-328.1959	38.09095	-231.53963	-376.24133	-322.32492	39.637215	-253.3742	-381.73657	100.0	100.0	103499	-599.0115	17.496773	-550.32043	-647.98553	598.69446	1.808419	669.7255229949951
70	-317.47168	31.05509	-273.76794	-363.09555	-327.53958	37.970062	-270.87518	-375.7935	100.0	100.0	104999	-599.9743	17.950172	-550.42365	-647.80963	599.64966	1.831303	679.7473177909851
71	-336.0194	28.130566	-278.33328	-370.80264	-320.5191	37.1878	-245.07376	-367.58438	100.0	100.0	106499	-600.77875	18.318636	-549.6053	-650.7228	600.4473	1.7698324	689.9225924015045
72	-321.1573	44.991985	-197.70811	-378.10904	-336.64868	37.12861	-271.92184	-373.1346	100.0	100.0	107999	-601.5171	18.667229	-548.94965	-652.96313	601.1873	1.8044789	699.9659714698792
73	-327.5917	41.732944	-244.72746	-378.13065	-345.7884	22.771656	-312.11197	-374.55264	100.0	100.0	109499	-602.17615	19.122025	-548.1339	-651.4478	601.833	1.8073596	710.141704082489
74	-334.75836	34.58671	-253.33693	-385.62317	-320.6695	39.629734	-257.28967	-379.26086	100.0	100.0	110999	-602.64813	19.52477	-548.36273	-654.73236	602.3152	1.8508652	720.1043767929077
75	-306.1834	39.128838	-248.3369	-380.65335	-337.98303	34.13599	-250.99698	-374.9469	100.0	100.0	112499	-603.1337	19.91439	-547.0843	-654.8756	602.7965	1.8472997	730.2866566181183
76	-332.19543	40.377304	-240.00322	-385.2327	-342.6188	27.491585	-303.90494	-386.38254	100.0	100.0	113999	-603.5002	20.2732	-546.327	-656.80035	603.152	1.8160058	740.2986445426941
77	-321.6081	38.135536	-250.4666	-375.53702	-312.6358	55.91457	-179.91685	-368.435	100.0	100.0	115499	-603.86847	20.564348	-545.39746	-659.282	603.5137	1.8903148	750.3599407672882
78	-325.6471	33.923985	-261.41263	-377.13687	-324.44092	38.471577	-276.7066	-374.48404	100.0	100.0	116999	-604.23956	20.886154	-544.996	-658.95496	603.8981	1.8926865	760.5529870986938
79	-323.19592	38.071606	-230.99527	-383.72302	-338.45602	45.94381	-229.32301	-385.71597	100.0	100.0	118499	-604.5167	21.2283	-543.9845	-660.21716	604.1677	1.8438506	770.5919983386993
80	-315.99377	56.605206	-192.47351	-375.65054	-319.10986	48.059772	-226.11047	-371.728	100.0	100.0	119999	-604.7387	21.672981	-542.6259	-662.3222	604.39435	1.9088441	780.8586077690125
81	-313.34348	33.95518	-241.92082	-368.46408	-337.20764	32.741848	-286.70255	-380.98514	100.0	100.0	121499	-604.9916	22.042841	-541.7557	-663.1025	604.6408	1.9550573	790.9376103878021
82	-307.93005	48.531586	-236.87251	-384.7459	-313.73987	34.86776	-252.07317	-365.64987	100.0	100.0	122999	-605.03613	22.41498	-541.88806	-663.1561	604.6844	1.8925099	801.1416132450104
83	-326.1844	39.48519	-252.8831	-376.29318	-330.54742	30.226154	-284.88174	-372.01877	100.0	100.0	124499	-605.1142	22.891336	-540.26624	-663.8596	604.7612	1.8705021	811.1212210655212
84	-314.04913	38.92698	-252.06578	-376.9421	-308.21503	39.765522	-235.31229	-362.21536	100.0	100.0	125999	-605.124	23.243286	-538.5106	-663.681	604.77856	1.8583908	821.2528035640717
85	-315.58478	36.220055	-240.26286	-356.44727	-296.3028	50.546616	-208.43008	-366.5036	100.0	100.0	127499	-605.2537	23.592201	-536.9946	-664.8282	604.907	1.9173695	831.3858163356781
86	-312.08914	33.241093	-252.74684	-369.92648	-311.1574	40.380596	-253.49014	-363.082	100.0	100.0	128999	-605.12024	23.940166	-536.20605	-666.2323	604.7632	1.8913636	841.4448482990265
87	-319.10535	27.709482	-258.75946	-365.67535	-347.52698	26.600077	-286.67148	-376.0182	100.0	100.0	130499	-605.16644	24.14441	-536.2162	-667.8702	604.81085	1.8905667	851.6514418125153
88	-309.83282	43.64665	-188.44884	-369.448	-323.7054	55.683544	-190.32983	-375.60696	100.0	100.0	131999	-605.1361	24.334663	-534.80096	-669.3902	604.7881	1.8606664	861.7141609191895
89	-319.1693	37.457382	-246.70544	-369.77316	-332.12347	34.50011	-265.71664	-362.89014	100.0	100.0	133499	-605.0206	24.817297	-532.9454	-669.5301	604.67535	1.8387135	871.8766624927521
90	-310.51514	30.162638	-257.43286	-358.36713	-313.16196	28.490597	-265.55475	-346.52615	100.0	100.0	134999	-605.0342	25.061384	-531.11237	-669.2372	604.68427	1.8884482	881.9620637893677
91	-311.23544	49.7119	-229.0421	-382.76828	-348.45633	26.965849	-301.46207	-373.28473	100.0	100.0	136499	-604.98035	25.438608	-529.49445	-670.6418	604.63416	1.8760662	892.0732183456421
92	-339.1855	19.676327	-300.35498	-368.26956	-318.27753	30.728153	-275.16455	-367.7983	100.0	100.0	137999	-604.8666	25.748714	-528.6333	-673.8275	604.51855	1.8838692	902.172265291214
93	-328.06522	40.90688	-247.14246	-377.59067	-318.48917	32.983543	-261.65692	-372.9579	100.0	100.0	139499	-604.95667	26.09527	-526.76825	-674.1134	604.6011	1.9373825	912.2699453830719
94	-328.02112	37.70884	-242.4399	-370.8554	-333.69638	23.066898	-283.42252	-361.44705	100.0	100.0	140999	-604.6936	26.377651	-525.46185	-674.0656	604.3191	1.8965641	922.4900345802307
95	-306.79504	48.814747	-222.8066	-372.4627	-314.9449	32.736084	-254.00058	-374.04947	100.0	100.0	142499	-604.57526	26.703775	-524.6772	-675.8936	604.2163	1.8830999	932.5038411617279
96	-319.05582	51.516758	-216.6955	-372.34546	-358.0869	16.997309	-320.3322	-376.58737	100.0	100.0	143999	-604.40564	27.053358	-523.3414	-677.4795	604.06116	1.9186064	942.7984392642975
97	-325.2391	24.7369	-286.65314	-365.34686	-331.76157	26.820791	-270.09122	-363.344	100.0	100.0	145499	-604.2993	27.453274	-522.498	-678.00525	603.95593	1.9016299	952.800639629364
98	-305.5293	42.719673	-191.88899	-364.83435	-298.6972	32.315975	-259.96744	-354.96677	100.0	100.0	146999	-604.1904	27.758015	-521.56903	-680.3891	603.8497	1.883888	962.9404220581055
99	-303.9134	41.694786	-235.69716	-357.36478	-310.89746	32.323654	-254.86682	-351.46664	100.0	100.0	148499	-603.875	28.086311	-520.15094	-682.1514	603.5238	1.8806474	973.0114531517029
100	-323.8973	34.610672	-237.87779	-365.98993	-310.9638	43.79778	-231.33229	-367.94022	100.0	100.0	149999	-603.46893	28.431356	-518.6018	-683.35236	603.1197	1.8928698	983.0381562709808
101	-296.06998	39.70842	-218.48335	-365.07358	-304.35638	32.95568	-272.50156	-355.6419	100.0	100.0	151499	-603.46216	28.81125	-518.10474	-683.3043	603.12244	1.8867334	993.1100890636444
102	-311.7967	38.955044	-240.69449	-377.61804	-324.49307	22.692719	-280.22055	-351.60382	100.0	100.0	152999	-603.31714	29.365606	-516.0677	-685.913	602.96893	1.8797804	1003.2025997638702
103	-303.1874	39.563175	-220.19208	-370.03418	-341.518	30.327225	-265.04175	-372.69565	100.0	100.0	154499	-602.89557	29.779543	-514.8911	-683.8556	602.54956	1.8952123	1013.4107556343079
104	-311.05997	29.319927	-254.10573	-358.0288	-320.8874	26.268602	-287.55295	-366.33826	100.0	100.0	155999	-602.5392	30.192644	-513.00885	-686.55835	602.19	1.8613801	1023.4726052284241
105	-300.76602	43.29887	-219.13626	-359.0625	-318.21967	38.742928	-246.16196	-376.64386	100.0	100.0	157499	-602.3245	30.485228	-512.60394	-686.19104	601.9645	1.8758141	1033.7445034980774
106	-331.05222	19.18904	-299.45074	-363.88727	-329.1176	30.035242	-263.57587	-357.06262	100.0	100.0	158999	-601.9109	30.834518	-510.97775	-686.3205	601.5572	1.9185627	1043.7717542648315
107	-325.96042	31.04445	-258.68015	-368.16623	-340.14532	25.472925	-299.7876	-374.09164	100.0	100.0	160499	-601.7119	30.960897	-509.89346	-686.3181	601.3643	1.8868986	1053.900312423706
108	-332.46872	33.363388	-245.02412	-375.20078	-322.40155	40.513577	-238.91374	-364.16928	100.0	100.0	161999	-601.3438	31.335245	-508.13898	-688.34686	600.9881	1.897351	1064.0937025547028
109	-323.7175	34.660744	-256.21982	-373.20728	-342.8601	15.494365	-322.17596	-367.57346	100.0	100.0	163499	-600.9959	31.700068	-508.36517	-688.32996	600.6528	1.9347124	1074.1739411354065
110	-322.64655	46.399345	-205.66359	-374.4694	-315.40527	46.01054	-237.64774	-379.71326	100.0	100.0	164999	-600.74396	32.055286	-508.2336	-688.1503	600.402	1.952977	1084.3393294811249
111	-309.93945	43.561157	-228.34045	-370.03418	-333.16287	28.582876	-289.98477	-376.7783	100.0	100.0	166499	-600.3688	32.34325	-506.2112	-689.03705	600.0257	1.8765126	1094.3265159130096
112	-324.57373	41.48029	-238.31912	-380.57172	-309.9859	29.980806	-271.54764	-371.77255	100.0	100.0	167999	-599.98895	32.584244	-505.40356	-690.6725	599.64056	1.9900091	1104.581372499466
113	-324.14987	31.462795	-276.24625	-380.52255	-308.36148	36.725266	-220.44237	-343.0064	100.0	100.0	169499	-599.89526	32.826355	-504.64124	-688.29266	599.5435	1.9648428	1114.6056621074677
114	-319.01797	36.1581	-239.41875	-368.31635	-326.16092	29.48162	-288.3989	-377.7207	100.0	100.0	170999	-599.5767	33.099674	-504.91702	-689.36993	599.23566	1.9323388	1124.7988662719727
115	-311.32114	37.555614	-243.37178	-375.3288	-326.62534	36.411316	-231.7006	-356.8308	100.0	100.0	172499	-599.22797	33.252968	-504.0781	-689.3589	598.88727	1.9055732	1134.925674200058
116	-334.86972	24.084297	-290.75674	-374.32834	-315.68665	37.32275	-228.55847	-353.66904	100.0	100.0	173999	-598.99194	33.590645	-503.13657	-689.04034	598.6513	1.8523113	1144.9622695446014
117	-333.6733	25.037123	-268.056	-369.5553	-330.6096	35.243416	-278.26056	-376.44623	100.0	100.0	175499	-598.91315	33.74842	-502.30585	-688.9633	598.58014	1.9296995	1155.1641886234283
118	-316.7578	40.785038	-222.73877	-370.3859	-323.4601	38.216785	-227.32678	-361.02676	100.0	100.0	176999	-598.646	33.798683	-501.61444	-689.09845	598.3083	1.9092056	1165.2241814136505
119	-335.2675	32.832672	-267.01764	-374.4715	-331.29208	43.18789	-261.7691	-381.25037	100.0	100.0	178499	-598.2877	34.13922	-500.62817	-689.6965	597.9558	1.8281329	1175.4597792625427
120	-332.7377	19.245218	-291.7235	-359.45	-315.34305	45.67374	-197.39868	-371.82666	100.0	100.0	179999	-598.2774	34.191883	-500.2642	-690.58466	597.95874	1.9182897	1185.5550315380096
