Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-66.71935	15.9251585	-42.01716	-107.194664	-64.611786	17.61608	-39.23109	-102.591866	100.0	100.0	1499	-1.3606647	0.6427955	0.02914863	-4.575915	1.2835479	0.062145565	3.8135223388671875
2	-66.27379	13.246234	-37.49248	-98.89741	-69.327545	24.42207	-10.840363	-100.48675	100.0	100.0	2999	-3.6879237	1.761829	-0.32936633	-11.989518	3.5087063	0.09360012	9.960909843444824
3	-64.13928	9.216174	-46.67259	-82.4033	-48.761116	20.764645	-1.7354228	-77.14392	100.0	100.0	4499	-6.133643	2.1507225	-0.91426575	-15.751941	5.785209	0.22180928	14.805957078933716
4	-67.0711	15.108035	-39.297077	-95.01784	-31.265873	24.690353	-5.618604	-93.67016	100.0	100.0	5999	-7.848355	2.5085924	-0.7492994	-18.834335	7.442992	0.2973726	19.696247816085815
5	-61.29639	9.161679	-39.322014	-72.20412	-37.78491	17.615128	-9.166692	-68.25443	100.0	100.0	7499	-9.0463295	2.9184291	-0.55052423	-19.372149	8.583905	0.38300163	24.304858922958374
6	-62.069294	14.384781	-38.614357	-97.03279	-35.37397	11.863559	-13.847651	-57.87137	100.0	100.0	8999	-9.825392	3.1866555	-0.19043137	-21.87438	9.339656	0.39993653	28.823346376419067
7	-54.62891	21.08133	-12.572598	-83.976006	-29.93797	11.352678	-11.97951	-50.33315	100.0	100.0	10499	-10.315087	3.4964619	-0.2120503	-22.665743	9.795905	0.44215125	33.52972149848938
8	-20.15301	10.866276	-3.5674918	-40.438538	-24.966398	11.703248	-7.9031353	-42.909317	100.0	100.0	11999	-10.298067	3.8954036	-0.19017027	-24.445099	9.7823305	0.4216892	38.26809644699097
9	-19.090843	15.0347185	-2.7409134	-54.334858	-15.279454	9.989274	-5.0046806	-35.14697	100.0	100.0	13499	-10.063919	4.22653	-0.1710069	-25.136684	9.58138	0.3944191	43.03704071044922
10	-27.520247	17.293966	-5.7445374	-65.15147	-19.00645	9.195829	-5.613418	-37.612835	100.0	100.0	14999	-9.792362	4.5545096	-0.08333659	-25.203176	9.341846	0.38228145	47.813493490219116
11	-18.698751	11.422756	-5.893537	-46.144363	-10.956375	5.694216	-1.4750452	-20.009089	100.0	100.0	16499	-9.566914	4.893369	0.055840176	-25.452347	9.11743	0.3851561	52.586400747299194
12	-13.868791	8.7875395	-2.339169	-39.89743	-12.501442	10.886966	-2.1461082	-40.702896	100.0	100.0	17999	-8.991761	5.217346	0.20863186	-26.053759	8.55416	0.38189545	57.31892681121826
13	-13.966928	8.60831	-1.3185322	-33.28368	-12.280851	7.431647	-0.5785777	-26.790768	100.0	100.0	19499	-8.391381	5.4523635	0.3631667	-27.174084	7.95729	0.3672253	62.0334415435791
14	-15.803158	11.633502	-3.4090939	-50.842495	-12.082188	7.4506817	-1.7020782	-27.08535	100.0	100.0	20999	-7.6525283	5.8021827	0.54703945	-28.633787	7.226948	0.35857528	66.80645060539246
15	-20.318806	13.781046	-6.6839995	-48.79408	-14.774182	10.952247	-3.6183367	-37.38486	100.0	100.0	22499	-6.9270406	6.0408707	0.6840845	-30.821747	6.5170584	0.36067864	71.54145383834839
16	-12.817555	7.8576913	-1.3621712	-24.96016	-17.121784	13.522969	-7.4285984	-49.449352	100.0	100.0	23999	-6.3186526	6.1070447	0.81059635	-31.493704	5.94169	0.3527334	76.26771020889282
17	-16.87373	13.737661	-2.358587	-56.699013	-12.649506	8.879075	-0.53659666	-31.479578	100.0	100.0	25499	-5.9336104	6.044927	0.7839572	-32.57104	5.574843	0.33743998	81.0107352733612
18	-11.851153	7.35323	-3.290839	-30.020985	-14.409556	10.138575	-4.2628484	-40.443844	100.0	100.0	26999	-5.356156	5.8364706	0.9045248	-33.07515	5.0153813	0.30141252	85.7796106338501
19	-16.521473	11.062171	-3.2176566	-45.703632	-11.738128	7.991932	-2.1166816	-29.979479	100.0	100.0	28499	-4.8703985	5.611776	0.8050226	-32.634777	4.544159	0.2889911	90.53231549263
20	-12.768827	10.076744	-1.4886932	-36.93792	-16.744184	9.220199	-2.809116	-33.45675	100.0	100.0	29999	-4.467399	5.31972	0.79009867	-31.02367	4.155908	0.2823444	95.37342882156372
21	-16.112938	11.210076	-4.8587046	-47.57763	-8.826885	3.6678915	-2.8995483	-15.894538	100.0	100.0	31499	-4.105826	5.0060253	0.73770446	-28.967873	3.80691	0.26731357	100.1685094833374
22	-12.285204	6.460337	-3.5601444	-28.48304	-12.645314	6.1675506	-4.2380776	-23.027876	100.0	100.0	32999	-3.7520392	4.700362	0.65968585	-26.914906	3.4679213	0.262885	104.8934268951416
