Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-1507.237	108.708916	-1304.0403	-1719.205	-1316.825	280.1695	-982.52075	-1909.787	100.0	100.0	1499	-23.140615	9.254424	0.046180226	-52.067356	22.442074	30.058598	6.577692985534668
2	-1478.1248	151.47769	-1136.1465	-1722.2462	-1372.5408	276.36023	-712.48145	-1823.02	100.0	100.0	2999	-81.40926	29.02401	-19.888086	-177.23329	80.11537	21.298792	19.00092601776123
3	-1430.8502	202.46547	-977.9911	-1692.2878	-1308.1313	369.9217	-463.16257	-1705.9836	100.0	100.0	4499	-167.235	30.118412	-77.06657	-277.7195	164.32648	34.396793	31.59575605392456
4	-1421.4333	194.1183	-920.5166	-1722.5275	-1293.8398	279.68817	-880.0394	-1726.7946	100.0	100.0	5999	-242.8034	32.758213	-135.19666	-371.99628	239.24327	46.398754	44.23077726364136
5	-1477.3274	223.08542	-870.9483	-1715.699	-1050.074	404.8937	-421.81946	-1591.5181	100.0	100.0	7499	-314.28806	37.412376	-195.44424	-448.05722	310.385	61.30068	57.005860328674316
6	-1400.8398	222.77757	-942.81604	-1706.9222	-1122.8169	411.06	-643.1312	-2029.6471	100.0	100.0	8999	-379.39786	40.519855	-248.51357	-525.9856	375.04404	76.82072	69.50148415565491
7	-1335.5497	321.1473	-400.85886	-1689.837	-835.0951	279.97226	-221.87923	-1320.9916	100.0	100.0	10499	-438.2928	42.946964	-285.74185	-604.41327	433.6558	83.51063	81.85392808914185
8	-861.35736	362.385	-96.596016	-1593.1401	-706.35236	306.12128	-309.5752	-1183.8771	100.0	100.0	11999	-489.03333	46.523033	-338.9189	-666.0608	484.57843	80.8664	94.59885716438293
9	-681.1327	325.9948	-117.13451	-1439.2634	-510.392	251.49078	-140.27101	-858.52356	100.0	100.0	13499	-532.38654	50.766724	-379.9232	-731.3229	527.80695	82.96892	107.2970929145813
10	-611.75165	244.8839	-218.47603	-1043.9032	-911.6209	562.7713	-153.20868	-1678.1724	100.0	100.0	14999	-566.66144	59.212303	-395.84348	-787.4941	561.8764	91.26702	119.93214511871338
11	-740.3637	314.6913	-352.17767	-1622.5035	-623.07117	336.49243	-267.81973	-1190.7441	100.0	100.0	16499	-595.26746	66.287025	-397.00647	-822.8008	590.32983	104.413216	132.4515962600708
12	-815.4756	364.59088	-289.86893	-1602.1118	-801.3058	333.39352	-268.8263	-1192.2734	100.0	100.0	17999	-618.20544	73.16826	-397.39288	-855.92413	613.09015	118.10661	145.20819997787476
13	-683.29895	389.57315	-125.13198	-1634.0115	-814.37054	359.1593	-255.69917	-1512.9575	100.0	100.0	19499	-636.1205	79.68119	-399.82474	-876.13464	630.9439	129.85027	158.07584810256958
14	-716.947	356.5125	-218.07301	-1341.3445	-742.30396	286.7715	-281.4862	-1265.6543	100.0	100.0	20999	-647.1086	87.46221	-399.42087	-892.43384	641.8865	135.2407	170.80933618545532
15	-724.2297	367.00537	-82.993515	-1312.0703	-638.34595	212.13039	-300.79843	-974.24805	100.0	100.0	22499	-659.4068	93.35905	-393.80002	-911.41974	653.96625	139.68364	183.47413897514343
16	-694.1824	309.9224	-162.45192	-1347.0809	-666.6209	410.95166	-187.23212	-1429.2052	100.0	100.0	23999	-663.80237	100.40758	-386.44067	-938.6795	658.2494	140.24039	196.0147740840912
17	-859.5252	374.9256	-107.52595	-1427.5927	-904.7394	315.66425	-323.95502	-1365.7156	100.0	100.0	25499	-668.3089	106.223625	-385.09094	-957.93463	662.92694	143.46138	208.66256427764893
18	-828.94696	416.21008	-196.06966	-1441.656	-799.7674	334.21686	-141.26993	-1219.874	100.0	100.0	26999	-674.3013	113.14312	-381.1022	-977.57306	669.02466	142.682	221.3839430809021
19	-786.741	320.2142	-257.57568	-1221.2157	-611.2646	338.8804	-169.36955	-1225.1299	100.0	100.0	28499	-678.6595	121.14404	-375.54233	-994.4737	673.41943	147.52908	233.94358205795288
20	-625.46094	309.23187	-100.11074	-1336.2318	-695.5177	344.06262	-185.47697	-1269.7407	100.0	100.0	29999	-681.2075	127.44773	-371.56793	-1015.3175	676.05035	152.5764	246.52895212173462
21	-784.4005	363.241	-111.58223	-1462.8959	-442.83438	281.67673	-208.6181	-1156.4807	100.0	100.0	31499	-684.7263	134.20439	-358.43417	-1035.9767	679.47906	154.2605	259.08923602104187
22	-554.0927	319.8162	-110.37765	-1203.8059	-547.7926	302.0129	-123.44898	-1007.4717	100.0	100.0	32999	-684.4169	142.3165	-343.43198	-1075.7045	679.1105	149.51022	271.6374542713165
