,ddpg_p005,ddpg_p01,ddpg_p05,ddpg_e10_2000epochs,ddpg_e20_2000epochs,ddpg_e40_2000epochs,ddpg_p01e40_2000epochs,ddpg_p01e80_2000epochs
$	heta$ MAE (rad),0.3697,0.1939,0.2308,0.2056,0.1946,0.1575,0.1551,0.1546
$\phi$ MAE (rad),1.5714,0.1536,0.1585,0.1241,0.1207,1.5671,0.1315,0.1136
$	heta$ MSSE (rad),0.1764,0.1129,0.1522,0.126,0.0912,0.0623,0.0629,0.0604
$\phi$ MSSE (rad),1.3913,0.0848,0.1056,0.0621,0.0484,,0.0599,0.0375
$	heta$ in bounds (%),0.61,77.89,75.5,88.26,86.0,16.6,95.09,91.2
$\phi$ in bounds (%),0.01,81.8,76.73,85.34,89.23,0.0,90.57,94.26
$	heta$ unsteady (%),99.23,12.34,6.97,0.71,9.85,82.9,2.29,4.65
$\phi$ unsteady (%),99.87,13.44,17.35,11.83,10.04,100.0,7.36,5.11
$	heta$ rise time (s),0.3155,0.5519,0.5686,0.5593,0.544,0.4959,0.502,0.5038
$\phi$ rise time (s),0.1005,0.3596,0.3846,0.3274,0.3339,,0.3369,0.361
$	heta$ settling time (s),3.4933,0.8043,0.8398,0.8596,0.8339,0.8135,0.7713,0.787
$\phi$ settling time (s),9.8995,0.6419,0.5996,0.5856,0.5942,,0.6106,0.6153
u1 (V),9.9836,1.7101,2.4887,2.3485,2.5463,5.4415,1.6692,1.6098
u2 (V),9.9582,1.5617,1.4116,4.3501,4.5325,9.9319,3.554,3.1262
u1 variation (V),11.0202,1.8423,3.5627,3.4737,3.383,8.5073,1.9163,1.7645
u2 variation (V),9.4455,1.9578,1.7125,7.6397,8.0545,11.9772,6.0987,5.3646
Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
