Unnamed: 0,ddpg_q,ddpg_q_b,ddpg_q_e,ddpg_q_ep,ddpg_q_p,ddpg_a,ddpg_n,ddpg_n_b,ddpg_s
$	heta$ MAE (rad),0.4171,0.3189,0.3029,0.35200000000000004,0.2506,0.3364,0.5583,0.389,1.5678
$\phi$ MAE (rad),0.3757,0.1633,0.2369,0.3833,0.2588,0.2993,0.3614,0.1978,1.5703
$	heta$ MSSE (rad),0.3707,0.2354,0.2318,0.294,0.1822,0.2719,0.4913,0.2945,
$\phi$ MSSE (rad),0.3391,0.0926,0.1928,0.3475,0.2089,0.2449,0.3041,0.1369,
$	heta$ in bounds (%),37.45,62.04,60.25,48.71,73.65,48.97,29.63,49.03,0.0
$\phi$ in bounds (%),36.36,80.75,65.26,35.73,62.93,48.66,45.71,69.18,0.0
$	heta$ unsteady (%),8.5,8.33,5.77,5.2,0.54,9.04,7.01,12.87,100.0
$\phi$ unsteady (%),14.18,15.02,8.56,14.53,4.19,21.78,14.34,17.63,100.0
$	heta$ rise time (s),0.6178,0.556,0.5878,0.6445,0.7004,0.6267,0.8666,0.7909,
$\phi$ rise time (s),0.3794,0.3972,0.4117,0.4599,0.4308,0.414,0.6435,0.4631,
$	heta$ settling time (s),1.3051,0.8519,1.0061,1.0377,0.9189,0.9834,1.4405,1.1591,
$\phi$ settling time (s),1.2011,0.654,0.7328,1.0041,0.8393,0.7746,1.1678,0.7618,
u1 (V),8.2034,3.2449,2.2302,5.3121,1.6969999999999998,4.569,5.5496,3.1454,9.9996
u2 (V),7.6019,1.5655,2.6689999999999996,4.9032,2.6017,3.4851,4.0772,1.3576,10.0
u1 variation (V),14.8238,4.9329,2.9973,9.3947,2.3505,7.6786,9.8267,4.6512,0.4397
u2 variation (V),14.0461,1.9969999999999999,4.51,8.7649,4.4787,5.7965,7.2957,1.5551,0.0002
Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
