Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-191.2431	2.8620887	-186.20444	-196.44812	-192.51515	5.5084147	-179.20609	-197.81151	100.0	100.0	1499	-3.5603044	1.0988333	0.01442606	-6.2241454	3.4777606	0.10488763	6.214863300323486
2	-190.17148	3.549524	-184.13574	-195.94273	-188.97015	7.586286	-174.4527	-196.36539	100.0	100.0	2999	-11.426322	3.5620658	-4.573049	-20.48387	11.309449	0.048107143	17.03398585319519
3	-188.17448	4.551224	-177.54599	-194.57799	-189.3296	5.48386	-179.14467	-198.8208	100.0	100.0	4499	-23.28318	3.4493556	-15.420494	-31.971107	23.132708	0.08598104	27.88309383392334
4	-189.653	3.929428	-184.91458	-196.32686	-182.52057	17.254837	-138.7462	-195.99619	100.0	100.0	5999	-34.873238	3.4555593	-26.779633	-44.450478	34.721443	0.12627728	38.77516770362854
5	-188.15262	6.323568	-170.11209	-194.9868	-187.00801	5.9920444	-176.71017	-196.68668	100.0	100.0	7499	-46.209755	3.4044864	-37.84502	-58.34682	46.058968	0.17050415	49.549201011657715
6	-191.34966	4.6697154	-180.74237	-199.99336	-187.01492	8.282519	-165.32346	-195.0178	100.0	100.0	8999	-57.141655	3.3334725	-49.05655	-67.37324	56.99522	0.17421137	60.526118755340576
7	-190.76201	2.873221	-185.26102	-195.94731	-191.05104	3.0623329	-184.55019	-195.25276	100.0	100.0	10499	-67.810455	3.262819	-59.3686	-77.332924	67.671555	0.19878098	71.6911768913269
8	-187.28947	4.891002	-179.49416	-194.99954	-185.74759	6.006207	-170.76329	-191.35178	100.0	100.0	11999	-78.13874	3.1625693	-69.98404	-87.296715	78.01833	0.20706601	83.25350141525269
9	-187.2635	9.86358	-163.02782	-198.4222	-187.17363	7.598544	-172.53116	-195.23965	100.0	100.0	13499	-88.10207	3.0581033	-80.21387	-97.52633	87.981606	0.23751009	94.825679063797
10	-183.09766	12.712532	-148.78648	-194.56102	-187.24191	5.5136676	-174.06642	-194.31982	100.0	100.0	14999	-97.73677	2.9815166	-89.926476	-107.984406	97.61771	0.25812012	106.55505847930908
11	-185.14284	9.700821	-159.57433	-194.84508	-182.63943	16.63159	-137.32207	-194.55952	100.0	100.0	16499	-106.9332	2.8856244	-98.68031	-115.78976	106.80924	0.2778168	118.2484667301178
12	-191.79646	5.688946	-176.17361	-198.67351	-189.01599	4.54988	-176.98242	-193.66841	100.0	100.0	17999	-115.75838	2.8564205	-107.19518	-124.78498	115.634865	0.29338783	129.95929193496704
