Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-193.35272	2.5769064	-187.6863	-196.42567	-196.30447	2.5899937	-190.35492	-199.44463	100.0	100.0	1499	-3.6038935	1.1284373	0.009294286	-6.3888836	3.5286286	0.097423665	5.111907720565796
2	-195.04753	2.0605927	-191.04892	-197.68388	-196.6387	1.9481322	-192.72414	-199.60582	100.0	100.0	2999	-11.64909	3.637838	-4.666418	-20.181284	11.550511	0.032707818	14.20332407951355
3	-194.72342	2.679116	-189.73302	-198.97276	-194.60995	3.0050163	-189.81311	-199.9438	100.0	100.0	4499	-24.11342	3.607828	-15.94381	-32.7732	23.994776	0.061577134	23.33140468597412
4	-196.41927	0.9855219	-195.14607	-198.92856	-196.16959	1.7230647	-193.18123	-198.60722	100.0	100.0	5999	-36.25728	3.5387042	-28.32456	-44.89578	36.131313	0.08280024	32.42895746231079
5	-194.80696	2.2512095	-188.7556	-197.72757	-196.06274	1.5286443	-194.37762	-199.34747	100.0	100.0	7499	-48.074642	3.435046	-39.92659	-57.319588	47.935486	0.104587816	41.589168548583984
6	-194.8467	2.077897	-191.24991	-197.37265	-195.1596	3.6644566	-186.06435	-199.63461	100.0	100.0	8999	-59.4583	3.3440852	-51.523396	-68.25364	59.327114	0.121839054	50.68854999542236
7	-196.32454	1.1521245	-194.54031	-198.09354	-193.81917	6.4947305	-176.85063	-198.3378	100.0	100.0	10499	-70.53175	3.273148	-62.691895	-79.2743	70.41463	0.1353963	60.02886414527893
8	-194.46967	3.745489	-184.39705	-199.20633	-195.64792	2.983553	-190.80333	-198.92133	100.0	100.0	11999	-81.368256	3.2180552	-73.47417	-90.35083	81.27231	0.13751887	69.60122179985046
9	-194.98065	3.3510425	-186.76118	-199.99901	-195.13657	4.080369	-185.9777	-199.98949	100.0	100.0	13499	-91.9741	3.142251	-84.39758	-100.29187	91.89867	0.14614873	79.16451740264893
10	-195.53473	2.3892927	-190.98354	-200.0	-196.85487	3.2657382	-189.19167	-199.98747	100.0	100.0	14999	-102.28844	3.0538604	-94.769936	-110.408875	102.21744	0.15452702	88.70101952552795
11	-194.10915	2.711459	-187.48326	-198.0644	-195.16685	2.7375216	-191.55188	-199.90253	100.0	100.0	16499	-112.27431	2.9746342	-104.82438	-120.30591	112.2119	0.16427597	98.27282357215881
12	-192.19046	6.2521234	-171.8617	-198.6068	-195.28421	2.6908164	-190.98738	-199.99997	100.0	100.0	17999	-121.97601	2.893691	-114.72554	-130.4604	121.91702	0.17375606	107.87472939491272
13	-194.92531	2.8007557	-188.73303	-198.50694	-194.76213	2.6061237	-188.20612	-199.21785	100.0	100.0	19499	-131.32668	2.8193693	-123.83905	-139.95276	131.26826	0.18282568	117.40069818496704
14	-194.45082	2.4174526	-189.1379	-197.97794	-195.38803	2.2233775	-191.2674	-199.01631	100.0	100.0	20999	-140.31929	2.7271597	-133.23051	-149.81519	140.25601	0.1928782	127.0227484703064
15	-192.90253	5.0799837	-176.54022	-197.58942	-195.49889	2.4653354	-191.1729	-197.99281	100.0	100.0	22499	-148.96317	2.6483788	-141.86739	-162.5628	148.9038	0.19972345	136.76411628723145
16	-194.25333	5.214285	-177.5998	-199.6721	-195.7494	3.3728983	-186.85323	-198.83913	100.0	100.0	23999	-157.30426	2.5851228	-150.39061	-169.79036	157.24092	0.20204684	146.4094479084015
17	-189.68562	10.640486	-151.65279	-196.8012	-193.1915	4.918209	-182.36241	-197.66705	100.0	100.0	25499	-165.31108	2.5002375	-158.73495	-178.43938	165.25296	0.18992123	155.97943449020386
18	-191.83597	4.273282	-183.9033	-197.70784	-194.3688	2.5758564	-188.26111	-197.37617	100.0	100.0	26999	-173.00868	2.4313931	-166.11177	-184.56924	172.9549	0.20239282	165.59513998031616
19	-192.4079	4.8014426	-180.5612	-199.23799	-193.177	2.7280715	-187.57933	-196.79561	100.0	100.0	28499	-180.45883	2.3555138	-174.15302	-190.83414	180.40683	0.19309814	175.1926634311676
20	-191.119	7.05891	-174.99545	-198.6843	-194.45871	3.5762644	-184.62643	-197.15092	100.0	100.0	29999	-187.64288	2.310379	-180.43724	-197.89212	187.58913	0.21077421	184.8497531414032
21	-193.85121	3.3426151	-186.83661	-198.66093	-194.1573	4.050585	-184.68108	-198.45348	100.0	100.0	31499	-194.56844	2.2607794	-187.02386	-204.12154	194.5163	0.21370792	194.49037623405457
22	-193.92725	2.791922	-187.3762	-198.56592	-194.91211	2.8810005	-189.20937	-198.37817	100.0	100.0	32999	-201.22441	2.210952	-193.4912	-210.21408	201.17325	0.21027124	204.07397866249084
23	-194.72508	2.552987	-188.52423	-198.20508	-194.43301	2.864292	-186.4737	-197.33057	100.0	100.0	34499	-207.64175	2.1696765	-199.66513	-217.67972	207.59009	0.21802974	213.78814101219177
24	-194.03523	2.988908	-186.01746	-198.29074	-192.84099	3.5436504	-188.14024	-198.0007	100.0	100.0	35999	-213.84377	2.1259313	-206.0168	-224.67076	213.79305	0.22295514	223.3915503025055
25	-191.55338	9.741964	-156.33798	-197.76923	-194.58728	3.446522	-188.09233	-199.31503	100.0	100.0	37499	-219.83417	2.086936	-211.76292	-227.84415	219.78745	0.22941446	232.94416689872742
26	-190.71938	6.0733776	-172.27747	-199.03642	-192.66222	4.892201	-181.39558	-198.70839	100.0	100.0	38999	-225.63234	2.0212212	-217.28253	-233.45506	225.59113	0.2118389	242.5817792415619
27	-194.09773	2.6362605	-188.01962	-197.07024	-192.30637	5.408627	-181.16441	-196.83871	100.0	100.0	40499	-231.2388	2.0049005	-222.40915	-238.52449	231.19872	0.23012419	252.220556974411
28	-194.6894	3.0666475	-185.46033	-198.24352	-190.094	6.365446	-179.80907	-198.50366	100.0	100.0	41999	-236.62059	1.9583881	-228.17372	-243.92697	236.57748	0.22245713	261.9562158584595
29	-192.54709	3.7504592	-181.31577	-198.07295	-192.45535	2.9817283	-186.53578	-197.75366	100.0	100.0	43499	-241.82338	1.9354163	-233.42564	-248.92937	241.78346	0.22574887	271.5828320980072
30	-192.18614	5.218513	-176.40674	-196.96614	-192.4588	7.202201	-172.02428	-198.5901	100.0	100.0	44999	-246.85088	1.9220574	-238.26242	-253.93219	246.81439	0.22322762	281.2605924606323
31	-191.26668	4.614305	-178.28575	-196.7272	-192.12155	7.935795	-171.87553	-198.93724	100.0	100.0	46499	-251.6874	1.9069015	-242.50833	-259.23068	251.64883	0.21986304	290.941415309906
32	-192.55243	4.563658	-182.42596	-198.72824	-190.73618	7.8271985	-170.05345	-196.59558	100.0	100.0	47999	-256.32886	1.884283	-247.38849	-263.19073	256.2895	0.22186637	300.83718967437744
33	-191.73793	5.6017036	-174.30974	-198.41074	-192.03313	2.6687472	-188.13454	-196.46016	100.0	100.0	49499	-260.7962	1.8819721	-251.99321	-268.09573	260.7566	0.25070265	310.8852860927582
34	-191.96298	8.0579195	-165.59871	-198.60905	-189.26012	9.076107	-163.85968	-197.23244	100.0	100.0	50999	-265.09277	1.9006251	-255.15051	-272.24216	265.05106	0.22388497	320.489812374115
35	-189.46812	9.092831	-164.71361	-198.43385	-190.61134	5.7189336	-180.48799	-197.73515	100.0	100.0	52499	-269.23236	1.9269563	-260.83212	-276.4183	269.18866	0.2197288	330.5316183567047
36	-192.04517	5.9090967	-177.46039	-197.62057	-186.843	11.21049	-161.63554	-199.05812	100.0	100.0	53999	-273.2191	1.9802518	-264.80365	-286.93002	273.1762	0.24728633	340.4078185558319
37	-192.16382	6.8808794	-168.34253	-199.31093	-193.26889	3.6048648	-185.50473	-198.16365	100.0	100.0	55499	-277.02673	2.0295882	-268.1624	-287.49973	276.98242	0.24443738	350.0376079082489
38	-190.10577	8.61862	-164.54774	-197.85489	-191.08072	10.616967	-159.94392	-198.38422	100.0	100.0	56999	-280.67667	2.0896182	-265.0405	-293.52155	280.6321	0.2541384	359.9060437679291
39	-188.52872	9.127561	-160.7154	-197.15904	-191.2936	5.2454267	-181.7172	-198.27313	100.0	100.0	58499	-284.20813	2.166982	-274.76746	-293.01318	284.16635	0.24582092	369.88982105255127
40	-187.23334	13.682764	-152.51656	-198.6212	-190.58476	5.9117794	-178.94008	-198.83087	100.0	100.0	59999	-287.60492	2.2346327	-277.6893	-295.2143	287.55954	0.2473331	379.71711802482605
41	-191.06349	10.119795	-161.97017	-199.05475	-189.50249	11.902377	-156.3606	-199.46764	100.0	100.0	61499	-290.84915	2.3210325	-281.48886	-298.58206	290.80038	0.25757796	389.931200504303
42	-190.817	6.909707	-174.32277	-196.65337	-193.94781	4.4191375	-186.96481	-200.0	100.0	100.0	62999	-293.92508	2.427458	-280.68903	-308.33768	293.87543	0.38862625	400.3762583732605
43	-188.43144	10.182087	-169.33812	-197.85226	-190.97307	11.663149	-156.49905	-198.2742	100.0	100.0	64499	-296.85577	2.521766	-281.805	-312.36655	296.80716	0.31875262	411.0732202529907
44	-193.0971	4.558359	-182.64534	-199.79951	-183.959	15.854241	-140.77368	-195.56845	100.0	100.0	65999	-299.637	2.6791296	-275.40872	-335.79718	299.58237	0.5287024	421.9462959766388
45	-189.40875	7.275821	-173.70592	-196.36162	-193.9923	4.3417115	-183.91049	-198.84479	100.0	100.0	67499	-302.29916	2.7576911	-282.29565	-321.64825	302.23874	0.4113303	432.7890155315399
46	-189.59792	7.8312144	-167.57095	-197.59569	-192.73526	6.52232	-176.95891	-199.25479	100.0	100.0	68999	-304.76978	2.9205606	-282.2121	-331.7505	304.70496	0.66469854	444.49194979667664
47	-192.57616	4.335302	-182.6806	-197.05139	-189.0798	18.662075	-133.52574	-198.3587	100.0	100.0	70499	-307.05673	3.0369983	-286.1409	-329.0414	306.98526	0.46166858	455.85977149009705
48	-189.40385	8.523454	-169.32465	-199.0185	-194.14102	3.2325985	-187.20078	-199.09184	100.0	100.0	71999	-309.2305	3.236717	-284.13348	-330.85312	309.15714	0.50397074	467.84285497665405
49	-193.49367	4.596882	-180.5417	-198.56306	-192.5171	4.570032	-183.48296	-196.85768	100.0	100.0	73499	-311.26837	3.5038753	-280.9962	-332.51907	311.19232	0.59891945	479.7814373970032
50	-193.83347	4.2471766	-180.6389	-197.45744	-187.5292	7.3742104	-175.8205	-198.8319	100.0	100.0	74999	-313.19116	3.762868	-289.48975	-333.69122	313.10397	0.51068234	492.508620262146
51	-193.94145	3.4602895	-185.85263	-198.21457	-189.2582	9.573481	-171.78252	-198.59834	100.0	100.0	76499	-314.95853	4.0949106	-287.1195	-334.33044	314.86664	0.52670383	505.87725591659546
52	-193.4968	3.3508973	-183.32785	-196.98918	-194.18521	2.3902137	-191.0534	-198.04948	100.0	100.0	77999	-316.61673	4.503602	-285.86285	-339.37418	316.52728	0.6888848	519.2423827648163
53	-193.45741	4.371839	-179.94014	-197.63896	-192.57695	3.1915874	-185.20648	-197.47308	100.0	100.0	79499	-318.21216	4.830641	-288.82028	-346.71533	318.12067	0.50133765	532.7110397815704
54	-193.7789	3.184777	-187.89445	-199.21179	-192.35146	4.350469	-182.68282	-195.72714	100.0	100.0	80999	-319.60593	5.3133473	-290.69534	-338.5326	319.50455	0.4527994	545.9280314445496
55	-193.78279	3.654906	-183.77791	-197.5242	-193.25731	5.633924	-178.9719	-198.41327	100.0	100.0	82499	-320.8767	5.760725	-291.62366	-339.28745	320.75665	0.5173656	558.9240369796753
56	-192.98622	4.5217347	-182.21527	-196.6011	-191.35045	9.743257	-163.53334	-198.44098	100.0	100.0	83999	-321.9252	6.1728663	-287.1858	-343.41534	321.78955	0.53242874	572.5113062858582
57	-193.53807	5.7749515	-172.48528	-197.8378	-188.9533	8.429237	-174.86281	-197.6046	100.0	100.0	85499	-322.82733	6.5985217	-291.8947	-346.5857	322.6808	0.5849289	586.1040923595428
58	-193.64186	2.6851437	-185.55977	-197.28557	-193.00609	3.5378194	-184.2695	-196.26686	100.0	100.0	86999	-323.46988	6.971696	-290.6088	-348.37076	323.3094	0.59050137	600.2673537731171
59	-194.18193	2.0399978	-190.32681	-197.87416	-195.82796	0.9949141	-194.64462	-197.89891	100.0	100.0	88499	-323.97623	7.142562	-294.38303	-346.17587	323.7923	0.5442775	614.152251958847
60	-194.05492	3.3158786	-182.91228	-197.62007	-194.9625	2.0390189	-190.47871	-197.99353	100.0	100.0	89999	-324.3946	7.240065	-293.8017	-350.96024	324.1901	0.6701248	628.1878209114075
61	-193.00917	4.018398	-182.9332	-196.73766	-195.47939	2.430276	-191.61775	-198.45038	100.0	100.0	91499	-324.68915	7.1605144	-298.85687	-351.2133	324.48257	0.56451875	642.3817574977875
62	-194.0364	3.7862625	-182.054	-198.4148	-190.07498	5.292826	-181.81549	-195.535	100.0	100.0	92999	-324.93298	6.9843736	-300.22217	-354.71268	324.72107	0.64499044	656.5371508598328
63	-193.63954	2.4542432	-186.38177	-196.08542	-192.80258	5.780212	-178.81868	-198.98265	100.0	100.0	94499	-325.1884	6.695205	-302.1495	-349.776	324.98074	0.5717799	670.7556591033936
64	-194.10263	4.6938567	-181.17093	-198.50824	-194.9274	2.6540937	-190.2907	-198.13625	100.0	100.0	95999	-325.6003	6.4143295	-304.86725	-350.16446	325.4132	0.56856894	684.9598844051361
65	-192.19286	5.3753686	-174.68425	-197.43626	-194.21762	0.9797535	-192.60318	-195.99998	100.0	100.0	97499	-326.12778	6.0630794	-305.96884	-350.87695	325.95474	0.637032	699.0687673091888
66	-193.94072	2.5468469	-186.25668	-197.10524	-194.78542	1.8515396	-191.12155	-197.30396	100.0	100.0	98999	-326.79382	5.682946	-308.31912	-353.5227	326.6281	0.5150681	713.2355749607086
67	-194.10081	2.6783335	-186.09784	-197.52359	-193.09464	2.78149	-187.15303	-196.34833	100.0	100.0	100499	-327.60513	5.318521	-308.98563	-354.14716	327.4586	0.6258578	727.3574514389038
68	-194.00241	1.6125681	-191.02083	-196.34381	-194.38371	1.9983603	-190.68286	-198.34471	100.0	100.0	101999	-328.57193	4.8989315	-313.26752	-353.97144	328.44507	0.4210741	741.020806312561
69	-194.81136	1.7952583	-190.21141	-197.25957	-192.17456	4.237226	-181.70882	-196.13177	100.0	100.0	103499	-329.66684	4.486536	-315.48587	-353.78177	329.55585	0.5024096	755.1290814876556
70	-193.91936	4.1102705	-184.6864	-198.76094	-192.31784	3.8246334	-185.82848	-195.98715	100.0	100.0	104999	-330.85895	4.126747	-317.37363	-353.577	330.77267	0.4209017	769.0623271465302
71	-193.88368	3.73848	-181.34845	-198.14815	-193.37122	1.6495192	-190.15376	-195.35472	100.0	100.0	106499	-332.17035	3.8284953	-317.0797	-356.5145	332.09943	0.5190389	782.9421436786652
72	-193.91966	2.4089358	-187.93248	-197.0495	-195.18303	0.5881104	-194.0623	-195.91205	100.0	100.0	107999	-333.56625	3.5717783	-321.20142	-355.87503	333.49884	0.4567824	796.7809872627258
73	-194.25662	3.5447865	-182.49947	-197.5816	-196.18655	1.0976114	-194.52621	-198.11873	100.0	100.0	109499	-335.003	3.3207047	-324.54953	-352.49576	334.947	0.3037904	809.8460948467255
74	-195.0769	2.3945124	-189.61153	-197.88277	-189.82405	11.732741	-159.28624	-198.47786	100.0	100.0	110999	-336.4613	3.1966908	-326.26782	-352.82733	336.41028	0.41411403	821.8662283420563
75	-192.61578	7.832585	-163.93733	-197.10052	-194.37627	1.5899752	-192.22806	-197.13571	100.0	100.0	112499	-337.8847	3.1387265	-326.2783	-352.2853	337.8327	0.40281087	833.9378154277802
76	-194.56673	2.6818314	-188.13058	-198.60136	-195.01625	2.1750407	-192.44508	-199.93137	100.0	100.0	113999	-339.26614	3.0858939	-329.6692	-357.37317	339.21445	0.41524374	845.8290402889252
77	-193.03844	5.1971684	-174.45288	-196.41606	-194.92607	2.5151033	-187.85016	-197.11238	100.0	100.0	115499	-340.56116	3.067524	-326.75497	-360.34534	340.49808	0.438195	857.4796135425568
78	-194.2418	1.8199507	-188.97792	-196.4951	-194.45244	3.714632	-183.89859	-197.57545	100.0	100.0	116999	-341.75153	3.0410295	-331.9714	-355.49658	341.69794	0.35002503	870.8006391525269
79	-193.73454	3.2071433	-186.46048	-197.71378	-191.41997	7.0522447	-178.44498	-197.81998	100.0	100.0	118499	-342.98038	3.0309122	-331.05405	-358.26852	342.93057	0.38573226	882.7357804775238
80	-190.0832	9.50615	-162.47284	-196.90169	-194.17091	7.116293	-173.18678	-197.98514	100.0	100.0	119999	-344.19043	2.9795947	-334.24994	-359.53848	344.1401	0.31669775	894.5409986972809
81	-195.53792	1.4344374	-193.50111	-198.4645	-192.83798	4.172894	-182.78926	-197.67433	100.0	100.0	121499	-345.29932	2.9727144	-335.62338	-356.69458	345.24704	0.4288881	906.8271269798279
82	-193.97298	2.2399526	-189.98312	-197.98145	-191.9584	5.565904	-176.98097	-195.55615	100.0	100.0	122999	-346.41354	2.8967798	-336.2219	-357.91046	346.364	0.29197708	918.5484578609467
83	-192.03998	5.368585	-181.42958	-197.06567	-191.75685	5.1404862	-181.12193	-196.2656	100.0	100.0	124499	-347.4811	2.853966	-337.85733	-357.72272	347.43954	0.33577535	929.0695235729218
84	-193.60072	3.2853732	-184.75221	-196.86632	-192.74432	6.2686944	-175.61313	-198.1756	100.0	100.0	125999	-348.55447	2.835108	-336.70224	-359.8994	348.51553	0.35869926	940.3087377548218
