Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-379.61374	4.3055058	-370.64417	-385.964	-379.57416	7.91379	-361.43765	-387.8786	100.0	100.0	1499	-6.542895	2.1438649	0.02606409	-12.252788	6.4065137	0.44355553	5.674994230270386
2	-379.83463	4.3430653	-369.1534	-388.7005	-379.8069	7.609947	-366.37018	-394.34247	100.0	100.0	2999	-22.23372	7.164395	-9.21693	-39.375675	22.10514	0.066071026	14.968369245529175
3	-376.85217	6.4013023	-360.95468	-387.5742	-375.82074	8.10687	-365.20135	-389.63403	100.0	100.0	4499	-47.118916	7.1963205	-32.494694	-63.06205	46.965355	0.14384091	24.351029872894287
4	-380.15784	4.3727574	-372.4186	-387.29816	-375.45364	11.653813	-343.2841	-387.93378	100.0	100.0	5999	-71.43247	7.011236	-55.477848	-88.120766	71.25641	0.22963847	33.76634407043457
5	-379.4307	5.653646	-364.07605	-386.53073	-376.99387	7.273674	-359.8998	-386.809	100.0	100.0	7499	-95.0881	6.9018188	-79.92531	-113.13474	94.92271	0.29471162	43.12229037284851
6	-377.783	4.3782945	-367.9818	-383.87775	-379.76312	4.5232263	-373.7454	-387.9516	100.0	100.0	8999	-117.95948	6.663732	-101.99034	-136.2948	117.79423	0.32437503	52.53148651123047
7	-380.13287	3.7993042	-375.2019	-387.44623	-375.50684	6.8465157	-359.29553	-384.58206	100.0	100.0	10499	-139.99176	6.466076	-124.13778	-157.4234	139.82164	0.36480454	62.038408041000366
8	-367.8885	10.058439	-340.81027	-381.92215	-370.91595	13.200185	-340.5607	-387.93427	100.0	100.0	11999	-161.2581	6.2115374	-145.57692	-177.89471	161.10126	0.36684301	71.84458184242249
9	-373.33008	7.745566	-359.29852	-385.66495	-368.7865	12.503346	-344.20746	-382.63474	100.0	100.0	13499	-181.69472	6.069328	-166.61963	-198.92644	181.54922	0.39070705	81.6649100780487
10	-368.0521	10.656455	-346.46805	-380.19647	-362.4706	21.5484	-308.49295	-385.94864	100.0	100.0	14999	-201.5133	5.9178452	-186.06668	-218.65833	201.38188	0.41998366	91.43515753746033
11	-372.36887	7.274334	-356.16687	-380.95792	-377.387	4.267986	-372.77734	-386.14688	100.0	100.0	16499	-220.6802	5.768337	-205.09207	-237.51648	220.54591	0.44479617	101.24715447425842
12	-371.95184	7.2442875	-357.46042	-381.7231	-366.87872	21.673496	-302.523	-379.81943	100.0	100.0	17999	-239.122	5.5948906	-224.39143	-255.89214	238.98718	0.46335727	111.01632809638977
13	-372.3846	11.732585	-344.5946	-384.46976	-371.3435	11.768237	-341.43484	-382.39236	100.0	100.0	19499	-256.83914	5.461623	-242.6743	-276.82642	256.71405	0.5306504	121.05258965492249
14	-371.7537	8.703333	-357.02664	-382.25305	-369.92126	13.742986	-341.99792	-388.4925	100.0	100.0	20999	-273.87897	5.3821387	-259.07196	-309.4251	273.7545	0.599601	130.9024362564087
15	-367.14902	9.675013	-348.09506	-377.92792	-366.80347	14.645354	-341.62714	-390.07068	100.0	100.0	22499	-290.3287	5.278754	-275.7523	-319.99356	290.2025	0.5406082	140.72134566307068
16	-359.9425	12.336762	-338.25977	-377.63043	-370.1668	7.4837914	-354.00833	-383.33527	100.0	100.0	23999	-306.09515	5.2223396	-291.07706	-334.73343	305.97015	0.56313777	150.4865527153015
17	-366.19308	12.124141	-331.01498	-377.82175	-369.9047	9.06224	-348.0727	-380.82434	100.0	100.0	25499	-321.2971	5.1021314	-306.1938	-349.3793	321.17297	0.6004533	160.3053138256073
18	-362.18875	14.711877	-328.7157	-377.59644	-371.1246	11.629543	-351.8221	-388.93988	100.0	100.0	26999	-335.7905	5.011306	-320.02203	-367.77368	335.66116	0.59148216	170.15880179405212
19	-369.32715	11.288651	-344.84116	-382.08032	-368.67993	6.179648	-359.3449	-377.52606	100.0	100.0	28499	-349.74026	4.9706397	-334.2689	-372.30377	349.61517	0.6450327	179.9899754524231
20	-363.1479	11.498785	-338.2332	-377.3209	-362.112	26.892302	-286.55347	-382.77676	100.0	100.0	29999	-363.23584	4.908883	-347.7241	-381.6378	363.1088	0.6269104	189.73532056808472
21	-366.5816	8.531785	-344.98773	-383.4532	-369.89716	10.947692	-341.4622	-383.8215	100.0	100.0	31499	-376.19125	4.896231	-360.94266	-394.21118	376.06683	0.6359688	199.50715446472168
22	-365.5521	14.581496	-330.80286	-381.5935	-358.76007	10.75943	-335.61514	-372.92282	100.0	100.0	32999	-388.66675	4.8460684	-374.28043	-407.37314	388.5376	0.6534017	209.1100549697876
23	-364.46634	12.108952	-339.69604	-385.11163	-366.2929	10.369812	-344.1905	-382.81067	100.0	100.0	34499	-400.61337	4.8178363	-384.2399	-416.39783	400.48715	0.67799395	218.83004069328308
24	-367.1569	9.567607	-349.51428	-384.61182	-351.3324	16.689508	-315.00598	-373.8242	100.0	100.0	35999	-412.07266	4.8526177	-397.27805	-429.17358	411.9446	0.69794697	228.6175549030304
25	-365.2121	7.73796	-352.43024	-380.1203	-353.07852	35.31888	-260.91547	-380.53088	100.0	100.0	37499	-423.12424	4.9119673	-408.0987	-440.1162	422.99725	0.7086052	238.40577483177185
26	-361.10422	13.7424555	-327.92328	-381.8968	-364.2569	11.497164	-334.73416	-378.49396	100.0	100.0	38999	-433.718	4.9002814	-417.54364	-452.05682	433.58328	0.70469236	248.05896043777466
27	-362.03574	16.987455	-320.57452	-381.5271	-357.13177	21.33474	-310.03375	-383.26703	100.0	100.0	40499	-443.78055	4.9422517	-427.7501	-462.43414	443.63834	0.726726	257.62168169021606
28	-363.0006	11.8914385	-337.65802	-386.51608	-365.26544	9.59929	-347.72968	-378.26544	100.0	100.0	41999	-453.49472	5.001997	-437.73895	-471.01694	453.34683	0.76376504	267.310649394989
29	-357.98856	17.107626	-319.4164	-381.35843	-373.19305	7.2611203	-359.92105	-385.3477	100.0	100.0	43499	-462.75012	5.0450807	-447.0993	-481.66498	462.60074	0.75346047	277.0619556903839
30	-365.25723	9.390453	-345.1785	-381.24048	-358.45746	29.04527	-277.17557	-381.29794	100.0	100.0	44999	-471.59872	5.066385	-456.2223	-492.10794	471.44583	0.8319201	286.77564549446106
31	-365.7417	9.866439	-335.27832	-380.47775	-348.78415	36.061428	-255.78024	-379.7268	100.0	100.0	46499	-480.17108	5.157132	-464.21054	-499.90833	480.01434	0.81817186	296.60602951049805
