Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-131.24576	12.205071	-100.91412	-154.19836	-139.92995	24.87342	-98.17207	-167.81024	100.0	100.0	1499	-2.5532353	0.8625212	0.0131244585	-5.3371367	2.4849184	0.077464096	6.661223411560059
2	-130.01845	13.500761	-104.66438	-154.69424	-114.04077	25.988497	-68.05648	-154.85936	100.0	100.0	2999	-7.683384	2.5246806	-2.2140994	-15.802845	7.5200047	0.07599449	17.863813638687134
3	-136.1937	16.235401	-105.05546	-162.33984	-101.27484	25.263208	-67.22599	-150.54115	100.0	100.0	4499	-15.197667	3.021929	-6.02518	-27.59219	14.948257	0.20336336	27.960872650146484
4	-136.3852	9.924572	-122.41459	-156.10246	-90.24961	26.579739	-39.99709	-142.49963	100.0	100.0	5999	-22.147362	3.5784051	-10.612808	-37.837147	21.832136	0.32789367	38.12497568130493
5	-134.82994	7.8394246	-121.09668	-147.5788	-99.19656	18.031858	-65.6157	-121.00179	100.0	100.0	7499	-28.35574	4.1147757	-14.582944	-42.33805	27.981825	0.4377019	47.96529936790466
6	-131.45358	12.845216	-108.99941	-152.88115	-90.2798	18.564955	-57.73101	-129.14185	100.0	100.0	8999	-34.03992	4.55109	-18.225494	-48.85305	33.624424	0.5333474	57.77436113357544
7	-114.658676	28.190428	-49.589672	-145.68277	-75.87171	21.475927	-39.46274	-113.35474	100.0	100.0	10499	-39.361748	4.999053	-21.092348	-55.83688	38.93637	0.61102384	68.2692940235138
8	-78.64125	24.430124	-36.589237	-140.58154	-79.374954	22.795774	-38.823856	-109.12033	100.0	100.0	11999	-43.75643	5.4066215	-24.242739	-62.2123	43.30523	0.5993757	79.3195149898529
9	-77.22656	14.750258	-53.88599	-105.85137	-87.955956	17.341066	-64.9977	-123.95256	100.0	100.0	13499	-47.218544	5.930013	-27.80961	-69.03774	46.74832	0.60928416	90.75794792175293
10	-83.27517	17.05677	-46.02947	-103.63585	-74.9375	20.003416	-51.972603	-113.771545	100.0	100.0	14999	-49.98593	6.5569634	-29.194473	-73.883675	49.492207	0.61715764	102.41354727745056
11	-79.58706	15.282603	-46.62269	-103.39908	-72.35335	21.124802	-43.44534	-102.24182	100.0	100.0	16499	-52.541035	6.8781395	-32.81236	-77.87387	52.070114	0.6214172	114.31700396537781
12	-67.952194	23.508656	-35.760197	-116.352615	-67.09836	18.511602	-37.186104	-96.14002	100.0	100.0	17999	-54.72267	7.059566	-36.45727	-80.42378	54.24522	0.6119311	125.9678680896759
13	-86.51587	15.933996	-60.456398	-120.90076	-78.29633	20.93479	-44.881065	-107.43453	100.0	100.0	19499	-56.56586	7.309278	-39.29092	-84.875114	56.08521	0.6276074	137.4768807888031
14	-78.50987	25.893265	-35.09068	-125.4552	-82.145004	12.9128895	-58.90104	-105.794945	100.0	100.0	20999	-58.397907	7.7570977	-40.7546	-88.79507	57.90772	0.66851366	149.44835472106934
15	-76.1604	21.13794	-42.350777	-113.00464	-84.21188	12.257011	-60.224545	-104.32933	100.0	100.0	22499	-59.924953	7.998469	-41.588337	-92.32682	59.4512	0.69905037	160.48142552375793
16	-79.80505	15.894175	-46.93965	-100.93216	-77.90169	17.135891	-45.497986	-102.10516	100.0	100.0	23999	-61.131306	8.259082	-45.818268	-95.62082	60.6653	0.70780015	171.0856077671051
17	-67.55917	18.023876	-31.118996	-96.46308	-74.07992	18.012798	-55.26593	-104.54299	100.0	100.0	25499	-62.419285	8.52625	-46.778316	-95.7878	61.956715	0.73863477	181.2227749824524
18	-84.26542	25.825853	-54.221813	-133.8723	-80.00438	17.694675	-58.67647	-104.19071	100.0	100.0	26999	-63.444195	9.034204	-47.044666	-99.20137	62.98627	0.76963645	191.54710578918457
19	-74.21165	17.548428	-40.64539	-115.529366	-82.32703	17.103195	-44.760197	-100.775185	100.0	100.0	28499	-64.4463	9.444119	-47.509624	-103.25113	63.989906	0.76799953	202.5714864730835
20	-84.653206	16.702005	-60.00998	-117.36611	-86.33577	29.753477	-40.962254	-131.97081	100.0	100.0	29999	-65.18954	9.571357	-48.43978	-105.808395	64.73294	0.7775106	213.75820446014404
21	-68.78738	17.545311	-40.20417	-102.70386	-86.97927	19.242844	-54.650375	-119.602715	100.0	100.0	31499	-65.79479	9.628482	-49.0821	-105.94305	65.34947	0.7560686	225.26299691200256
22	-68.127335	13.00564	-47.73278	-90.08499	-78.098045	20.307135	-56.39115	-112.08542	100.0	100.0	32999	-66.61305	9.781387	-49.702496	-106.223976	66.17206	0.7555894	236.98804640769958
23	-78.955086	15.123886	-44.225258	-107.52808	-75.68867	21.618952	-45.418194	-114.252495	100.0	100.0	34499	-67.42052	9.961647	-49.81923	-107.07557	66.97431	0.76018375	248.70441889762878
24	-90.00464	21.852222	-57.84649	-133.9367	-74.216324	15.568089	-49.052193	-99.00168	100.0	100.0	35999	-67.98794	10.060457	-49.9978	-107.369225	67.55364	0.7507088	260.3189239501953
