Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-6265.409	2272.8674	-136.68158	-9946.293	-4693.04	1056.328	-3650.8606	-7398.8833	100.0	100.0	1499	-82.1246	45.807682	0.024662994	-284.65497	77.52322	1514.8561	8.839330196380615
2	-7252.7734	1911.7861	-4828.2363	-12378.634	-3563.4653	1937.5314	-495.92447	-6464.2744	100.0	100.0	2999	-323.1916	161.80528	-37.27837	-1043.7379	311.47235	1399.3817	25.243511199951172
3	-7383.714	1177.818	-5880.502	-10229.718	-4604.7837	2830.2412	-593.03796	-10329.908	100.0	100.0	4499	-652.2219	234.66391	-97.185524	-1657.7811	626.92456	2377.245	41.48872900009155
4	-6251.4824	1523.0356	-3294.7178	-9339.517	-3978.4753	2900.6777	-907.075	-10432.487	100.0	100.0	5999	-912.2612	312.46353	-84.08576	-2079.756	879.1081	3572.295	57.89414620399475
5	-6855.461	1469.518	-3336.9773	-9187.579	-2888.1902	2616.0295	-239.42682	-7615.3057	100.0	100.0	7499	-1089.4003	368.31952	-127.42374	-2434.1711	1048.1384	4616.7505	74.24819207191467
6	-6267.7505	1000.3666	-4285.0615	-8666.096	-3001.206	2682.5193	-281.74048	-7805.7695	100.0	100.0	8999	-1196.4974	411.3458	0.045899466	-2732.558	1150.6226	5410.4653	90.5904700756073
7	-5972.163	2204.5984	-1840.7776	-9405.546	-5746.291	2541.398	-2119.3655	-8758.235	100.0	100.0	10499	-1263.937	447.09048	-4.651264	-3014.6746	1214.3662	5844.188	107.30555820465088
8	-3904.1104	2444.779	-570.42865	-8742.108	-2556.546	1730.3439	-143.1669	-5983.5586	100.0	100.0	11999	-1322.7556	481.07376	-106.82449	-3201.4478	1276.6313	5673.104	124.42037987709045
9	-2098.5808	1412.1444	-317.09818	-5324.3794	-1881.8948	1461.233	-195.37636	-4256.6006	100.0	100.0	13499	-1368.3379	535.7603	-72.90279	-3396.0078	1323.0327	5238.0347	141.2614300251007
10	-2273.2485	1296.2461	-904.85834	-4481.1753	-1512.2806	954.4723	-466.68094	-3838.9568	100.0	100.0	14999	-1360.6215	594.1659	-10.391512	-3540.636	1313.4957	5266.0586	158.0679280757904
11	-1928.8706	1233.7969	-227.53278	-4075.2668	-1193.4578	799.09406	-215.67407	-2630.5837	100.0	100.0	16499	-1331.9382	642.80164	-7.048251	-3598.9863	1283.5432	5394.922	174.77203583717346
12	-1231.9303	573.91406	-315.99057	-2312.019	-1526.9785	1606.2363	-266.18997	-5599.721	100.0	100.0	17999	-1249.385	695.1926	0.14605081	-3766.7156	1200.0099	5134.24	191.9100980758667
13	-2146.5688	1497.1555	-199.10518	-4529.6353	-1062.1681	749.3227	-278.7603	-2861.0476	100.0	100.0	19499	-1149.8531	734.49255	69.83477	-3793.161	1101.6091	5135.983	209.1111180782318
14	-1201.7	1079.2555	-150.5668	-4278.376	-1566.4634	1238.7069	-202.53535	-3377.2307	100.0	100.0	20999	-1058.6871	752.678	257.12335	-3811.5703	1010.8107	5071.4263	226.05210494995117
15	-1628.2213	942.4078	-379.34512	-3305.206	-1415.2897	1108.81	-326.29895	-4003.058	100.0	100.0	22499	-963.68353	745.54785	371.79895	-3765.8242	917.608	5018.1055	242.6785638332367
16	-1455.5203	695.3445	-475.73798	-3106.194	-1205.791	1031.2233	-128.19614	-3856.9846	100.0	100.0	23999	-862.93823	719.93414	374.8725	-3638.1335	819.89014	4804.334	259.64323806762695
17	-1643.7094	1673.6666	-323.5055	-5853.8867	-889.28644	666.22125	-290.0291	-2641.1882	100.0	100.0	25499	-786.07904	690.4877	340.78467	-3657.8647	745.7837	4501.786	276.52208399772644
18	-1207.8884	706.332	-226.64119	-2462.5593	-1021.44336	648.6815	-396.50528	-2215.503	100.0	100.0	26999	-713.971	652.45306	404.64453	-3615.4119	675.537	4060.452	293.19752311706543
