Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.13043478	0.3367812	1.0	0.0	0.0	0.0	0.0	0.0	64.565216	30.3	1499	-0.027746541	0.059945475	1.2799801	-0.1915263	0.014439596	0.0018066077	15.066317081451416
2	0.16666667	0.372678	1.0	0.0	0.0	0.0	0.0	0.0	61.291668	100.0	2999	0.1258958	0.2693091	4.3113832	-0.15992235	-0.1747617	0.0031710803	45.16722297668457
3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	66.652176	100.0	4499	0.7138384	0.7692349	7.96651	-0.5731622	-0.8545149	0.012591487	66.73983192443848
4	0.10714286	0.3092948	1.0	0.0	0.0	0.0	0.0	0.0	53.142857	100.0	5999	2.0017838	1.8151617	14.181194	-1.2987676	-2.2656636	0.055546604	83.79241800308228
5	0.0952381	0.29354352	1.0	0.0	0.0	0.0	0.0	0.0	68.2381	100.0	7499	4.0980487	3.3653452	21.523336	-1.7935601	-4.4914074	0.16517769	102.3820059299469
6	0.1	0.29999998	1.0	0.0	0.0	0.0	0.0	0.0	52.9	100.0	8999	6.7584777	5.2563686	31.206978	-5.851936	-7.2909117	0.3479397	117.34005999565125
7	0.7083333	1.5132517	7.0	0.0	0.0	0.0	0.0	0.0	60.166668	92.1	10499	9.942487	7.4995923	38.887363	-5.4253807	-10.534618	0.6065789	131.98250484466553
8	0.3529412	0.6809316	2.0	0.0	0.2	0.4	1.0	0.0	86.94118	92.6	11999	13.324927	9.679499	44.73391	-9.504638	-13.917242	0.73979914	147.77408981323242
9	0.46666667	1.0873004	4.0	0.0	0.0	0.0	0.0	0.0	100.0	92.7	13499	15.840402	11.274098	47.350494	-8.92346	-16.409376	0.857905	163.04244089126587
10	0.13333334	0.33993465	1.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	14999	18.383406	12.560367	50.839714	-30.248133	-18.965223	0.9218106	179.0684359073639
11	0.0	0.0	0.0	0.0	0.2	0.4	1.0	0.0	96.375	100.0	16499	21.019812	13.727226	58.737194	-15.162829	-21.567497	0.9546221	194.96164798736572
12	0.2	0.4	1.0	0.0	0.2	0.4	1.0	0.0	100.0	100.0	17999	23.380604	14.703064	59.962833	-13.103114	-23.886486	0.97636604	214.36753511428833
13	0.26666668	0.57348835	2.0	0.0	0.1	0.29999998	1.0	0.0	100.0	100.0	19499	26.040815	15.391155	61.270786	-21.258293	-26.534199	1.001378	236.56461095809937
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	20999	28.078787	15.751893	63.08943	-24.22228	-28.552322	0.987856	258.8686079978943
15	0.06666667	0.2494438	1.0	0.0	0.2	0.4	1.0	0.0	100.0	94.2	22499	29.604023	16.200811	70.550835	-17.94971	-30.066904	1.0330944	281.71466398239136
16	0.2	0.4	1.0	0.0	0.2	0.59999996	2.0	0.0	98.066666	100.0	23999	30.541323	16.516191	65.91362	-23.68421	-30.982172	0.9500421	303.28516912460327
17	0.06666667	0.2494438	1.0	0.0	0.2	0.4	1.0	0.0	100.0	100.0	25499	32.00161	16.660255	69.90274	-27.292673	-32.438183	0.92972267	325.5582299232483
18	0.13333334	0.33993465	1.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	26999	33.49195	16.919577	71.22522	-27.248566	-33.92838	0.8832887	346.49560499191284
19	0.4	0.8	2.0	0.0	0.6	1.2806249	4.0	0.0	100.0	100.0	28499	34.423058	16.89971	76.41548	-20.496733	-34.80951	0.8486464	368.6204619407654
20	0.33333334	0.5962848	2.0	0.0	0.1	0.29999998	1.0	0.0	100.0	100.0	29999	35.01808	16.891756	80.17076	-26.5852	-35.373203	0.81886667	396.20678901672363
21	0.1875	0.52663434	2.0	0.0	0.1	0.29999998	1.0	0.0	97.8125	100.0	31499	35.470116	16.975855	84.190056	-35.11272	-35.816463	0.8145843	421.08909487724304
22	0.0	0.0	0.0	0.0	0.2	0.4	1.0	0.0	96.2	100.0	32999	36.10664	16.886621	86.85114	-29.268845	-36.45484	0.84841853	443.75805401802063
23	0.46666667	1.4996295	6.0	0.0	0.4	1.1999999	4.0	0.0	100.0	100.0	34499	36.527996	16.742666	88.79211	-30.79803	-36.860806	0.7337178	466.1138038635254
24	1.0	2.4765568	10.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	35999	37.12053	16.718382	99.28912	-41.021164	-37.435345	0.73580027	488.582720041275
25	0.06666667	0.24944381	1.0	0.0	0.3	0.45825756	1.0	0.0	100.0	100.0	37499	37.392517	16.505806	96.36842	-28.736446	-37.693985	0.7815623	511.50660490989685
26	0.4375	1.2231491	5.0	0.0	0.6	1.2	4.0	0.0	96.875	100.0	38999	37.98172	16.400482	99.66464	-20.756836	-38.28448	0.8006609	534.3414330482483
27	0.26666668	0.77172244	3.0	0.0	0.0	0.0	0.0	0.0	98.933334	97.4	40499	38.6217	16.42646	104.4592	-32.914673	-38.93309	0.8047127	560.5839080810547
28	0.26666668	0.5734884	2.0	0.0	0.2	0.4	1.0	0.0	100.0	100.0	41999	39.22608	16.304838	106.330124	-27.213428	-39.536903	0.79611135	584.8182520866394
29	0.3125	0.5829612	2.0	0.0	0.0	0.0	0.0	0.0	90.25	99.2	43499	39.798954	16.147821	108.46906	-22.358685	-40.123833	0.79882634	609.460599899292
30	0.06666667	0.2494438	1.0	0.0	0.2	0.4	1.0	0.0	100.0	100.0	44999	40.347546	16.043549	109.54234	-20.748009	-40.669106	0.81391096	635.3573999404907
31	0.2	0.54160255	2.0	0.0	0.1	0.29999998	1.0	0.0	100.0	100.0	46499	41.18276	15.8336525	113.5457	-22.362175	-41.51787	0.7740726	660.2952399253845
32	0.0625	0.24206147	1.0	0.0	0.3	0.45825756	1.0	0.0	94.875	100.0	47999	41.86173	15.793732	114.224655	-27.29261	-42.180046	0.84010476	692.6440420150757
