Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-490.37485	6.473509	-476.69443	-498.83527	-483.72852	8.49564	-469.31516	-496.15704	100.0	100.0	1499	-5.2807927	1.1232235	0.046680875	-9.942398	5.1042533	0.95805377	2.863175392150879
2	-491.85724	7.040312	-477.57178	-504.2389	-484.80743	14.120264	-447.5068	-498.15225	100.0	100.0	2999	-8.326601	1.4148378	-5.2820835	-12.58489	8.213439	0.051724005	7.697689056396484
3	-493.31696	5.612363	-483.8149	-503.73993	-488.15143	12.057709	-459.22552	-499.107	100.0	100.0	4499	-13.479882	1.6569703	-9.675514	-18.279013	13.379812	0.050681762	12.523167848587036
4	-491.4092	5.1419573	-477.34775	-500.84094	-489.43536	4.9476585	-481.23053	-497.35123	100.0	100.0	5999	-19.031576	1.6932378	-14.604091	-24.237736	18.924728	0.06454496	17.35558581352234
5	-491.1308	5.48245	-480.10245	-501.27292	-487.7982	10.819443	-461.12872	-496.8113	100.0	100.0	7499	-24.496962	1.677617	-19.464348	-29.596983	24.381437	0.08475883	22.084803581237793
6	-494.19598	4.4647965	-485.85162	-501.15558	-489.42734	10.916576	-466.51483	-498.82962	100.0	100.0	8999	-29.752237	1.6361921	-24.415274	-34.61415	29.622963	0.108562216	26.842273712158203
7	-491.56387	4.535019	-483.5793	-495.8143	-481.2286	14.972966	-444.91846	-498.88223	100.0	100.0	10499	-34.754333	1.5943383	-29.3492	-39.701595	34.62777	0.12531899	31.61997389793396
8	-493.12207	6.8762803	-475.47772	-502.77448	-467.98624	40.210278	-384.07812	-496.46347	100.0	100.0	11999	-39.52101	1.5539955	-34.481884	-45.01376	39.396328	0.14242485	36.306761026382446
9	-490.43243	7.170796	-468.3467	-503.10855	-460.73877	51.122963	-357.65262	-493.593	100.0	100.0	13499	-44.058876	1.507616	-38.96059	-49.290577	43.941647	0.15088515	40.95137596130371
10	-491.61295	7.573728	-471.06668	-499.51065	-480.6761	6.4532127	-470.56818	-489.31464	100.0	100.0	14999	-48.348515	1.4754043	-43.17371	-53.54954	48.23044	0.16118416	45.66251492500305
11	-478.66592	9.516721	-457.11725	-493.39737	-476.73706	20.682045	-438.78018	-496.846	100.0	100.0	16499	-52.37734	1.4291146	-47.365715	-57.443775	52.26224	0.1682029	50.51491189002991
12	-474.43704	15.826524	-443.83716	-498.11093	-473.84073	18.189957	-443.1997	-497.15662	100.0	100.0	17999	-56.135292	1.4292319	-51.197952	-61.29836	56.026134	0.17214201	55.50015068054199
13	-467.04578	26.967186	-380.88953	-490.7108	-445.91144	36.395622	-384.9108	-485.18958	100.0	100.0	19499	-59.68866	1.424092	-54.690273	-65.13118	59.57978	0.18020786	60.4872772693634
14	-453.4465	23.033411	-406.59448	-494.7632	-447.19733	29.655693	-396.3169	-482.34958	100.0	100.0	20999	-63.009388	1.4435773	-57.09859	-68.22049	62.895317	0.19700517	65.62733483314514
15	-462.35803	14.662013	-428.6377	-483.1356	-423.983	39.68622	-320.09546	-475.61038	100.0	100.0	22499	-66.09734	1.4860905	-59.519745	-71.70142	65.97787	0.20912865	70.61074233055115
16	-450.9529	26.936441	-387.3111	-483.20618	-444.8104	26.709566	-407.65463	-480.17188	100.0	100.0	23999	-68.97006	1.5728942	-61.627296	-74.84844	68.8429	0.2205854	75.9876754283905
17	-457.67844	27.597101	-397.52957	-494.03046	-425.50555	50.417507	-338.23822	-489.0229	100.0	100.0	25499	-71.65831	1.6901577	-63.811584	-77.35226	71.5254	0.23702358	80.92386388778687
18	-441.2673	24.840298	-391.43607	-494.41577	-420.36783	34.310528	-360.8948	-478.05698	100.0	100.0	26999	-74.138535	1.8117586	-65.97047	-80.361984	74.002365	0.25091758	85.91815137863159
19	-457.3629	24.911783	-390.80853	-484.1298	-436.039	25.167595	-394.73474	-462.82455	100.0	100.0	28499	-76.44875	1.9489999	-67.74842	-82.70595	76.30875	0.2764838	90.93599033355713
