Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-377.95718	9.322871	-353.13828	-387.48724	-378.4222	11.46744	-347.4371	-387.63638	100.0	100.0	1499	-6.532423	2.1260865	0.013048314	-11.782112	6.3847685	0.4576651	4.685112714767456
2	-377.02454	4.6834717	-366.477	-386.8531	-378.47964	4.966886	-371.9048	-387.17276	100.0	100.0	2999	-22.035784	7.1266203	-8.830119	-37.76333	21.904024	0.08489744	11.742594242095947
3	-377.3888	5.422139	-365.45386	-386.63947	-374.4444	14.479319	-340.98096	-391.60373	100.0	100.0	4499	-46.5254	7.161483	-31.105328	-63.961693	46.34515	0.16218178	18.7172589302063
4	-377.02423	4.4034605	-371.42728	-387.89392	-375.11353	5.678397	-367.16595	-382.59302	100.0	100.0	5999	-70.53871	7.013033	-53.93351	-89.015434	70.35038	0.23307247	26.367339849472046
5	-375.19278	8.273639	-352.15872	-386.699	-369.4968	9.997513	-349.24915	-380.36017	100.0	100.0	7499	-93.775696	6.8674974	-76.97123	-113.762985	93.57254	0.30110338	33.28599667549133
6	-377.2354	5.717362	-367.68774	-387.44186	-371.6549	5.7870426	-357.7856	-378.20224	100.0	100.0	8999	-116.2464	6.753046	-99.291336	-134.73079	116.03408	0.36649594	40.22334313392639
7	-373.34473	6.8809204	-355.521	-386.63736	-366.76276	12.364409	-344.09332	-384.23785	100.0	100.0	10499	-137.96666	6.604936	-119.88973	-157.9208	137.7521	0.4617431	47.486698389053345
8	-371.38727	8.56766	-352.2135	-384.13	-374.68854	4.63298	-365.59595	-380.7548	100.0	100.0	11999	-158.7499	6.5480075	-140.60724	-178.43927	158.56154	0.48296013	54.87747502326965
9	-369.62357	8.820129	-340.11316	-378.26465	-372.40826	12.000127	-341.3299	-385.31552	100.0	100.0	13499	-178.93233	6.4408083	-159.12863	-199.08139	178.75757	0.5116187	61.9907386302948
10	-368.83688	13.545379	-336.53873	-383.2203	-371.75174	6.790512	-360.63864	-381.54266	100.0	100.0	14999	-198.40652	6.37252	-178.23134	-220.55882	198.23875	0.5424479	69.44513535499573
11	-370.0645	13.725141	-327.90723	-384.33667	-373.49634	12.393645	-342.8742	-388.18625	100.0	100.0	16499	-217.27774	6.319489	-195.4702	-239.43556	217.12259	0.6140596	76.44052577018738
12	-373.40897	9.918179	-351.83768	-387.78073	-372.93835	4.6586614	-365.789	-380.56808	100.0	100.0	17999	-235.44585	6.2156725	-212.47665	-256.84094	235.2925	0.59568113	83.62844371795654
13	-374.5981	5.940374	-362.80246	-383.10568	-367.67767	12.43602	-342.76218	-382.43307	100.0	100.0	19499	-252.9129	6.2051506	-229.75351	-274.82724	252.7549	0.6389176	93.13652420043945
14	-371.20502	7.1386714	-355.458	-381.839	-360.9076	24.301434	-309.8002	-383.4757	100.0	100.0	20999	-269.75214	6.100264	-246.8496	-289.78122	269.59732	0.65422904	99.97844958305359
15	-369.97397	11.308959	-347.59317	-384.31042	-364.7973	18.719923	-323.59363	-385.8825	100.0	100.0	22499	-286.04617	6.0252204	-262.27243	-304.89297	285.89062	0.6477677	107.73581886291504
16	-369.55475	10.021802	-345.06186	-380.65878	-357.56723	25.780016	-292.93185	-384.96097	100.0	100.0	23999	-301.7959	5.9651284	-277.85455	-322.09418	301.6455	0.68243164	114.92758584022522
17	-368.13788	12.032114	-341.234	-384.66135	-367.98926	12.376007	-337.9029	-382.04388	100.0	100.0	25499	-316.88818	5.875248	-293.71536	-335.4081	316.73584	0.65460783	122.53802251815796
18	-369.6499	10.967775	-349.51416	-381.3585	-372.17435	11.979441	-348.13486	-383.9377	100.0	100.0	26999	-331.39374	5.777601	-308.71255	-357.61307	331.23474	0.72109914	131.2521300315857
19	-367.75735	9.92664	-344.7771	-378.93506	-368.784	11.532848	-348.76822	-382.53433	100.0	100.0	28499	-345.35852	5.6908326	-321.98657	-365.23102	345.20004	0.70703614	139.75944447517395
20	-362.3052	17.284863	-303.65338	-377.57172	-357.45795	8.771242	-348.1417	-376.1379	100.0	100.0	29999	-358.76013	5.582941	-336.1212	-377.5613	358.60892	0.7098101	147.57067441940308
21	-366.99127	15.299431	-332.19528	-385.0606	-355.00537	10.941324	-334.2676	-368.097	100.0	100.0	31499	-371.63342	5.5330973	-348.69284	-394.72934	371.47687	0.72953075	154.82890272140503
22	-349.1787	28.244076	-286.95813	-383.62357	-353.6617	29.310822	-286.48795	-381.9859	100.0	100.0	32999	-383.99545	5.4945474	-361.18878	-404.98755	383.8383	0.7972488	163.23251128196716
23	-363.71173	12.7608795	-341.45468	-386.0666	-355.56448	17.801147	-312.83154	-373.59247	100.0	100.0	34499	-395.75412	5.471962	-371.33954	-415.98938	395.5985	0.6919863	171.06197214126587
24	-357.62534	11.882971	-336.97162	-377.93286	-359.78058	15.542123	-328.1074	-379.34216	100.0	100.0	35999	-407.1664	5.4269695	-383.20386	-427.779	407.01196	0.7641592	179.29334497451782
25	-362.19785	14.719239	-331.46765	-380.76797	-363.32706	15.322124	-340.4537	-380.04083	100.0	100.0	37499	-418.00806	5.463708	-394.56854	-438.16013	417.85068	0.7607313	186.94898438453674
26	-359.95068	18.988314	-309.72086	-380.58667	-354.5323	17.710352	-327.91537	-383.4497	100.0	100.0	38999	-428.48932	5.4756846	-405.85968	-447.54434	428.3371	0.75754344	195.2007451057434
27	-353.79767	20.747622	-306.12354	-381.84964	-369.32108	9.624438	-350.45065	-381.2967	100.0	100.0	40499	-438.6345	5.508675	-416.30206	-460.81644	438.47708	0.7874629	203.0748782157898
28	-359.2773	11.023066	-335.72955	-377.44525	-354.3863	40.293476	-236.14568	-380.73392	100.0	100.0	41999	-448.3263	5.5419908	-426.30045	-472.49075	448.1666	0.8806742	210.86636662483215
29	-361.69006	15.252025	-328.06815	-379.4667	-346.65155	20.334318	-315.66202	-374.0786	100.0	100.0	43499	-457.59467	5.59089	-436.62653	-478.55557	457.4284	0.80799496	218.02966737747192
30	-355.9982	15.753864	-328.97385	-378.58698	-348.8269	32.083534	-263.7608	-376.16788	100.0	100.0	44999	-466.40207	5.6423926	-445.7806	-486.98593	466.22415	0.8824113	225.5961034297943
31	-349.49753	23.53491	-293.01572	-384.3362	-353.61728	28.099648	-278.34448	-376.82928	100.0	100.0	46499	-474.7854	5.8621464	-453.72556	-497.9378	474.5991	0.90059197	233.82167315483093
32	-355.113	17.414799	-328.1214	-379.94122	-353.9323	26.557985	-303.24097	-378.4517	100.0	100.0	47999	-482.72906	6.0013075	-461.6192	-505.63223	482.53674	0.91911966	241.92454600334167
33	-352.17673	19.826479	-306.94308	-379.7855	-346.42743	39.912903	-271.48688	-381.2722	100.0	100.0	49499	-490.39905	6.133922	-469.34976	-513.1374	490.20297	0.93248665	249.46125483512878
34	-341.18942	31.215858	-255.15933	-377.84106	-343.6112	29.290949	-282.3797	-369.48148	100.0	100.0	50999	-497.62228	6.3669124	-476.12543	-521.4843	497.41574	0.96067494	258.45093059539795
35	-315.03482	33.72204	-256.50543	-359.29456	-343.857	37.38617	-248.96422	-376.0223	100.0	100.0	52499	-504.4697	6.66155	-483.04822	-528.61414	504.26022	1.0132264	265.3637228012085
36	-333.96057	34.30915	-256.3116	-386.70557	-315.01047	45.19567	-229.3741	-368.09708	100.0	100.0	53999	-510.95776	6.976168	-490.31262	-534.7498	510.7474	1.0156454	272.7577738761902
37	-345.40448	31.523537	-268.4477	-380.2763	-346.84235	20.99494	-321.6281	-377.20227	100.0	100.0	55499	-517.09485	7.3729463	-495.93057	-542.05457	516.87164	1.0894886	281.82952666282654
38	-341.29498	28.474485	-266.03192	-374.8799	-345.17572	39.394943	-234.18481	-377.17227	100.0	100.0	56999	-522.92944	7.8117943	-500.1527	-549.972	522.70026	1.1858186	289.035808801651
39	-337.6304	44.521603	-240.55869	-378.95657	-358.8327	19.948362	-308.66675	-378.64423	100.0	100.0	58499	-528.39923	8.23038	-505.04153	-554.6453	528.15765	1.2527269	296.2672872543335
40	-339.34314	34.309387	-264.4682	-380.8927	-338.43484	34.356155	-268.31815	-375.84387	100.0	100.0	59999	-533.5222	8.707974	-508.03235	-559.73846	533.26385	1.2596121	304.8248176574707
41	-335.92776	43.02293	-222.38698	-376.62213	-338.43417	26.815641	-279.70544	-374.23053	100.0	100.0	61499	-538.3505	9.196483	-511.73413	-568.0321	538.0879	1.3653091	312.52157258987427
42	-343.6453	25.903612	-291.85553	-378.83405	-327.95596	48.848457	-239.40671	-380.01697	100.0	100.0	62999	-542.85614	9.768505	-514.6277	-571.8492	542.57294	1.3385589	319.76291584968567
43	-336.95584	43.180122	-224.4394	-375.18298	-338.2015	20.902676	-294.43854	-373.9494	100.0	100.0	64499	-546.978	10.318796	-518.08307	-578.16223	546.6826	1.3212664	326.71385312080383
44	-341.27194	26.036222	-277.814	-375.1517	-344.0233	22.467604	-308.6085	-366.8555	100.0	100.0	65999	-550.88354	10.919215	-520.44366	-586.3487	550.58484	1.4048145	333.6756730079651
45	-330.12576	29.04131	-266.92593	-372.40552	-342.85532	32.609173	-257.88214	-375.55374	100.0	100.0	67499	-554.50146	11.436267	-523.32336	-590.7315	554.1764	1.427904	340.6417992115021
46	-337.72025	22.923222	-284.25134	-371.72162	-337.92447	22.908215	-303.72977	-374.71475	100.0	100.0	68999	-557.76056	11.933691	-525.8193	-596.37396	557.43365	1.4170562	347.8596279621124
