Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-95.979355	18.134346	-65.23508	-122.354164	-94.26262	20.486568	-50.656246	-128.25485	100.0	100.0	1499	-0.8024993	0.61876833	0.89355135	-3.1950107	-0.8056811	0.63038427	0.94810957	-3.1917896	-1.3603303	0.20149747	0.48873568	-5.323946	0.1796112	0.12332515	4.055866479873657
2	-103.237885	9.118151	-89.48828	-121.26496	-86.27403	19.079796	-50.91231	-116.20203	100.0	100.0	2999	-2.3922346	1.7880126	2.4526718	-10.010821	-2.3919039	1.8001059	2.5166588	-9.945136	-1.3475196	0.25450173	0.23257017	-5.360527	1.8125365	0.2100542	12.499654769897461
3	-91.79801	15.434724	-58.250183	-115.282906	-86.91661	20.315416	-58.13951	-133.53258	100.0	100.0	4499	-5.2270184	2.5179157	3.6250615	-14.645327	-5.225239	2.5394347	3.3518677	-14.820387	-1.2833998	0.4328199	1.8536117	-5.8744435	4.7064533	0.5817058	21.039270877838135
4	-102.63002	8.547455	-82.90597	-115.12021	-84.100044	20.147194	-52.175602	-114.38929	100.0	100.0	5999	-8.232774	3.1369116	3.7515426	-21.642796	-8.2315445	3.1556695	3.525713	-21.632284	-1.2353092	0.5191322	2.158862	-8.325335	7.728093	0.7977928	29.123934030532837
5	-99.75933	21.781849	-77.84729	-166.89114	-68.035416	26.443825	-31.283009	-112.03809	100.0	100.0	7499	-11.560152	3.7578518	3.0385745	-25.439621	-11.559037	3.773001	3.5357668	-24.700521	-1.197265	0.5911479	2.7348003	-6.8321953	11.061578	0.9662976	36.634448766708374
6	-106.24829	13.632952	-85.33616	-136.67902	-55.315144	22.94799	-23.717115	-95.43098	100.0	100.0	8999	-14.873332	4.2807407	3.1288006	-28.602537	-14.871952	4.302122	3.2775683	-28.221169	-1.1652025	0.6349222	2.7155426	-7.515114	14.38863	1.233465	44.145273208618164
7	-85.95263	22.535585	-39.763954	-113.3605	-52.87381	24.555456	-24.534122	-102.932915	100.0	100.0	10499	-18.010006	4.991944	3.5595021	-32.35452	-18.00763	5.0147705	3.1793249	-31.946716	-1.1169332	0.69556737	3.7765076	-7.307921	17.530745	1.4698503	51.53506565093994
8	-64.410934	22.904543	-22.49222	-105.20646	-56.127747	22.321632	-29.045126	-96.883484	100.0	100.0	11999	-20.254162	6.278926	2.9882965	-36.916363	-20.25285	6.2948127	2.8586214	-37.255814	-1.0867504	0.7311666	3.7447953	-7.911847	19.788921	1.5112263	59.19244194030762
9	-61.247093	23.1588	-22.124235	-106.249596	-42.63067	22.117752	-16.010052	-84.43055	100.0	100.0	13499	-22.282787	7.299282	2.8889596	-41.871887	-22.281788	7.3126345	2.908951	-41.69042	-1.0392569	0.77881825	3.1833715	-7.0220404	21.82328	1.650474	66.90199661254883
10	-55.98816	26.261133	-28.748337	-128.38344	-61.71247	25.936214	-12.096504	-92.99288	100.0	100.0	14999	-23.964363	8.487789	6.742663	-44.990826	-23.96317	8.500447	7.051208	-44.449062	-0.9984695	0.8259686	4.0605993	-7.0172396	23.524508	1.8587788	74.43265628814697
11	-57.001286	24.156404	-22.382595	-107.53652	-25.431631	13.201246	-6.678424	-56.009014	100.0	100.0	16499	-25.402395	9.676964	7.5211754	-49.78686	-25.402027	9.688506	7.8272953	-48.59301	-0.94082457	0.8759931	3.698819	-10.584227	24.972424	2.1470268	82.02506589889526
12	-46.98509	20.692583	-22.772959	-103.52775	-44.65799	19.19488	-24.122341	-87.41489	100.0	100.0	17999	-26.818724	10.689186	8.082218	-53.88957	-26.819084	10.699698	8.373639	-52.03355	-0.86574185	0.9451387	4.7670374	-8.974592	26.401255	2.5079412	91.00613021850586
