Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-177.59654	10.151493	-153.53932	-191.59508	-176.43579	7.472411	-165.75743	-189.30182	100.0	100.0	1499	-2.3550365	0.77223456	0.33676797	-4.5006137	-2.3682609	0.74062645	-0.025174767	-4.532727	-1.3586067	0.19834606	0.89751863	-5.736293	1.7294464	0.18917398	3.678926706314087
2	-180.76205	5.8850336	-169.78166	-190.71153	-178.28177	7.7741776	-161.41275	-188.81657	100.0	100.0	2999	-7.3722777	2.420595	-2.1904554	-14.16411	-7.372071	2.420868	-2.1625	-13.911387	-1.3625399	0.19038077	-0.49507618	-4.9874086	6.7678294	0.15844738	11.001529455184937
3	-180.20418	7.7785535	-156.33139	-189.91019	-177.8657	8.164761	-161.20317	-189.73022	100.0	100.0	4499	-15.44135	2.7496061	-7.0785003	-23.631607	-15.44124	2.7510424	-7.024439	-23.684353	-1.3559831	0.21563338	0.074427605	-5.986341	14.8819475	0.2883288	18.26871395111084
4	-182.73769	6.294018	-170.6084	-191.5688	-179.98656	12.855088	-144.70782	-194.3694	100.0	100.0	5999	-23.81976	2.9221995	-13.061173	-34.34128	-23.819786	2.9245346	-13.136814	-33.715466	-1.3506113	0.23894282	0.03204131	-7.0079317	23.288965	0.4241043	25.598714590072632
5	-180.9563	6.334985	-168.7436	-190.35745	-176.66788	3.4668376	-171.8716	-181.80466	100.0	100.0	7499	-32.056858	2.9913657	-20.113016	-41.430443	-32.0567	2.9909286	-19.981218	-41.134	-1.3441249	0.26528347	0.45171618	-6.2729383	31.547237	0.5298101	32.897294759750366
6	-182.27806	4.107175	-176.8377	-189.81207	-173.72246	14.701628	-140.41328	-192.9131	100.0	100.0	8999	-40.18291	2.971216	-27.643803	-49.948746	-40.18273	2.972257	-27.080269	-50.043327	-1.33846	0.28319332	0.6481247	-6.443398	39.687	0.63439155	40.46743106842041
7	-179.62012	7.3341117	-167.75156	-198.711	-178.1522	7.098436	-167.81163	-194.15181	100.0	100.0	10499	-48.12248	2.9680576	-35.350292	-58.672123	-48.122223	2.967762	-35.288322	-58.793564	-1.3327428	0.2925777	0.60517216	-5.379681	47.631157	0.6292436	47.94891309738159
8	-178.60185	8.953097	-158.09978	-192.81075	-171.63521	16.067225	-140.33513	-191.43604	100.0	100.0	11999	-55.81753	2.975239	-42.767143	-67.08937	-55.817776	2.977889	-42.823757	-66.811844	-1.3305994	0.3097461	0.65463114	-7.057457	55.327183	0.6571196	55.573904275894165
9	-175.36626	9.400958	-148.80354	-188.46841	-172.48369	12.805116	-147.2087	-193.10887	100.0	100.0	13499	-63.232628	3.003935	-50.169033	-74.33663	-63.232166	3.0066202	-49.700058	-74.16298	-1.3257079	0.31963116	0.6628134	-5.2325993	62.7494	0.682968	63.22965955734253
10	-175.77596	7.8404493	-151.29488	-186.59421	-168.93729	10.168209	-157.72327	-183.93144	100.0	100.0	14999	-70.33892	3.023652	-56.9643	-82.48577	-70.33885	3.0257924	-56.56651	-82.2874	-1.3192487	0.3421753	0.70839405	-5.800193	69.85434	0.709509	70.84176397323608
11	-174.63869	11.414256	-151.58508	-198.76067	-171.09496	16.320913	-139.67683	-191.9575	100.0	100.0	16499	-77.16844	3.0238628	-63.709732	-90.33124	-77.16841	3.0248764	-63.803577	-89.16963	-1.3136374	0.35866126	0.9385977	-6.857214	76.68947	0.73702824	78.43075156211853
12	-176.27359	6.300538	-164.34488	-189.58466	-178.23805	13.382668	-154.75883	-196.07686	100.0	100.0	17999	-83.704994	3.110231	-70.52415	-95.64155	-83.70503	3.1104827	-70.60941	-96.16064	-1.3055153	0.38308123	1.2047606	-7.280596	83.22332	0.76837873	86.21516251564026
13	-174.04247	11.685722	-143.85223	-188.50432	-160.41206	19.059587	-121.57512	-185.26666	100.0	100.0	19499	-89.99601	3.1347735	-77.28494	-102.90217	-89.99602	3.1362019	-76.918785	-103.01658	-1.2967582	0.39711618	0.96021986	-7.1916614	89.516106	0.7894296	94.00315356254578
14	-176.98663	9.22481	-158.59598	-192.3141	-176.99594	16.253265	-140.87021	-197.81775	100.0	100.0	20999	-96.033806	3.1471221	-83.626015	-108.827	-96.033745	3.1496902	-83.91778	-108.151436	-1.2882656	0.41512913	1.3731306	-7.108766	95.55663	0.8341118	101.62239360809326
15	-178.96312	8.592497	-155.92941	-189.1468	-166.59933	21.159357	-116.51398	-193.41351	100.0	100.0	22499	-101.87257	3.2092495	-89.594604	-114.915	-101.87229	3.2092512	-89.452614	-115.170525	-1.2811337	0.4259039	1.466608	-5.941176	101.39746	0.87492764	109.26234126091003
16	-171.72356	11.764001	-143.57687	-184.45279	-153.21194	19.335508	-119.285934	-182.77223	100.0	100.0	23999	-107.46053	3.2375073	-95.17355	-121.48503	-107.46046	3.2389984	-95.46562	-121.96492	-1.2737406	0.4519215	1.1405215	-7.444766	106.99131	0.9237435	117.52048206329346
17	-167.12427	11.021439	-138.87964	-180.97672	-162.48085	21.733828	-129.85661	-198.86713	100.0	100.0	25499	-112.8712	3.3519814	-101.360085	-127.341	-112.87129	3.3546202	-101.7399	-127.6906	-1.2694654	0.4614097	1.960401	-5.959146	112.40227	0.96042055	125.3890688419342
18	-170.23062	8.1702	-151.98628	-180.53104	-164.70805	23.574003	-119.527565	-189.18987	100.0	100.0	26999	-117.949104	3.459273	-106.862144	-132.26028	-117.94892	3.4636455	-106.86282	-132.01442	-1.2616885	0.470951	1.466486	-5.648835	117.48046	0.98181194	133.07174921035767
19	-174.39723	11.315139	-150.97534	-189.36864	-171.46921	19.949623	-118.850975	-191.22316	100.0	100.0	28499	-122.780975	3.6329038	-111.223404	-137.28888	-122.78072	3.6383018	-111.411865	-137.40253	-1.2540628	0.4871297	1.2928438	-5.457382	122.31577	1.008966	140.72691583633423
20	-175.3349	12.864558	-148.80417	-199.34448	-139.18808	28.274979	-94.278114	-177.09732	100.0	100.0	29999	-127.54	3.742355	-115.14238	-143.18585	-127.53964	3.74427	-115.88024	-142.942	-1.2464869	0.50212276	1.685133	-8.78174	127.07203	1.0360991	148.37334871292114
21	-168.75485	5.591991	-160.23451	-177.57886	-159.00989	14.654498	-128.85121	-177.52829	100.0	100.0	31499	-132.09282	3.8712685	-119.49019	-148.50093	-132.09317	3.8756123	-119.18223	-149.30618	-1.2426354	0.51073235	1.6509683	-8.869339	131.6298	1.1092985	156.15909552574158
22	-173.87175	17.285265	-144.76102	-197.18555	-163.33492	14.939267	-132.45029	-181.04202	100.0	100.0	32999	-136.48048	4.005511	-123.22436	-152.45074	-136.48006	4.0082116	-123.272415	-153.32072	-1.2340093	0.51853824	1.445754	-6.37015	136.01865	1.1357478	163.94125866889954
