Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-442.14813	299.8055	-125.37275	-1185.9619	-80.09387	12.8285675	-59.807465	-96.050446	100.0	100.0	1499	-7.4370527	7.664524	0.36793905	-85.66638	-7.482455	7.6692553	0.030484319	-87.721535	-0.73682237	1.0318805	4.03488	-9.509319	6.3864512	16.002073	3.7476646900177
2	-518.1191	494.56628	-142.40198	-1529.741	-72.98116	11.818047	-48.252403	-93.10184	100.0	100.0	2999	-20.512459	24.728151	-0.40853375	-249.9215	-20.510136	24.755417	-0.17590293	-249.85162	0.18674925	1.6051575	8.390055	-9.1891985	17.407406	8.598117	11.060406684875488
3	-503.5436	600.9855	-106.17103	-2673.7256	-66.66887	8.488017	-50.496994	-76.91365	100.0	100.0	4499	-27.170586	33.640587	-0.67334795	-300.55	-27.173862	33.643757	-0.82667017	-297.63693	0.4231191	1.7058247	8.21372	-11.106939	23.099188	5.9893293	18.278324842453003
4	-554.472	461.1559	-99.42094	-1842.9652	-61.936512	13.434135	-43.08764	-89.97294	100.0	100.0	5999	-32.520306	38.522793	-1.8319705	-386.71323	-32.51996	38.5254	-1.2522734	-385.11414	0.53191715	1.7526145	9.056538	-10.149176	27.870573	7.829061	25.70042896270752
5	-316.13055	203.44542	-114.36409	-751.8096	-62.380787	16.023668	-34.052486	-84.767624	100.0	100.0	7499	-34.335114	37.03055	-4.384333	-419.86148	-34.336067	37.03348	-4.9198375	-420.00342	0.4940837	1.7298139	8.215818	-9.49064	29.877756	6.1652017	33.271140575408936
6	-505.34506	313.1954	-90.40703	-979.0251	-52.750202	14.196642	-31.554523	-80.36053	100.0	100.0	8999	-36.659264	35.431557	-6.5769377	-429.68954	-36.659966	35.43071	-7.24055	-432.63364	0.5280019	1.7439319	8.1674595	-10.591887	32.281067	6.4197617	41.44505977630615
7	-247.36461	207.14212	-46.076984	-809.6789	-53.87113	14.326484	-33.577362	-86.524124	100.0	100.0	10499	-38.744877	34.043053	-8.720968	-437.58765	-38.74508	34.0394	-9.396372	-439.85025	0.53797066	1.7457887	8.414255	-8.761808	34.449257	5.419049	49.358656883239746
8	-59.978683	11.174254	-43.051754	-77.90429	-65.629074	13.823657	-48.166622	-91.011795	100.0	100.0	11999	-38.564445	32.73573	-9.538923	-419.89273	-38.564533	32.73213	-10.311228	-430.37195	0.37982893	1.7245902	8.5367365	-13.532384	34.68225	4.7098117	57.26072931289673
9	-62.327778	16.40226	-37.436802	-98.19903	-63.666687	17.551447	-30.157837	-89.10058	100.0	100.0	13499	-38.26748	31.665752	-11.462792	-422.55368	-38.26721	31.661402	-12.035332	-427.1766	0.22665901	1.7049205	8.120186	-9.636788	34.780804	3.8963587	65.05386257171631
10	-60.62116	14.43635	-34.307167	-83.34357	-59.64558	16.514978	-41.266003	-99.609085	100.0	100.0	14999	-37.75492	30.334047	-12.800194	-433.1965	-37.755386	30.331812	-13.170752	-431.04855	0.106406644	1.6871976	8.240082	-8.961579	34.590332	3.607874	73.11515474319458
