Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-404.89188	295.8979	-46.65364	-1079.1006	-118.54274	59.541832	-19.161987	-233.03542	100.0	100.0	1499	-5.9084854	4.8642197	0.39538193	-45.808685	-6.2499137	4.7411885	0.08436342	-44.27092	-1.2804757	0.39824253	1.4006495	-6.292611	5.31345	32.957687	4.501798391342163
2	-488.31482	243.9001	-165.892	-986.3938	-34.638294	75.04986	169.37828	-98.34247	100.0	100.0	2999	-17.424454	15.463045	4.802969	-127.674675	-17.44312	15.465583	5.017658	-127.24176	-0.3675858	1.149412	5.404005	-8.8378725	14.823528	31.231697	13.535756587982178
3	-586.49976	475.75446	-82.68239	-1517.0898	-52.750305	32.27112	27.294233	-87.48453	100.0	100.0	4499	-22.898336	24.14474	15.387264	-172.23175	-22.910648	24.161963	15.393705	-171.7166	0.1854337	1.387338	6.2356224	-11.48861	18.730118	46.76549	22.58463764190674
4	-558.97156	623.051	-120.84564	-2718.3943	-18.885082	68.065	145.84769	-82.87074	100.0	100.0	5999	-20.541313	30.950232	24.62106	-190.45862	-20.550508	30.977365	23.792751	-191.0995	0.5844913	1.5638597	7.4314294	-11.094211	15.27966	38.81578	31.712759017944336
5	-501.33078	384.78897	-94.97127	-1263.2058	-53.981922	20.541265	-19.307123	-80.56803	100.0	100.0	7499	-14.703227	34.870636	30.573254	-195.79173	-14.709474	34.904865	29.177887	-197.9649	0.68825775	1.6419398	7.812625	-11.147406	9.172504	32.354027	41.48690724372864
6	-300.34952	155.19281	-97.74704	-675.51636	-62.666737	6.506047	-50.06343	-73.14868	100.0	100.0	8999	-11.060208	34.68445	32.49594	-196.58487	-11.064374	34.715645	32.739063	-199.52306	0.6558427	1.6820773	8.198745	-10.129463	5.6818542	27.691814	50.706053733825684
7	-359.79312	253.59818	-103.21307	-967.4865	-52.582573	20.807322	-19.346643	-83.15754	100.0	100.0	10499	-7.8256116	32.591316	33.44859	-197.33118	-7.8294826	32.618706	34.196903	-199.57054	0.5242054	1.6565187	7.4782696	-9.249958	3.02566	22.197659	60.327550172805786
8	-380.6566	386.8954	-69.7405	-1713.4836	-60.310326	16.51225	-39.897247	-91.722115	100.0	100.0	11999	-8.158998	30.546394	33.053673	-199.84146	-8.1609745	30.566261	33.066963	-200.66898	0.40871173	1.6409783	7.968609	-9.642228	3.6945436	19.98005	70.60478281974792
9	-313.15762	193.62332	-41.07144	-675.26117	-46.42003	34.08907	16.306273	-86.999794	100.0	100.0	13499	-9.494204	28.969753	32.358448	-201.28438	-9.49653	28.982225	31.484055	-201.43073	0.29268593	1.6169115	7.3294826	-10.003504	5.381356	17.372385	80.07408833503723
10	-369.184	232.63205	-116.8834	-910.8564	-36.18435	49.244087	92.26677	-85.233826	100.0	100.0	14999	-11.258966	27.798368	30.203915	-203.11523	-11.260585	27.81095	28.657436	-203.97324	0.25282258	1.5981331	7.3334675	-11.24312	7.330119	14.8565445	89.33178472518921
11	-340.77875	261.34424	-117.60287	-971.34717	-46.833176	29.984049	0.47247007	-86.22233	100.0	100.0	16499	-12.767249	26.58127	26.501842	-205.29332	-12.767907	26.594675	24.938501	-206.2951	0.1844367	1.5710332	7.3137193	-10.171091	9.047706	12.920067	98.54691171646118
12	-567.3477	313.25952	-88.15511	-1327.5493	-52.440483	26.01438	1.9484394	-82.8236	100.0	100.0	17999	-14.650543	26.469896	23.026878	-208.02136	-14.652563	26.487837	21.891916	-208.333	0.19176811	1.5765882	7.3165207	-10.921842	10.908649	13.399969	107.72260308265686
13	-347.0778	197.48209	-124.739655	-872.49567	-32.851738	41.840443	76.07252	-85.267456	100.0	100.0	19499	-16.218449	26.010748	20.213964	-211.10652	-16.218794	26.02699	18.935787	-212.03687	0.18959728	1.5698526	7.4114738	-9.536039	12.5196	12.916086	116.88154411315918
14	-122.26547	110.49759	3.4463446	-321.8411	-45.11027	20.24931	-8.664465	-75.089355	100.0	100.0	20999	-16.577063	25.316277	18.126287	-212.62888	-16.578514	25.326286	16.59375	-213.5867	0.15352486	1.5571067	7.108261	-9.636766	12.9865465	10.759153	126.06892538070679
15	-59.60563	20.135626	-13.302725	-92.46189	-36.350006	43.89697	82.201836	-74.55179	100.0	100.0	22499	-16.291107	24.975245	15.39553	-214.78857	-16.291721	24.984676	14.505636	-215.41739	0.06321118	1.5373775	6.434852	-8.831093	12.890136	9.426564	135.3508162498474
16	-50.783512	30.186182	6.5709677	-95.69816	-2.3641136	62.435883	132.78157	-57.437504	100.0	100.0	23999	-15.757972	24.244678	13.272351	-217.14015	-15.759283	24.2506	11.813074	-217.81827	-0.032006238	1.5212796	6.644503	-10.657789	12.62268	8.274992	144.65714716911316
17	-57.417385	28.221025	-11.20474	-95.48326	-49.566074	42.98751	72.868385	-85.95446	100.0	100.0	25499	-15.403922	23.893755	11.428049	-219.74896	-15.404223	23.898598	10.3554535	-220.41998	-0.11728957	1.5018744	6.806069	-11.742621	12.4242	7.42325	154.06401538848877
18	-51.479935	20.8156	-9.143215	-80.24592	-45.32244	36.917023	56.800404	-76.30122	100.0	100.0	26999	-15.092888	23.310102	10.64506	-223.0483	-15.093095	23.31541	8.709203	-223.07356	-0.18586259	1.477652	6.560312	-10.57299	12.268625	6.5197234	163.3864586353302
19	-64.94748	22.329096	-21.184946	-96.67193	-42.312767	24.667906	9.673379	-72.7832	100.0	100.0	28499	-14.658395	22.870926	10.005569	-224.60597	-14.658486	22.874954	7.4911356	-224.49109	-0.24560572	1.4529783	6.42566	-10.421914	11.956134	6.055361	172.63317131996155
20	-46.013565	19.357744	-17.515362	-81.3485	-52.043304	21.06499	-16.839315	-81.60095	100.0	100.0	29999	-14.156605	22.316383	8.844508	-225.74731	-14.157017	22.316944	6.432496	-224.92607	-0.2988813	1.4362131	6.4934196	-8.994816	11.613341	5.5703344	181.97131204605103
