Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-308.06036	203.70934	-118.28741	-865.7392	-40.667362	44.810696	88.08655	-69.25107	100.0	100.0	1499	-4.9864945	5.2437143	0.30209452	-55.01347	-5.000828	5.2630234	-0.02075465	-55.72241	-0.85896873	0.94214886	5.11915	-6.734079	4.023679	7.4344616	3.526754140853882
2	-353.94693	262.00952	-100.00183	-1043.6554	-35.76551	31.187004	26.7844	-81.68928	100.0	100.0	2999	-12.124695	14.859066	1.8291179	-135.74849	-12.117314	14.866809	3.1633584	-136.57178	0.011011	1.5015109	8.983662	-8.802769	9.684357	4.333238	10.686660289764404
3	-274.01895	162.09093	-74.38783	-589.31915	-41.19234	39.13773	62.77382	-88.512535	100.0	100.0	4499	-17.071161	18.331528	2.6875913	-159.65237	-17.061844	18.346273	4.1731405	-159.01888	0.3443503	1.6168615	7.6957474	-10.345151	13.927539	3.396534	17.79155921936035
4	-237.5618	88.15379	-99.627075	-463.39374	-24.551224	70.4933	115.12497	-91.91461	100.0	100.0	5999	-16.42153	16.878428	2.881242	-173.75708	-16.412409	16.889637	3.58427	-173.09567	0.2716455	1.585712	8.063551	-11.6518	13.511223	2.86833	24.95618963241577
5	-279.49548	169.4811	-67.301346	-733.8773	-38.919884	66.4294	107.30265	-90.30593	100.0	100.0	7499	-17.383734	16.873438	3.9674761	-178.39548	-17.377666	16.881563	4.5223	-180.66928	0.28953975	1.5800657	8.441581	-9.913793	14.546683	3.431866	32.18023729324341
6	-363.9839	288.79987	-82.88248	-1243.4104	-2.9888592	51.228897	82.26652	-79.5941	100.0	100.0	8999	-18.747894	19.462883	5.310831	-201.62218	-18.742495	19.468216	5.0429044	-203.56647	0.33892208	1.6172998	8.995995	-10.117571	15.759213	3.6953983	39.366382360458374
7	-211.8265	192.80748	-3.6286943	-778.29114	-40.121155	31.029428	17.453684	-79.200676	100.0	100.0	10499	-19.389544	19.29332	7.33201	-216.99297	-19.384356	19.301065	7.3061743	-218.60565	0.37277687	1.6230944	8.282258	-11.9531555	16.378231	3.967959	46.54774737358093
8	-48.075684	24.7311	22.352264	-91.52625	-12.519005	59.944454	89.67634	-71.45599	100.0	100.0	11999	-18.401598	18.744692	8.19549	-218.76833	-18.395237	18.754597	9.043534	-223.03882	0.22143823	1.6010675	8.48301	-8.942603	15.729998	3.5540586	53.861793756484985
9	-34.264305	41.19444	74.32375	-91.643745	-15.632663	47.849655	68.43413	-73.881714	100.0	100.0	13499	-17.380373	18.405151	9.66136	-223.3464	-17.370728	18.416197	10.278269	-227.73517	0.08356067	1.5847509	7.91718	-9.99322	14.993922	3.499567	61.191948652267456
10	-33.502655	33.56792	63.330486	-72.00322	-2.3062387	58.75723	151.84373	-52.028385	100.0	100.0	14999	-16.571518	17.967922	12.00084	-221.32736	-16.554373	17.987513	13.247908	-219.86894	-0.019889046	1.5577551	8.621333	-9.008383	14.416704	3.5915937	68.55028462409973
11	-26.159294	42.003677	46.84707	-85.70722	-39.679783	21.174465	-4.6818457	-68.76759	100.0	100.0	16499	-15.725205	18.210432	15.928816	-224.87236	-15.701933	18.23463	16.609629	-222.28354	-0.09279529	1.5372126	8.065334	-13.675806	13.725943	3.7292142	76.09421920776367
12	-20.819057	38.6646	56.52326	-77.45529	-27.945883	32.39721	43.52071	-62.14195	100.0	100.0	17999	-15.064788	18.548534	19.86362	-224.64459	-15.037557	18.577358	20.965765	-219.40157	-0.15240352	1.5138297	8.179113	-9.934956	13.238332	3.9125175	83.4251298904419
13	2.9612236	50.66206	99.72994	-67.048	6.8577166	69.80567	150.96335	-59.33526	100.0	100.0	19499	-14.32003	18.445559	23.859264	-222.26389	-14.287514	18.476309	24.827091	-218.62573	-0.20069574	1.4906139	7.729209	-8.783078	12.629697	4.255498	90.74707460403442
14	-6.840505	45.514114	84.12711	-72.007965	12.612059	75.9439	182.87025	-50.37682	100.0	100.0	20999	-13.570692	18.399492	27.744665	-220.60324	-13.525036	18.445131	28.77529	-229.03867	-0.22207612	1.4771487	7.8038435	-9.849151	12.002755	4.6447487	98.07973003387451
15	26.658653	55.605312	131.5	-69.866295	56.816692	51.538868	132.63649	-20.139175	100.0	100.0	22499	-12.836149	18.898428	32.82944	-220.10362	-12.787821	18.94887	33.753765	-223.52002	-0.21755733	1.4794811	7.824244	-9.296778	11.337672	5.0395184	105.49523496627808
16	-9.983115	45.012863	97.79696	-76.74407	37.178627	72.700676	151.74341	-70.65872	100.0	100.0	23999	-11.670709	19.505548	36.215412	-228.3327	-11.615135	19.554697	37.964104	-234.99347	-0.22356768	1.4730599	7.9330983	-9.792723	10.2503395	5.589599	112.92223954200745
17	16.107115	35.13236	76.19022	-53.59358	34.593933	71.70232	173.12859	-55.253967	100.0	100.0	25499	-10.4416065	19.967426	41.42852	-233.80739	-10.376831	20.02242	41.910637	-234.7369	-0.23592891	1.4617931	8.401342	-10.851471	9.116429	6.051195	120.22882270812988
18	35.965446	39.19365	105.48467	-37.56513	52.998924	82.975105	190.71225	-33.998013	100.0	100.0	26999	-8.937922	20.435041	46.59332	-225.69023	-8.866787	20.489439	45.9844	-222.87354	-0.238925	1.4557356	8.220841	-9.624275	7.6787863	6.343927	127.62613439559937
19	39.70385	60.243546	146.95459	-76.615295	35.265076	66.789505	150.58212	-47.218704	100.0	100.0	28499	-7.5004516	21.310726	49.113613	-230.70349	-7.4250193	21.366135	50.42499	-237.8775	-0.22197	1.4571843	8.604279	-8.55637	6.301302	6.9861593	135.00339794158936
20	7.607784	55.384804	129.66446	-80.79375	65.14512	58.719955	157.81024	0.1597362	100.0	100.0	29999	-5.4912314	22.087538	55.077904	-224.03957	-5.415813	22.137829	54.471508	-216.36206	-0.20394328	1.4564667	8.290029	-10.278884	4.315862	7.3513327	142.35890674591064
21	22.622042	49.12801	122.50805	-56.99901	41.00765	80.8288	166.66553	-43.256695	100.0	100.0	31499	-3.3235414	23.174248	60.75521	-212.25186	-3.250085	23.218182	61.18914	-211.09938	-0.18762968	1.4545157	8.663401	-9.669639	2.1860871	7.9542317	149.71393752098083
22	30.61013	52.38202	133.69162	-41.787067	61.19619	69.953156	159.23466	-56.220375	100.0	100.0	32999	-1.3115115	24.01852	70.37737	-214.91426	-1.2370797	24.060003	72.12404	-210.86923	-0.17118339	1.4495958	8.170817	-8.409292	0.21175122	8.386855	157.1186649799347
23	38.329826	41.21515	119.40792	-41.127853	50.170494	80.63575	160.66025	-53.279137	100.0	100.0	34499	0.86772996	25.111876	80.65723	-223.91109	0.9408608	25.148771	82.23185	-215.66072	-0.15024906	1.459721	9.439464	-9.141811	-1.9352531	8.913445	164.54398441314697
24	55.092148	50.460087	112.874725	-65.00719	54.86913	83.68838	169.08847	-45.34752	100.0	100.0	35999	3.7214084	26.621902	90.67309	-226.52078	3.7923892	26.654955	91.390854	-223.8576	-0.12854955	1.468288	8.434848	-10.70647	-4.7900705	9.420239	171.94231700897217
25	58.938362	48.06841	134.73375	-41.087738	47.440464	79.296364	181.57405	-25.615396	100.0	100.0	37499	6.2402697	27.456413	100.24838	-221.26576	6.306803	27.485512	100.62323	-215.63098	-0.11583186	1.4618902	7.8912406	-9.99723	-7.2472005	9.926671	179.38283705711365
26	59.887005	53.40286	152.93675	-31.868624	37.85441	78.16267	185.36247	-54.963863	100.0	100.0	38999	8.95691	28.702568	108.72762	-235.0939	9.0205555	28.724447	109.80549	-224.64857	-0.10183314	1.4704548	8.929401	-10.477636	-9.941196	10.350739	186.77213144302368
27	50.42715	49.817833	146.3389	-19.67507	118.33557	72.638695	189.54337	-27.928694	100.0	100.0	40499	11.903345	30.071987	118.13723	-226.60237	11.963972	30.087217	119.23077	-227.77568	-0.106083825	1.4606723	9.060211	-9.153344	-12.833799	10.743528	194.12612056732178
28	57.333427	49.670662	147.65184	-16.236048	110.725426	72.23753	192.0761	-34.85116	100.0	100.0	41999	14.89073	31.468288	127.64954	-218.36478	14.947944	31.481613	128.02246	-215.95294	-0.07728792	1.462184	9.257075	-10.066915	-15.783032	11.42323	201.50844621658325
29	70.96668	58.06298	135.25002	-63.65078	96.03103	81.60062	173.82881	-29.422535	100.0	100.0	43499	17.86782	33.1802	136.46367	-228.7428	17.913223	33.1871	135.78653	-222.63144	-0.048597954	1.4687241	8.392183	-9.328045	-18.729969	11.82846	208.86013340950012
30	37.558983	68.09821	150.38495	-52.970078	59.30242	66.01776	174.98723	-23.06284	100.0	100.0	44999	21.266695	34.85928	149.16216	-233.53189	21.30499	34.86401	148.90596	-227.18149	-0.020782761	1.4680023	8.697697	-10.983283	-22.094532	12.765147	216.2595934867859
31	84.02386	54.994865	167.39122	-4.6062164	70.087585	92.635086	178.01901	-38.941288	100.0	100.0	46499	24.941324	36.29184	156.52917	-239.12015	24.967817	36.296364	157.4951	-233.53905	0.0052094855	1.4739237	8.91003	-9.663782	-25.769682	13.49083	223.61626029014587
32	88.729515	62.394234	168.05673	-47.226086	86.15398	72.101204	155.23338	-26.435741	100.0	100.0	47999	29.13739	38.442642	163.97946	-223.14699	29.15427	38.44752	164.34294	-223.12114	0.045312837	1.4865801	8.913373	-8.989143	-29.936087	14.271705	231.0289351940155
33	104.24473	60.127567	176.25523	-71.56616	84.36888	65.902695	163.17128	-26.833996	100.0	100.0	49499	33.49213	40.05256	173.32437	-222.78134	33.506218	40.055073	173.10127	-220.91878	0.07588575	1.4860339	8.171519	-9.435868	-34.288048	14.821835	238.41473484039307
34	92.30618	44.876637	151.69423	9.146063	107.53617	63.35689	170.22112	-21.515488	100.0	100.0	50999	37.434246	41.540276	181.51105	-228.25386	37.447235	41.53902	181.66283	-219.19746	0.09330741	1.4891168	9.443525	-8.8047085	-38.21862	15.443779	245.79916739463806
