Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-190.01793	1.8771685	-185.16129	-192.67819	-189.55057	4.045848	-181.21164	-193.18297	100.0	100.0	1499	-2.5272446	0.76827615	0.35501808	-4.594369	-2.5422068	0.72893566	-0.02513127	-4.62166	-1.3580247	0.1994676	1.4049287	-5.8268137	1.9004053	0.09818045	3.561723470687866
2	-190.58398	1.3671695	-186.3521	-192.31024	-190.95602	2.1359923	-186.35025	-193.55731	100.0	100.0	2999	-7.131477	1.920633	-3.3348668	-11.297046	-7.1315775	1.9204422	-3.3634675	-11.440072	-1.3642936	0.18187371	-0.64614224	-4.910419	6.4850326	0.03262254	10.594059467315674
3	-190.16768	2.5861218	-183.96721	-192.90596	-191.89178	1.3777528	-190.03972	-194.37651	100.0	100.0	4499	-12.781507	1.4042249	-9.50681	-16.017649	-12.781467	1.404237	-9.491795	-16.225887	-1.3648585	0.17784484	-0.6747346	-6.0165954	12.141266	0.039292492	17.599782705307007
4	-190.08685	1.906664	-185.28502	-193.44601	-189.69745	6.03728	-172.89452	-193.86145	100.0	100.0	5999	-16.820028	1.0160185	-14.057	-19.625727	-16.81998	1.0159878	-14.007741	-19.815248	-1.3656733	0.17197548	-0.662992	-6.6710706	16.184958	0.04476666	24.72329020500183
5	-189.7324	1.6402656	-185.89348	-192.83224	-189.9299	3.4891846	-182.3397	-194.41335	100.0	100.0	7499	-19.638464	0.7453281	-17.279543	-22.603962	-19.63848	0.7449477	-17.371939	-22.63144	-1.3656255	0.17114902	-0.53222895	-6.1670547	19.005146	0.04835205	31.780656099319458
6	-189.47467	2.2216046	-185.14143	-193.82027	-190.53024	2.7363837	-186.84332	-194.90767	100.0	100.0	8999	-21.584457	0.57688683	-19.381784	-24.292593	-21.58446	0.57682884	-19.533352	-24.137167	-1.3664384	0.1714618	-0.6234729	-5.848962	20.950558	0.05142329	38.85691595077515
7	-189.48868	2.0950766	-185.12215	-192.38799	-191.08409	1.832171	-188.51677	-193.22765	100.0	100.0	10499	-22.914894	0.4778943	-21.09323	-24.96329	-22.914818	0.47864854	-21.078897	-24.963247	-1.3652898	0.16879116	-0.54267263	-5.042034	22.282484	0.05192955	46.120781660079956
8	-189.89146	1.3523558	-187.2137	-193.19287	-188.84727	2.482333	-184.43803	-193.10545	100.0	100.0	11999	-23.824148	0.41537634	-22.129808	-25.782146	-23.824131	0.4159592	-22.162144	-25.604134	-1.366008	0.17099525	-0.611464	-6.7754006	23.189644	0.05274819	53.58213710784912
9	-190.48007	2.012109	-185.22961	-194.2627	-191.24635	1.6720486	-189.02684	-194.92047	100.0	100.0	13499	-24.444197	0.37688833	-22.876299	-26.241693	-24.444164	0.37854418	-22.91615	-26.28235	-1.3662784	0.16786222	-0.722245	-4.62164	23.810043	0.05194262	60.974021196365356
10	-189.38887	2.3196347	-186.19577	-194.22621	-190.59973	2.247191	-185.79803	-194.67421	100.0	100.0	14999	-24.859434	0.35087588	-23.28712	-26.497074	-24.859396	0.35233662	-23.287815	-26.420212	-1.3660957	0.17061095	-0.60937023	-5.36191	24.226583	0.05318209	68.37143301963806
