Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-181.44208	2.7427301	-174.83865	-186.94907	-183.03732	3.6212697	-178.11293	-188.89973	100.0	100.0	1499	-2.4167538	0.7555562	0.32955664	-4.1611094	-2.430415	0.72017944	-0.006034285	-4.1744246	-1.3587801	0.19842257	0.48443317	-5.7135572	1.7874885	0.10118527	3.661658763885498
2	-180.58278	3.8377023	-171.78357	-185.49945	-178.90181	5.041712	-167.9544	-188.25795	100.0	100.0	2999	-7.5377316	2.3268147	-3.133283	-12.835101	-7.5375733	2.3270333	-3.1581266	-12.86622	-1.3652955	0.17885044	-0.69756556	-5.3229628	6.9015546	0.054062348	10.929113864898682
3	-181.17067	4.699718	-170.60844	-190.31522	-182.21553	6.988781	-171.91888	-190.01505	100.0	100.0	4499	-15.581037	2.3806243	-9.942618	-21.468662	-15.581028	2.3807197	-9.88862	-21.619848	-1.3633589	0.18408965	-0.68591094	-5.7754393	14.96993	0.0930602	18.37915563583374
4	-179.96843	5.597426	-166.59412	-186.36295	-183.60449	7.089441	-167.8085	-195.03961	100.0	100.0	5999	-23.681309	2.4075706	-17.711136	-29.88359	-23.68144	2.407829	-17.590696	-30.0539	-1.3615223	0.1928385	-0.32896256	-6.5721245	23.0879	0.12455948	25.904990196228027
5	-181.6572	3.9574642	-171.52797	-189.02667	-181.67154	4.7471337	-170.60222	-187.90613	100.0	100.0	7499	-31.672663	2.4347014	-25.374952	-38.83615	-31.672466	2.4361558	-25.432426	-38.65846	-1.3569248	0.2088568	-0.11287975	-5.973401	31.09189	0.16610947	33.32608103752136
6	-181.25494	3.7824557	-175.29713	-188.18066	-181.76462	6.6543903	-171.3702	-195.79103	100.0	100.0	8999	-39.47911	2.4074216	-33.196983	-47.349342	-39.479115	2.4080033	-33.12735	-47.07106	-1.3561497	0.2184527	-0.1509037	-5.9147716	38.907383	0.19651933	40.621774435043335
7	-181.0872	2.174192	-177.23921	-184.73901	-181.1051	5.702619	-169.40367	-188.47186	100.0	100.0	10499	-47.033405	2.397543	-40.329876	-55.313107	-47.0334	2.3973844	-40.527023	-55.47579	-1.3514994	0.23178832	0.16880107	-5.6382046	46.468376	0.22441447	47.95478916168213
8	-182.78876	3.6759176	-172.61195	-188.1013	-182.05501	5.9262466	-171.89305	-192.5917	100.0	100.0	11999	-54.352356	2.3726473	-47.134518	-62.419994	-54.352295	2.3734372	-47.242847	-62.628708	-1.349576	0.24329554	0.37128806	-6.7406306	53.79102	0.23918758	55.538552045822144
9	-183.43526	4.034914	-173.68233	-190.57123	-175.87001	9.123318	-161.3107	-189.78746	100.0	100.0	13499	-61.422825	2.3489594	-54.299408	-69.90279	-61.422955	2.350101	-54.42009	-69.59093	-1.3487543	0.24714623	0.21926308	-5.2581043	60.863136	0.25269356	63.04419994354248
10	-178.78854	5.353161	-169.44315	-186.04999	-175.29626	5.7819357	-162.97722	-182.3412	100.0	100.0	14999	-68.27284	2.3263364	-61.06636	-76.08606	-68.27248	2.327068	-61.172256	-76.12555	-1.3471872	0.25845447	0.70245457	-5.8766656	67.715164	0.26503697	70.45710349082947
