Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-377.1925	5.724038	-363.55438	-388.74585	-379.48352	9.187169	-358.0136	-390.10297	100.0	100.0	1499	-5.740536	1.9618378	0.3302799	-11.605108	-5.774205	1.8894371	0.008661747	-11.62521	-1.3413603	0.24087462	1.110671	-6.23564	5.161395	0.67517495	3.8659050464630127
2	-376.9286	5.9364033	-362.91174	-386.12268	-379.39923	7.7487173	-362.97278	-389.07535	100.0	100.0	2999	-19.336607	6.226218	-7.7578735	-33.175312	-19.3368	6.2264595	-7.7434897	-33.08607	-1.3518485	0.2226164	-0.41614962	-5.142864	18.740585	0.16760445	11.578034162521362
3	-378.06686	5.069529	-367.169	-386.66592	-375.56647	10.902053	-346.16724	-388.35226	100.0	100.0	4499	-41.19676	6.4223366	-27.728865	-56.417576	-41.196617	6.423597	-27.49226	-56.723217	-1.3439665	0.25593954	0.11944246	-6.0508966	40.643986	0.29567567	19.416972637176514
4	-375.0289	6.5515504	-362.60977	-388.40805	-375.33295	15.609063	-332.83878	-391.1184	100.0	100.0	5999	-63.045013	6.380696	-49.12183	-78.78946	-63.04498	6.3814645	-49.101578	-78.42414	-1.3385109	0.2765208	0.39446068	-7.0903387	62.524323	0.40905565	27.26124596595764
5	-377.20737	4.646531	-367.78772	-384.5586	-373.77002	10.131647	-352.1069	-388.2751	100.0	100.0	7499	-84.266815	6.163412	-70.70613	-99.406685	-84.266594	6.1645103	-70.66674	-99.93625	-1.335848	0.28447884	0.30222356	-6.8469973	83.76462	0.5140753	35.56699824333191
6	-378.12335	4.384003	-370.9428	-388.20956	-377.18924	4.802177	-369.48514	-388.416	100.0	100.0	8999	-104.91147	6.0507984	-90.98515	-121.69402	-104.91114	6.0525603	-91.0488	-121.50183	-1.3346332	0.29397395	0.7472253	-6.2947392	104.42909	0.63375604	43.06314945220947
7	-374.64462	6.783177	-366.05197	-386.0344	-376.3946	16.226748	-337.79144	-394.55048	100.0	100.0	10499	-125.000626	5.897296	-111.1348	-141.6161	-125.00052	5.8974805	-111.00824	-140.55412	-1.3289926	0.30615643	0.47785926	-4.834337	124.537186	0.7244536	50.58363342285156
8	-375.25244	6.22286	-360.6503	-385.54492	-377.81137	8.458382	-365.7103	-388.72345	100.0	100.0	11999	-144.35074	5.724897	-130.49628	-159.79347	-144.35075	5.725142	-130.47699	-159.6581	-1.3283366	0.3086	0.5640309	-6.9503326	143.89854	0.778605	58.16354036331177
9	-377.8146	5.214575	-366.78424	-385.78543	-375.74432	10.041733	-351.15436	-386.59796	100.0	100.0	13499	-163.0152	5.5808024	-149.49153	-178.65422	-163.0151	5.5810776	-149.11588	-178.62622	-1.3282926	0.30998087	0.3618865	-5.585629	162.56961	0.8217734	65.79750657081604
10	-377.54645	6.4369364	-363.75116	-388.71997	-377.86368	11.4655075	-349.15063	-392.55972	100.0	100.0	14999	-181.17374	5.4737625	-167.58492	-197.4346	-181.17369	5.474941	-167.35286	-196.93092	-1.3277117	0.31246793	0.42189693	-5.7429404	180.73996	0.88465106	73.44571542739868
11	-373.70444	6.0713124	-356.4752	-381.04538	-364.5561	19.39945	-329.7547	-386.4175	100.0	100.0	16499	-198.69762	5.3417487	-184.92416	-215.2611	-198.69759	5.3437514	-184.36548	-214.34755	-1.328555	0.30792725	0.28221202	-6.8317966	198.27446	0.94769806	80.91819524765015
12	-375.36865	6.0791936	-360.1945	-382.9835	-373.01276	9.73143	-351.4451	-386.29373	100.0	100.0	17999	-215.59029	5.194471	-202.15097	-232.00249	-215.59007	5.1957927	-202.11789	-231.94862	-1.3284808	0.31534454	0.46282625	-6.893135	215.16829	1.0023961	88.28511047363281
13	-378.76044	5.5515842	-367.51862	-386.9662	-359.2623	13.130753	-332.87317	-379.63022	100.0	100.0	19499	-231.90408	5.0971317	-218.71101	-248.47882	-231.90416	5.0988092	-218.21684	-248.60855	-1.3280002	0.31323436	0.58827424	-7.3651624	231.49171	1.0680413	95.64982461929321
14	-372.48575	9.192375	-355.32907	-385.81573	-368.74063	12.194921	-348.16	-387.58478	100.0	100.0	20999	-247.65971	4.997854	-234.2311	-264.68204	-247.6596	4.9989185	-234.45882	-264.02066	-1.323878	0.32679713	0.74701524	-6.767494	247.24612	1.0747606	103.04428219795227
15	-372.27408	9.170748	-347.85297	-386.09995	-373.73434	9.089687	-360.25842	-391.6214	100.0	100.0	22499	-262.8237	4.869699	-249.29059	-279.06882	-262.82382	4.872471	-249.26994	-279.5862	-1.3211805	0.33292258	0.6869507	-5.466405	262.41626	1.1342549	110.41019368171692
16	-370.27966	6.529555	-355.4078	-378.40582	-363.8626	22.623302	-306.09982	-389.8459	100.0	100.0	23999	-277.4301	4.75681	-264.52155	-293.8159	-277.42993	4.7590585	-263.44092	-293.71405	-1.316519	0.34544784	0.71380734	-7.566967	277.0276	1.1919864	117.86799144744873
