Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-492.3969	5.562383	-478.59988	-498.40524	-484.48785	8.437336	-465.7245	-494.1621	100.0	100.0	1499	-8.439566	2.9274466	0.38087195	-16.01411	-8.485706	2.8271255	-0.024556458	-16.115911	-0.7652051	0.73030686	1.3584228	-10.234488	8.3680725	1.7927212	3.5984504222869873
2	-490.40247	6.9981594	-471.7157	-503.25812	-474.32657	16.03529	-444.69318	-492.82993	100.0	100.0	2999	-29.002487	9.421216	-12.038018	-49.319027	-29.002663	9.421114	-11.996329	-48.5637	-0.9200555	0.72732985	2.424282	-8.563375	28.930391	0.20384589	10.95045280456543
3	-491.4826	4.2168775	-484.26224	-497.18484	-474.57285	11.536739	-452.86856	-491.3206	100.0	100.0	4499	-62.284485	9.739188	-43.216087	-82.77874	-62.2844	9.73932	-43.330944	-83.17633	-0.8954256	0.80495113	4.2558746	-9.368884	62.271603	0.4060218	18.281763076782227
4	-490.99655	6.0744867	-479.0388	-501.82077	-467.4935	28.993696	-389.57605	-494.22107	100.0	100.0	5999	-95.35947	9.503244	-75.68482	-116.56335	-95.359695	9.502785	-75.859604	-116.31365	-0.8463451	0.8370839	3.272089	-9.982865	95.378395	0.56934893	26.334206581115723
5	-491.13934	3.4938226	-485.05673	-496.874	-474.82574	16.331493	-433.0036	-493.07944	100.0	100.0	7499	-127.47409	9.2291565	-108.313194	-148.39049	-127.47393	9.228151	-108.17418	-147.91173	-0.7993824	0.88993067	3.6381276	-7.5116367	127.51018	0.71349674	34.07969045639038
6	-494.45908	2.298125	-490.91794	-499.1703	-443.952	28.281607	-384.05878	-486.14124	100.0	100.0	8999	-158.69835	9.032321	-139.4532	-181.11244	-158.69858	9.030462	-139.40004	-180.60988	-0.7732101	0.9214892	4.738107	-8.839853	158.75757	0.86566913	41.591946601867676
7	-489.26862	8.177359	-467.1125	-500.5694	-467.6879	12.626146	-445.28302	-485.61142	100.0	100.0	10499	-189.021	8.760849	-170.12187	-211.26468	-189.02084	8.75988	-169.87033	-211.24776	-0.744911	0.937029	4.251603	-8.314624	189.09659	1.0109043	49.10669994354248
8	-481.03726	12.137405	-448.37335	-495.63712	-474.62485	13.385314	-446.09406	-489.84506	100.0	100.0	11999	-218.18169	8.457007	-199.06792	-239.5503	-218.18181	8.45624	-199.74062	-240.75421	-0.7618564	0.93950117	4.5530777	-9.348415	218.27606	1.0381035	56.78737998008728
9	-483.21643	9.991177	-463.06296	-497.5857	-466.2964	21.593967	-421.5029	-491.69998	100.0	100.0	13499	-246.29283	8.200066	-227.78244	-268.70312	-246.29253	8.200661	-227.44124	-268.3663	-0.7801932	0.92273945	5.221657	-8.029301	246.40678	1.1316713	64.32271218299866
10	-482.90533	8.297689	-466.26526	-492.9713	-469.53754	12.863715	-445.1584	-487.9933	100.0	100.0	14999	-273.4534	7.961173	-254.37534	-295.43445	-273.4533	7.9611006	-254.49678	-295.6883	-0.7863319	0.9266058	4.482884	-9.169783	273.5794	1.2308954	71.81271076202393
