Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-492.94684	3.8248901	-486.36603	-503.59836	-480.93854	6.8030667	-471.9337	-489.9022	100.0	100.0	1499	-7.81744	3.0748603	0.331998	-15.199498	-7.903275	2.9247231	-0.038120314	-14.954486	-0.08978737	0.93766505	2.474203	-11.261594	7.7845955	3.1306076	3.578723430633545
2	-491.60287	7.293035	-470.92627	-503.46957	-478.21515	5.882657	-469.88043	-487.134	100.0	100.0	2999	-25.132265	7.280078	-10.761587	-41.045284	-25.133091	7.2794423	-10.705879	-41.285526	-0.2817411	0.88861793	2.5350847	-9.791527	25.05873	0.18354698	11.343712329864502
3	-492.9083	3.7930744	-484.85498	-498.42108	-480.41104	17.940393	-430.09158	-495.9466	100.0	100.0	4499	-47.006886	5.4446607	-34.617977	-59.133858	-47.00646	5.4460397	-34.456688	-59.312206	-0.5080586	0.8966041	3.0399542	-9.864714	46.983337	0.22863273	18.738715410232544
4	-493.16077	4.830583	-484.46625	-503.1537	-488.0652	2.9711905	-484.80106	-494.49606	100.0	100.0	5999	-62.83094	4.0056925	-53.072536	-74.06968	-62.83086	4.0061336	-53.150192	-73.645584	-0.63193125	0.8978311	3.493312	-9.766205	62.835964	0.2664026	26.433332204818726
5	-494.02753	5.6691995	-479.60156	-505.32178	-476.5599	17.644735	-441.8958	-496.1498	100.0	100.0	7499	-73.98564	2.879592	-66.26196	-82.264946	-73.985664	2.8780174	-66.141426	-82.07367	-0.734333	0.8603889	3.0453804	-11.343899	74.00476	0.29001248	33.88860321044922
6	-492.24384	5.0461984	-479.9193	-501.23663	-474.68076	16.798996	-430.2442	-489.38022	100.0	100.0	8999	-81.72187	2.107491	-75.56987	-89.68412	-81.72178	2.1042082	-75.69247	-89.75989	-0.7893803	0.8363374	3.22649	-8.913836	81.7454	0.3033309	41.480714082717896
7	-488.09335	7.023738	-474.92126	-496.87125	-466.01108	24.174528	-406.642	-490.62762	100.0	100.0	10499	-87.071884	1.6202996	-81.75475	-93.28692	-87.07197	1.614517	-82.39986	-93.415535	-0.82138497	0.8194273	3.661502	-8.704708	87.09831	0.30003783	49.62827920913696
8	-482.5702	9.497729	-452.83688	-495.68927	-467.3006	20.171164	-427.90826	-492.91812	100.0	100.0	11999	-90.673904	1.2792357	-86.60702	-95.94563	-90.674034	1.2727317	-86.62229	-95.92205	-0.8548274	0.8131794	4.459037	-9.575499	90.70164	0.29768273	57.53911828994751
9	-481.3923	11.46464	-461.13025	-498.1711	-480.5948	19.774776	-426.83392	-502.56332	100.0	100.0	13499	-93.049934	1.1272479	-89.45344	-97.71906	-93.04991	1.1220087	-89.38352	-97.86351	-0.8432088	0.83629763	3.964842	-8.900536	93.07531	0.2961144	65.44189524650574
10	-484.24786	6.2692456	-472.99347	-497.94128	-456.99927	14.692245	-430.92902	-480.6652	100.0	100.0	14999	-94.6316	1.0556648	-90.55712	-98.93394	-94.63155	1.0483195	-90.72264	-98.88062	-0.8241917	0.8567006	4.379561	-9.089365	94.658134	0.3062041	73.14654779434204
11	-475.11493	13.103836	-449.98825	-494.44327	-464.68146	17.580532	-427.05017	-490.48654	100.0	100.0	16499	-95.66866	1.0378088	-91.55679	-100.27778	-95.66878	1.0300345	-91.679375	-100.376915	-0.79321843	0.8889864	4.7001076	-7.8948984	95.69462	0.3200167	80.95446825027466
12	-480.33255	11.560395	-455.98895	-493.45462	-462.14606	19.292614	-433.26627	-494.8385	100.0	100.0	17999	-96.291046	1.0792515	-92.18585	-100.52351	-96.29094	1.0708297	-92.21842	-100.849174	-0.75008255	0.9377029	4.7224307	-8.611018	96.31187	0.33979973	88.83391690254211
13	-475.27658	11.769668	-450.4888	-499.8447	-459.59186	20.45921	-419.54596	-485.3643	100.0	100.0	19499	-96.64979	1.1388389	-92.87001	-101.353905	-96.64975	1.1340544	-92.87797	-101.41081	-0.7027215	0.9747777	5.095479	-8.925039	96.66976	0.35244396	96.61188387870789
14	-468.08908	15.161887	-448.21967	-499.7005	-448.8333	28.799643	-371.85126	-475.29346	100.0	100.0	20999	-96.82745	1.218871	-92.651245	-102.09974	-96.82749	1.2127076	-92.851524	-101.79676	-0.6584216	1.0076631	4.83582	-10.609085	96.84622	0.37403142	104.58008289337158
15	-468.80804	15.649498	-427.4214	-491.99402	-443.28857	23.593632	-390.76923	-476.1792	100.0	100.0	22499	-96.8299	1.3404844	-92.46865	-102.14134	-96.82994	1.3350887	-92.615845	-102.03235	-0.56570226	1.0707103	4.9633274	-8.036585	96.84244	0.39272845	112.81733918190002
