Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-532.61444	10.275095	-512.44855	-549.205	-513.95593	12.649793	-479.51422	-528.30817	101.0	101.0	1499	-7.9299207	3.2852774	0.3396331	-16.067802	-8.046275	3.0990436	-0.020344019	-15.909305	0.040441845	0.97807914	3.141761	-9.777438	7.8972483	4.8482957	4.076946973800659
2	-535.3825	5.4968987	-525.19037	-544.9229	-530.4177	8.006799	-519.9744	-544.7446	101.0	101.0	2999	-25.506987	7.2033443	-10.4227705	-43.60216	-25.507294	7.20504	-10.269948	-42.571476	0.4369018	0.9578312	3.9313018	-9.22751	25.271305	8.5382185	12.33095097541809
3	-537.7419	4.2733965	-524.03986	-542.69995	-527.5604	8.807263	-509.56235	-539.6532	101.0	101.0	4499	-46.17214	5.275117	-29.239166	-63.03299	-46.17087	5.2940607	-29.083183	-63.905407	0.7673849	1.0082806	5.296401	-10.340866	45.86203	30.27139	20.14396333694458
4	-533.0998	4.379972	-526.5932	-540.7027	-521.7964	9.777194	-505.03036	-539.9219	101.0	101.0	5999	-59.78642	4.1315465	-43.68551	-74.73785	-59.78468	4.1676426	-42.594566	-75.512314	0.88972396	1.0235744	5.032383	-9.622966	59.48181	52.651188	28.66144108772278
5	-533.2897	6.1429515	-522.8416	-547.44543	-532.94946	5.0067096	-522.05493	-539.5722	101.0	101.0	7499	-68.76898	3.6791031	-51.42532	-84.27678	-68.76738	3.7137654	-50.191837	-85.63299	0.9938015	1.0272914	4.326105	-9.955927	68.44347	72.6987	37.08464527130127
6	-532.6829	11.253512	-498.9385	-542.1473	-538.5337	6.3226175	-524.867	-544.99274	101.0	101.0	8999	-74.3733	3.5758176	-57.271038	-89.89547	-74.37123	3.6166825	-55.383617	-90.86752	1.0734948	1.039593	5.534849	-9.476293	74.01456	84.09246	45.907846212387085
7	-534.05096	10.620342	-497.86032	-542.0685	-532.6664	6.6843834	-514.99084	-540.36053	101.0	101.0	10499	-77.75309	3.6991868	-59.47329	-93.155304	-77.74955	3.7577457	-60.015385	-94.984116	1.1164255	1.0525345	6.363164	-11.115566	77.38849	102.42829	54.193050384521484
8	-531.5686	7.789984	-511.00955	-543.26154	-530.95465	14.925706	-489.76944	-542.88617	101.0	101.0	11999	-80.250275	3.883698	-61.985336	-100.24804	-80.249054	3.9526088	-63.50474	-100.094086	1.1108556	1.0609894	6.761486	-11.069744	80.01868	106.62013	62.35375905036926
9	-531.76697	4.6374397	-523.74615	-542.03394	-533.48584	8.005938	-521.07806	-544.4742	101.0	101.0	13499	-82.43868	3.8776534	-65.445305	-100.6073	-82.43649	3.9363132	-65.57503	-102.63982	1.0948604	1.0407193	5.610745	-7.870338	82.33833	118.932594	70.51059746742249
10	-532.5666	5.718308	-519.7966	-540.3057	-531.9244	6.813954	-517.6493	-541.35205	101.0	101.0	14999	-84.368835	3.9466767	-67.75058	-103.40336	-84.366554	3.9558203	-70.23818	-104.12361	1.0702438	1.0330689	6.898724	-9.020395	84.34859	125.749825	78.58320331573486
11	-530.37933	8.23772	-510.87274	-541.9278	-532.4984	5.8822465	-520.654	-543.1148	101.0	101.0	16499	-86.19017	4.1126018	-69.640526	-107.1202	-86.189095	4.1162324	-71.362144	-107.81938	1.0536833	1.0278813	8.072418	-11.449517	86.22887	122.04864	86.8794469833374
12	-533.9166	7.5411167	-520.2636	-544.22437	-533.52484	6.343147	-520.6684	-541.03265	101.0	101.0	17999	-87.37915	4.2743917	-69.46326	-106.31858	-87.37904	4.2858553	-73.57026	-109.5576	1.0584791	1.0285834	6.70261	-10.0704975	87.458176	134.62596	95.04752802848816
13	-533.76794	3.2389088	-527.7672	-539.6859	-530.2461	8.115783	-511.7577	-543.0251	101.0	101.0	19499	-88.40654	4.420051	-69.68371	-106.90885	-88.406364	4.4221005	-72.10045	-111.01637	1.0420973	1.0229073	6.434833	-10.373467	88.52717	133.7862	103.36497902870178
14	-532.25024	7.000928	-512.6509	-543.4121	-531.808	3.615465	-523.1507	-536.49805	101.0	101.0	20999	-89.33102	4.5641623	-70.50651	-108.72105	-89.330444	4.5600567	-72.16501	-111.97331	1.0289947	1.0281093	5.9385138	-10.85685	89.471725	134.02061	111.5764970779419
15	-533.9394	5.900051	-523.96216	-544.993	-529.3685	8.8548355	-513.2478	-538.8582	101.0	101.0	22499	-90.18932	4.5759387	-69.86524	-109.465775	-90.18876	4.5827994	-71.56277	-114.01489	1.001568	1.0361801	8.35941	-8.523545	90.36254	132.65617	119.90061521530151
16	-534.0861	6.6696486	-520.5228	-543.5869	-533.034	12.918797	-495.84766	-544.16864	101.0	101.0	23999	-90.979996	4.7695537	-66.97388	-111.12016	-90.9795	4.7824364	-66.6861	-114.938736	0.98605615	1.0523778	9.055406	-11.889612	91.17895	133.30394	128.16051483154297
17	-536.1953	3.4314198	-529.07275	-544.24994	-535.46106	4.903013	-526.68427	-543.67566	101.0	101.0	25499	-91.29991	4.9716535	-64.12037	-111.19499	-91.300835	5.0041714	-61.995213	-113.65685	0.9862029	1.0606865	8.054121	-10.182459	91.49721	141.04329	136.5293996334076
18	-535.1861	6.1881876	-517.4566	-542.4077	-535.29443	5.3839154	-526.9076	-546.03455	101.0	101.0	26999	-91.62943	5.061141	-62.518127	-111.748924	-91.62973	5.0893574	-61.23814	-114.45737	0.9604802	1.0623631	7.8448205	-8.508595	91.852684	137.88618	145.19896459579468
19	-534.13696	5.6388135	-516.211	-539.5808	-535.11676	6.9114494	-522.5927	-544.4227	101.0	101.0	28499	-91.815094	5.091263	-63.886578	-112.636284	-91.81451	5.122974	-64.53432	-114.96664	0.9475926	1.0706266	8.309609	-8.712443	92.04613	146.52126	153.70655298233032
