Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-60.747517	12.0172825	-29.374092	-79.7875	-72.25281	17.361599	-46.982887	-101.93791	100.0	100.0	1499	-0.03583778	0.57062256	1.7556934	-2.355942	-0.035664607	0.5763909	1.8541597	-2.0266874	-1.3594481	0.20755112	0.61650276	-5.7250414	-0.5951348	0.104664676	3.618908166885376
2	-71.80041	9.055517	-56.353012	-90.75873	-61.79426	13.949199	-34.181656	-78.84005	100.0	100.0	2999	-0.25492364	1.5338815	5.7766814	-6.9047923	-0.25381067	1.5346644	5.857789	-7.122876	-1.3497618	0.25050956	0.6270962	-4.9828796	-0.3291344	0.20519006	10.7407546043396
3	-67.167725	11.157059	-47.099586	-88.831474	-58.84032	21.934858	-38.838352	-118.31561	100.0	100.0	4499	-1.0048485	2.5106792	8.710175	-9.99286	-1.0045943	2.5142374	8.720157	-10.116746	-1.2997628	0.40224314	1.4261193	-6.1990237	0.4691269	0.53453684	18.334489583969116
4	-64.40184	12.09736	-38.940277	-82.10324	-60.261677	33.325096	-22.102213	-145.33842	100.0	100.0	5999	-1.6391888	2.7251265	9.869174	-11.113437	-1.6391135	2.7314403	9.900384	-11.673516	-1.2620206	0.47846648	1.7105849	-6.685689	1.126765	0.7140355	25.46930718421936
5	-61.982944	12.290079	-37.87895	-80.25788	-45.93209	26.378073	-3.322744	-99.3698	100.0	100.0	7499	-2.6665766	3.0168571	10.344267	-12.172874	-2.667322	3.020115	10.955514	-12.478307	-1.2285167	0.54547757	2.2597723	-6.0061445	2.1635704	0.828299	32.54790687561035
6	-68.13176	14.090074	-37.703964	-95.22983	-39.74473	18.91507	-16.665527	-81.19832	100.0	100.0	8999	-3.7939534	3.4132555	11.809939	-14.957416	-3.7945397	3.413999	12.091214	-15.403366	-1.1973342	0.5927946	2.588808	-6.996684	3.2883253	0.9079411	39.56844973564148
7	-49.144394	15.230841	-22.405458	-71.311066	-35.303535	23.208113	-7.7520046	-85.00948	100.0	100.0	10499	-4.76281	3.9409707	13.695684	-16.882048	-4.763232	3.9464674	13.305838	-16.247791	-1.1540074	0.6548336	2.5784755	-6.237679	4.2492747	1.0152678	46.78753161430359
8	-40.646046	19.693909	-15.631599	-97.089645	-23.963902	15.43472	-3.6576095	-52.452526	100.0	100.0	11999	-4.9698324	4.8812146	15.996787	-18.947443	-4.970003	4.8863325	16.457546	-18.598166	-1.1040996	0.72080755	3.2501297	-7.25508	4.4531913	1.0848709	54.53663206100464
9	-29.163197	17.150835	-6.739164	-59.15499	-23.671787	11.712076	-1.2900723	-47.77265	100.0	100.0	13499	-4.706291	5.9226913	18.318438	-20.891579	-4.7064495	5.9267993	18.541384	-20.816826	-1.0613518	0.76604944	3.1642277	-7.2839856	4.209136	1.224963	62.110796213150024
10	-31.088985	14.08149	-4.5839562	-57.21728	-14.939905	10.408938	-1.6568165	-36.935997	100.0	100.0	14999	-4.3710485	6.886109	20.305464	-22.447063	-4.3708973	6.8914127	20.2566	-21.62562	-1.0058687	0.8279558	3.660913	-7.1183643	3.878117	1.339472	69.3998670578003
11	-28.36527	16.6513	-4.488747	-77.6401	-21.927599	14.22314	-5.780308	-54.489365	100.0	100.0	16499	-3.6799076	7.992559	23.073967	-24.356054	-3.6796603	7.9989657	23.319347	-24.1351	-0.9660917	0.8666966	3.7465153	-7.246479	3.1931732	1.4917598	76.52094149589539
12	-27.046522	15.282199	-10.498043	-70.493004	-18.502804	10.6903925	-4.491364	-41.037556	100.0	100.0	17999	-3.0806355	8.803326	24.74399	-26.427774	-3.0802207	8.808018	24.407784	-26.351732	-0.9240533	0.9029926	3.7082276	-9.315573	2.600873	1.6153222	83.71378707885742
13	-22.052073	12.65728	-9.278986	-47.003666	-12.722406	7.9123535	-4.3234496	-34.183083	100.0	100.0	19499	-2.3616147	9.469061	26.327045	-28.960257	-2.360018	9.4740715	25.951784	-28.095844	-0.8918713	0.9280982	3.6674752	-9.43648	1.8887676	1.7492898	90.88567996025085
14	-22.760454	14.174225	-5.404112	-49.531773	-19.238323	13.254625	-2.5771525	-40.988136	100.0	100.0	20999	-1.5698086	10.049413	28.459888	-29.792166	-1.568655	10.054444	28.039389	-30.003712	-0.8533341	0.9577106	3.8813398	-8.909382	1.0928792	1.8218275	98.0669903755188
15	-16.645662	9.371164	-4.845167	-37.063854	-13.312464	6.9146295	-4.1554456	-27.416431	100.0	100.0	22499	-0.58923787	10.546804	30.2578	-30.5612	-0.5879973	10.5510435	30.048004	-31.166111	-0.83681655	0.9674571	3.9825666	-7.762542	0.11838434	1.8503001	105.21239900588989
16	-16.671879	11.236069	-2.6189024	-39.21992	-17.060093	10.400822	-1.4915355	-38.79736	100.0	100.0	23999	0.39330226	10.915907	32.66545	-32.504803	0.39434317	10.919579	32.642357	-32.44909	-0.8174308	0.9769657	4.0760684	-8.658423	-0.8533868	1.8918056	112.38789129257202
17	-20.48673	10.07944	-6.4237266	-44.860348	-12.64716	8.09695	-2.9382067	-27.679405	100.0	100.0	25499	1.3509275	11.247493	34.27658	-32.91988	1.3530066	11.2509775	34.84909	-31.516531	-0.82284087	0.9764484	3.8585722	-8.324491	-1.8023618	1.9106888	119.57506346702576
18	-18.076715	15.675636	-4.166391	-65.68582	-12.655355	6.611814	-1.3814715	-28.080013	100.0	100.0	26999	2.529728	11.543759	35.49136	-32.419125	2.531449	11.547618	35.08779	-31.759207	-0.8031181	0.9820974	3.784488	-8.097454	-2.9715748	1.9609407	126.7421760559082
19	-28.554737	22.724163	-2.4390624	-73.87957	-15.991069	14.189632	-5.561675	-52.674175	100.0	100.0	28499	3.5772283	11.921033	37.352695	-32.592854	3.5793126	11.924696	36.695732	-31.779829	-0.7913979	0.9968367	3.9973917	-8.031405	-4.007447	1.9975725	133.90758776664734
20	-16.09175	9.336659	-2.0279956	-32.29523	-8.042715	5.2029104	-1.1851802	-16.14005	100.0	100.0	29999	4.5552607	12.059743	38.21318	-32.50238	4.5574465	12.061738	38.510693	-32.45365	-0.77807593	1.0078001	4.1732235	-11.169948	-4.9800158	2.0637221	141.04789924621582
21	-14.181874	5.5235357	-4.035489	-24.547655	-13.685286	6.8347874	-3.882656	-26.641434	100.0	100.0	31499	5.7563415	12.384582	38.65779	-33.039013	5.758347	12.388394	38.740967	-33.23772	-0.7634366	1.0071305	4.3318954	-10.35099	-6.1774454	2.0655398	148.2106454372406
22	-14.796565	7.1583905	-3.3361123	-34.651405	-13.350489	10.680358	-4.4775863	-41.459393	100.0	100.0	32999	7.055886	12.661022	39.74621	-34.266273	7.05752	12.663588	40.24664	-33.553528	-0.7602718	1.0118028	4.798808	-7.3980794	-7.468216	2.131058	155.36703491210938
23	-12.128293	7.7123394	-4.474073	-29.295732	-8.231542	6.3064284	-2.5044024	-24.210638	100.0	100.0	34499	8.19286	12.834837	41.017284	-33.11755	8.193937	12.837541	40.6312	-35.049965	-0.7516478	1.0183933	3.7913766	-8.570915	-8.601272	2.1528237	163.27380847930908
24	-17.396769	12.005704	-5.2807965	-43.617596	-11.000099	6.948158	-2.5728664	-25.915003	100.0	100.0	35999	9.401537	13.043764	42.30529	-34.718735	9.40412	13.0451975	41.71364	-35.75234	-0.7550394	1.0180985	4.377014	-7.9389105	-9.807381	2.1730726	170.8223865032196
25	-11.195007	9.789575	-1.125149	-31.895748	-14.227885	6.782318	-3.737106	-25.830526	100.0	100.0	37499	10.60529	13.15623	43.14924	-32.923786	10.607677	13.15849	42.71862	-34.324265	-0.74925166	1.0278531	4.28286	-8.912166	-11.0008545	2.1892266	178.6071813106537
26	-18.781612	9.18905	-2.8909698	-35.61984	-12.879278	6.692332	-1.5841284	-28.214752	100.0	100.0	38999	11.732526	13.137637	43.033756	-33.108234	11.734849	13.140195	43.003136	-34.09121	-0.7488551	1.0167643	5.1875463	-8.614149	-12.130899	2.2209492	186.28107452392578
27	-12.172357	7.4857945	-5.020066	-36.91458	-10.348252	7.6019435	-2.4137685	-30.308601	100.0	100.0	40499	12.783865	13.293475	44.419655	-33.222046	12.786303	13.29687	44.21813	-33.822556	-0.7534443	1.0195107	4.723087	-7.8853207	-13.166821	2.2010825	194.11363101005554
28	-15.283856	6.856482	-7.5446677	-32.537956	-11.601899	8.3737	-3.483951	-29.26882	100.0	100.0	41999	13.843855	13.375743	45.119617	-33.05262	13.846276	13.376557	44.74204	-32.919567	-0.763322	1.008619	4.4252334	-8.213599	-14.2154	2.2384174	201.97349667549133
29	-11.5651655	6.7909927	-2.5741923	-25.064281	-12.397684	9.077687	-1.9840742	-32.91194	100.0	100.0	43499	14.779027	13.4158745	45.585644	-32.993835	14.780465	13.418322	45.1656	-33.2654	-0.76102436	1.010469	4.164412	-7.4163046	-15.143789	2.2436504	209.41552591323853
30	-16.903248	10.754372	-3.0343635	-46.80249	-6.025475	5.122348	-0.7181489	-16.364647	100.0	100.0	44999	15.635667	13.573487	45.625763	-32.642056	15.63756	13.57661	45.581158	-32.792942	-0.7575672	1.0147489	4.0922904	-9.428408	-15.993257	2.2638168	217.15288949012756
31	-16.455303	10.5974655	-3.8748975	-39.153854	-10.958269	2.404484	-6.71538	-13.600054	100.0	100.0	46499	16.613533	13.439191	46.409657	-32.885723	16.614616	13.44195	45.816917	-32.668713	-0.75349534	1.0169408	4.1485267	-8.248191	-16.971054	2.253592	225.29917430877686
32	-18.10681	11.8317375	-3.657975	-50.15286	-10.82196	5.1035337	-0.9526228	-19.497046	100.0	100.0	47999	17.350359	13.580822	46.58728	-33.51731	17.351723	13.583321	46.740326	-32.4045	-0.75433946	1.0160034	3.815957	-9.578899	-17.700514	2.291578	233.05567049980164
33	-14.273057	7.124043	-2.4315517	-25.321054	-12.058548	8.240002	-2.644897	-31.228775	100.0	100.0	49499	18.233503	13.577318	47.523754	-33.388813	18.235027	13.579938	47.226913	-32.999706	-0.75537044	1.0134525	5.4157314	-9.635251	-18.58054	2.269371	240.41209769248962
34	-16.545643	9.356263	-2.6339946	-38.142807	-17.530523	14.972638	-3.9157474	-57.310448	100.0	100.0	50999	19.08926	13.524545	47.63242	-33.082035	19.09112	13.527837	47.33212	-32.157505	-0.76029503	1.0105324	4.893504	-8.691781	-19.430264	2.2597404	247.8767008781433
35	-16.85717	13.403637	-2.9755864	-53.062984	-15.264755	9.900762	-3.8739648	-35.620583	100.0	100.0	52499	19.753384	13.512825	48.035034	-35.060665	19.75422	13.516353	48.035965	-32.304375	-0.75579304	1.0090109	4.2570915	-7.784758	-20.086306	2.2989314	255.35123014450073
36	-15.983888	15.91575	-2.2587173	-67.58793	-11.481673	6.556782	-0.7553217	-25.503328	100.0	100.0	53999	20.568388	13.427431	48.235085	-32.279755	20.569576	13.430149	48.66158	-32.63423	-0.770562	1.0020729	4.89342	-8.735943	-20.90032	2.2596684	262.8594636917114
37	-13.609786	6.06607	-3.4646957	-25.92488	-8.7650385	7.6378613	-2.77337	-29.385685	100.0	100.0	55499	21.275867	13.411959	48.820553	-31.994226	21.277712	13.413813	49.164368	-32.13307	-0.7650305	1.0039203	4.787168	-9.422117	-21.601988	2.2682865	270.24382877349854
38	-10.213327	7.25513	-1.8547829	-27.465742	-10.905856	8.481159	-0.8161406	-26.104599	100.0	100.0	56999	22.096582	13.334227	50.994175	-31.192608	22.09791	13.337125	49.554916	-30.953672	-0.76735526	1.0091105	4.9843006	-8.762858	-22.411573	2.2751155	277.9439239501953
39	-12.023937	10.335789	-1.8872093	-36.627777	-9.312355	6.2737107	-1.4191092	-22.332787	100.0	100.0	58499	22.789879	13.306691	50.97968	-29.598553	22.791256	13.310109	49.705147	-30.32275	-0.7651114	1.0063761	5.0308123	-8.443217	-23.10262	2.2872503	285.4962844848633
40	-12.373294	7.6852884	-1.5183139	-35.21246	-9.362218	4.8899174	-4.206926	-19.38786	100.0	100.0	59999	23.500025	13.329302	50.4507	-29.301838	23.501503	13.332964	50.429398	-31.415491	-0.7667912	0.9990427	4.494344	-7.512767	-23.802292	2.2967362	293.512083530426
41	-15.735018	4.875512	-4.7541566	-22.572563	-8.080159	5.2973037	-1.1448317	-19.327396	100.0	100.0	61499	24.13655	13.172592	50.23932	-29.383003	24.137712	13.175139	50.044456	-28.835148	-0.77472967	0.9940214	4.006997	-7.686566	-24.435617	2.270888	302.03362917900085
