Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-44.105484	15.555744	-12.663131	-66.8085	-55.791527	46.520996	34.000965	-165.53009	100.0	100.0	1499	0.3412867	0.8389599	5.1162634	-2.2391431	0.3430876	0.8412496	4.701046	-2.3470273	-1.3467746	0.2594218	0.7901907	-5.6933317	-0.94765794	0.8027205	3.64947247505188
2	-47.562454	22.237728	-9.598854	-91.831665	-40.24058	36.72454	26.500452	-99.88963	100.0	100.0	2999	0.9058271	2.1949177	12.728589	-6.7671256	0.90787065	2.1989765	11.987766	-7.5539436	-1.3136305	0.35923502	1.5480785	-5.4560285	-1.4045117	0.91138184	10.850549459457397
3	-38.980106	31.71272	55.285084	-79.164604	-20.199577	46.905506	91.25742	-106.62877	100.0	100.0	4499	1.286913	3.5371282	21.884779	-9.251224	1.2890083	3.533774	20.248304	-8.769071	-1.2118894	0.5680575	3.7526305	-7.616978	-1.7354095	1.4725035	18.087273359298706
4	-50.587124	17.985273	-5.586179	-85.801056	-20.778618	26.212595	39.31876	-52.646976	100.0	100.0	5999	1.4652877	4.760606	33.538704	-10.061918	1.4638509	4.7514696	33.13316	-10.726673	-1.113638	0.7137762	3.858443	-8.7648945	-1.9186553	1.9926927	25.211873531341553
5	-41.88197	24.745346	11.033753	-87.20639	11.007366	61.410263	155.27997	-69.907776	100.0	100.0	7499	1.4089906	6.3563733	46.70849	-17.851456	1.4096762	6.3496356	47.504993	-17.917152	-1.0301782	0.82617784	4.6058435	-9.0098095	-1.8919623	2.5045044	32.41744804382324
6	-57.54583	12.791367	-35.66647	-75.68056	-13.421954	45.290333	66.30097	-81.13805	100.0	100.0	8999	1.452784	8.288777	60.294445	-20.201044	1.4524254	8.282973	60.962013	-20.033337	-0.90400636	0.9790008	5.1728134	-8.376699	-1.9819987	3.3919582	39.56483316421509
7	-29.10295	37.300068	88.521194	-63.214344	5.6614594	59.020874	113.82611	-56.32204	100.0	100.0	10499	1.8507373	10.390473	73.74417	-22.386599	1.8500514	10.3881645	73.10466	-23.315046	-0.8106624	1.0715227	6.1946573	-8.830962	-2.3987615	4.3671246	46.72002387046814
8	10.60348	35.684525	110.21749	-38.92624	55.095764	95.27141	185.16397	-100.50349	100.0	100.0	11999	4.3769326	14.756838	84.83399	-23.901173	4.376931	14.755342	83.84327	-23.781134	-0.7528151	1.1160487	5.62064	-8.125244	-4.911094	4.8831897	53.97057366371155
9	21.652607	51.83069	97.19105	-68.268005	39.803535	87.721146	174.05658	-52.02308	100.0	100.0	13499	6.9964333	17.948477	94.89131	-26.597015	6.9981966	17.944134	90.958405	-25.221918	-0.7035277	1.134442	5.465753	-9.244238	-7.4673104	5.5685945	61.453062534332275
10	-11.072795	40.501503	52.944466	-89.44844	57.341286	90.17807	186.54851	-59.93319	100.0	100.0	14999	8.946327	20.49063	101.32519	-29.499603	8.947921	20.490046	101.26207	-28.123873	-0.6633259	1.1500721	6.364548	-9.16579	-9.357297	6.468782	68.90724301338196
