Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1527.4572	229.10446	-1154.6758	-1906.2516	-1378.3381	286.34253	-1018.0503	-1845.6244	100.0	100.0	1499	-23.227808	9.8948765	0.31410354	-54.310413	-23.344118	9.719371	-0.027081385	-54.048702	-1.0487189	0.61680555	1.3080459	-10.314869	22.764511	53.894455	3.639404296875
2	-1474.5367	143.85637	-1212.2448	-1757.9365	-1557.9623	276.80585	-1023.3703	-2106.6516	100.0	100.0	2999	-84.87151	31.436827	-18.333176	-188.87328	-84.86773	31.482702	-18.293934	-187.26799	-0.71926737	0.9842943	5.1339374	-8.862628	84.32449	50.93673	10.656393051147461
3	-1474.7145	168.37236	-1156.6462	-1789.1859	-1286.7457	426.09073	-276.9048	-1793.3468	100.0	100.0	4499	-182.4747	37.460373	-84.079	-331.70233	-182.46252	37.604748	-83.74859	-332.47406	-0.14009337	1.3260432	7.0208273	-12.346982	182.0418	87.59525	17.70593762397766
4	-1501.5491	158.4154	-1190.2229	-1795.0131	-1248.2203	346.59476	-799.7663	-1941.8737	100.0	100.0	5999	-278.39868	42.07096	-162.26851	-431.5115	-278.40173	42.126667	-158.27756	-431.90897	0.108533725	1.3881328	7.866069	-11.175447	277.8634	116.90619	24.72490358352661
5	-1456.7437	206.68036	-921.47833	-1818.0133	-1064.0493	367.92838	-300.33887	-1498.7645	100.0	100.0	7499	-370.066	46.482704	-230.95522	-544.16656	-370.063	46.512444	-232.59206	-542.96423	0.24717739	1.3999307	8.214779	-9.312309	369.378	137.60446	31.762242555618286
6	-1476.6802	154.28679	-1088.5022	-1790.3086	-1078.9818	301.99554	-557.10425	-1639.9753	100.0	100.0	8999	-457.03647	49.67411	-320.12985	-649.53186	-457.03668	49.637264	-318.1637	-651.8199	0.4264507	1.4930059	8.347203	-9.622183	456.14722	160.74408	38.8096067905426
7	-1496.7336	152.61115	-1116.0509	-1679.5457	-997.44446	396.51227	-298.17575	-1464.2968	100.0	100.0	10499	-541.7278	52.330765	-396.44852	-756.9216	-541.7286	52.28039	-399.697	-757.70825	0.53368765	1.5452476	8.720873	-12.032366	540.81036	193.73329	45.9703688621521
8	-1164.1544	239.79295	-656.0379	-1523.771	-896.94366	436.73456	-108.80376	-1540.4724	100.0	100.0	11999	-621.1644	55.134293	-468.6481	-860.7826	-621.1687	55.04507	-473.178	-862.435	0.5344051	1.5530849	8.763162	-11.399516	620.5156	195.28387	53.19497799873352
9	-868.26154	225.46391	-346.00934	-1337.5679	-689.2218	381.16318	-110.96481	-1178.8921	100.0	100.0	13499	-693.9615	59.907658	-531.13806	-961.5266	-693.9584	59.85485	-535.7182	-960.6864	0.5612714	1.5861154	9.973345	-9.960282	693.5549	200.84544	60.41899871826172
10	-1036.5696	294.54785	-493.96243	-1522.7802	-1130.2803	316.65585	-780.0781	-1583.1447	100.0	100.0	14999	-761.721	67.187	-584.31793	-1049.2875	-761.71436	67.12483	-586.9147	-1049.8297	0.66218215	1.657127	10.00317	-10.347072	761.3795	217.84045	67.76591777801514
