Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-6705.4067	2211.9355	-100.73542	-10200.529	-7212.536	2854.9294	-2565.8176	-11811.337	100.0	100.0	1499	-91.05709	48.7069	0.3287797	-296.08658	-91.72565	48.264973	-0.02408941	-290.48236	0.5459415	1.4880887	6.995981	-8.756348	88.81225	3804.424	4.160604476928711
2	-7066.1323	1063.0095	-5297.042	-9027.931	-7282.6187	2723.8296	-3184.2256	-13578.306	100.0	100.0	2999	-369.37924	166.94118	-36.441105	-985.89844	-369.38916	166.97939	-33.98642	-986.6278	1.6698445	2.054149	13.622956	-9.65854	364.04147	3106.8467	12.048668384552002
3	-6108.2153	1189.3553	-4031.5684	-8241.055	-4369.2637	2486.477	-1064.9581	-9084.825	100.0	100.0	4499	-789.97943	234.95847	-100.12871	-1586.849	-790.2031	233.38593	-113.09075	-1550.1498	2.5885468	2.3582819	19.830318	-11.211779	782.91785	5898.8135	20.038352727890015
4	-6197.637	1440.4348	-4082.9	-8884.182	-3841.1414	2585.3162	-412.84644	-9051.618	100.0	100.0	5999	-1147.7708	279.98355	-287.44397	-2183.7725	-1147.867	278.65045	-325.61716	-2155.7253	3.241682	2.6213908	23.738096	-11.770275	1138.001	7995.376	27.969268798828125
5	-6687.581	1247.3483	-4958.3545	-10343.103	-2158.0537	1145.4491	-611.44415	-3992.757	100.0	100.0	7499	-1484.8873	335.0555	-470.78238	-2731.6943	-1485.0713	332.80933	-507.90802	-2797.5254	3.3500972	2.51864	20.2356	-10.882583	1474.5779	8641.842	35.83423209190369
6	-6531.6743	1639.972	-3723.702	-9605.313	-2071.343	2385.5005	-191.78552	-8572.773	100.0	100.0	8999	-1796.7904	389.95636	-676.18555	-3416.9153	-1796.9257	387.77423	-676.1884	-3408.831	3.713495	2.6976802	19.864864	-10.600077	1784.0378	10240.986	43.784348487854004
7	-5051.472	2683.3381	-172.46158	-8770.493	-3169.4988	979.2946	-1026.8557	-4635.6226	100.0	100.0	10499	-2102.2136	447.83386	-924.61774	-3856.9683	-2102.2788	446.19974	-906.2211	-3838.257	3.9000862	2.779213	28.227077	-12.950234	2089.7253	11357.226	52.81406378746033
8	-1753.6042	1374.6814	-175.06267	-4690.347	-1797.0623	1474.2023	-52.243378	-3590.2847	100.0	100.0	11999	-2346.108	498.90594	-1186.437	-4304.3125	-2346.216	497.38034	-1151.8582	-4264.147	3.8682163	2.7821946	25.12426	-11.926954	2333.8196	10697.696	60.91894841194153
9	-1816.4614	1446.7085	-350.33524	-4326.127	-1859.4446	1785.458	-222.24272	-5371.812	100.0	100.0	13499	-2547.0208	558.7036	-1275.5729	-4696.663	-2547.07	557.15735	-1213.8608	-4682.7056	3.7140791	2.7157354	27.009735	-8.023818	2535.3135	10445.211	69.05415654182434
10	-1359.9622	995.91296	-296.81467	-4371.2534	-1902.4742	1648.3314	-225.11096	-5774.7417	100.0	100.0	14999	-2701.2651	619.6772	-1324.685	-4991.4697	-2701.3147	618.1742	-1324.4802	-4967.889	3.704952	2.6275349	21.6267	-8.352956	2688.199	10467.089	77.15178203582764
