Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-111.65491	22.546839	-68.80276	-152.89421	-77.72446	33.33053	-39.793205	-134.54402	100.0	100.0	1499	-2.0409138	0.91344684	0.35343832	-8.325797	-2.0665245	0.881758	-0.04498437	-8.444933	-0.94655025	0.70605797	2.8187637	-9.459143	1.9214377	0.36893103	6.209108829498291
2	-130.71329	27.934402	-78.0583	-186.33684	-58.729042	28.040337	-16.346638	-102.64928	100.0	100.0	2999	-6.3348913	2.8637273	-0.63233894	-23.094963	-6.33349	2.872322	-0.66314185	-23.55472	-0.22084565	1.1559156	5.6834188	-10.317862	6.0329943	0.38337407	17.221054077148438
3	-131.83493	45.237617	-85.93023	-283.20273	-39.77607	8.82691	-22.683561	-52.84437	100.0	100.0	4499	-12.173647	4.0387216	-2.1037555	-39.344704	-12.172495	4.045345	-1.9868202	-40.28322	0.42602986	1.4477096	7.3776574	-9.574247	11.6497965	0.74096745	28.91692090034485
4	-124.56948	36.406666	-79.729065	-219.3709	-47.602695	36.06177	-1.421351	-111.55558	100.0	100.0	5999	-16.955593	4.774864	-3.4334023	-49.502647	-16.954086	4.790333	-4.080714	-49.099342	0.59255105	1.5318524	6.9137626	-10.527573	16.402462	1.1534796	41.10214972496033
5	-181.03036	108.57301	-63.5297	-436.28754	-34.083183	13.396604	-11.263411	-53.584396	100.0	100.0	7499	-21.498188	6.1015425	-5.602309	-72.09232	-21.49615	6.1162148	-5.731554	-71.070724	0.76044226	1.615568	10.365251	-11.605436	20.871689	1.8823411	53.64613127708435
6	-165.61977	93.532234	-50.72979	-398.9049	-31.508448	13.60094	-8.602458	-54.03898	100.0	100.0	8999	-26.020134	8.41081	-7.252482	-89.15365	-26.019423	8.417613	-7.9107842	-88.01579	1.0721023	1.7939732	11.125321	-11.045252	25.192833	2.795781	65.60569930076599
7	-115.61038	54.039867	-25.90144	-218.66542	-28.17683	13.232575	-6.964893	-54.02587	100.0	100.0	10499	-29.37087	9.165556	-8.744964	-96.59615	-29.370964	9.172633	-9.216153	-96.38347	1.1808311	1.8372918	10.518697	-9.870522	28.481573	3.0596917	77.60597205162048
8	-49.44838	19.032818	-13.461777	-88.06031	-36.52735	22.59787	-8.463396	-69.17111	100.0	100.0	11999	-31.621098	9.505736	-10.405559	-100.375175	-31.621294	9.508559	-10.861743	-101.33839	1.0657518	1.8484322	10.539171	-10.665618	30.855053	2.96455	89.36809062957764
9	-44.003597	19.909132	-15.006383	-81.618835	-29.013885	21.478638	-5.3199987	-64.42081	100.0	100.0	13499	-34.061268	9.563167	-12.461922	-105.27229	-34.06129	9.565669	-12.787695	-107.13625	0.8884434	1.8024471	10.382255	-9.511357	33.440437	2.7031431	101.10380482673645
10	-36.642956	14.221962	-12.965764	-56.81883	-33.536617	19.148731	-3.9902394	-63.722366	100.0	100.0	14999	-36.273365	9.921774	-14.174058	-108.96106	-36.273613	9.92704	-13.848161	-110.28456	0.7848847	1.7744904	9.858475	-9.500481	35.72194	2.4350152	114.18402624130249
