Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	-1015.03735	63.223476	-868.3024	-1092.182	-1038.336	44.00762	-951.57587	-1086.6802	100.0	100.0	1499	-15.526679	5.9392567	0.35946536	-33.08557	-15.60002	5.8132434	-0.018381342	-33.270382	-1.1807419	0.49876395	1.0933856	-7.158813	15.015289	16.72703	3.678215503692627
2	-1020.4454	44.084568	-897.766	-1089.2863	-1027.1509	57.789253	-900.3347	-1092.3256	100.0	100.0	2999	-56.565353	19.597998	-13.820852	-117.725105	-56.56752	19.60109	-13.193657	-116.02008	-1.0788063	0.6675005	3.9456	-7.5572157	56.125957	10.2489805	10.894104957580566
3	-1019.05945	40.904144	-935.3438	-1070.9996	-1006.8576	95.17434	-833.6246	-1095.2084	100.0	100.0	4499	-123.42351	20.86545	-61.74211	-189.04321	-123.4238	20.89209	-61.4096	-186.62004	-0.9577873	0.7712546	3.822546	-8.963209	123.2249	14.608412	18.179951429367065
4	-1044.7994	32.01353	-968.43134	-1098.4231	-1004.63245	54.472378	-911.66534	-1072.0859	100.0	100.0	5999	-190.16806	20.99673	-122.81417	-262.87552	-190.16896	21.031492	-123.21794	-258.56375	-0.8669834	0.8226652	5.395911	-9.654659	190.05173	17.646273	26.39818811416626
5	-1044.359	31.529995	-968.49896	-1098.4738	-1043.5244	49.503613	-921.9989	-1097.4261	100.0	100.0	7499	-256.49414	21.14645	-183.69997	-331.77975	-256.49524	21.16491	-183.37552	-329.27988	-0.8754166	0.8191353	4.1241813	-9.664568	256.4523	18.926193	34.056700706481934
6	-996.8584	69.349915	-870.7796	-1084.2247	-1003.81836	75.57895	-849.54254	-1095.9792	100.0	100.0	8999	-321.73065	20.704155	-245.94583	-393.5967	-321.73114	20.717237	-247.90012	-389.99902	-0.8837868	0.8370356	4.276014	-8.914981	321.7286	20.74494	41.53953766822815
7	-1030.3701	25.753735	-979.10803	-1081.8816	-975.22314	143.12527	-577.5528	-1074.1354	100.0	100.0	10499	-384.51004	20.756094	-305.4749	-456.64566	-384.51108	20.781149	-305.54352	-458.90817	-0.88913614	0.8381178	6.1238537	-9.339647	384.54684	22.7894	49.062310457229614
8	-948.42523	130.3932	-586.4985	-1079.353	-773.9026	348.20355	-51.22176	-1061.916	100.0	100.0	11999	-444.36362	20.543003	-364.14706	-514.592	-444.36484	20.562489	-363.5104	-514.73914	-0.8609859	0.8643081	4.8397837	-9.099998	444.45087	24.773272	57.68430805206299
9	-961.7891	109.72449	-662.57056	-1118.5942	-1004.22986	74.0318	-840.81226	-1080.8391	100.0	100.0	13499	-501.94278	20.870691	-419.5637	-575.8729	-501.94095	20.893192	-421.71506	-577.3495	-0.8156754	0.91589326	5.252733	-7.942546	502.06482	27.604229	65.50859475135803
10	-978.31067	52.46247	-902.8329	-1097.3779	-958.1413	104.565254	-740.6079	-1084.9674	100.0	100.0	14999	-557.1604	21.208803	-469.76212	-636.46747	-557.161	21.240807	-469.7648	-632.58923	-0.77705216	0.94783926	4.9485855	-8.474848	557.3383	31.156094	73.86262035369873
11	-869.6375	182.87602	-371.4518	-1078.8768	-983.6784	75.12464	-856.8401	-1052.1289	100.0	100.0	16499	-610.04517	21.70602	-519.958	-689.20197	-610.045	21.76048	-518.5372	-695.8368	-0.7113246	1.0024028	6.5599413	-8.44512	610.2448	34.85614	82.04817724227905
12	-916.4398	163.67555	-539.0814	-1086.048	-896.39874	139.02281	-560.0859	-1057.987	100.0	100.0	17999	-660.06	23.069225	-567.1166	-746.8087	-660.0606	23.124928	-564.8137	-746.22327	-0.62138456	1.0749149	5.676687	-9.654613	660.2632	39.5058	89.90364241600037
13	-914.11884	147.69818	-513.1164	-1037.318	-928.36804	153.76285	-532.9849	-1089.8281	100.0	100.0	19499	-707.8191	25.39487	-597.02814	-803.1949	-707.81934	25.456205	-596.86554	-804.383	-0.5173268	1.1416836	5.8507853	-8.791601	708.0426	45.958786	97.66253972053528
