Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ	Time
1	0.18181819	0.4895604	2.0	0.0	0.0	0.0	0.0	0.0	66.045456	100.0	1499	1.3086059	0.4412014	2.5436108	0.1744717	1.3057233	0.44977912	2.5830154	-0.21190652	-1.3607141	0.20788972	0.37525845	-5.157361	-1.97424	0.044361062	3.594313621520996
2	0.18518518	0.3884477	1.0	0.0	0.4	0.8	2.0	0.0	56.296295	100.0	2999	4.0835104	1.265575	7.4508905	-0.86994576	4.0835752	1.2649843	7.2857237	-1.212981	-1.3460139	0.2611924	1.1192765	-7.02917	-4.7242084	0.10565809	10.725411415100098
3	0.26923078	0.59210783	2.0	0.0	0.2	0.4	1.0	0.0	58.46154	100.0	4499	7.874474	1.4701333	11.991773	-3.0483584	7.875114	1.4623251	11.776347	-3.2881713	-1.3040036	0.38239002	2.4017382	-7.236788	-8.488268	0.32734835	17.786649227142334
4	0.16	0.4630335	2.0	0.0	1.3	3.5791059	12.0	0.0	58.52	100.0	5999	11.28665	1.7884893	16.23942	-3.2050326	11.287115	1.7694058	16.019514	-4.6184855	-1.2414484	0.5242661	3.8546517	-6.9611845	-11.907458	0.6576661	24.806610822677612
5	0.032258064	0.17668469	1.0	0.0	0.9	2.3853722	8.0	0.0	49.19355	100.0	7499	14.498676	2.120542	19.737043	-6.763833	14.498669	2.0941606	19.61102	-7.705576	-1.1861756	0.629346	5.129347	-8.437796	-15.136201	1.0172889	31.877137660980225
6	0.20689656	0.4827586	2.0	0.0	1.3	2.9681644	10.0	0.0	52.24138	100.0	8999	17.455317	2.5174415	24.21882	-10.794439	17.454899	2.4982991	24.522255	-14.521831	-1.1180277	0.7427674	6.4777684	-6.931433	-18.12444	1.5249668	38.91045308113098
7	0.08	0.2712932	1.0	0.0	0.0	0.0	0.0	0.0	58.12	100.0	10499	20.290388	2.8919072	27.317247	-9.554632	20.290192	2.86481	26.986572	-10.657397	-1.0752684	0.7997197	7.031023	-7.6161246	-20.997656	1.9568057	46.304354190826416
8	0.26666668	0.4422167	1.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	11999	23.112148	3.0639832	30.315098	-9.205811	23.11069	3.062407	30.01037	-11.008333	-1.0910445	0.7841226	6.540705	-7.4218807	-23.804152	1.9453923	53.751187562942505
9	1.4	4.4988885	18.0	0.0	0.1	0.29999998	1.0	0.0	100.0	100.0	13499	25.760693	3.1219103	32.521206	-19.724031	25.760014	3.1206295	31.829193	-12.495989	-1.1108469	0.76112896	7.277768	-6.8724594	-26.433495	1.7826465	61.11367654800415
10	0.2	0.54160255	2.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	14999	28.223736	3.3243628	36.274113	-12.365316	28.22243	3.3361068	35.269245	-15.036097	-1.119437	0.74931866	7.6334057	-10.234065	-28.886377	1.7883192	68.51325726509094
11	0.2	0.54160255	2.0	0.0	0.3	0.90000004	3.0	0.0	100.0	100.0	16499	30.617306	3.3830554	38.351204	-18.818796	30.616554	3.3834622	37.948914	-21.828259	-1.1322727	0.7325334	8.6345825	-7.5881243	-31.26931	1.7681084	75.92836403846741
12	0.4	0.8793937	3.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	17999	32.905014	3.453561	41.436646	-12.386009	32.90431	3.4614775	40.543713	-18.070002	-1.1445622	0.7151011	8.491555	-7.2026443	-33.54868	1.8120573	83.28471994400024
13	0.13333334	0.33993465	1.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	19499	35.12975	3.4691598	44.618874	-14.284746	35.128693	3.48825	44.849163	-11.958742	-1.1539295	0.698406	9.46796	-7.3044252	-35.762894	1.7541946	90.61752414703369
14	0.26666668	0.7717224	3.0	0.0	0.2	0.59999996	2.0	0.0	100.0	100.0	20999	37.189693	3.573499	47.28007	-15.742729	37.18886	3.5977697	49.5683	-38.96876	-1.1544521	0.7034766	8.471528	-7.077716	-37.811863	1.9784462	98.00472664833069
15	0.26666668	0.6798693	2.0	0.0	0.6	1.2806249	4.0	0.0	100.0	100.0	22499	39.18685	3.6557539	50.28425	-22.538239	39.18581	3.6735559	51.017178	-26.48872	-1.1566807	0.6935782	8.611131	-7.001339	-39.803722	1.8734596	105.3639907836914
16	0.13333334	0.33993465	1.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	23999	41.13288	3.7789872	55.31277	-21.537374	41.13178	3.784225	54.829563	-28.362188	-1.1519284	0.7063919	10.913649	-8.917472	-41.75242	1.9982145	112.70957541465759
17	0.13333334	0.33993465	1.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	25499	43.02308	3.8469448	57.599514	-22.243351	43.022385	3.8627682	58.767933	-29.066103	-1.1588236	0.69359434	9.077204	-6.6586685	-43.63852	2.0234277	120.10321092605591
18	0.06666667	0.24944383	1.0	0.0	1.5	3.3837848	11.0	0.0	100.0	100.0	26999	44.834812	3.9132857	62.274498	-17.098158	44.83379	3.9372256	61.747387	-60.97947	-1.1593231	0.6954968	9.575153	-8.358723	-45.443913	2.178268	127.43906164169312
19	0.6	1.356466	5.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	28499	46.611816	3.854826	67.52458	-19.138086	46.61051	3.8818429	68.15926	-29.448206	-1.1685125	0.67894334	9.165495	-8.191738	-47.2098	2.051628	134.79950284957886
20	0.46666667	0.8844333	3.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	29999	48.216984	4.077417	97.979965	-91.31262	48.21703	4.0777025	75.1913	-38.395287	-1.1701753	0.6824052	10.120702	-7.1637287	-48.779613	2.8336046	142.39203071594238
21	0.46666667	0.80553645	3.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	31499	49.708916	4.2152376	57.61691	-21.297268	49.70664	4.2462006	58.95904	-28.898035	-1.1667514	0.67798865	9.727867	-7.8159294	-50.298912	2.0950563	149.68094563484192
22	0.2	0.4	1.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	32999	51.246517	4.265533	58.251534	-27.815882	51.2454	4.285203	57.65494	-34.925503	-1.1711035	0.6738295	10.205906	-7.0188484	-51.83663	2.1085458	157.0619626045227
23	0.26666668	0.4422167	1.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	34499	52.774693	4.349172	59.24363	-42.728024	52.773552	4.365468	59.286617	-25.572546	-1.1701869	0.6720801	14.918396	-6.407011	-53.363438	2.2049682	164.4020185470581
24	0.46666667	1.0873003	4.0	0.0	0.1	0.29999998	1.0	0.0	100.0	100.0	35999	54.23922	4.383355	61.032364	-27.39603	54.238228	4.4073176	60.8223	-30.443823	-1.1766423	0.6668929	9.586949	-6.8102083	-54.819157	2.2112727	171.6801459789276
25	0.4	0.71180516	2.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	37499	55.66894	4.525852	62.61718	-48.284336	55.667343	4.5336366	63.17943	-40.34166	-1.1733532	0.66420805	9.255955	-6.9816837	-56.247437	2.282499	178.97271633148193
26	0.06666667	0.2494438	1.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	38999	57.070408	4.553942	64.24343	-24.306095	57.06909	4.5708013	63.928658	-39.130013	-1.174181	0.66603655	9.170776	-7.11607	-57.654934	2.2377517	186.39448857307434
27	0.06666667	0.24944383	1.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	40499	58.390205	4.5564556	65.51844	-33.390675	58.389492	4.5733986	65.22478	-24.591505	-1.179254	0.6555812	9.953332	-8.101773	-58.96879	2.3858209	193.68878746032715
28	0.33333334	0.6992059	2.0	0.0	0.1	0.29999998	1.0	0.0	100.0	100.0	41999	59.735054	4.562031	66.49049	-40.822483	59.7338	4.5694723	66.70725	-44.938747	-1.1815037	0.6473385	10.16352	-7.935872	-60.306595	2.6193297	201.06254959106445
29	0.13333334	0.33993465	1.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	43499	61.112713	4.560627	67.977036	-41.954174	61.112034	4.559934	67.90268	-26.753553	-1.1865453	0.6476609	9.902988	-8.269501	-61.70692	2.0700417	208.42746233940125
30	0.46666667	1.309792	5.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	44999	62.401615	4.674702	70.42407	-23.042234	62.39992	4.6997576	69.30277	-30.12352	-1.1864233	0.65203506	12.504432	-7.6218643	-62.99596	2.1181064	215.73784852027893
31	0.26666668	0.5734884	2.0	0.0	0.1	0.29999998	1.0	0.0	100.0	100.0	46499	63.743465	4.5422745	70.51241	-53.24486	63.74264	4.561242	70.48212	-27.478712	-1.1997206	0.6215507	12.213647	-8.39123	-64.31433	2.143988	223.00995206832886
32	0.06666667	0.2494438	1.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	47999	64.95132	4.630914	71.86681	-32.852684	64.94989	4.636134	72.92089	-43.626034	-1.1926012	0.63870156	11.167445	-10.522539	-65.525246	2.2435973	230.33979654312134
33	0.33333334	0.78881055	3.0	0.0	0.2	0.4	1.0	0.0	100.0	100.0	49499	66.172295	4.5936646	74.018906	-41.629013	66.17179	4.5987744	73.149765	-25.338642	-1.1979254	0.63924015	12.433383	-8.369264	-66.743835	2.304709	237.6168336868286
34	0.33333334	0.78881055	3.0	0.0	0.2	0.4	1.0	0.0	100.0	100.0	50999	67.37885	4.459489	74.49707	-42.572895	67.37789	4.4712625	74.36773	-38.241886	-1.2020566	0.6129147	10.517175	-6.0974584	-67.946785	2.2064354	244.93196630477905
