Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-495.84705	5.138008	-483.93256	-503.2174	-492.34833	5.3669915	-482.25027	-500.15286	100.0	100.0	1499	-6.022854	1.9438994	0.008196734	-9.247913	-6.0781193	1.8451233	-0.079387255	-9.358012	5.775955	3.4691458	2.5046210289001465
2	-492.66373	9.911541	-465.18008	-507.27106	-472.92627	27.882364	-396.16776	-500.60706	100.0	100.0	2999	-14.80378	3.8930454	-6.859745	-23.618664	-14.804771	3.8911033	-7.0169806	-23.334763	14.658393	0.09274985	6.966752767562866
3	-494.31046	5.2918973	-483.30823	-502.1856	-487.83554	7.896856	-476.29672	-499.20245	100.0	100.0	4499	-27.93585	3.729109	-19.242807	-37.61206	-27.935886	3.7293222	-19.159033	-37.851654	27.842781	0.09854968	11.680441856384277
4	-491.51688	9.96237	-470.25815	-505.1978	-482.42245	11.947183	-460.97922	-501.00452	100.0	100.0	5999	-39.693462	3.2916775	-30.88475	-48.680084	-39.693497	3.2927518	-30.754398	-48.585445	39.60266	0.1401244	16.319562196731567
5	-491.16055	9.926158	-468.67484	-503.2892	-479.66837	16.196383	-447.50327	-500.51913	100.0	100.0	7499	-49.692814	2.8342118	-41.07751	-57.845226	-49.6929	2.8373778	-40.986153	-57.997417	49.59593	0.17233598	21.004273176193237
6	-489.9066	14.616992	-449.20718	-504.8108	-461.549	34.33003	-378.2317	-496.7202	100.0	100.0	8999	-58.05913	2.523722	-50.059883	-65.52681	-58.059128	2.5286644	-49.716454	-65.97629	57.972324	0.19925053	25.773649215698242
7	-489.09653	8.853386	-471.02792	-504.99826	-479.36508	14.068827	-455.58734	-493.23373	100.0	100.0	10499	-65.027885	2.2619934	-57.273514	-71.940346	-65.02783	2.2694612	-57.073814	-72.53331	64.93323	0.21940479	30.409912586212158
8	-478.0438	14.851133	-434.34705	-494.37546	-480.5078	8.678436	-466.07306	-493.65564	100.0	100.0	11999	-70.74853	2.0676875	-63.1863	-77.39741	-70.748535	2.077799	-62.9302	-77.93031	70.65617	0.236896	35.23911142349243
9	-486.4839	10.344888	-468.05908	-502.23486	-478.18277	22.622837	-414.12375	-495.87097	100.0	100.0	13499	-75.49419	1.9709605	-67.86162	-82.44462	-75.49401	1.9829112	-67.90197	-82.194626	75.39729	0.2471936	40.222755908966064
10	-481.68585	20.632858	-427.7464	-501.28616	-481.95288	14.287615	-452.69153	-501.66522	100.0	100.0	14999	-79.51804	1.9014653	-71.71879	-85.92791	-79.51799	1.9107251	-71.50453	-86.18724	79.424904	0.26119965	45.03367805480957
11	-479.89142	13.619164	-445.65027	-498.9486	-478.58975	9.622355	-461.5381	-496.66327	100.0	100.0	16499	-82.81045	1.8790531	-75.105675	-89.66072	-82.81047	1.8911257	-75.08456	-89.181145	82.71764	0.2748818	49.85968899726868
