Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-489.14725	5.42153	-478.92963	-498.53043	-485.4168	6.4259844	-476.07346	-495.01584	100.0	100.0	1499	-6.002474	1.9845368	0.024782218	-11.833864	-6.067618	1.8644438	0.0015160888	-11.272439	5.7450147	3.404707	2.951763868331909
2	-491.5673	7.368877	-473.08466	-504.92935	-483.2458	19.653748	-427.24353	-497.94382	100.0	100.0	2999	-14.80695	3.8777285	-7.217753	-25.027805	-14.80661	3.8781316	-7.194199	-24.897305	14.619961	0.15442099	7.899383068084717
3	-493.50626	4.256058	-480.94156	-499.20682	-469.09137	12.155615	-446.08762	-489.70978	100.0	100.0	4499	-27.858616	3.6844037	-19.812195	-37.45525	-27.858803	3.683981	-19.86345	-37.12082	27.70338	0.17016359	12.653995037078857
4	-489.9761	7.214259	-472.30594	-499.23026	-468.5262	18.910036	-420.8229	-491.22867	100.0	100.0	5999	-39.460102	3.1965897	-31.8253	-50.36721	-39.460068	3.1969953	-31.954407	-50.08786	39.297626	0.21854374	17.596129894256592
5	-491.26633	6.4652324	-476.78766	-501.93845	-472.88165	26.757147	-395.42365	-492.742	100.0	100.0	7499	-49.343037	2.7638125	-41.90605	-58.181915	-49.343166	2.7634585	-41.74784	-58.56301	49.187634	0.25349063	22.7508704662323
6	-492.09827	6.046127	-475.83142	-499.2229	-473.72235	13.780406	-437.68344	-487.0314	100.0	100.0	8999	-57.643192	2.389302	-50.319633	-65.46333	-57.643326	2.3881629	-50.512447	-65.42808	57.49024	0.277419	27.830721139907837
7	-486.88528	10.83098	-459.5474	-500.08218	-481.95694	11.644953	-457.70187	-499.45932	100.0	100.0	10499	-64.52775	2.0415719	-57.57609	-71.386795	-64.52782	2.0407326	-57.54719	-71.32748	64.38147	0.28606862	32.97884964942932
8	-473.60208	11.467774	-452.06647	-493.81335	-478.84906	10.827857	-458.24545	-498.2105	100.0	100.0	11999	-70.2356	1.7530724	-64.0921	-76.188034	-70.2357	1.753433	-64.31061	-76.3552	70.10516	0.29393905	38.32729482650757
9	-477.64807	13.808497	-434.36777	-492.10376	-470.1247	16.106754	-440.99033	-497.92767	100.0	100.0	13499	-74.93203	1.5697979	-69.216034	-80.99889	-74.932236	1.573768	-69.43486	-80.540276	74.81287	0.29994717	43.55222487449646
10	-480.53268	10.432314	-457.2159	-495.07257	-462.0507	36.60056	-373.3181	-493.69058	100.0	100.0	14999	-78.83314	1.4609679	-73.78622	-84.690834	-78.83295	1.4651091	-73.53592	-84.723434	78.71935	0.31792158	48.965416431427
11	-476.36453	12.298243	-445.32742	-493.61792	-472.65347	8.8589	-451.72128	-480.71408	100.0	100.0	16499	-82.06204	1.391921	-77.31494	-88.041855	-82.062225	1.3934448	-77.43577	-87.752525	81.949684	0.33395326	54.163244009017944
12	-478.3702	14.236401	-434.09503	-495.1972	-462.69376	26.51633	-398.9845	-495.6353	100.0	100.0	17999	-84.73849	1.3832418	-80.297516	-90.48396	-84.73865	1.383161	-80.36312	-90.31706	84.629974	0.34677577	59.37661957740784
13	-469.659	19.350061	-425.53073	-491.54343	-467.06723	23.987774	-404.66986	-492.24158	100.0	100.0	19499	-86.94833	1.3885535	-82.39216	-93.003586	-86.94841	1.3884141	-82.65515	-92.80198	86.83875	0.35818914	64.84188199043274
14	-458.0766	26.682238	-410.93488	-495.19666	-445.84692	38.54159	-338.84415	-476.58994	100.0	100.0	20999	-88.72628	1.4248548	-84.25847	-94.348946	-88.72617	1.4238718	-83.87665	-94.55554	88.6148	0.3777456	70.00792145729065
15	-452.71536	23.700207	-409.35236	-491.933	-457.08456	22.81942	-422.7471	-485.6874	100.0	100.0	22499	-90.119576	1.5534322	-85.21419	-96.17682	-90.119804	1.5509616	-85.12902	-96.775116	90.002594	0.40989584	75.92361640930176
16	-452.02826	24.642128	-400.0924	-484.7081	-444.7167	22.018366	-408.4657	-476.63412	100.0	100.0	23999	-91.19901	1.7062354	-85.75767	-97.91718	-91.19918	1.703928	-85.47633	-98.06928	91.07246	0.45217115	81.53473591804504
17	-464.5736	13.85025	-444.69617	-493.02374	-440.13574	30.361643	-386.72272	-482.2225	100.0	100.0	25499	-92.0325	1.851463	-86.30197	-99.710976	-92.03262	1.8483233	-86.35259	-98.867966	91.89559	0.4951976	87.04306817054749
18	-450.88272	22.482018	-413.9337	-493.29028	-435.21378	36.044846	-344.1282	-476.67715	100.0	100.0	26999	-92.68342	2.0033324	-86.83306	-100.47976	-92.68344	1.9993072	-86.5556	-100.518814	92.5416	0.5384225	92.42680263519287
19	-449.70428	20.420303	-396.16678	-473.16278	-399.8039	48.38022	-319.13434	-480.0804	100.0	100.0	28499	-93.15266	2.1465044	-87.08652	-101.420425	-93.15297	2.1432567	-86.97004	-100.681465	93.000336	0.5670287	97.91821312904358
20	-447.79086	28.685001	-389.61133	-493.24576	-442.54572	43.428	-336.8042	-491.22058	100.0	100.0	29999	-93.47165	2.2768185	-86.97289	-102.318596	-93.47183	2.27243	-87.0625	-101.37355	93.30825	0.6015665	103.36680507659912
21	-445.8392	29.953415	-379.90405	-496.5749	-428.53198	60.614483	-258.74466	-478.24396	100.0	100.0	31499	-93.687904	2.4230983	-86.96251	-103.87287	-93.688095	2.418944	-86.749146	-102.53994	93.52164	0.64633584	108.6415183544159
22	-450.17233	23.953554	-396.95248	-489.29944	-437.21533	18.669916	-397.95764	-459.73334	100.0	100.0	32999	-93.804596	2.5482774	-86.88685	-104.12826	-93.80476	2.5448666	-86.82384	-103.31688	93.63492	0.6789647	114.05286478996277
23	-438.94666	31.88453	-393.00598	-502.64038	-441.8002	15.553643	-419.461	-463.31628	100.0	100.0	34499	-93.8858	2.6934383	-86.84829	-104.66047	-93.88608	2.6889052	-86.74355	-104.08335	93.69834	0.7159981	119.42450714111328
