Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-493.357	7.1524553	-475.92548	-502.18448	-482.2233	8.8521805	-471.89023	-496.87155	100.0	100.0	1499	-6.117761	2.0199604	0.04309447	-11.029757	-6.1739755	1.9104882	-0.06037551	-10.763258	5.9154863	3.4205613	2.94867205619812
2	-493.73843	8.087584	-477.85028	-503.63153	-489.84262	5.3100247	-480.69016	-497.3426	100.0	100.0	2999	-14.82637	3.8296804	-7.183215	-24.758667	-14.826656	3.8290935	-7.3189106	-24.582932	14.669098	0.12744014	8.001779317855835
3	-491.27374	10.240276	-467.5771	-504.7709	-481.67343	10.002296	-467.07748	-498.16556	100.0	100.0	4499	-27.819468	3.6908195	-19.550568	-37.395546	-27.81959	3.6907008	-19.369497	-37.06143	27.686045	0.15616955	13.067837238311768
4	-493.04318	5.2885346	-481.44644	-504.7685	-472.2796	35.044888	-370.94888	-496.02875	100.0	100.0	5999	-39.52765	3.239027	-31.684633	-48.460266	-39.527645	3.2395558	-31.565536	-48.622467	39.389866	0.21473515	19.82235860824585
5	-491.8498	7.13515	-478.33612	-502.82202	-478.2329	14.819397	-449.26077	-497.39777	100.0	100.0	7499	-49.47615	2.7827373	-41.954025	-57.663746	-49.47626	2.7827613	-41.95339	-57.479244	49.335	0.25925422	25.715909719467163
6	-491.0114	7.0972004	-476.2277	-505.06125	-473.43213	23.238688	-421.401	-503.70456	100.0	100.0	8999	-57.79514	2.4067063	-51.30728	-65.003174	-57.795166	2.405683	-50.983337	-65.00148	57.65478	0.29188955	32.41189765930176
7	-488.1825	12.625473	-458.7564	-506.8867	-481.59033	8.76385	-466.8884	-494.5893	100.0	100.0	10499	-64.808716	2.078262	-58.7825	-71.80311	-64.80862	2.0776076	-58.665817	-71.41537	64.67421	0.32251322	38.19794321060181
8	-484.20273	12.271766	-462.64465	-499.77118	-466.33633	25.44231	-396.43787	-496.9071	100.0	100.0	11999	-70.57807	1.8039888	-64.9308	-76.954605	-70.57818	1.8033303	-64.69951	-76.841225	70.450645	0.32050198	44.16000008583069
9	-469.05215	16.718788	-433.1201	-488.60693	-482.84775	8.448695	-467.28793	-492.27237	100.0	100.0	13499	-75.33297	1.6497389	-69.89546	-81.17895	-75.33288	1.6510358	-69.888336	-81.15451	75.21402	0.33502936	50.81642270088196
10	-474.48596	19.249548	-422.2272	-500.59	-482.3404	16.98568	-438.9088	-494.50797	100.0	100.0	14999	-79.223045	1.5651237	-74.151436	-85.47338	-79.22313	1.567014	-74.21707	-84.793236	79.102066	0.3550761	57.085612297058105
