Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-492.0536	7.8873634	-475.79877	-503.16718	-479.76132	10.424494	-458.59293	-493.80875	100.0	100.0	1499	-6.0513067	1.9610906	0.026720755	-10.447093	-6.111397	1.8454418	0.019676909	-10.452642	5.8162003	3.4039266	5.440502882003784
2	-492.25412	7.4317846	-477.49124	-503.94952	-481.90976	7.674231	-461.85492	-489.92242	100.0	100.0	2999	-14.801938	3.8720737	-7.1485386	-24.097137	-14.801435	3.8728228	-7.0672235	-24.13379	14.632395	0.13972987	15.149784088134766
3	-493.6799	4.269613	-483.86792	-499.04813	-483.0731	12.356997	-461.45816	-498.94415	100.0	100.0	4499	-27.897198	3.7010233	-19.733315	-37.0005	-27.897356	3.7000124	-19.792904	-37.110924	27.750208	0.17551872	24.17124605178833
4	-492.8538	5.685555	-482.19226	-504.02567	-477.25552	18.346836	-439.52106	-500.4679	100.0	100.0	5999	-39.59733	3.2501483	-31.207033	-48.607998	-39.59749	3.2501757	-31.26151	-48.628185	39.442333	0.23427783	33.43625497817993
5	-491.77484	4.5335627	-482.3596	-500.52118	-483.96484	11.746809	-466.5606	-499.3058	100.0	100.0	7499	-49.479534	2.795621	-41.515385	-57.57587	-49.479637	2.7971911	-41.309822	-57.36722	49.328144	0.27158117	42.492887020111084
6	-490.4281	5.13413	-475.07	-494.99072	-481.8763	7.232233	-466.62906	-489.03992	100.0	100.0	8999	-57.803913	2.4162276	-50.362743	-66.9238	-57.80404	2.4174504	-50.463017	-66.3071	57.6688	0.30238512	51.34833908081055
7	-491.51657	3.9195821	-481.0781	-498.07855	-480.11826	13.866349	-455.68805	-503.5654	100.0	100.0	10499	-64.68908	2.0885975	-58.48606	-73.031586	-64.68898	2.0892582	-58.478218	-72.65656	64.550766	0.30814162	61.45838212966919
8	-483.37006	14.501982	-446.727	-497.62735	-469.22626	17.185894	-437.16443	-489.52344	100.0	100.0	11999	-70.42091	1.8165169	-64.325195	-77.86947	-70.421	1.816618	-64.30385	-77.74486	70.301834	0.29884195	71.2914650440216
9	-475.74506	13.320026	-443.41196	-496.58722	-477.62042	12.060008	-452.38483	-496.95715	100.0	100.0	13499	-75.16642	1.662709	-69.24797	-82.208595	-75.16644	1.661523	-69.34443	-82.21646	75.061584	0.31007987	80.91652703285217
10	-471.15414	21.92813	-413.45523	-498.23364	-477.215	12.583458	-451.883	-494.93228	100.0	100.0	14999	-79.09153	1.5371306	-72.95599	-85.62754	-79.091644	1.5401218	-73.01932	-85.49461	78.98944	0.32164302	90.97984504699707
11	-480.28424	15.115415	-436.1002	-497.95438	-466.44058	25.03832	-423.325	-499.1241	100.0	100.0	16499	-82.30182	1.4819803	-76.20231	-88.661385	-82.30176	1.4841801	-76.18364	-88.61266	82.192635	0.33788323	100.65134406089783
12	-475.10498	15.271483	-436.8728	-493.65894	-470.81494	23.744019	-411.17474	-492.03116	100.0	100.0	17999	-84.93908	1.4944519	-78.733086	-91.050804	-84.93915	1.4973352	-78.82532	-90.953354	84.83229	0.35467866	111.39680504798889
13	-468.331	17.145046	-436.67044	-494.0483	-459.0717	34.081753	-371.1821	-495.756	100.0	100.0	19499	-87.06197	1.5322474	-81.02241	-93.59776	-87.062035	1.5346365	-81.064606	-93.62149	86.9523	0.38100758	122.4971182346344
14	-470.0235	10.290232	-446.61844	-484.96265	-466.48746	15.487389	-439.23804	-492.52103	100.0	100.0	20999	-88.81823	1.5780383	-82.76203	-94.65163	-88.81825	1.582257	-82.75695	-95.03084	88.716576	0.39730147	134.13974285125732
15	-473.58093	13.660615	-444.85645	-496.0998	-472.6569	13.5631	-451.48987	-496.5088	100.0	100.0	22499	-90.269646	1.6058319	-84.046684	-96.67125	-90.26961	1.6097445	-83.84951	-96.61322	90.15676	0.41818458	144.04059600830078
16	-468.92294	19.36278	-435.60623	-491.6524	-477.14423	13.208724	-447.25662	-496.76514	100.0	100.0	23999	-91.42009	1.6435915	-84.870926	-98.39185	-91.42006	1.6482812	-84.68662	-97.63163	91.30294	0.44121245	157.92457604408264
17	-470.69476	14.547811	-441.56403	-494.82538	-462.01953	15.315339	-438.32443	-480.65823	100.0	100.0	25499	-92.3507	1.6833289	-85.418945	-98.98726	-92.35072	1.6871284	-85.30295	-98.54852	92.242836	0.45666552	172.20561814308167
18	-469.51645	14.838747	-434.13882	-489.4971	-438.04776	28.474741	-399.38535	-489.25635	100.0	100.0	26999	-93.12493	1.7345259	-85.8964	-100.09	-93.12491	1.7400657	-85.615036	-99.86279	93.0128	0.47234854	184.10516905784607
19	-460.7511	15.457208	-420.89487	-483.1839	-444.4601	21.574997	-396.67157	-474.50058	100.0	100.0	28499	-93.69203	1.787503	-86.37227	-101.02941	-93.6921	1.7941536	-86.18158	-100.323975	93.57715	0.48395687	196.00393104553223
20	-470.02307	8.703118	-459.09842	-491.7601	-462.52597	26.740328	-408.8557	-486.85516	100.0	100.0	29999	-94.13998	1.8525236	-86.654	-101.89156	-94.13987	1.8595436	-86.54136	-101.193954	94.02187	0.49674177	212.52330112457275
21	-473.88458	17.006838	-421.4329	-487.15082	-460.15363	23.816782	-395.7306	-484.8609	100.0	100.0	31499	-94.54393	1.8941581	-86.98817	-101.92377	-94.543976	1.90094	-86.80469	-102.1445	94.43129	0.50781095	228.1230549812317
22	-462.8367	17.206396	-429.70523	-486.48862	-449.16812	20.732428	-404.7223	-480.6613	100.0	100.0	32999	-94.81866	1.9342266	-87.319916	-102.32198	-94.81868	1.9411283	-86.973145	-102.678925	94.696815	0.51746815	242.6584029197693
23	-465.1922	17.09711	-424.01678	-482.13477	-462.36172	10.909277	-444.2827	-480.23315	100.0	100.0	34499	-95.00362	1.9554006	-87.385895	-102.721695	-95.003716	1.9598205	-87.18743	-102.981186	94.86542	0.52831143	259.9625840187073
24	-464.22916	23.563725	-412.7351	-492.93097	-456.99838	17.371017	-427.61407	-487.1069	100.0	100.0	35999	-95.1554	1.9925824	-87.48066	-103.07811	-95.155334	1.9972287	-87.38287	-103.423805	95.03173	0.53727454	277.09135603904724
25	-459.20544	20.218287	-422.7321	-486.9439	-465.47314	21.669418	-416.7254	-488.56042	100.0	100.0	37499	-95.25362	2.028182	-87.95468	-103.47881	-95.25369	2.034012	-87.82048	-103.061195	95.12163	0.5392894	291.5149290561676
26	-458.26648	28.445683	-403.48508	-490.54547	-464.0123	20.721945	-424.70645	-494.6182	100.0	100.0	38999	-95.31618	2.0619378	-87.86838	-103.813965	-95.31615	2.0680814	-87.76772	-103.40924	95.17857	0.5436814	304.87912011146545
27	-460.2267	27.890484	-406.61603	-491.3103	-460.90057	30.651543	-390.26642	-494.59967	100.0	100.0	40499	-95.36011	2.096233	-88.075294	-103.89505	-95.36019	2.1023242	-87.85831	-103.80289	95.22696	0.5652774	319.2187440395355
