Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-491.21057	5.4620414	-478.8681	-498.23724	-485.45233	4.0009875	-478.9422	-493.98248	100.0	100.0	1499	-6.04317	1.9728553	-0.011679277	-9.947413	-6.105688	1.861786	0.031102583	-9.898354	5.814564	3.429612	2.8274803161621094
2	-491.66986	7.5972548	-472.92822	-501.96957	-481.1752	7.685991	-471.32526	-497.1786	100.0	100.0	2999	-14.672053	3.8438983	-7.16757	-23.597755	-14.6726265	3.843015	-7.1887326	-23.786667	14.501127	0.14077047	7.637439250946045
3	-491.71185	3.4486022	-484.20255	-497.3159	-481.89594	8.450465	-469.39328	-500.8742	100.0	100.0	4499	-27.747957	3.7103066	-19.812494	-36.441467	-27.748112	3.709652	-19.920261	-36.429394	27.609213	0.16099344	12.62987232208252
4	-492.249	3.7163062	-483.14874	-497.89862	-488.06412	7.594593	-473.15088	-499.14966	100.0	100.0	5999	-39.45751	3.2315562	-31.755993	-48.02475	-39.457653	3.2308254	-31.814037	-47.46409	39.320812	0.21634781	17.52397608757019
5	-491.97116	4.98054	-482.98557	-500.2095	-485.1726	13.062771	-456.15842	-501.81342	100.0	100.0	7499	-49.41397	2.7519574	-42.359566	-56.85748	-49.41413	2.752187	-42.262947	-56.514652	49.280964	0.2606601	22.495367288589478
6	-489.07336	6.2312512	-469.31387	-497.09607	-485.51187	7.11579	-473.01718	-496.94626	100.0	100.0	8999	-57.735252	2.335701	-51.04012	-64.11024	-57.735188	2.3366103	-50.75179	-64.69063	57.597694	0.2896539	27.195717811584473
7	-490.8456	8.401996	-463.38342	-500.27676	-477.54233	18.500319	-433.1142	-494.7541	100.0	100.0	10499	-64.67058	2.0163825	-58.637928	-70.775536	-64.67062	2.0172427	-58.45666	-70.912796	64.52883	0.31624386	32.04239058494568
8	-479.29288	14.190562	-446.97882	-496.36475	-479.35977	7.3547044	-468.57922	-493.32504	100.0	100.0	11999	-70.44383	1.741238	-64.69635	-76.0828	-70.4439	1.7416513	-64.48594	-76.35102	70.308136	0.31895888	37.062172412872314
9	-474.37042	12.384134	-453.4463	-496.22473	-467.79965	16.777712	-422.80777	-482.44318	100.0	100.0	13499	-75.176445	1.555898	-70.05033	-80.564674	-75.1764	1.5572723	-69.88155	-80.77251	75.056816	0.31819305	42.03372049331665
10	-475.8222	15.607883	-432.96835	-499.97324	-476.07895	21.635906	-417.66064	-498.1412	100.0	100.0	14999	-79.0738	1.4519868	-74.38854	-84.32117	-79.0738	1.4548718	-74.35889	-84.46443	78.956604	0.33919337	47.0535523891449
11	-463.7537	24.76291	-397.8389	-484.799	-458.56494	40.17145	-371.146	-491.99985	100.0	100.0	16499	-82.23826	1.4267963	-77.64239	-87.85718	-82.23813	1.4304286	-77.41615	-87.89815	82.119385	0.35818782	52.06599235534668
12	-459.54333	21.606596	-405.66	-489.12277	-459.53775	42.993576	-336.78708	-493.94397	100.0	100.0	17999	-84.78405	1.4762299	-79.617165	-90.52301	-84.78403	1.4807158	-79.49746	-90.837265	84.66407	0.3774035	57.21903157234192
13	-458.55847	23.575052	-393.64926	-481.64297	-464.77344	21.852589	-432.17706	-494.80426	100.0	100.0	19499	-86.83513	1.6027629	-80.9053	-92.58396	-86.83508	1.6031777	-80.86581	-93.30627	86.70393	0.41989315	62.29301357269287
14	-463.37137	19.36708	-415.9964	-490.16107	-456.38266	22.399502	-426.90527	-492.68137	100.0	100.0	20999	-88.49219	1.7559988	-82.06862	-94.98914	-88.4922	1.7545214	-82.08001	-95.09985	88.357124	0.46500465	67.16304206848145
15	-467.22314	18.88041	-420.75192	-490.77475	-435.71344	29.355305	-377.35593	-474.39328	100.0	100.0	22499	-89.849945	1.9051796	-83.211555	-97.52142	-89.85005	1.9012115	-83.24359	-96.91459	89.69675	0.49773416	72.23732209205627
16	-434.3913	28.85724	-382.47537	-486.01117	-440.32983	36.480705	-393.49075	-498.78415	100.0	100.0	23999	-90.90565	2.070117	-83.92336	-99.55293	-90.90573	2.0674474	-83.799126	-98.517456	90.74733	0.5359885	77.22360682487488
17	-444.99335	31.970318	-388.55463	-493.50418	-425.31732	58.278706	-330.27377	-487.5921	100.0	100.0	25499	-91.65462	2.2860367	-83.98115	-100.26346	-91.6546	2.2825584	-84.17841	-99.83702	91.481476	0.5886825	82.18345665931702
