Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ	Time
1	-488.87393	8.245122	-468.85117	-499.5618	-472.50677	10.422241	-453.5798	-491.59763	100.0	100.0	1499	-5.918388	1.9069676	0.03511455	-9.457429	-5.972915	1.8133067	-0.11150101	-9.514237	5.638546	3.440503	268.26373076438904
2	-487.09927	8.824894	-468.50125	-508.69064	-478.13287	10.06162	-460.03253	-490.19318	100.0	100.0	2999	-14.4533415	3.7807634	-7.018864	-22.869461	-14.454057	3.7799544	-6.9942102	-23.027782	14.273451	0.11497455	506.7434170246124
3	-484.27158	10.479952	-465.61603	-498.5737	-461.24643	34.337185	-371.89282	-493.97104	100.0	100.0	4499	-27.388033	3.6598816	-18.475758	-36.60783	-27.388037	3.6603146	-18.381466	-36.547737	27.241922	0.13713492	873.5610270500183
4	-490.9882	7.3240843	-475.1151	-500.18546	-466.04532	22.424236	-433.22833	-495.46692	100.0	100.0	5999	-38.98485	3.2760189	-28.949963	-48.10941	-38.98488	3.2804167	-28.976988	-47.932575	38.8351	0.21001701	1287.4996678829193
5	-484.41522	9.839639	-464.49872	-501.48413	-457.69318	18.883549	-430.09372	-488.5308	100.0	100.0	7499	-48.778564	2.8408997	-38.836246	-57.166317	-48.778656	2.8470018	-38.58835	-57.02347	48.61693	0.2507422	1692.5936958789825
6	-491.08337	7.892714	-473.806	-503.44156	-431.25568	21.731651	-377.79843	-460.13046	100.0	100.0	8999	-56.91116	2.530638	-47.56437	-65.11025	-56.911068	2.537738	-47.22553	-64.998085	56.73483	0.29905587	2449.703003168106
7	-468.11572	36.66049	-354.7189	-500.90994	-442.01154	25.562273	-405.0903	-481.04935	100.0	100.0	10499	-63.679913	2.2423244	-54.986416	-71.37597	-63.679913	2.2527888	-54.464325	-72.06949	63.481552	0.3327519	3132.399603843689
8	-453.97998	13.768103	-424.08456	-474.80542	-410.22763	41.14265	-324.20114	-468.78607	100.0	100.0	11999	-68.980095	2.1774251	-60.97063	-76.91174	-68.98012	2.188598	-60.610764	-77.24007	68.775	0.354822	4386.146458148956
9	-443.725	30.260002	-352.94336	-489.2269	-436.05328	23.924406	-405.0609	-481.66013	100.0	100.0	13499	-73.21377	2.245464	-64.15399	-81.503006	-73.21346	2.258118	-64.23658	-81.59382	73.00193	0.38725057	5478.753530025482
10	-441.84232	30.33388	-361.99905	-472.59686	-427.88617	37.09101	-336.67612	-468.99466	100.0	100.0	14999	-76.62579	2.4059677	-67.09654	-85.09646	-76.62574	2.4198663	-66.96146	-84.91887	76.41504	0.4174827	6649.191195011139
11	-449.32745	15.782128	-405.29172	-473.08267	-440.1657	25.61663	-393.8977	-477.59857	100.0	100.0	16499	-79.359344	2.634202	-69.415344	-87.624825	-79.35931	2.6478236	-69.437805	-88.03912	79.13686	0.4606968	7815.502978086472
12	-436.73828	28.18669	-369.52078	-470.22742	-417.7753	26.776115	-374.91205	-450.22174	100.0	100.0	17999	-81.545395	2.8074653	-71.36564	-90.616135	-81.54525	2.820605	-71.50911	-90.40034	81.33517	0.49908325	8506.5623960495
13	-445.7142	19.246397	-407.40292	-480.8756	-420.42725	31.754557	-376.4789	-476.22354	100.0	100.0	19499	-83.27066	2.9948034	-72.90771	-92.39916	-83.27048	3.0063145	-72.75116	-92.97703	83.048706	0.5227243	9232.286979913712
14	-433.42303	22.322767	-406.2042	-487.94812	-411.74042	35.481464	-341.33743	-447.11005	100.0	100.0	20999	-84.668045	3.1541533	-74.162605	-94.149536	-84.66807	3.1647573	-74.11933	-94.80436	84.440094	0.55377907	10190.332309961319
15	-437.97653	19.740839	-397.33115	-471.3628	-402.55167	41.491085	-332.0716	-464.10223	100.0	100.0	22499	-85.78436	3.3061688	-75.19794	-96.468735	-85.78431	3.3176513	-75.08613	-96.11426	85.566826	0.58272785	11403.013235807419
16	-435.98407	25.184729	-390.46722	-475.35834	-405.02063	30.123236	-333.64352	-450.13705	100.0	100.0	23999	-86.70919	3.398678	-76.03197	-97.89378	-86.709015	3.4094799	-75.7974	-97.20909	86.479805	0.5932883	12435.315230846405
17	-418.8805	31.38516	-358.87836	-465.66776	-428.61176	28.045849	-385.53098	-483.0004	100.0	100.0	25499	-87.28284	3.5742955	-76.67181	-98.73145	-87.28267	3.5865388	-76.44031	-98.70136	87.05561	0.61497414	13258.352275848389
18	-430.46774	34.29383	-363.7499	-482.43573	-391.04047	51.417	-278.96475	-455.8795	100.0	100.0	26999	-87.77567	3.695672	-76.84284	-100.02336	-87.775604	3.7060192	-76.95827	-99.72717	87.561104	0.62475157	14014.460532903671
19	-429.01276	41.87983	-345.91858	-484.3925	-395.1747	54.251125	-293.0279	-476.8434	100.0	100.0	28499	-88.181046	3.834511	-76.90465	-100.481834	-88.18093	3.8462715	-76.83403	-100.9296	87.96396	0.65032893	14746.945518016815
20	-432.507	36.314568	-357.92703	-478.16284	-393.56647	41.831383	-318.18463	-458.24036	100.0	100.0	29999	-88.48819	3.9831586	-76.86802	-101.54606	-88.48811	3.9946833	-76.77314	-100.983	88.26172	0.6745441	15715.984118938446
21	-418.67566	29.24448	-351.80844	-455.50064	-400.39413	51.736393	-288.78683	-465.68942	100.0	100.0	31499	-88.69507	4.1047606	-76.76264	-102.23735	-88.69489	4.115803	-76.65095	-101.314995	88.473434	0.69387925	16255.20984697342
22	-434.78534	28.959251	-379.551	-472.11444	-416.2216	25.803074	-371.6898	-460.87854	100.0	100.0	32999	-88.86506	4.1802545	-76.491905	-102.29846	-88.86471	4.191514	-76.46423	-102.428444	88.63618	0.7159938	16954.290300130844
23	-427.3261	27.360771	-376.6726	-472.1963	-405.26056	41.351788	-326.95032	-471.71417	100.0	100.0	34499	-88.99085	4.2748923	-76.41478	-102.36535	-88.9909	4.2839365	-76.39202	-102.11483	88.75479	0.72720355	18349.540188789368
24	-410.50766	36.721046	-345.52777	-478.78656	-407.95465	35.494442	-326.69757	-459.68085	100.0	100.0	35999	-88.90774	4.371427	-76.37337	-103.49389	-88.90765	4.3813386	-76.30158	-102.68378	88.68102	0.7376392	19771.296690940857
25	-424.86337	33.42619	-336.50476	-479.65335	-404.92545	35.96576	-313.15833	-440.95197	100.0	100.0	37499	-88.89185	4.439081	-76.34555	-104.35665	-88.89186	4.4473505	-76.24638	-103.22624	88.664406	0.7633669	20794.921746969223
26	-421.7958	31.236202	-352.4639	-467.74115	-412.16837	17.735493	-379.7978	-438.74066	100.0	100.0	38999	-88.88852	4.510044	-76.33705	-104.7638	-88.88844	4.5203733	-76.159195	-103.64463	88.65494	0.76782167	22218.4843480587
27	-430.5462	30.339048	-359.84604	-469.09604	-413.97885	21.378674	-379.03177	-444.50854	100.0	100.0	40499	-88.79081	4.5850005	-76.227745	-104.75336	-88.79065	4.5974264	-75.9519	-104.11899	88.57065	0.78336215	23231.650393009186
28	-418.9984	34.404495	-360.39352	-476.79807	-401.58148	37.36286	-347.6598	-466.05368	100.0	100.0	41999	-88.71293	4.6761684	-76.29748	-104.99582	-88.712814	4.68726	-76.0469	-104.45667	88.47496	0.78158027	24087.98671889305
29	-411.09378	34.75456	-333.38403	-466.6008	-397.14453	43.24948	-304.70624	-455.1445	100.0	100.0	43499	-88.58748	4.7645574	-76.20587	-104.111046	-88.587204	4.7789893	-76.00872	-103.85613	88.370834	0.7861936	25497.138555049896
30	-417.0094	25.511961	-370.11862	-465.1292	-399.52515	59.93299	-267.5197	-457.1714	100.0	100.0	44999	-88.463615	4.8335085	-76.00869	-104.367775	-88.463524	4.8467026	-75.867195	-104.21276	88.227844	0.7846927	26272.104940891266
31	-423.57333	27.589567	-364.67172	-466.3755	-407.64093	29.485788	-361.99124	-452.85333	100.0	100.0	46499	-88.31733	4.8797474	-75.6723	-105.14523	-88.317055	4.8926306	-75.738014	-104.59497	88.068	0.7804956	27093.34691095352
32	-421.03445	39.56517	-328.40866	-481.56744	-412.25244	37.460846	-352.88818	-470.80746	100.0	100.0	47999	-88.24007	4.9732275	-75.664154	-105.393585	-88.23967	4.98719	-75.21858	-104.539276	88.0341	0.7925451	28072.503357887268
33	-411.34372	29.645088	-370.61807	-461.01465	-394.6765	41.20158	-328.73123	-476.74713	100.0	100.0	49499	-88.05916	5.049896	-75.676575	-105.477455	-88.05891	5.064247	-75.20185	-106.23648	87.8378	0.8001538	29101.88484597206
34	-420.0682	32.16784	-359.82712	-472.90582	-400.57532	26.90684	-357.61566	-434.50446	100.0	100.0	50999	-87.86743	5.098859	-75.42364	-105.506714	-87.86709	5.115662	-75.09263	-106.8637	87.631355	0.7969205	30557.42394375801
35	-432.32364	27.946453	-367.35947	-468.866	-405.28012	38.7192	-320.91147	-445.9744	100.0	100.0	52499	-87.714935	5.158092	-75.384254	-105.328476	-87.71452	5.175297	-74.97307	-106.0709	87.50323	0.7960181	31336.019377946854
36	-413.61374	42.782234	-352.09735	-476.46976	-397.35666	49.39928	-311.5055	-485.6414	100.0	100.0	53999	-87.55777	5.2228723	-75.31634	-105.782745	-87.55751	5.2391047	-74.76877	-106.30531	87.340805	0.8050098	32281.984961032867
37	-417.1875	28.587097	-365.72574	-466.97574	-398.2433	48.235016	-299.42148	-464.0856	100.0	100.0	55499	-87.40358	5.2610083	-75.04896	-105.63834	-87.40329	5.2784257	-74.56593	-105.91641	87.176796	0.81477326	33705.83208107948
38	-406.75674	46.77391	-295.23236	-480.18195	-413.94263	38.54183	-326.74976	-464.55545	100.0	100.0	56999	-87.307335	5.3156514	-75.002846	-104.68801	-87.30672	5.3328166	-74.44535	-104.518745	87.10423	0.8257604	34495.70146203041
39	-424.23862	36.216564	-350.86343	-488.72858	-393.88593	43.298244	-334.2372	-475.99002	100.0	100.0	58499	-87.16265	5.3772573	-74.66583	-105.868355	-87.16252	5.393103	-74.20308	-106.52007	86.9337	0.8254132	35871.40544295311
40	-411.4998	40.557632	-346.89032	-471.4401	-415.70343	40.88189	-354.4671	-466.75488	100.0	100.0	59999	-87.0581	5.4383903	-74.23817	-105.788475	-87.057625	5.455155	-74.08767	-106.43233	86.85871	0.84448534	37293.80670404434
41	-421.49414	45.59863	-295.76685	-472.7829	-444.43744	25.122421	-386.46503	-473.36057	100.0	100.0	61499	-86.92159	5.4720273	-73.8272	-107.09415	-86.9212	5.4875007	-73.84142	-107.060875	86.71253	0.85254735	37766.018604040146
42	-413.5717	39.82272	-342.76498	-477.12946	-399.36066	27.900438	-348.17178	-443.66672	100.0	100.0	62999	-86.7286	5.518609	-73.46625	-106.34124	-86.72819	5.534716	-73.48622	-106.85683	86.52392	0.8512289	39046.12027478218
43	-425.64496	26.910313	-360.34683	-462.58755	-379.2077	56.10123	-285.99252	-445.62173	100.0	100.0	64499	-86.61717	5.545132	-73.25372	-107.01018	-86.61687	5.5605054	-73.24534	-106.46114	86.384476	0.8509325	40171.303153038025
44	-409.76663	39.330856	-317.79346	-472.6746	-396.24368	49.48611	-330.79712	-458.45428	100.0	100.0	65999	-86.47277	5.571053	-72.92036	-106.24333	-86.47261	5.586545	-72.935905	-106.036064	86.26716	0.8473647	41292.291484832764
45	-409.72885	45.073986	-275.04785	-467.6238	-411.6648	32.29876	-378.39642	-473.66547	100.0	100.0	67499	-86.36385	5.6097207	-72.63733	-106.73304	-86.36359	5.623906	-72.50105	-106.947914	86.149765	0.8631068	42061.67953085899
46	-414.72397	24.469944	-365.52878	-450.68094	-387.09045	61.61107	-239.26036	-453.30933	100.0	100.0	68999	-86.21029	5.6426277	-72.73344	-106.43672	-86.21011	5.659169	-72.39469	-107.13287	85.99663	0.85723764	43287.64823102951
47	-392.40396	36.113422	-317.77896	-452.1045	-394.08463	73.88792	-289.50443	-494.33667	100.0	100.0	70499	-86.100876	5.69628	-72.548775	-106.701355	-86.10054	5.710826	-72.35776	-107.41982	85.887794	0.87095636	44242.12465977669
48	-404.69543	41.04066	-358.77774	-487.5588	-394.4707	34.464382	-342.12036	-438.59512	100.0	100.0	71999	-85.99511	5.732477	-72.41299	-106.94456	-85.994736	5.7476892	-72.29367	-107.46538	85.76566	0.8938365	44848.86560988426
49	-417.7375	30.969225	-346.9854	-467.68176	-402.84406	41.40384	-339.08078	-458.00827	100.0	100.0	73499	-85.89371	5.7542396	-72.3489	-107.12745	-85.893486	5.77018	-72.2503	-107.4265	85.66985	0.88349366	45864.34548711777
50	-420.50885	23.66895	-379.067	-463.00513	-411.22382	48.256317	-329.98575	-471.1394	100.0	100.0	74999	-85.76658	5.759859	-72.17476	-107.48763	-85.76637	5.77573	-71.926605	-106.751335	85.60464	0.8900842	46540.52801799774
51	-408.13684	45.424187	-311.11258	-484.21133	-403.54193	51.85593	-286.91147	-458.74905	100.0	100.0	76499	-85.632645	5.77996	-72.285835	-107.233505	-85.63244	5.796898	-72.15548	-107.53865	85.40496	0.9021558	47524.855900764465
52	-409.87506	39.91127	-313.18198	-457.08102	-403.04477	39.0399	-309.14835	-457.8691	100.0	100.0	77999	-85.54814	5.7659516	-72.08666	-107.77134	-85.54774	5.7821937	-71.82957	-108.229294	85.323845	0.9000737	48187.54789400101
53	-413.83826	29.610542	-365.18973	-492.01715	-409.39252	39.34014	-333.6083	-481.83386	100.0	100.0	79499	-85.50033	5.799808	-72.083046	-108.76808	-85.50015	5.816178	-71.85855	-109.07533	85.32565	0.9123284	49023.892798900604
54	-416.1392	42.58408	-293.34354	-471.11252	-409.86816	32.264862	-358.3704	-460.64337	100.0	100.0	80999	-85.39523	5.8359065	-72.09517	-108.21744	-85.39489	5.852246	-71.65515	-109.0939	85.17652	0.91436917	49738.35202598572
55	-407.3241	36.236618	-340.0675	-450.5497	-410.56366	40.80047	-347.07205	-476.42813	100.0	100.0	82499	-85.32428	5.8491106	-71.88078	-107.76577	-85.32415	5.865452	-71.44337	-108.56492	85.10325	0.906643	50269.66411113739
56	-401.71106	30.089891	-338.2946	-448.576	-389.08847	45.71758	-325.44598	-485.314	100.0	100.0	83999	-85.266266	5.8345485	-71.59463	-107.96882	-85.26611	5.850787	-71.217735	-108.64149	85.04696	0.92400914	51162.93392086029
57	-413.87042	27.416168	-368.8033	-459.6949	-406.23624	26.165144	-363.35376	-451.93515	100.0	100.0	85499	-85.196556	5.818161	-71.838196	-107.67235	-85.19662	5.832549	-71.36357	-108.8696	84.960915	0.924841	52939.17801117897
58	-414.68927	47.83049	-317.836	-486.3601	-369.01794	37.077354	-306.8165	-405.20627	100.0	100.0	86999	-85.1385	5.8248477	-71.76981	-108.78143	-85.13846	5.840608	-71.510155	-109.58404	84.916794	0.9290214	54461.27565407753
