Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-277.06384	115.03687	-78.25216	-508.53772	85.04256	-0.088167146	0.029690381	0.05415538	-0.19698519	4000	4.9710273e-08	55067.664	-0.011364808	-1769.0977	1.3494376	0.01513161	0.126	57.0	5.662798166275024
1	-182.98422	93.151825	-51.24864	-388.56607	85.652176	-4.155407	0.58706903	2.1775439	-4.6435347	8000	6.887317e-08	24493.537	-0.011035001	-923.5332	1.3615371	0.01213851	0.1695	79.0	11.358079195022583
2	-141.57262	75.3448	-50.53817	-379.9238	88.82222	-7.6368036	0.16167632	-2.5947278	-7.7932935	12000	8.496642e-08	15663.18	-0.010059014	-526.041	1.357266	0.009030087	0.06875	79.0	17.417391061782837
3	-136.81328	79.12371	-50.16315	-450.52365	88.44444	-10.150446	0.27728388	-3.7172608	-10.248008	16000	-3.361702e-08	15412.384	-0.011478442	-491.07617	1.3511877	0.011211303	0.1285	79.0	23.111328125
4	-119.34584	80.953064	-10.171245	-354.46664	94.5	-12.562131	0.2696378	-6.838802	-12.634013	20000	7.683039e-08	11123.541	-0.010560735	-335.55664	1.3119818	0.00954868	0.08375	79.0	28.857802152633667
5	-99.83658	43.91825	14.327733	-292.69977	84.78723	-14.639451	0.046914402	-13.695413	-14.674416	24000	-4.6610833e-08	6879.5054	-0.010458246	-258.55957	1.322359	0.011154626	0.088	79.0	34.152584075927734
6	-100.47065	58.264618	-24.668327	-301.49405	89.09091	-16.486412	0.11358741	-14.486715	-16.52641	28000	-2.9802322e-08	8281.948	-0.008200446	-295.89258	1.3193301	0.0016629238	0.04775	79.0	40.02380704879761
7	-87.26291	39.350075	14.766994	-178.37402	99.475	-18.496342	0.1089477	-16.895317	-18.530735	32000	4.4107438e-09	4049.5854	-0.008369079	-152.1399	1.2924571	0.008121891	0.08575	79.0	45.799307107925415
8	-105.47064	49.73248	0.22046359	-217.17299	104.1579	-20.01926	0.078325145	-18.619505	-20.048647	36000	4.1842462e-08	6498.563	-0.012145649	-248.97705	1.2842646	0.010683153	0.07725	79.0	51.7014422416687
9	-97.06433	58.477528	-4.1973286	-235.19034	118.93939	-21.945581	0.024683027	-21.147005	-21.968334	40000	-6.902218e-08	5671.334	-0.012528345	-203.12695	1.2578914	0.013805142	0.106	79.0	59.124009132385254
