,ddpg_q_i0,ddpg_q_i001,ddpg_q_i01,ddpg_q_i1
$	heta$ MAE (rad),0.4008,0.3737,0.4891,0.3446
$\phi$ MAE (rad),0.3534,0.3088,0.3702,0.1857
$	heta$ MSSE (rad),0.3701,0.3109,0.4474,0.2495
$\phi$ MSSE (rad),0.3442,0.2367,0.3309,0.0834
$	heta$ in bounds (%),32.75,40.72,25.98,44.2
$\phi$ in bounds (%),21.41,44.06,34.84,60.0
$	heta$ unsteady (%),25.35,18.91,18.22,25.62
$\phi$ unsteady (%),49.56,31.79,30.92,31.63
$	heta$ rise time (s),0.688,0.758,0.7896,0.5785
$\phi$ rise time (s),0.4919,0.4152,0.4678,0.3178
$	heta$ settling time (s),2.1118,2.1069,2.2583,2.2431
$\phi$ settling time (s),2.0045,1.9107,1.9189,1.6032
u1 (V),4.8288,5.0125,3.6081,6.1018
u2 (V),4.014,5.54,4.3381,4.8336
u1 variation (V),7.802,8.3899,5.3659,10.219
u2 variation (V),6.5015,9.7687,7.4681,8.4105
Convergence time (min),0.0,0.0,0.0,0.0
