Unnamed: 0,ddpg_q_i0,ddpg_q_i001,ddpg_q_i01,ddpg_q_i1
$	heta$ MAE (rad),0.4179,0.4627,0.3627,0.5716
$\phi$ MAE (rad),0.3596,0.4099,0.3052,0.2382
$	heta$ MSSE (rad),0.3598,0.4212,0.2697,0.4298
$\phi$ MSSE (rad),0.3362,0.3856,0.2192,0.0809
$	heta$ in bounds (%),34.66,37.56,44.33,36.12
$\phi$ in bounds (%),26.76,33.65,37.72,54.21
$	heta$ unsteady (%),26.02,4.06,25.75,32.22
$\phi$ unsteady (%),40.46,6.09,42.86,39.72
$	heta$ rise time (s),0.655,0.6887,0.6523,0.6482
$\phi$ rise time (s),0.4678,0.4426,0.4182,0.3271
$	heta$ settling time (s),1.6191,2.2897,2.302,2.8427
$\phi$ settling time (s),1.5416,1.8419999999999999,1.9561,1.9187
u1 (V),5.5494,9.6332,6.7638,7.3586
u2 (V),4.9141,8.2619,5.3195,5.5397
u1 variation (V),8.8295,18.1618,11.6915,12.2512
u2 variation (V),8.2352,15.7458,9.2944,9.3574
Convergence time (min),0.0,0.0,0.0,0.0
