Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-260.30618	11.777468	-232.26622	-281.24612	-250.44023	24.018911	-206.3212	-284.6906	100.0	100.0	1499	-4.696828	1.585936	0.14770344	-8.9818535	4.613938	0.22933097	6.443906784057617
2	-257.8578	19.721727	-225.80606	-303.27142	-239.92468	23.399792	-207.7123	-278.70575	100.0	100.0	2999	-15.193853	4.9612627	-3.5969946	-30.022392	15.0334635	0.15321441	21.270188093185425
3	-258.771	22.975525	-196.03125	-309.0045	-238.88936	16.4298	-210.11775	-264.03198	100.0	100.0	4499	-31.386353	5.4771805	-12.430116	-51.289204	31.112713	0.4585037	35.608431816101074
4	-257.5845	13.133397	-232.95148	-280.77402	-251.61523	18.894215	-225.24825	-285.15433	100.0	100.0	5999	-46.679043	5.4841466	-24.573133	-65.505066	46.319786	0.7079909	49.72784686088562
5	-249.25395	18.596645	-206.17648	-284.02316	-216.98857	24.08109	-171.02884	-254.85558	100.0	100.0	7499	-61.058193	5.5729823	-36.855556	-81.3884	60.632076	0.9310752	63.99672794342041
6	-258.02206	14.730578	-231.84792	-294.2774	-241.25398	35.946674	-189.44994	-300.1286	100.0	100.0	8999	-74.830986	5.6389747	-49.0295	-94.216835	74.39648	1.0799806	77.94149208068848
7	-248.16801	15.05899	-229.81348	-272.00455	-240.16142	21.860102	-207.7489	-281.48746	100.0	100.0	10499	-87.98013	5.592087	-63.694805	-105.97861	87.55959	1.1836834	91.93769979476929
8	-229.75449	17.659058	-192.61804	-260.79623	-236.87231	15.883751	-215.2391	-264.60254	100.0	100.0	11999	-100.34019	5.711147	-76.01862	-119.60667	99.948906	1.2530953	106.09307599067688
9	-240.1966	18.274853	-205.4824	-278.838	-229.75883	15.454403	-201.45801	-255.42441	100.0	100.0	13499	-112.274216	5.927719	-89.06295	-132.8797	111.90058	1.3065556	119.07098078727722
10	-218.91861	25.346102	-171.67639	-250.68849	-235.2958	28.688955	-162.50153	-270.8011	100.0	100.0	14999	-123.64084	6.215533	-99.60588	-146.52641	123.26326	1.3796296	131.785502910614
11	-216.67	28.410711	-156.38948	-256.3116	-204.68314	39.922222	-105.42804	-248.0688	100.0	100.0	16499	-134.41458	6.4813986	-111.09861	-158.25616	134.0385	1.413402	144.68011593818665
12	-211.00238	36.086334	-131.62285	-262.94293	-236.93753	40.474026	-126.438385	-278.00922	100.0	100.0	17999	-144.67027	6.8390727	-120.26861	-170.9506	144.29915	1.5226953	157.5630509853363
13	-217.85518	27.793936	-166.13606	-267.77768	-202.64784	28.11829	-131.36272	-234.41962	100.0	100.0	19499	-154.23468	7.174255	-130.44507	-181.56644	153.83484	1.6040114	170.52143502235413
14	-225.27524	33.79254	-131.416	-278.5009	-218.86133	29.88856	-166.64267	-261.55142	100.0	100.0	20999	-163.32603	7.519983	-138.27452	-191.51958	162.90875	1.6880386	183.46397495269775
15	-211.95216	32.0036	-140.28261	-253.70746	-200.66008	45.18849	-111.59635	-248.66692	100.0	100.0	22499	-171.92148	7.973964	-143.5011	-201.79623	171.50508	1.8016198	196.28690481185913
16	-205.7972	27.12164	-149.51476	-244.16814	-216.29605	26.976803	-183.69041	-252.62077	100.0	100.0	23999	-179.85063	8.515385	-150.7168	-211.05556	179.41458	1.8833597	209.0878028869629
17	-211.54785	28.56415	-153.54211	-254.57465	-212.63876	36.875313	-113.28612	-240.92552	100.0	100.0	25499	-187.25685	9.112973	-157.57071	-219.65292	186.79442	2.0116491	221.8939027786255
18	-205.75581	39.578773	-114.2475	-259.956	-193.00941	34.762486	-129.75008	-243.6341	100.0	100.0	26999	-194.21973	9.6673765	-163.70534	-228.87585	193.7493	2.0875037	234.5076208114624
19	-192.69257	16.492962	-157.77063	-217.13985	-205.57405	23.525564	-163.96992	-241.15549	100.0	100.0	28499	-200.70766	10.139688	-168.61375	-235.33073	200.24551	2.0922172	247.26872491836548
20	-187.61967	57.235516	-58.127163	-259.074	-189.59486	39.767975	-134.90825	-250.30862	100.0	100.0	29999	-206.99895	10.74347	-174.54758	-244.508	206.53758	2.1602898	259.98453092575073
21	-202.2989	28.835323	-135.6625	-237.96078	-207.49417	20.550495	-174.16997	-234.73598	100.0	100.0	31499	-212.87822	11.388076	-178.27934	-253.10359	212.42108	2.2203212	272.6221749782562
22	-196.09305	31.704233	-132.71843	-247.13916	-179.43233	24.397005	-136.7128	-208.30692	100.0	100.0	32999	-218.54256	12.139246	-182.55634	-258.88724	218.0892	2.3607492	285.3160619735718
23	-189.73918	28.61428	-156.50754	-252.91403	-209.64893	17.01746	-180.34138	-239.36243	100.0	100.0	34499	-223.74498	12.941817	-185.4749	-267.12714	223.27582	2.4726093	298.0833978652954
24	-193.3132	25.957743	-133.41054	-237.66682	-196.09186	39.37289	-114.30095	-246.03448	100.0	100.0	35999	-228.46141	13.598854	-187.22328	-273.30624	227.96577	2.5572774	310.8782799243927
25	-190.28763	36.828175	-91.21948	-220.58986	-180.0918	39.153038	-109.212425	-229.06989	100.0	100.0	37499	-232.954	14.043654	-189.11234	-279.91916	232.45479	2.682107	323.4947328567505
