,ddpg_q,ddpg_q_b,ddpg_q_e,ddpg_q_ep,ddpg_q_p,ddpg_a,ddpg_n,ddpg_n_b,ddpg_s
$	heta$ MAE (rad),0.4238,0.4001,0.2592,0.4484,0.4136,0.3384,0.5695,0.6205,1.2263
$\phi$ MAE (rad),0.3731,0.3518,0.1938,0.4254,0.394,0.4103,0.4399,0.4131,1.2053
$	heta$ MSSE (rad),0.367,0.3508,0.1804,0.3667,0.3511,0.2756,0.4408,0.5209,0.858
$\phi$ MSSE (rad),0.3232,0.3028,0.1166,0.3905,0.336,0.3442,0.3511,0.3377,1.0471
$	heta$ in bounds (%),36.17,35.2,71.35,28.49,38.95,48.86,37.47,38.73,2.28
$\phi$ in bounds (%),35.15,35.7,74.8,23.78,34.92,37.29,47.27,53.35,1.08
$	heta$ unsteady (%),17.01,14.04,8.33,29.69,13.71,9.88,4.46,2.43,87.08
$\phi$ unsteady (%),30.05,25.6,16.82,36.87,29.08,18.57,5.29,3.38,92.55
$	heta$ rise time (s),0.6158,0.6613,0.5474,0.6288,0.5932,0.6187,1.2022,1.1136,0.6914
$\phi$ rise time (s),0.3974,0.3952,0.3551,0.4038,0.4558,0.3911,1.0269,0.7993,0.3732
$	heta$ settling time (s),0.9953,1.1611,0.8408,1.1,0.9522,1.025,2.0882,1.6971,3.1049
$\phi$ settling time (s),1.006,1.0501,0.5907,1.1133,0.9354,0.9045,1.8278,1.4033,4.3598
u1 (V),5.5003,5.9918,4.0679,5.3881,3.3541,6.6255,3.4246,4.6366,9.9205
u2 (V),6.7398,6.1529,3.2674,5.6538,5.3151,6.7553,1.5933,1.8309,9.9666
u1 variation (V),9.078,10.2977,6.6447,8.0491,4.7145,11.6322,6.0443,8.43,7.449
u2 variation (V),11.4477,10.4571,5.0451,9.0696,9.1853,11.8625,2.4424,3.0217,8.3616
Convergence time (min),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
