Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-3183.8296	507.86615	-2096.3452	-4054.4146	-3275.9282	685.0227	-2347.3647	-4538.504	100.0	100.0	1499	-44.57321	20.889664	0.009869121	-108.18443	43.02082	139.817	11.30979609489441
2	-3021.2017	537.36145	-2136.1248	-3907.1838	-2525.059	438.0215	-1849.651	-3479.6875	100.0	100.0	2999	-162.98528	64.78158	-23.708937	-415.8337	158.68135	101.16429	30.494177103042603
3	-2930.9536	567.9191	-2116.3433	-3755.7214	-2030.6667	969.87726	-933.538	-4361.139	100.0	100.0	4499	-322.89935	87.85439	-96.527504	-669.0835	311.9344	204.63956	49.45992708206177
4	-3098.8435	571.31793	-2165.4197	-4196.3022	-1665.4216	1163.6252	-314.534	-3872.7844	100.0	100.0	5999	-441.86035	108.8813	-139.31444	-865.602	426.4155	296.46204	68.74407696723938
5	-3241.2625	670.39655	-1877.3645	-4167.898	-1505.6504	740.8276	-264.08334	-2487.5212	100.0	100.0	7499	-538.5171	132.72977	-178.93222	-1040.7965	520.5164	416.23505	87.92742800712585
6	-3035.6016	455.3364	-2075.4941	-4004.2373	-1438.1033	446.83096	-601.6306	-2044.7223	100.0	100.0	8999	-607.11993	146.20453	-243.87564	-1112.8236	586.6726	473.2879	107.43648505210876
7	-2613.1926	962.1299	-987.0229	-3899.0752	-1515.8732	598.68976	-893.7793	-2651.6401	100.0	100.0	10499	-654.87305	156.62204	-260.62268	-1168.9717	633.86395	509.93408	127.02542209625244
8	-1072.1285	454.9548	-530.99274	-2112.4404	-1247.0997	398.01193	-788.8491	-2111.2976	100.0	100.0	11999	-669.119	173.79758	-256.37396	-1227.4767	648.45856	503.26483	147.0586211681366
9	-1173.0431	446.60675	-729.6688	-2029.1971	-1331.1499	582.78436	-564.4679	-2379.0723	100.0	100.0	13499	-669.29834	190.94308	-248.79906	-1269.1072	648.5262	480.34207	167.1624391078949
10	-1278.7358	406.47183	-520.2967	-2054.994	-1477.5936	488.34726	-886.74384	-2526.321	100.0	100.0	14999	-660.72675	202.57036	-221.64998	-1323.2023	640.71924	489.18967	187.2366383075714
11	-1129.8027	502.64478	-400.31546	-2012.0336	-1034.0706	569.70306	-360.42462	-2047.8286	100.0	100.0	16499	-654.1822	206.95197	-203.79219	-1337.909	635.15686	479.37366	207.32683515548706
12	-1497.341	713.1136	-529.6882	-2830.7356	-850.2004	358.37506	-285.18573	-1585.7097	100.0	100.0	17999	-652.7015	207.94258	-200.82288	-1338.3668	634.19275	464.6184	227.5796992778778
13	-1257.5377	495.87225	-360.92212	-2197.6711	-1175.9939	525.4339	-657.1898	-2205.152	100.0	100.0	19499	-649.1654	211.40999	-189.66803	-1336.8337	631.9954	456.4195	247.43608498573303
14	-1078.4282	484.98422	-287.68933	-2321.2087	-1079.3362	490.95926	-416.00803	-2248.127	100.0	100.0	20999	-650.02625	216.35896	-180.29126	-1373.6852	633.6134	454.0688	267.40771293640137
15	-1312.537	538.74304	-650.0278	-2382.846	-844.6793	254.63849	-517.9778	-1270.587	100.0	100.0	22499	-644.384	224.62766	-147.82695	-1413.2997	628.50616	442.2031	287.41078901290894
16	-1207.3593	223.63062	-747.2965	-1751.3673	-1189.6218	432.59875	-682.47986	-2213.642	100.0	100.0	23999	-639.0954	236.31999	-80.45256	-1439.0088	623.19244	442.1249	307.5363960266113
17	-1120.6346	439.81155	-444.11002	-2267.8367	-943.73944	270.31406	-545.62683	-1489.6532	100.0	100.0	25499	-629.76013	243.7221	-51.312286	-1453.3739	613.848	462.66083	327.3840000629425
18	-1164.347	457.69907	-596.8167	-2159.6094	-920.7739	390.83124	-467.23914	-1706.0413	100.0	100.0	26999	-617.911	250.05768	-16.551037	-1485.731	601.7008	474.1039	347.6042230129242
19	-1045.9905	275.28442	-572.4326	-1497.3254	-1192.846	482.85083	-588.20013	-1934.3092	100.0	100.0	28499	-602.6948	259.76218	42.23641	-1931.5117	586.742	476.80362	367.9761562347412
20	-1254.7252	596.4187	-404.07513	-2772.8145	-1063.6799	471.26096	-408.09384	-1951.0497	100.0	100.0	29999	-586.892	271.80734	91.41126	-1816.7378	570.7422	503.43283	388.0706522464752
21	-1159.7207	442.3331	-492.72025	-2067.3022	-919.4201	334.69156	-434.54135	-1536.8398	100.0	100.0	31499	-564.0876	282.24585	118.46042	-1906.1644	547.6726	536.637	408.0847909450531
22	-1030.1136	428.14468	-441.77655	-1914.2773	-1082.862	477.8237	-494.33908	-2084.8062	100.0	100.0	32999	-536.586	291.39572	141.38104	-1862.0369	520.2322	565.9109	428.52906799316406
23	-1010.8775	402.98468	-490.4278	-1728.3893	-1150.8108	529.575	-279.99243	-2262.386	100.0	100.0	34499	-515.15717	297.11374	162.15433	-1798.2106	499.2766	559.0631	448.7405700683594
24	-1003.4979	392.06595	-438.47778	-1580.669	-1004.5641	360.67233	-612.9179	-1813.1664	100.0	100.0	35999	-488.23306	304.31174	195.60034	-1742.5996	472.93204	566.1028	468.8694500923157
25	-1082.2017	538.0868	-327.65448	-2352.6562	-1076.9105	675.0462	-260.1957	-2775.7954	100.0	100.0	37499	-465.82288	308.81314	199.24576	-1766.075	450.66382	575.12286	489.130065202713
26	-992.47815	379.42	-383.24072	-1699.4435	-891.1447	329.5838	-394.21234	-1446.1229	100.0	100.0	38999	-447.5022	311.47873	225.75656	-1701.2424	432.78293	567.6516	509.37783908843994
27	-1118.1267	309.39963	-339.1029	-1504.5199	-903.4665	386.63525	-280.3408	-1469.1566	100.0	100.0	40499	-423.05966	317.187	323.00018	-1618.4772	407.91858	573.2166	529.278284072876
28	-1072.01	680.0382	-169.75755	-2577.5142	-1030.5619	512.1154	-458.47382	-2158.0176	100.0	100.0	41999	-399.8119	328.30615	400.46973	-1650.2551	383.92828	577.4858	549.4281630516052
29	-988.1582	446.02222	-433.21436	-2077.447	-867.79333	414.22006	-229.3004	-1635.4268	100.0	100.0	43499	-368.41705	339.44138	457.89642	-1742.1141	352.23093	591.111	569.2462821006775
30	-918.08704	329.40594	-579.4765	-1822.1755	-983.04425	217.85521	-653.2254	-1309.1299	100.0	100.0	44999	-330.48596	345.05765	543.4019	-1747.2268	313.90686	615.31586	589.5409379005432
31	-1078.6056	335.45615	-632.2475	-1938.5476	-1195.4614	577.54877	-538.75006	-2156.7986	100.0	100.0	46499	-291.32593	350.3733	634.44025	-1739.3297	274.80383	633.6009	609.5322852134705
32	-1298.4181	428.77652	-670.92267	-2221.9648	-1050.8783	353.22003	-539.78955	-1751.7485	100.0	100.0	47999	-255.73045	353.08752	700.18726	-1758.6466	239.65117	633.8569	631.4180243015289
33	-1076.383	511.41794	-314.89417	-1945.5242	-1109.8655	745.6821	-317.0903	-3011.7168	100.0	100.0	49499	-229.6045	354.78357	741.20776	-1735.4779	213.68391	622.29706	651.4657151699066
34	-1264.2388	462.12097	-572.088	-2242.2817	-882.94464	359.928	-245.85127	-1495.0784	100.0	100.0	50999	-201.23772	353.5962	759.9302	-1698.2538	185.90414	605.9536	671.5151841640472
35	-951.636	422.0892	-367.0673	-2105.93	-800.3059	227.83868	-512.07935	-1230.4467	100.0	100.0	52499	-176.91478	350.81906	742.87494	-1737.3123	161.94238	587.26666	691.9660351276398
36	-873.75104	349.85797	-398.90277	-1836.4368	-927.9424	248.45195	-616.8564	-1389.7711	100.0	100.0	53999	-153.35422	346.73483	734.4659	-1736.4437	138.8737	565.22394	712.0533940792084
37	-1048.6981	439.02814	-476.22534	-2148.9558	-1218.7177	341.06747	-623.0652	-1747.5195	100.0	100.0	55499	-132.87398	339.8567	745.5235	-1700.401	118.02425	554.6834	732.1865510940552
38	-1222.0359	601.2882	-477.75894	-2852.7898	-1131.5618	463.90027	-236.67366	-1781.6248	100.0	100.0	56999	-112.48727	333.16602	730.1021	-1720.5958	97.87956	538.04193	752.7330002784729
