Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-481.70212	93.8807	-309.699	-662.39026	-168.64328	24.960646	-99.099174	-186.65877	100.0	100.0	1499	-7.427519	3.063735	0.013652019	-22.725979	6.117008	2.6229038	8.98328709602356
2	-529.93085	116.15148	-379.0893	-744.9836	-150.91013	12.452249	-135.68257	-178.33612	100.0	100.0	2999	-17.644083	6.9730906	-4.589888	-49.619656	14.507358	0.9482825	24.72906994819641
3	-496.34668	87.42783	-344.75153	-678.34827	-175.8692	14.564206	-152.61145	-198.74597	100.0	100.0	4499	-26.680058	7.604232	-9.610481	-59.867073	22.937954	1.0993618	40.31915616989136
4	-538.8478	142.61494	-391.42264	-805.70355	-159.907	17.876177	-120.809494	-183.78235	100.0	100.0	5999	-34.480656	8.113067	-12.830597	-68.18857	30.616133	1.2543077	56.05598521232605
5	-489.1856	102.12037	-332.21326	-758.6333	-159.86456	29.956966	-105.9432	-199.59999	100.0	100.0	7499	-41.641075	8.327587	-18.64143	-76.32514	37.748417	1.3454901	72.28436398506165
6	-555.0461	133.76332	-407.5409	-848.88403	-167.77194	17.47565	-128.37407	-187.61172	100.0	100.0	8999	-48.15188	8.787456	-25.10545	-82.570755	44.15581	1.5127765	87.75119709968567
7	-354.05682	165.6096	-111.379265	-673.8921	-166.32422	16.007391	-144.54181	-188.95036	100.0	100.0	10499	-53.692917	9.599365	-27.559034	-89.54389	49.64981	1.7340659	103.57686495780945
8	-160.17644	26.779932	-114.578224	-198.79637	-174.22115	18.01251	-133.30034	-201.9167	100.0	100.0	11999	-57.4681	11.139553	-29.584572	-99.25923	53.803562	1.6099505	119.85431504249573
9	-170.3958	26.594429	-98.32472	-199.26668	-167.24342	23.228815	-117.76949	-208.1005	100.0	100.0	13499	-61.5164	12.375134	-34.22816	-109.03095	58.262783	1.533628	136.12787127494812
10	-166.19931	16.826498	-142.71838	-201.01363	-158.58063	24.989248	-111.663155	-195.27956	100.0	100.0	14999	-66.4677	13.260033	-35.798878	-115.04837	63.59426	1.4521976	152.61205124855042
11	-162.3625	22.926685	-108.21343	-184.75536	-160.78928	22.079819	-123.06965	-184.90184	100.0	100.0	16499	-71.96561	14.012698	-38.32366	-122.390495	69.32344	1.4707584	169.48627495765686
12	-156.34964	22.964489	-120.266914	-200.40518	-159.28722	24.438084	-117.25803	-198.72609	100.0	100.0	17999	-77.07643	14.737271	-38.15291	-133.51404	74.65211	1.4549575	186.37741708755493
13	-167.38387	25.567045	-101.874214	-210.02742	-168.32854	13.527159	-145.42825	-187.85146	100.0	100.0	19499	-81.76522	15.193974	-45.141342	-141.96028	79.510506	1.5213493	203.1992130279541
14	-161.14131	24.307903	-112.59807	-191.52676	-148.14893	15.264922	-116.54862	-167.11803	100.0	100.0	20999	-86.63413	15.473334	-49.60698	-148.65935	84.50679	1.5474128	220.0429651737213
15	-162.85722	22.480385	-101.822655	-196.08594	-158.59175	17.653154	-122.8697	-189.996	100.0	100.0	22499	-91.32862	15.846156	-54.663406	-154.36014	89.288956	1.5527067	236.79165625572205
16	-157.51215	21.026001	-105.42159	-202.77287	-154.71213	25.5044	-109.40336	-201.36989	100.0	100.0	23999	-95.24261	16.302996	-59.03257	-158.895	93.29733	1.5892848	253.56714510917664
17	-156.57164	28.199255	-96.05047	-192.48033	-155.12292	31.158354	-80.963936	-187.29517	100.0	100.0	25499	-98.78289	16.554705	-59.50471	-162.48108	96.87891	1.5586807	270.2887101173401
