Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-540.8379	155.53215	-356.52945	-817.3207	-150.92088	68.8317	38.11563	-215.33842	100.0	100.0	1499	-8.436521	3.6396284	0.009121321	-24.951818	6.877113	3.2187486	8.86074423789978
2	-488.9739	97.30351	-332.68658	-679.35345	-152.02917	38.148647	-55.440357	-202.06718	100.0	100.0	2999	-18.511015	7.7244444	-4.449875	-52.124596	14.980077	1.0905339	24.580742120742798
3	-516.5037	123.917336	-381.22748	-814.0829	-174.18259	14.714191	-143.94685	-191.70688	100.0	100.0	4499	-26.522667	9.255001	-8.076018	-66.68734	22.439133	1.517383	40.57761311531067
4	-505.85483	119.94458	-371.46252	-797.741	-164.03835	18.480087	-127.274605	-189.46652	100.0	100.0	5999	-33.302856	9.549443	-10.908857	-74.62626	29.266844	1.6545525	56.551430225372314
5	-500.87952	109.87334	-355.10715	-756.98016	-169.86266	13.68735	-141.57004	-194.1352	100.0	100.0	7499	-39.66274	10.392268	-12.587667	-76.72798	35.631386	1.7431396	72.7593080997467
6	-496.14096	89.85693	-331.70157	-661.2406	-156.89941	28.631561	-97.953804	-180.48227	100.0	100.0	8999	-46.21166	11.72352	-14.174859	-85.66656	42.066223	2.018781	88.87229895591736
7	-342.36908	136.28944	-137.91249	-543.14636	-150.19766	30.787867	-64.036575	-183.70357	100.0	100.0	10499	-51.405525	12.635766	-15.703305	-92.8149	47.37135	2.199313	104.96717810630798
8	-158.50034	28.674574	-71.848526	-192.32805	-169.06369	25.010592	-97.7076	-190.71411	100.0	100.0	11999	-55.17547	14.000095	-17.850939	-99.69769	51.606625	2.0915039	121.31806826591492
9	-167.84961	21.363325	-98.510605	-189.66682	-141.087	66.78873	50.199574	-184.69754	100.0	100.0	13499	-58.74029	15.13873	-23.583208	-110.44999	55.564198	2.022629	137.56126618385315
10	-163.34334	23.512114	-110.31465	-199.28384	-145.504	31.06366	-71.31539	-193.74355	100.0	100.0	14999	-62.308132	16.133457	-27.996115	-117.92902	59.450844	1.944357	153.49093508720398
11	-154.4688	33.27901	-76.05595	-199.97829	-140.71318	33.452927	-63.37277	-175.51547	100.0	100.0	16499	-67.35104	16.456236	-33.152752	-126.90364	64.754715	1.8510929	169.57018613815308
12	-141.36623	51.524883	-1.7574408	-183.82635	-157.85344	33.846073	-95.79109	-194.97052	100.0	100.0	17999	-72.50742	16.783575	-36.41824	-132.04892	70.054	1.8665648	186.01269125938416
13	-162.9709	20.863146	-118.05382	-195.15443	-165.42723	18.743061	-122.5061	-189.62238	100.0	100.0	19499	-77.00515	16.9267	-38.42478	-135.51965	74.6981	1.8892841	202.7249231338501
14	-165.44261	26.459026	-87.75881	-191.9694	-156.86874	21.572638	-111.59362	-190.65688	100.0	100.0	20999	-80.78475	17.297497	-39.94003	-141.52003	78.63169	1.9907422	219.2316222190857
15	-158.10028	46.564957	-16.103983	-203.71481	-130.75284	57.185883	11.020326	-195.16026	100.0	100.0	22499	-85.243385	17.442219	-41.780285	-146.66829	83.23648	1.9906001	235.62211203575134
16	-143.15816	45.31895	-35.076233	-197.09795	-160.63606	13.065313	-138.1998	-189.75333	100.0	100.0	23999	-89.66402	17.796236	-44.301727	-152.32767	87.75229	2.0397701	252.2847809791565
17	-158.65192	34.177757	-50.83889	-199.9251	-158.43973	17.36948	-125.08359	-179.34431	100.0	100.0	25499	-93.44405	18.2473	-44.986847	-157.56157	91.59819	2.151842	269.0816640853882
18	-162.96262	25.470884	-108.955376	-206.63512	-132.75153	31.515373	-49.29126	-165.6341	100.0	100.0	26999	-96.85881	18.549463	-46.478695	-163.15938	95.07721	2.2240024	285.71923208236694
19	-158.66495	21.269327	-115.910324	-183.69151	-155.98601	21.546585	-106.70664	-183.1153	100.0	100.0	28499	-99.82821	18.868008	-48.60104	-166.67387	98.13374	2.2889185	302.3821539878845
20	-155.99983	30.513138	-90.81113	-185.39627	-144.99356	32.727375	-72.607445	-179.38252	100.0	100.0	29999	-102.99225	19.216774	-50.78218	-167.44072	101.34126	2.3326612	319.1640341281891
21	-122.6219	37.31502	-38.280396	-172.27779	-141.56067	29.433865	-85.05196	-169.29916	100.0	100.0	31499	-105.41313	19.53145	-50.919876	-171.62119	103.78794	2.4003453	335.6991033554077
22	-144.83788	31.41456	-67.2548	-188.03366	-138.46317	35.688843	-55.237434	-181.03665	100.0	100.0	32999	-107.423	20.143587	-52.40038	-171.37117	105.79785	2.5191994	352.31819915771484
23	-134.36899	39.564396	-48.384617	-217.04774	-72.444855	81.68966	25.747065	-191.7044	100.0	100.0	34499	-109.057724	20.6978	-53.108326	-178.17581	107.46381	2.5215433	370.4926290512085
24	-112.19725	68.43249	78.912155	-191.98714	-146.59666	28.713243	-88.39567	-187.12228	100.0	100.0	35999	-110.34149	20.994215	-53.05471	-179.1803	108.78231	2.5543106	387.49556016921997
25	-119.73381	72.88929	46.955456	-189.59566	-120.13423	68.73423	63.82346	-181.38844	100.0	100.0	37499	-111.74196	21.514324	-52.67171	-182.65636	110.18916	2.6769311	404.14956521987915
26	-126.55825	50.612965	0.5061053	-208.73723	-151.15962	35.10542	-98.42692	-195.3139	100.0	100.0	38999	-112.56315	22.204739	-54.176147	-191.44136	111.01779	2.865957	420.77683305740356
27	-138.33035	45.65394	-10.264348	-179.88823	-117.08384	62.8772	54.55565	-185.9274	100.0	100.0	40499	-113.13944	22.760159	-54.498077	-191.78267	111.60538	2.9178808	437.73177695274353
28	-107.911026	37.992466	-30.496359	-160.69469	-154.74046	29.035189	-101.49423	-220.64685	100.0	100.0	41999	-113.355545	23.253805	-52.942307	-193.51852	111.84	3.0315483	454.8105881214142
29	-109.3264	58.41973	8.226952	-200.73189	-105.65764	63.69698	57.63624	-191.82175	100.0	100.0	43499	-113.56172	23.858027	-52.357273	-198.57454	112.06019	3.1773822	471.65469217300415
30	-138.44943	31.422033	-66.90855	-179.79434	-111.21974	62.611378	18.004406	-197.18379	100.0	100.0	44999	-113.41544	24.598179	-51.28838	-201.29233	111.90414	3.3350313	488.73063015937805
31	-127.50974	47.789505	-5.918034	-185.79839	-94.51366	87.894745	100.58213	-200.67625	100.0	100.0	46499	-113.10048	24.87495	-49.567795	-203.73701	111.609665	3.4925811	505.5804831981659
32	-127.0645	42.171738	-59.263073	-200.66129	-85.189125	63.34556	49.013405	-152.94716	100.0	100.0	47999	-112.67531	25.318928	-47.757328	-208.2461	111.175064	3.5551836	522.368271112442
33	-110.21817	60.258625	44.167168	-197.68416	-95.83852	55.03305	37.218956	-171.73917	100.0	100.0	49499	-111.76858	25.801287	-44.726597	-209.74852	110.29266	3.7310429	539.2938070297241
34	-115.866	37.693077	-21.662903	-173.85727	-106.640465	57.735146	21.153837	-171.80258	100.0	100.0	50999	-111.0791	26.396822	-43.18595	-212.93726	109.61462	3.8078723	556.1985909938812
35	-123.39249	60.456665	63.376507	-192.84319	-102.28114	78.171745	23.038885	-185.67635	100.0	100.0	52499	-110.07006	26.669678	-42.742737	-216.74187	108.58198	4.09957	573.2768912315369
36	-134.76851	33.411964	-51.956993	-172.02737	-116.201645	67.56969	50.472206	-176.8043	100.0	100.0	53999	-108.85067	27.02118	-40.00351	-216.80592	107.369545	4.087342	590.1215121746063
37	-119.02401	63.557568	70.29885	-188.23672	-110.433914	65.48793	23.868208	-170.43927	100.0	100.0	55499	-107.177345	27.616215	-36.483677	-220.33977	105.680664	4.2974963	607.1571850776672
38	-110.13659	43.066555	-33.90771	-172.64891	-106.4952	54.340534	-2.99867	-166.74515	100.0	100.0	56999	-105.05474	28.305487	-29.855238	-225.31787	103.51044	4.4519696	624.0807809829712
39	-99.012375	63.251175	66.40536	-151.5049	-76.13956	91.65845	135.88931	-173.69751	100.0	100.0	58499	-102.739395	28.789251	-26.216286	-227.10617	101.21538	4.4775524	641.0776860713959
40	-84.288315	76.971886	93.08356	-187.15959	-115.80038	48.98126	-2.7303865	-177.60132	100.0	100.0	59999	-100.11792	29.285503	-23.09204	-229.06273	98.54725	4.669319	658.0660831928253
41	-95.16322	47.99669	20.73202	-171.46982	-121.91233	17.258608	-90.226746	-148.4713	100.0	100.0	61499	-97.11303	29.690126	-19.382998	-228.17294	95.49776	4.7647834	675.2514390945435
42	-63.92644	62.34797	33.605198	-163.46484	-114.35414	51.571156	27.846455	-176.2735	100.0	100.0	62999	-93.62078	30.083803	-16.005093	-229.46931	92.038605	4.9497423	692.5080721378326
43	-97.44511	45.059933	-6.8236127	-149.23184	-67.271835	75.37759	96.81473	-152.63266	100.0	100.0	64499	-90.33509	30.60588	-13.100635	-228.01855	88.80475	5.1570363	709.4408419132233
44	-88.767235	54.37909	5.261168	-159.43074	-114.59786	68.52195	83.71041	-173.04515	100.0	100.0	65999	-87.26476	31.09713	-9.322611	-226.30876	85.72182	5.178469	726.2311773300171
45	-93.95424	64.89865	46.275288	-165.54214	-73.323166	103.48284	96.707214	-169.76428	100.0	100.0	67499	-84.61272	31.477236	-4.9732604	-226.23993	83.09447	5.330934	743.3884122371674
46	-103.48974	52.64949	3.4366894	-190.26918	-78.461365	59.817116	21.704739	-154.1489	100.0	100.0	68999	-81.5869	32.032986	-2.4411159	-222.67961	80.07226	5.52116	760.1446101665497
47	-123.41189	44.581306	-22.412832	-191.04356	-79.04878	86.20301	114.447914	-185.00386	100.0	100.0	70499	-78.45465	32.715336	-0.8729236	-218.5458	76.93054	5.6084247	776.920624256134
48	-103.092155	52.117794	50.458916	-164.19629	-116.845665	43.068462	-47.623466	-176.63239	100.0	100.0	71999	-75.59995	33.02684	-0.36617258	-216.89867	74.06566	5.5996027	793.5907371044159
49	-78.16855	57.717632	15.917608	-190.04181	-96.04091	77.93419	45.67591	-187.79147	100.0	100.0	73499	-72.921005	33.220737	-0.3119361	-215.99971	71.42837	5.790699	810.4208681583405
50	-97.78652	71.9371	64.34677	-207.9421	-71.31721	96.94164	138.41603	-199.43123	100.0	100.0	74999	-70.18301	33.04451	-0.26731968	-221.94145	68.751205	5.7909565	826.865864276886
51	-112.119255	60.554314	16.93714	-207.07472	-117.36548	34.894325	-50.613945	-190.35919	100.0	100.0	76499	-68.129745	32.982044	-0.22865866	-212.87276	66.705795	5.8324466	843.0552132129669
52	-111.40382	65.849754	21.778618	-218.33244	-104.36401	75.05915	54.885193	-194.17609	100.0	100.0	77999	-66.359375	32.816643	-0.18386853	-210.84001	64.92045	5.783225	859.3787503242493
53	-117.02325	70.853325	52.517544	-192.86656	-128.66452	47.229237	-25.534208	-187.99075	100.0	100.0	79499	-63.83378	32.677692	-0.13856244	-206.31363	62.344147	5.9022903	875.9667420387268
54	-113.34481	40.77573	-28.380508	-163.53868	-108.512955	72.24022	81.04052	-169.00615	100.0	100.0	80999	-60.80796	32.291332	-0.10846481	-206.09572	59.283356	5.869306	892.4897122383118
55	-111.86867	50.468845	38.821796	-163.21709	-82.05353	67.242424	92.56079	-161.9278	100.0	100.0	82499	-57.90476	31.879839	-0.0880526	-197.68552	56.404007	5.747314	909.1034333705902
56	-96.04468	46.498226	48.82795	-166.03358	-100.39318	78.17029	110.37545	-180.99347	100.0	100.0	83999	-55.381985	31.2864	-0.07182758	-193.60477	53.94577	5.5891824	925.9253990650177
57	-120.26869	58.72246	6.7672844	-199.3317	-89.32828	63.603313	22.350384	-153.2715	100.0	100.0	85499	-53.422264	30.848318	-0.049847584	-191.2051	52.04397	5.296282	942.9627990722656
