Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-6358.321	2390.3257	-3444.2988	-10494.94	-3693.0786	2473.8691	-1308.177	-8787.14	100.0	100.0	1499	-88.36734	49.604168	-0.00040262938	-301.73492	84.63136	1327.2815	13.837033033370972
2	-6781.224	1524.6654	-3704.289	-8981.96	-3005.867	1479.8207	-687.9101	-5434.9683	100.0	100.0	2999	-342.96924	172.76178	-41.664455	-1027.8077	332.84247	959.2112	34.784666776657104
3	-5279.7734	1560.8182	-2237.4758	-9500.743	-2295.0652	1225.5012	-566.32336	-4308.5015	100.0	100.0	4499	-659.3562	267.0569	-10.533585	-1662.5134	627.88696	1697.459	59.19714093208313
4	-6621.4087	2055.3481	-2833.2153	-10096.705	-1517.0995	1225.1858	-204.53915	-4805.555	100.0	100.0	5999	-768.34155	340.68835	0.37907192	-1913.6401	710.0698	2965.2046	81.732421875
5	-6412.6577	1394.6803	-3296.5818	-8396.104	-1622.9438	1266.6389	-414.09543	-4197.883	100.0	100.0	7499	-738.92487	383.0206	0.39069813	-2365.486	674.9444	3835.5867	101.16576480865479
6	-6820.834	2025.1458	-3958.246	-10326.496	-1044.7578	438.40213	-320.64374	-1664.6666	100.0	100.0	8999	-700.8658	404.99112	0.36316347	-2342.7542	635.38965	4504.7026	120.77762985229492
7	-4448.743	2128.5283	-635.9374	-8462.209	-1819.9261	752.08746	-686.43207	-3084.057	100.0	100.0	10499	-650.9682	389.85117	0.32260627	-2134.092	591.52563	4362.364	140.53484582901
8	-1415.5096	992.42804	-86.09052	-3605.7844	-1546.0931	1058.2734	-210.00108	-4191.9927	100.0	100.0	11999	-625.2521	378.97156	0.22114003	-2522.664	574.71814	3396.7134	160.50768208503723
9	-1798.1715	970.41064	-522.9342	-4370.0996	-1478.4563	869.9241	-295.0836	-3578.9014	100.0	100.0	13499	-609.0596	370.40533	-3.6924498	-2351.976	563.6646	2894.9404	180.7899739742279
10	-1362.806	898.92084	-243.68596	-3459.2783	-1311.4111	905.142	-331.27774	-3421.6726	100.0	100.0	14999	-605.5536	360.76154	-7.477458	-2332.6538	563.23755	2541.8948	201.02925491333008
11	-1633.3728	773.9897	-444.6743	-2905.882	-1164.0106	735.6321	-283.71622	-2473.9158	100.0	100.0	16499	-595.72064	356.09116	-12.361208	-2209.337	556.6025	2340.6978	221.2776849269867
12	-1182.7408	772.59515	-108.23736	-2683.455	-1121.0729	716.7508	-211.89587	-2812.0022	100.0	100.0	17999	-582.8879	355.58176	-14.000367	-2265.0308	545.69385	2175.8118	241.1800980567932
13	-1188.6251	657.2108	-74.665825	-2474.8472	-1645.1179	727.24524	-820.45685	-3157.6353	100.0	100.0	19499	-563.30615	353.85425	-15.99445	-2299.334	527.2825	2108.1292	261.3517277240753
14	-911.37146	581.80566	-240.90715	-2192.2058	-1104.4216	835.9929	-292.75125	-3157.0989	100.0	100.0	20999	-539.0138	349.1234	-18.87976	-2270.9792	504.40976	2013.8065	282.789834022522
15	-1167.8679	543.2176	-141.23087	-2208.3555	-737.86316	633.28827	-150.91534	-2473.888	100.0	100.0	22499	-504.64697	345.61313	-11.553168	-2175.6663	471.745	1867.3105	302.9276180267334
16	-1094.1938	761.6176	-188.18994	-3216.38	-935.513	672.6906	-189.46783	-2564.5454	100.0	100.0	23999	-477.75558	344.02008	-8.726144	-2119.6028	445.8736	1789.5657	322.82134079933167
17	-1188.758	931.12616	-130.6727	-3076.8738	-1103.3099	975.8887	-203.96265	-3273.8523	100.0	100.0	25499	-446.50912	339.739	-2.7077413	-2098.2832	415.29224	1713.7772	342.6984040737152
18	-833.4291	409.6431	-290.53162	-1831.3655	-1368.882	709.7891	-645.85254	-2891.9373	100.0	100.0	26999	-416.84042	331.66006	21.989292	-2063.4473	387.3155	1659.6207	362.54379391670227
19	-1247.1196	786.4257	-240.20692	-2898.0999	-1283.0807	912.2018	-454.16083	-3553.4985	100.0	100.0	28499	-391.0941	321.89178	56.74885	-2051.9382	363.37225	1569.3522	382.9060709476471
20	-1355.1328	651.49835	-429.07782	-2723.017	-793.38196	399.96606	-199.95358	-1449.3066	100.0	100.0	29999	-368.9132	314.21268	96.10114	-1986.597	341.88516	1528.1437	403.0012700557709
21	-1073.7012	676.31635	-229.74028	-2325.5203	-1530.6733	1440.7184	-100.567314	-5141.4766	100.0	100.0	31499	-347.9276	303.87222	115.05523	-1919.5525	322.59006	1463.6674	423.94545793533325
22	-1024.2867	777.2014	-351.40503	-3579.7014	-833.18884	419.64764	-153.72406	-1413.9552	100.0	100.0	32999	-335.0727	301.01547	147.89468	-2168.5085	310.6467	1462.1655	444.18488097190857
23	-946.1635	623.2612	-93.2093	-2834.7373	-1141.4606	451.8309	-506.8123	-1940.8267	100.0	100.0	34499	-314.95288	297.3159	181.55829	-2128.2695	290.85287	1491.9597	464.23059582710266
24	-849.30457	405.00186	-309.82626	-1568.5677	-921.39124	548.6016	-80.88721	-2072.2131	100.0	100.0	35999	-292.05328	289.87857	203.19586	-1984.3802	268.38184	1434.7039	484.1883111000061
25	-1240.762	595.5998	-119.76408	-2667.046	-910.78156	576.75287	-386.913	-2371.585	100.0	100.0	37499	-270.5088	287.41263	234.98827	-1885.7385	246.94179	1385.0062	504.23172092437744
26	-959.4043	619.4776	-421.38995	-2760.0854	-630.76056	415.25424	-120.57268	-1549.1029	100.0	100.0	38999	-248.17256	281.97028	268.56006	-1917.8732	225.2411	1363.161	524.9950358867645
27	-822.34937	644.45123	-146.41132	-3043.5642	-754.20337	398.2501	-221.68741	-1762.3948	100.0	100.0	40499	-225.90875	280.6434	289.77942	-1885.1755	203.5134	1314.5165	545.9104130268097
28	-937.34753	565.1244	-361.19492	-2160.4707	-882.81116	831.5724	-129.2832	-2637.218	100.0	100.0	41999	-203.25404	280.09793	319.30676	-1863.8508	180.98213	1279.7545	566.589597940445
29	-829.1748	419.989	-192.59451	-1591.2397	-959.18146	441.0599	-288.36328	-1667.0005	100.0	100.0	43499	-176.88634	284.17603	420.5691	-1926.693	155.12767	1272.0529	587.8596518039703
30	-923.2988	493.2968	-126.296326	-1638.6542	-829.92004	500.74704	-81.65834	-1533.6862	100.0	100.0	44999	-154.22206	289.10733	467.34265	-1929.428	132.72418	1236.7086	608.7870841026306
31	-1017.40857	707.59015	-359.1383	-3050.7664	-922.8753	345.97333	-197.51736	-1460.7487	100.0	100.0	46499	-134.40778	294.42685	506.694	-1872.5505	113.431816	1243.7644	629.6071019172668
32	-666.0058	544.225	-88.865265	-2353.6636	-894.49084	482.39175	-264.66574	-1624.0286	100.0	100.0	47999	-111.75536	301.45636	539.38885	-1888.3932	90.660126	1217.7776	650.172947883606
33	-1161.2849	576.1058	-120.88583	-2700.6316	-846.77673	402.24655	-122.89494	-1750.8663	100.0	100.0	49499	-84.25475	306.6366	610.57	-1950.546	63.40828	1195.0774	671.3158950805664
34	-1235.7516	1040.2802	-175.9366	-4243.6543	-981.7912	652.48486	-306.62112	-2496.4568	100.0	100.0	50999	-56.24768	310.01846	652.5593	-1833.6965	35.831085	1173.6918	692.305606842041
35	-1266.2203	697.0353	-384.80334	-2761.8606	-735.4166	397.07648	-268.07852	-1677.0907	100.0	100.0	52499	-29.733444	319.9916	714.21857	-2070.925	8.831132	1233.8092	713.0015187263489
