Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-635.8686	260.11792	-172.81851	-1200.6975	-678.3852	177.16322	-362.18805	-983.9226	100.0	100.0	1499	-10.921368	5.7195196	-0.012302559	-40.957382	10.408469	10.946312	9.008686780929565
2	-747.40765	189.0075	-399.32245	-1087.9977	-568.1	241.43544	-222.85358	-996.2485	100.0	100.0	2999	-34.686905	20.268927	-0.12851675	-128.47237	32.519707	7.447568	25.030879974365234
3	-573.7421	198.9621	-229.3044	-1017.8317	-227.81035	178.7578	-29.022789	-618.9953	100.0	100.0	4499	-53.12023	30.57477	-0.15202469	-177.25537	48.33406	21.639814	40.82993412017822
4	-720.1996	183.3529	-374.51932	-1044.6067	-291.13492	155.58786	-68.02479	-544.79504	100.0	100.0	5999	-60.954773	37.31542	-0.60058194	-231.87836	55.56864	33.68148	56.725102186203
5	-546.46234	203.11818	-239.70966	-956.82623	-165.05313	87.33104	-26.27482	-278.78284	100.0	100.0	7499	-64.84132	38.994347	-3.1279395	-255.31798	59.374477	38.105713	72.97556614875793
6	-700.8887	192.97324	-405.3959	-1071.4604	-237.8409	172.8923	-44.581898	-524.44116	100.0	100.0	8999	-66.52749	38.18063	-5.6432037	-265.49323	61.038074	38.994465	89.0828869342804
7	-466.35657	322.91092	43.89683	-1054.6304	-235.75854	143.54254	-3.6518877	-505.73477	100.0	100.0	10499	-67.10786	38.023235	-5.4008217	-258.11157	61.27079	41.70266	105.65256190299988
8	-214.31909	163.88997	24.36822	-505.02054	-139.23602	107.52001	-41.934155	-429.97748	100.0	100.0	11999	-63.11989	38.200993	-3.8587363	-254.1781	57.633694	36.583324	122.75224900245667
9	-209.90538	148.9111	-21.013603	-556.86005	-105.43077	140.93925	68.16968	-445.53378	100.0	100.0	13499	-59.144333	38.04617	-2.809568	-253.06084	54.075184	34.249355	139.76897406578064
10	-180.09137	124.91013	-46.2689	-460.94107	-126.84116	134.89494	62.387554	-412.0644	100.0	100.0	14999	-54.888878	38.256523	-0.1962314	-244.33961	50.193443	31.578524	156.724769115448
11	-115.811325	139.91457	93.06401	-437.34756	-148.69734	153.32219	95.37071	-415.0521	100.0	100.0	16499	-50.535145	38.487785	-0.19602181	-242.37654	46.096718	29.056791	173.93512606620789
12	-162.42154	104.73159	-40.302357	-429.40384	-155.97983	173.36836	101.217705	-509.78238	100.0	100.0	17999	-47.007008	37.948833	-0.1862816	-237.2574	42.860268	26.988182	191.2060091495514
13	-124.07804	97.680595	28.987104	-323.92276	-88.539825	68.14524	-0.4235014	-246.88588	100.0	100.0	19499	-43.102734	36.929287	2.6350744	-237.39671	39.068546	26.483192	208.2838180065155
14	-86.74385	85.171455	46.99866	-301.55444	-57.031532	102.73168	126.77837	-199.82762	100.0	100.0	20999	-38.55716	36.211903	9.560346	-238.51306	34.73745	24.16111	225.49447298049927
15	-67.33872	46.80204	20.02977	-165.70476	-102.41777	149.37566	138.5819	-410.92267	100.0	100.0	22499	-33.92708	36.56734	19.46161	-214.82307	30.231916	22.92157	242.51503801345825
16	-58.612076	81.71726	108.23796	-225.88078	-44.83082	92.751076	88.32446	-198.82382	100.0	100.0	23999	-29.274054	37.44056	28.569233	-217.31876	25.751755	22.610758	259.6463780403137
17	-89.09077	65.046	26.39193	-194.14114	-45.19237	92.20264	123.01229	-201.1054	100.0	100.0	25499	-24.230213	38.87414	39.283775	-219.21495	20.699999	23.0789	276.816969871521
18	-75.24507	87.11403	95.981995	-244.49806	-119.32478	114.355385	91.330284	-281.45203	100.0	100.0	26999	-18.02929	40.22451	49.818462	-221.39966	14.437183	23.647139	293.84224104881287
19	-69.3532	88.70626	141.13414	-241.2181	-85.59346	90.87654	95.94955	-257.79694	100.0	100.0	28499	-10.9879055	40.39674	59.21731	-211.3107	7.553769	22.369	311.10882902145386
20	-77.72207	92.580894	91.24907	-320.5276	-90.94718	51.01946	-15.434339	-199.68912	100.0	100.0	29999	-4.4214244	40.745586	68.18583	-195.88016	1.0598956	22.502703	328.23357105255127
21	-73.33175	49.00154	62.160316	-158.57878	-85.5439	96.636826	127.94815	-258.44363	100.0	100.0	31499	2.6810496	41.523987	75.32159	-200.50108	-6.010997	22.31426	345.380793094635
22	-79.79341	46.03461	-10.395331	-152.66423	-93.27217	67.48266	5.655291	-187.18881	100.0	100.0	32999	9.990652	41.53004	82.09766	-207.04607	-13.190203	22.124329	362.54872488975525
23	-92.62762	123.77188	142.07883	-336.65448	-96.273	62.30234	-29.960154	-221.17995	100.0	100.0	34499	16.413904	41.113327	86.1916	-208.94136	-19.494907	21.958677	379.7797808647156
24	-104.316696	102.76571	67.680145	-305.85532	-96.310745	51.245556	-23.878042	-196.90088	100.0	100.0	35999	22.401642	40.954956	90.33066	-223.45198	-25.389725	21.202208	396.85537481307983
25	-62.700535	40.651264	-7.5573616	-172.20175	-61.77589	69.23518	109.20155	-147.40181	100.0	100.0	37499	28.020386	40.90762	94.759865	-250.02985	-30.942505	22.097006	414.208279132843
26	-51.164234	59.759064	88.41716	-132.25632	-102.98198	65.79519	-22.6586	-238.04388	100.0	100.0	38999	34.592804	40.4141	98.810265	-217.81369	-37.62611	21.291508	431.43143701553345
27	-43.798286	87.50236	84.30367	-186.39993	-49.333378	36.85649	11.282508	-127.18247	100.0	100.0	40499	41.42067	39.554092	104.20864	-188.02429	-44.479126	20.277979	448.55776596069336
28	-64.45883	89.07346	164.04193	-266.20056	-117.67263	99.86165	8.905238	-276.43436	100.0	100.0	41999	49.488895	38.350872	109.82885	-193.66005	-52.491074	20.149654	465.9174988269806
29	-65.42107	69.56858	58.334953	-201.01663	-71.833786	104.80492	145.76167	-259.20578	100.0	100.0	43499	57.2798	36.66688	113.2274	-162.95439	-60.233093	18.835657	483.0595898628235
30	-115.815285	64.50658	-2.5251384	-197.05907	-34.733025	124.02116	172.62016	-263.31067	100.0	100.0	44999	64.40144	34.769726	120.51456	-147.96744	-67.33901	18.762674	500.23400592803955
31	-66.8969	67.49648	39.195526	-231.70825	-60.52185	111.68233	145.0255	-243.16716	100.0	100.0	46499	71.04636	33.913975	126.09833	-155.16144	-73.87437	17.797989	517.6354999542236
32	-80.82896	79.136314	66.59746	-200.76747	-89.438446	145.37845	116.01435	-364.80475	100.0	100.0	47999	77.226906	33.71431	133.04626	-154.86475	-80.09748	17.849186	534.7345569133759
33	-55.734108	84.409996	138.51431	-282.76193	-69.51144	98.89597	139.98256	-207.3504	100.0	100.0	49499	83.49734	34.004818	137.66006	-146.16248	-86.27875	17.614548	551.883875131607
34	-70.096855	64.69774	43.612034	-225.97112	-70.168846	50.75974	0.67263675	-185.73262	100.0	100.0	50999	89.68882	34.13158	148.82437	-143.25339	-92.455666	17.597734	569.1115610599518
35	-60.35166	90.03606	116.48193	-163.25186	-83.01249	54.7111	-3.5748737	-177.57271	100.0	100.0	52499	95.234375	34.28482	150.65813	-142.6128	-97.96079	17.351542	586.2845051288605
36	-44.070717	75.875496	72.989624	-202.81464	-64.31328	51.924274	36.963535	-149.1642	100.0	100.0	53999	100.93047	34.076427	163.44954	-116.65826	-103.5895	16.971207	603.3995168209076
37	-50.963093	84.58598	80.19546	-183.63632	-49.94887	68.7977	39.587772	-234.24533	100.0	100.0	55499	106.269875	33.909298	177.81584	-151.64067	-108.89623	16.625917	620.6587870121002
38	-48.3558	50.009254	48.124176	-143.66266	-55.79815	60.376762	1.8661258	-212.90437	100.0	100.0	56999	111.832504	34.157215	185.58923	-127.24017	-114.5186	16.970423	637.7425851821899
39	-41.35273	68.14476	105.6407	-119.779526	-76.39128	75.426384	54.350487	-235.1231	100.0	100.0	58499	117.57248	34.496376	191.99144	-127.64434	-120.20829	17.090572	654.842029094696
40	-33.018913	55.558937	105.545204	-116.486305	-62.502907	116.33137	117.82722	-348.56497	100.0	100.0	59999	122.853294	34.62583	201.71648	-117.136154	-125.48264	17.565945	672.2323000431061
41	-67.43507	105.49622	150.60626	-273.65128	-37.880516	72.89533	44.236423	-176.55852	100.0	100.0	61499	128.66742	34.613537	209.89113	-121.639984	-131.32104	17.072752	689.5801479816437
42	-83.38681	100.2961	60.273445	-317.24185	-30.122406	81.607605	100.52334	-153.48979	100.0	100.0	62999	134.4033	34.511215	216.05177	-113.879974	-137.00061	17.551834	706.8278720378876
43	-27.878004	69.74181	143.06758	-108.04266	-3.848416	77.17077	109.063385	-98.697075	100.0	100.0	64499	139.51355	34.542885	226.3915	-112.911865	-142.04044	17.456005	724.0536639690399
44	-70.02508	83.97538	47.690422	-248.54863	-67.364136	92.54483	66.75595	-286.4419	100.0	100.0	65999	144.2557	34.16012	229.48132	-78.91332	-146.7766	17.078295	741.2409720420837
45	-70.84615	81.85775	69.93772	-273.83115	-44.09458	80.911446	94.775	-189.24718	100.0	100.0	67499	148.93855	34.115524	233.75551	-75.88053	-151.47247	17.32397	758.2740070819855
46	-48.166756	78.09458	61.530617	-263.39264	-91.97888	70.69299	52.391094	-240.41527	100.0	100.0	68999	153.86014	33.425583	237.90529	-69.306816	-156.39041	17.191664	775.4451599121094
47	-64.520874	64.22508	58.65148	-247.24377	-15.095049	76.23143	171.60081	-100.342094	100.0	100.0	70499	158.86517	32.875473	241.37584	-52.17347	-161.40623	17.460255	792.676470041275
48	-44.990696	75.73637	62.99079	-248.06912	-65.52474	26.479269	-35.723427	-124.56563	100.0	100.0	71999	163.69617	32.62161	242.19296	-51.348217	-166.23216	17.63901	810.2255380153656
49	-37.319168	77.398415	124.20978	-192.79791	-49.01493	38.06038	40.556698	-100.18322	100.0	100.0	73499	168.6523	32.48746	251.05786	-35.842163	-171.18617	17.726795	827.6350841522217
50	-56.83507	80.82467	37.75517	-228.16812	-58.147663	84.45792	143.99385	-166.792	100.0	100.0	74999	173.46562	32.681236	254.53897	-36.337498	-175.98961	17.73385	844.7640759944916
51	-36.813004	53.758896	75.13473	-130.65826	-57.286377	91.639534	118.61067	-179.4043	100.0	100.0	76499	178.05986	32.871346	257.2491	-17.134455	-180.53845	17.86395	861.9169919490814
52	-66.36916	101.16167	100.01171	-308.4917	-30.952356	104.86845	146.57715	-188.69545	100.0	100.0	77999	182.33258	32.659607	257.59625	-19.189459	-184.79889	17.284079	880.458359003067
53	-30.542261	65.85853	93.505516	-154.35983	-92.06342	100.054665	39.042343	-286.20963	100.0	100.0	79499	186.46591	32.424118	258.8279	-3.911029	-188.87361	16.965601	897.7683908939362
54	-43.03091	79.355545	171.63553	-166.4624	-46.602654	56.8327	94.79048	-105.55927	100.0	100.0	80999	190.19194	32.504257	262.79114	-16.68136	-192.59912	16.405998	915.1349339485168
55	-54.57598	65.24649	63.0609	-161.07736	-55.098347	118.00304	136.43036	-283.45297	100.0	100.0	82499	194.08029	32.8317	274.78357	0.02244258	-196.4842	16.928158	932.523120880127
56	-59.12767	79.70707	37.60391	-214.91518	-22.012527	98.996056	183.03336	-145.79372	100.0	100.0	83999	197.8297	32.921185	277.26074	0.37799597	-200.17587	16.877203	949.6746709346771
