Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-2451.3958	354.33203	-1829.1384	-3039.647	-2575.9448	267.564	-2281.1155	-3078.8496	100.0	100.0	1499	-36.320248	15.280421	0.023293473	-88.904144	35.28014	63.24618	9.97425889968872
2	-2403.6045	364.82123	-1478.579	-2892.3547	-2326.482	364.95166	-1561.5112	-2873.1274	100.0	100.0	2999	-133.21912	49.813705	-37.412003	-305.5811	131.11264	28.489182	26.158910751342773
3	-2301.3738	371.6787	-1495.9966	-2934.7266	-1990.0524	381.8912	-1463.8324	-2804.0664	100.0	100.0	4499	-278.85895	56.740078	-137.24515	-483.1845	274.89896	55.314022	42.31833291053772
4	-2441.1794	311.3753	-1983.486	-3011.2532	-1921.5625	455.6152	-914.1958	-2503.1653	100.0	100.0	5999	-406.35327	65.2971	-239.96718	-659.70984	401.30307	82.862656	58.53305196762085
5	-2424.718	360.67493	-1754.1843	-2901.8274	-1634.3586	519.2157	-790.268	-2549.925	100.0	100.0	7499	-519.246	76.35997	-333.761	-870.8396	511.82132	122.44767	74.6581768989563
6	-2511.7048	236.88647	-2000.967	-2962.9993	-1903.9363	282.54184	-1235.8176	-2287.991	100.0	100.0	8999	-615.68054	88.91676	-399.19244	-977.0773	606.6615	142.41231	91.00988006591797
7	-2214.9678	508.7234	-1439.7758	-2906.9678	-1640.0496	705.9255	-609.7909	-2782.3333	100.0	100.0	10499	-695.5396	94.90181	-454.2692	-1103.5332	685.678	154.58388	107.74249792098999
8	-1619.4547	388.92838	-877.6578	-2343.8123	-1541.2122	584.6719	-687.16223	-2253.9766	100.0	100.0	11999	-762.09705	101.45833	-534.4252	-1205.3721	751.8585	166.8008	124.81174993515015
9	-1525.5527	509.38715	-560.0294	-2371.1267	-1541.9495	460.78534	-988.9821	-2342.2742	100.0	100.0	13499	-817.48474	104.84663	-589.40155	-1235.1583	807.6877	166.64731	141.94636988639832
10	-1318.7745	485.307	-373.6958	-2048.2878	-1629.3284	386.69186	-1054.4268	-2197.1025	100.0	100.0	14999	-866.1354	108.71505	-644.1355	-1303.9958	856.87616	157.88603	158.16993284225464
11	-1378.0469	407.39697	-699.6599	-2104.4854	-1305.2587	426.24957	-849.2451	-2208.2986	100.0	100.0	16499	-911.5972	113.94833	-672.6673	-1338.2831	902.6697	158.81757	175.24907088279724
12	-1589.0591	483.71426	-716.4779	-2379.946	-1579.904	412.43307	-1045.4299	-2186.8398	100.0	100.0	17999	-954.0161	119.22039	-689.39417	-1378.015	945.31256	163.11212	192.269770860672
13	-1179.6401	341.32602	-640.24963	-1913.8953	-1194.3508	440.74692	-590.0549	-1903.0841	100.0	100.0	19499	-993.23126	125.20945	-730.6372	-1428.0656	984.7951	165.503	209.11957383155823
14	-1737.739	304.2091	-1141.8877	-2173.92	-1402.5212	515.9944	-651.73706	-2390.104	100.0	100.0	20999	-1026.933	130.24173	-763.74854	-1474.0808	1018.21967	169.39322	226.23535776138306
15	-1470.4	391.23932	-613.6253	-2219.8262	-1687.6273	407.92667	-1102.2285	-2143.219	100.0	100.0	22499	-1058.1609	136.73567	-776.68536	-1526.967	1049.6304	173.61086	243.58989477157593
16	-1357.3997	380.20276	-420.0128	-1957.9829	-1383.7018	541.3963	-536.0625	-2119.0303	100.0	100.0	23999	-1084.9122	140.38293	-782.0171	-1563.2156	1076.5605	178.58633	260.43484377861023
17	-1244.2775	445.98975	-422.4963	-2040.156	-1781.308	332.13702	-1029.7438	-2242.921	100.0	100.0	25499	-1107.8441	145.08043	-788.40784	-1584.9521	1099.2113	187.85002	277.15613889694214
18	-1417.4257	318.81055	-735.1845	-2045.7349	-1341.9327	493.81375	-570.5568	-1994.7261	100.0	100.0	26999	-1126.4056	150.7033	-783.5579	-1628.8575	1117.2905	197.92859	294.1358149051666
19	-1417.4489	453.82843	-252.36067	-1966.5696	-979.42236	449.48135	-361.3808	-1775.2023	100.0	100.0	28499	-1136.505	156.60927	-789.9585	-1669.88	1127.4706	203.201	310.9517168998718
20	-1237.4026	504.18484	-353.96436	-1942.5045	-994.597	589.09546	-199.75122	-1772.2931	100.0	100.0	29999	-1147.6547	161.42355	-804.05634	-1700.5977	1138.4426	202.73996	327.929310798645
21	-1007.66156	445.1835	-405.0274	-2013.3954	-1100.4059	540.2894	-324.55072	-2091.6052	100.0	100.0	31499	-1152.5099	165.50893	-801.78644	-1748.3894	1143.2617	203.00513	345.167772769928
22	-1130.9835	377.6334	-449.94833	-1763.7812	-1099.5295	495.83743	-184.16011	-2021.8447	100.0	100.0	32999	-1154.7538	170.87521	-793.4665	-1793.4576	1145.4949	206.76279	362.2464599609375
23	-975.5624	487.28156	-271.54126	-1976.7953	-1226.7146	385.47763	-466.17722	-2049.3044	100.0	100.0	34499	-1157.9869	177.5229	-801.57806	-1866.2277	1148.6372	206.55795	379.32411193847656
24	-999.1775	470.43396	-339.89362	-1967.2139	-1238.2155	545.5076	-370.37027	-2045.0267	100.0	100.0	35999	-1156.0256	184.01453	-777.0434	-1903.7728	1146.4304	209.99602	396.32903599739075
25	-1100.4879	433.53574	-294.12808	-2046.1575	-1340.3937	519.732	-517.0754	-1995.038	100.0	100.0	37499	-1150.0682	191.442	-736.9982	-1937.4928	1140.2362	208.23082	413.3392701148987
26	-1044.0555	380.98602	-246.41263	-1897.4852	-854.2572	590.327	-81.3289	-2094.0642	100.0	100.0	38999	-1138.8142	196.1058	-730.21545	-1981.7812	1128.5565	211.6316	430.34572410583496
27	-1209.613	474.63187	-491.55157	-2087.7058	-974.70593	346.02676	-524.2273	-1633.9952	100.0	100.0	40499	-1128.8344	200.64124	-714.90314	-2025.332	1118.7363	222.654	447.1898150444031
28	-1222.0201	313.99554	-697.765	-1910.1929	-1624.2239	665.63385	-224.56396	-2286.6313	100.0	100.0	41999	-1122.2908	204.83636	-707.4733	-2051.3496	1112.5679	220.63516	464.10942673683167
29	-1185.0323	461.5216	-373.28424	-1968.6049	-878.0531	493.39337	-271.27365	-1827.432	100.0	100.0	43499	-1112.9883	208.69951	-694.30566	-2046.9106	1103.3665	211.7195	480.9888479709625
30	-923.035	498.33813	-228.14334	-1946.1227	-1022.6415	565.33984	-347.13498	-1956.4365	100.0	100.0	44999	-1101.5054	211.09456	-673.6709	-2062.1187	1091.9493	214.32869	499.64964985847473
31	-1144.4373	375.1744	-664.73145	-2150.675	-1250.9373	525.5585	-364.72232	-2262.6594	100.0	100.0	46499	-1093.4191	216.93237	-668.5118	-2071.1382	1083.9412	210.7532	516.229700088501
32	-993.3387	435.00714	-483.43024	-1899.2428	-1204.287	385.91544	-607.43524	-1787.8545	100.0	100.0	47999	-1082.991	219.90544	-651.97943	-2078.7778	1073.6594	216.1473	532.8827538490295
33	-1265.0911	382.75128	-525.2813	-1895.2275	-1117.6741	557.5658	-434.2052	-2121.9712	100.0	100.0	49499	-1070.9191	221.99042	-639.29236	-2082.1428	1061.434	213.71379	549.4079887866974
34	-1071.6616	471.17172	-152.97685	-1998.1586	-1020.2327	428.12103	-328.42017	-2062.028	100.0	100.0	50999	-1061.5209	223.82224	-603.0256	-2070.264	1051.9347	207.35841	566.0635738372803
35	-1033.3375	484.9581	-462.84045	-2184.1245	-854.68896	463.39215	-359.1533	-1954.8866	100.0	100.0	52499	-1049.6332	225.78354	-585.0458	-2065.2712	1040.2296	203.32979	582.685849905014
36	-925.3248	311.31833	-570.24146	-1717.144	-934.3496	298.86572	-433.0734	-1379.0079	100.0	100.0	53999	-1038.096	227.15404	-570.6734	-2055.2654	1029.0012	198.67998	599.4083781242371
37	-848.54596	411.06195	-251.62053	-1757.4005	-765.28375	278.1483	-248.44708	-1141.6614	100.0	100.0	55499	-1026.0487	227.09753	-560.2322	-2044.2002	1016.9836	199.81267	616.152715921402
38	-937.4093	454.5617	-277.44995	-1649.3864	-1112.2454	518.1206	-493.68378	-2024.2865	100.0	100.0	56999	-1013.8352	226.2743	-554.6347	-2052.3506	1005.0175	193.37352	632.8413400650024
39	-968.27673	325.79913	-226.80203	-1810.4282	-900.07214	324.75107	-358.25677	-1418.5101	100.0	100.0	58499	-1004.7458	225.09784	-539.4296	-2074.908	996.09906	193.72319	649.7975437641144
40	-984.90204	473.92087	-252.85301	-1720.0057	-1158.15	567.6375	-324.28412	-2155.7615	100.0	100.0	59999	-995.3717	227.77132	-541.6968	-2064.0103	986.97284	199.06433	666.6203308105469
41	-1067.2026	449.49878	-300.1324	-1870.6741	-997.5916	445.95566	-447.0062	-1924.0043	100.0	100.0	61499	-988.94006	230.4016	-534.4657	-2090.544	980.60583	199.30159	683.7222709655762
42	-816.8772	218.42552	-496.17618	-1134.7377	-999.82635	304.7169	-526.3884	-1522.1547	100.0	100.0	62999	-982.4626	233.05507	-516.43823	-2121.2637	974.2197	202.01509	700.5012929439545
43	-1076.9999	505.97903	-359.02713	-2124.3313	-930.05896	243.85588	-368.6335	-1262.8728	100.0	100.0	64499	-973.89185	232.63129	-494.7004	-2115.5427	965.58386	205.54848	717.4350140094757
44	-1083.5745	443.7822	-341.3683	-1947.2087	-861.091	299.76193	-537.7412	-1584.8082	100.0	100.0	65999	-965.5184	234.447	-482.05945	-2097.8213	956.9072	210.76065	734.4805858135223
45	-1079.005	367.7786	-553.5595	-2013.7886	-1002.6835	425.30942	-408.21097	-1794.2899	100.0	100.0	67499	-953.86005	233.4091	-468.5808	-2100.8945	945.2623	210.01137	751.3938279151917
46	-1059.2135	295.43414	-533.9898	-1707.6405	-1076.9292	415.58078	-554.71277	-1630.8408	100.0	100.0	68999	-943.48395	233.39732	-457.24097	-2114.5962	935.0875	212.1048	768.3644409179688
47	-878.13214	348.63306	-313.6678	-1541.8213	-1165.3694	414.92636	-448.7401	-1942.8875	100.0	100.0	70499	-935.6058	233.8567	-455.8035	-2060.4028	927.40594	210.55359	785.3017709255219
48	-982.8789	500.77762	-182.23122	-1916.4783	-856.8932	374.15314	-323.80545	-1570.0049	100.0	100.0	71999	-924.5928	231.38156	-448.33377	-2093.4512	916.3162	215.5287	802.3577027320862
49	-858.0529	229.25629	-443.13013	-1240.6796	-952.9935	314.50034	-336.2763	-1542.218	100.0	100.0	73499	-912.1228	232.21875	-443.1289	-2041.0254	903.667	209.37167	819.7068939208984
50	-995.27057	385.4235	-416.70975	-1905.633	-953.251	186.09369	-529.50543	-1132.5591	100.0	100.0	74999	-899.65485	231.3956	-435.23972	-2048.2607	891.2775	216.12119	836.7961587905884
51	-1238.2615	651.32947	-531.31305	-2895.2249	-1482.7205	679.7369	-456.82632	-2710.25	100.0	100.0	76499	-887.8819	231.77422	-441.7791	-2017.0294	879.66174	215.96808	853.9095919132233
52	-998.3913	255.2683	-536.92035	-1480.3982	-891.7371	296.87888	-342.01648	-1255.5435	100.0	100.0	77999	-881.00995	236.36128	-441.68924	-1998.6409	872.80914	220.6198	871.2562999725342
53	-958.3448	470.9981	-240.02188	-1784.7297	-853.42444	396.9677	-247.55865	-1509.4042	100.0	100.0	79499	-870.31836	237.04404	-444.27197	-1971.6698	862.0627	225.57529	888.7189009189606
54	-895.36273	377.00775	-211.99928	-1439.9924	-590.9472	309.27237	-207.42538	-1148.9352	100.0	100.0	80999	-858.2797	238.0826	-428.39313	-1948.7062	849.9038	225.61623	905.5599117279053
55	-1070.3539	415.9327	-408.80576	-1943.322	-1089.281	472.71973	-256.45056	-1689.8756	100.0	100.0	82499	-850.3447	241.31612	-398.06992	-1954.5007	842.02277	229.77202	922.5917527675629
56	-929.73956	468.89075	-234.45764	-1835.5746	-1265.5403	299.8354	-682.4941	-1676.8635	100.0	100.0	83999	-841.0305	242.62831	-392.3066	-1928.9053	832.7259	229.67899	939.8656189441681
57	-837.2282	346.67065	-295.6891	-1321.9597	-939.541	440.47644	-416.33798	-1693.61	100.0	100.0	85499	-828.1544	244.21999	-387.20062	-1913.403	819.6699	237.4437	957.4044599533081
58	-1231.5465	484.85132	-504.12122	-1981.2029	-1267.7574	500.36948	-378.83023	-2140.66	100.0	100.0	86999	-812.6828	246.57599	-375.67734	-1931.2482	804.3068	240.28764	974.8647217750549
59	-1292.99	452.09927	-512.92566	-2184.7363	-1216.6438	518.11597	-543.825	-2321.9038	100.0	100.0	88499	-802.32465	248.77881	-371.73447	-1908.8392	793.9063	242.51991	992.0339241027832
60	-943.5688	485.26447	-239.44496	-1915.7717	-1134.7684	493.74863	-406.72348	-1854.1542	100.0	100.0	89999	-788.9798	250.94865	-340.49973	-1917.397	780.5639	252.86087	1009.2317519187927
61	-995.0152	472.23337	-242.87617	-2070.9944	-1298.9471	176.34181	-1070.1161	-1576.0109	100.0	100.0	91499	-779.31415	254.4011	-331.1155	-1917.0245	771.15314	257.1667	1026.6684548854828
62	-1146.1007	465.16312	-224.19438	-2148.2407	-1242.333	481.57956	-123.741806	-1935.0118	100.0	100.0	92999	-767.1038	257.50797	-294.17712	-1925.4435	758.5837	268.7904	1043.868840932846
63	-1110.9985	201.9921	-711.142	-1384.578	-853.21466	355.43097	-412.48874	-1403.0366	100.0	100.0	94499	-753.885	262.84903	-255.62831	-1946.2517	745.09717	281.31784	1061.1413197517395
64	-1311.2299	477.4108	-398.38156	-2144.966	-797.1915	333.99573	-413.3725	-1449.5045	100.0	100.0	95999	-738.92426	267.17993	-204.50247	-1957.5493	730.25134	282.63	1078.5527610778809
65	-1149.0032	354.3968	-434.8598	-1769.9498	-1237.599	458.8129	-371.14395	-1938.2505	100.0	100.0	97499	-726.9643	270.87015	-170.56947	-1946.2135	718.3743	292.37732	1095.9818029403687
66	-1204.3477	509.46667	-261.7676	-1923.2211	-1081.6564	490.28094	-189.47263	-1825.7961	100.0	100.0	98999	-716.07654	271.67953	-141.11426	-1937.4623	707.5953	285.16403	1113.111170053482
67	-1322.1047	456.70325	-644.792	-2086.7297	-1053.2213	221.7361	-523.5235	-1354.2468	100.0	100.0	100499	-707.77576	278.736	-119.72838	-1933.575	699.2516	296.4293	1130.4448637962341
68	-941.5728	346.8552	-431.61444	-1593.5934	-998.0381	256.31097	-529.7397	-1246.0137	100.0	100.0	101999	-697.0652	283.61148	-111.25767	-1939.7494	688.2831	296.54224	1147.6460959911346
69	-1123.0616	383.69644	-306.61694	-1855.4696	-1047.0337	468.49313	-204.82861	-1817.125	100.0	100.0	103499	-685.15784	285.62106	-115.51348	-1943.3861	676.57117	289.9661	1164.8422498703003
70	-926.19476	439.9134	-201.45071	-1515.3749	-876.72736	377.0807	-319.81003	-1407.9622	100.0	100.0	104999	-672.48364	286.44797	-130.72067	-1945.1504	663.6738	289.03946	1182.1275188922882
71	-1068.9993	365.00403	-339.55637	-1659.9105	-878.62805	366.0908	-318.54895	-1440.1615	100.0	100.0	106499	-659.62494	288.53555	-147.95937	-1934.1766	650.8396	288.41626	1199.2521419525146
