Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-60247.367	17632.508	-9902.862	-84912.375	-76580.195	38441.95	-7381.79	-138477.55	100.0	100.0	1499	-633.81354	427.60034	0.029523313	-2127.2786	606.78735	194999.1	9.781590938568115
2	-76643.64	26620.553	-38903.535	-119924.08	-84101.8	25243.04	-49785.59	-136685.8	100.0	100.0	2999	-3152.186	1620.0807	-288.32013	-10033.419	3077.2292	136242.66	26.090812921524048
3	-65702.58	17467.35	-40236.016	-102991.66	-34225.09	18507.742	-5505.5527	-69023.92	100.0	100.0	4499	-6845.2124	2324.2495	-1038.4797	-17160.227	6682.385	216287.61	42.03767919540405
4	-77865.055	21812.697	-38593.93	-115799.914	-38239.742	21419.63	-9856.484	-73126.45	100.0	100.0	5999	-9892.946	2904.7375	-2857.2107	-21328.729	9609.146	326380.94	58.56430411338806
5	-71291.22	21732.316	-33585.93	-117945.41	-28892.225	23245.883	-4329.223	-78537.07	100.0	100.0	7499	-12134.755	3317.638	-4181.752	-24627.023	11760.752	397969.3	74.62456202507019
6	-76446.63	20370.03	-44327.223	-107142.24	-15848.17	16426.256	-3408.8208	-55523.383	100.0	100.0	8999	-13927.409	3791.0767	-5014.219	-29999.793	13453.263	489784.16	90.76444101333618
7	-55325.45	18929.865	-17518.346	-98790.016	-28081.885	13682.56	-10574.731	-50530.855	100.0	100.0	10499	-14919.697	4156.2275	-4622.5522	-33327.785	14356.976	545524.2	107.37707996368408
8	-35145.875	23232.469	-3786.4094	-75817.08	-26586.834	21728.93	-3576.8274	-74579.18	100.0	100.0	11999	-14860.663	4553.4775	-4068.5479	-34127.402	14318.056	506066.47	124.23115801811218
9	-25543.525	22720.43	-8272.049	-102927.49	-19649.17	13308.543	-1658.527	-48187.617	100.0	100.0	13499	-14699.852	5058.562	-4417.4604	-34699.57	14208.781	454141.66	141.1669099330902
10	-24503.582	20158.291	-5936.3164	-92593.21	-18272.275	9275.122	-5713.4375	-37933.535	100.0	100.0	14999	-14677.881	5403.549	-4221.1753	-35358.24	14213.972	417064.1	158.23620414733887
11	-24014.758	17635.799	-3375.6006	-65790.586	-29994.85	19123.223	-7950.325	-69332.51	100.0	100.0	16499	-14605.087	5674.2344	-4413.0566	-35713.14	14162.558	386954.06	175.07919216156006
12	-19455.168	14564.984	-2109.4563	-49963.094	-24682.314	17600.926	-2510.5156	-64510.43	100.0	100.0	17999	-14444.761	5957.929	-4481.5923	-36164.895	14028.377	372291.16	191.9220690727234
13	-22924.385	17407.502	-2367.2625	-58652.77	-16598.494	12423.571	-3946.958	-45058.14	100.0	100.0	19499	-14184.564	6224.2725	-3805.518	-36032.566	13776.176	359561.03	209.00047206878662
14	-19684.756	17656.738	-8359.875	-80783.234	-19725.535	22688.725	-3640.7986	-84205.47	100.0	100.0	20999	-13851.486	6570.6504	-2842.5728	-36709.902	13452.227	351700.66	225.94045686721802
15	-22972.75	17354.566	-4914.116	-64114.043	-15835.797	10072.771	-2922.7095	-32603.992	100.0	100.0	22499	-13457.97	6922.398	-2003.5905	-37154.855	13051.2705	359660.72	243.11541199684143
16	-17336.693	10954.544	-1793.6641	-43235.52	-8674.554	10399.082	-1453.9738	-39446.86	100.0	100.0	23999	-12706.121	7174.4336	-325.78546	-37344.47	12268.2	365359.53	259.93298411369324
