Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-9589.104	1073.3156	-6889.1587	-11167.502	-10795.585	2902.2175	-7111.3267	-15165.222	100.0	100.0	1499	-124.10713	60.1317	-0.0067340434	-308.4286	119.889046	1696.6067	8.839859247207642
2	-9859.334	2133.0276	-7330.407	-14964.796	-8657.066	2991.5476	-4400.584	-14109.512	100.0	100.0	2999	-493.75897	187.43198	-138.516	-1173.2946	483.81467	776.99536	25.04733109474182
3	-10171.574	1911.5374	-7469.137	-13803.717	-7600.4736	2755.1023	-4276.6426	-14315.424	100.0	100.0	4499	-1059.0818	246.03302	-443.53497	-2344.9653	1037.9039	1511.771	40.949745178222656
4	-9905.257	1961.3998	-6281.576	-13662.386	-9102.388	4534.303	-2825.541	-16287.676	100.0	100.0	5999	-1552.4261	315.6235	-698.1186	-2955.7402	1521.1343	2378.1426	56.95548415184021
5	-10913.732	2105.1262	-6884.384	-14446.724	-6951.1943	2156.6511	-4705.026	-11334.065	100.0	100.0	7499	-1952.2024	361.03757	-950.32635	-3413.725	1911.6852	2950.8274	73.24801111221313
6	-9737.987	1904.361	-5097.535	-12226.666	-6877.757	2263.606	-4399.8936	-11261.117	100.0	100.0	8999	-2303.6763	390.70972	-1146.7996	-3890.6436	2260.3232	3048.6824	88.66311621665955
7	-8196.04	2070.1091	-4409.425	-11832.85	-5865.8433	1177.8099	-4218.648	-8399.279	100.0	100.0	10499	-2602.3794	416.8819	-1403.4907	-4327.796	2557.6157	3190.761	104.6601071357727
8	-6122.929	1727.999	-4089.6233	-10432.389	-5752.128	2483.4438	-482.73135	-10078.545	100.0	100.0	11999	-2840.1082	461.03082	-1631.404	-4708.437	2797.74	3083.0942	121.74450206756592
9	-6742.9517	2359.945	-3871.6235	-11404.862	-7257.4087	2609.6216	-4301.172	-12385.072	100.0	100.0	13499	-3058.9973	505.895	-1862.8889	-5085.9165	3020.0312	2978.7415	138.69035696983337
10	-6025.54	1391.9739	-4339.602	-9366.146	-6214.3604	1379.4792	-4421.301	-9293.054	100.0	100.0	14999	-3289.6438	534.3556	-2065.1636	-5331.3486	3253.3657	2991.9907	157.02401208877563
11	-6321.9854	2069.914	-4107.192	-11907.28	-5262.097	680.5452	-4536.1206	-6755.5845	100.0	100.0	16499	-3493.1997	559.4409	-2278.1067	-5589.017	3457.044	3073.9854	173.92798733711243
12	-5920.237	1082.9913	-4607.6084	-8609.95	-5990.1343	1591.7645	-4683.0903	-9257.231	100.0	100.0	17999	-3677.578	595.4708	-2472.7026	-6069.683	3641.3354	3187.72	190.81182527542114
13	-6007.263	1486.0188	-4404.097	-8820.224	-5886.8813	1736.0323	-4161.9	-10840.075	100.0	100.0	19499	-3848.1934	610.1317	-2647.041	-6242.6	3812.4973	3196.874	207.46732640266418
14	-5577.3506	1184.9812	-4424.6123	-9071.678	-6872.167	2024.5378	-4213.078	-10738.195	100.0	100.0	20999	-3992.6533	622.6338	-2745.611	-6370.6323	3957.9336	3265.6074	224.0846712589264
15	-5823.952	846.8375	-4582.5874	-7158.071	-6552.1963	1774.1737	-4657.169	-11177.154	100.0	100.0	22499	-4132.0947	638.83545	-2788.2905	-6555.008	4098.213	3408.5483	240.64145421981812
