Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	1499	-0.055810742	0.028845904	0.0766101	-0.18553504	0.050473396	6.513077e-05	9.205473184585571
2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	2999	-0.034602437	0.027444586	0.091640994	-0.111691356	0.030490702	1.4606867e-05	26.312267065048218
3	0.06666667	0.2494438	1.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	4499	-0.0048564184	0.033646517	0.14286995	-0.077185385	0.0008628006	0.00013663202	42.79619312286377
4	0.06666667	0.2494438	1.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	5999	0.02791448	0.05077666	0.9971929	-0.100054085	-0.033921085	0.00035460782	59.62362718582153
5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	7499	0.09202662	0.13690983	1.7230253	-0.1359304	-0.10676394	0.00073138985	76.27130508422852
6	0.06666667	0.2494438	1.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	8999	0.25391442	0.3008394	2.2004523	-0.10618038	-0.2852194	0.0012111615	93.04842329025269
7	0.06666667	0.2494438	1.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	10499	0.49730307	0.4865341	2.7380974	-0.090267904	-0.53379726	0.0016338433	109.66267800331116
8	0.13333334	0.4988876	2.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	11999	0.72660583	0.6604194	3.1891396	-0.058227673	-0.760376	0.0016099224	126.86970710754395
9	0.06666667	0.24944381	1.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	13499	0.9428	0.8200756	3.4824796	-0.01922822	-0.970056	0.0015522956	144.00434923171997
10	0.06666667	0.24944381	1.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	14999	1.1396579	0.91324806	3.6317174	-0.05169016	-1.1592991	0.0014279763	160.92527532577515
11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	16499	1.2050428	0.9305139	3.7483222	-0.0029805303	-1.218478	0.0013450289	178.22309613227844
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	17999	1.2826883	0.95446587	3.7532778	0.012136996	-1.2943912	0.0012141542	195.5212390422821
13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	19499	1.3209016	0.9772894	3.725898	0.013692528	-1.3307511	0.0009648859	212.64112830162048
14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	20999	1.343029	0.966041	3.6626263	0.005162388	-1.3528452	0.00067382783	229.90501618385315
15	0.2	0.7483315	3.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	22499	1.373271	0.958247	3.7248776	0.060767382	-1.3823321	0.0008953623	247.26403522491455
16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	23999	1.3888317	0.9463381	3.677687	0.10085124	-1.3971512	0.0009049715	264.54402208328247
17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	100.0	25499	1.4163282	0.92020774	3.7372203	0.11774588	-1.4252903	0.000888549	281.5719003677368
