Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-180.27763	9.970973	-147.48705	-189.85704	-187.13057	4.0290294	-179.03867	-192.8329	100.0	100.0	1499	-3.3644757	1.0700777	0.059314124	-6.1901264	3.2876334	0.11503411	6.222162246704102
2	-180.78285	3.9543033	-172.94507	-186.44804	-183.01726	8.721068	-162.09816	-196.26955	100.0	100.0	2999	-10.732131	3.3631904	-3.6084943	-20.459934	10.590151	0.06738431	16.91212558746338
3	-177.54579	8.395537	-155.48624	-192.48076	-180.20157	8.174206	-162.60333	-189.57516	100.0	100.0	4499	-21.84254	3.3712065	-11.33533	-31.735392	21.659153	0.14111003	27.83937668800354
4	-182.80429	6.7574606	-169.47073	-198.92474	-176.98972	17.677032	-142.14809	-192.9065	100.0	100.0	5999	-32.431286	3.3893468	-20.392838	-42.447136	32.202408	0.19507536	38.66516327857971
5	-179.64449	7.4744797	-165.125	-190.02583	-171.97629	19.017363	-124.01196	-188.9742	100.0	100.0	7499	-42.444275	3.3967466	-29.579258	-52.885056	42.206833	0.2704214	49.400091886520386
6	-179.54897	4.5141597	-170.1279	-187.11647	-177.27815	12.587215	-143.15282	-190.75273	100.0	100.0	8999	-52.145515	3.4519684	-38.09829	-63.688274	51.912212	0.3329525	60.18381333351135
7	-178.37376	10.961412	-143.13492	-190.19337	-168.55598	12.241501	-151.71231	-185.8541	100.0	100.0	10499	-61.610195	3.490744	-47.03985	-73.99714	61.380257	0.3689437	71.20945429801941
8	-166.66208	13.364622	-142.52557	-186.79393	-179.01788	24.20056	-108.01601	-197.52524	100.0	100.0	11999	-70.62441	3.5553405	-54.86706	-83.07722	70.40058	0.37922266	82.53745126724243
9	-171.03128	20.308153	-120.90338	-190.01418	-173.63936	18.859442	-120.06576	-191.64098	100.0	100.0	13499	-79.27322	3.6995068	-62.177517	-90.83454	79.061714	0.39527225	93.98785376548767
10	-162.83702	15.3233595	-130.45538	-189.89743	-154.35374	23.479736	-122.20497	-199.71523	100.0	100.0	14999	-87.643295	3.8252575	-69.90572	-99.51186	87.43077	0.41468	105.3023624420166
11	-168.54437	19.607504	-130.5882	-197.53357	-169.95221	21.641014	-114.236725	-190.41917	100.0	100.0	16499	-95.556725	4.0864134	-76.10939	-139.1285	95.34705	0.48987344	116.72125458717346
12	-165.57622	22.883492	-116.77542	-191.50583	-166.13303	17.208954	-129.02927	-189.56448	100.0	100.0	17999	-103.12595	4.398881	-82.64353	-137.89267	102.90785	0.550985	128.1243760585785
13	-166.90479	16.634846	-123.00561	-186.91046	-162.79443	19.045696	-125.34013	-183.99701	100.0	100.0	19499	-110.21653	4.5978603	-87.63636	-138.76067	109.98344	0.5956591	139.4930911064148
14	-158.5089	19.252785	-113.62871	-187.01257	-148.88676	23.949234	-100.22157	-176.75735	100.0	100.0	20999	-116.91985	4.8694677	-94.3435	-139.61586	116.681145	0.6367871	150.88573479652405
15	-165.13148	19.331202	-134.86337	-192.85794	-166.58348	24.753988	-120.809	-189.3089	100.0	100.0	22499	-123.23782	5.193852	-100.10143	-142.87253	122.986206	0.6806004	162.154639005661
16	-147.74922	19.626036	-93.20062	-175.1728	-160.60316	11.888606	-140.12976	-176.25035	100.0	100.0	23999	-129.17038	5.4473195	-105.58244	-147.98906	128.90628	0.72054255	173.47544765472412
17	-153.39742	26.079964	-103.626366	-184.94168	-153.34998	21.52113	-111.6205	-182.1287	100.0	100.0	25499	-134.55844	5.9029007	-110.5147	-153.66489	134.2849	0.7287264	184.85382771492004
18	-144.04443	25.62426	-79.51272	-178.96155	-161.19928	18.804722	-129.4117	-190.54971	100.0	100.0	26999	-139.68553	6.311162	-115.87719	-158.6336	139.41428	0.80253965	196.05265188217163
19	-151.75157	32.93147	-51.32282	-183.99773	-144.68869	22.460812	-110.84162	-186.02727	100.0	100.0	28499	-144.53505	6.62892	-120.604416	-163.91922	144.26125	0.837383	207.22983145713806
20	-148.4616	16.411663	-115.46804	-188.1245	-144.46916	29.331202	-86.385086	-187.19212	100.0	100.0	29999	-149.25287	6.8806133	-124.72105	-170.62956	148.96294	0.88170433	218.52165818214417
21	-145.43707	14.918912	-112.49878	-174.32576	-135.47025	21.165068	-94.196106	-175.09258	100.0	100.0	31499	-153.47966	7.2284346	-127.225365	-174.09532	153.18326	0.9005625	229.9116883277893
22	-133.70927	32.389133	-61.21134	-180.77132	-148.6389	20.02492	-119.01287	-175.96812	100.0	100.0	32999	-157.38672	7.6361117	-131.38124	-179.18698	157.07526	0.91505784	241.2237069606781
23	-140.88594	26.859837	-79.62841	-176.00923	-150.40538	43.327145	-37.03562	-194.4048	100.0	100.0	34499	-160.95209	8.130051	-134.41592	-184.04747	160.63647	0.95820534	252.58585691452026
24	-147.19827	26.502	-97.25273	-186.89651	-132.27844	28.166975	-70.94279	-166.2231	100.0	100.0	35999	-164.20386	8.648688	-137.01653	-187.97722	163.87059	0.9901551	263.932630777359
