Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-191.23329	1.215316	-189.28374	-193.41998	-191.35721	4.1135654	-184.9371	-196.9336	100.0	100.0	1499	-3.596746	1.1380595	0.015752785	-6.906388	3.5245426	0.07212787	5.558850049972534
2	-190.98434	2.8446665	-183.97751	-194.0604	-189.9166	2.7115064	-185.07199	-194.40166	100.0	100.0	2999	-11.622207	3.6209216	-4.8876066	-19.422392	11.565414	0.011314345	14.767433404922485
3	-190.7027	1.3617269	-188.61334	-193.63579	-189.49402	2.4347057	-183.97765	-192.44385	100.0	100.0	4499	-24.193493	3.6582744	-17.09148	-31.902885	24.13197	0.028154762	24.006746768951416
4	-189.65892	1.20577	-187.35231	-191.47778	-190.02751	1.1049082	-188.17276	-191.65948	100.0	100.0	5999	-36.626682	3.5472827	-29.346354	-44.380436	36.567055	0.04275825	33.20836544036865
5	-190.91928	1.2147985	-188.89223	-192.83913	-189.45822	2.1242309	-185.38576	-191.71982	100.0	100.0	7499	-48.591267	3.435088	-41.41233	-56.13675	48.530426	0.054153036	42.34495687484741
6	-190.71921	2.839056	-184.53583	-196.15414	-190.23344	0.86974126	-188.73933	-191.37852	100.0	100.0	8999	-60.15882	3.3294075	-53.111576	-67.72103	60.097782	0.06332695	51.50514078140259
7	-190.3025	1.9099474	-186.88725	-193.70515	-189.29665	3.2146633	-182.81364	-192.91731	100.0	100.0	10499	-71.36499	3.2297325	-64.129776	-78.82854	71.30133	0.07984515	60.9104745388031
8	-190.0662	1.1727356	-186.30193	-191.32944	-190.40308	1.2635098	-187.42665	-192.02663	100.0	100.0	11999	-82.15939	3.1287248	-74.70772	-89.56255	82.09948	0.092909954	70.81103992462158
9	-189.08672	3.120735	-179.45761	-193.05962	-188.84183	3.009337	-183.08267	-193.2358	100.0	100.0	13499	-92.59148	3.0227344	-85.29157	-100.32461	92.53446	0.09903517	80.60538220405579
10	-188.90562	1.692176	-185.04297	-191.56767	-188.67093	2.2773428	-184.48595	-191.53549	100.0	100.0	14999	-102.69101	2.9455147	-95.70509	-109.86803	102.6438	0.09948633	90.25935173034668
