Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-190.24507	2.024821	-186.85416	-194.63136	-188.81184	4.865644	-180.61253	-196.11107	100.0	100.0	1499	-3.453754	1.0400013	0.0067987293	-6.0130053	3.3790274	0.0731052	7.60195517539978
2	-190.39713	1.2368267	-186.84247	-192.31717	-191.70564	2.5869892	-187.18779	-195.52664	100.0	100.0	2999	-10.035016	2.7512774	-4.7050657	-15.722235	9.97484	0.00948121	20.556751012802124
3	-190.53444	1.1294235	-187.89355	-192.5481	-189.78053	2.66856	-184.25035	-192.74619	100.0	100.0	4499	-18.177025	1.995214	-13.779708	-22.367565	18.122656	0.017961947	33.79086089134216
4	-190.32762	2.6016607	-183.86388	-193.57425	-190.26303	1.6138604	-188.19107	-193.97829	100.0	100.0	5999	-23.949697	1.4227823	-20.60155	-27.234896	23.90049	0.022065228	46.81334209442139
5	-190.26363	1.6515876	-186.0674	-192.86974	-190.54727	1.5371616	-186.35603	-192.64091	100.0	100.0	7499	-28.02195	1.0308691	-25.368961	-30.834587	27.978672	0.023067473	59.91654825210571
6	-190.62778	1.7342039	-186.7076	-194.51886	-188.81401	3.2576902	-182.11461	-193.06923	100.0	100.0	8999	-30.8744	0.753261	-28.623816	-33.207184	30.835125	0.024785904	73.15635633468628
7	-190.36496	1.3974551	-187.97087	-194.09773	-190.38777	1.339574	-188.07277	-192.50407	100.0	100.0	10499	-32.857895	0.5658547	-30.996073	-34.69263	32.819782	0.025313094	86.72926568984985
8	-190.27599	1.5202914	-186.90387	-192.38263	-189.00276	1.7576519	-184.5733	-191.25555	100.0	100.0	11999	-34.24904	0.4506384	-32.751804	-35.8667	34.21581	0.02509072	101.16922068595886
9	-189.63373	2.0945456	-186.43784	-193.83621	-186.50041	3.0273352	-181.24696	-190.30609	100.0	100.0	13499	-35.234863	0.36443415	-33.894	-36.55941	35.205418	0.02300593	115.50045824050903
10	-188.43793	3.787271	-177.3308	-193.44336	-188.06706	1.9642596	-184.37965	-191.6075	100.0	100.0	14999	-35.915188	0.3170757	-34.713238	-37.333084	35.886925	0.022512427	129.9484589099884
11	-188.29951	3.3357587	-180.30095	-192.76976	-187.77785	3.4398315	-182.25952	-190.90602	100.0	100.0	16499	-36.381035	0.30431312	-35.144283	-37.7701	36.35323	0.022297338	144.29385495185852
12	-185.24835	5.123492	-174.77217	-191.29237	-186.32236	4.6988277	-173.99593	-191.89761	100.0	100.0	17999	-36.68376	0.30930898	-35.249104	-38.03136	36.655907	0.02165624	158.49988627433777
13	-184.76773	3.4443872	-180.2375	-190.07242	-184.39558	3.2823036	-178.04515	-188.70062	100.0	100.0	19499	-36.857426	0.33758885	-35.386894	-38.207333	36.82806	0.021988785	171.22747230529785
14	-182.84103	3.3667517	-177.34454	-188.64368	-181.43759	8.837089	-164.25722	-191.37567	100.0	100.0	20999	-36.945026	0.373598	-35.344017	-38.518368	36.912678	0.022645183	183.77866959571838
15	-184.09784	6.353769	-173.08437	-193.7034	-185.66219	4.177896	-179.26523	-192.90758	100.0	100.0	22499	-36.962708	0.41973275	-35.196857	-38.580746	36.928967	0.023532785	196.54557633399963
16	-181.59668	5.9151096	-164.44531	-190.55049	-178.7963	6.030564	-172.83469	-191.59944	100.0	100.0	23999	-36.93947	0.48528665	-34.886017	-38.59342	36.9044	0.024276607	210.09683966636658
17	-180.95116	5.366258	-169.6264	-188.01717	-179.81819	5.240282	-173.08884	-189.24225	100.0	100.0	25499	-36.88497	0.5411678	-34.69695	-38.74175	36.848286	0.02498399	223.4688220024109
18	-180.97925	5.3188744	-171.23816	-190.33948	-182.78473	4.9856386	-174.5984	-188.85513	100.0	100.0	26999	-36.80642	0.5897004	-34.482555	-38.563217	36.766476	0.024964895	237.4405107498169
19	-180.51886	3.6404755	-173.51076	-189.602	-182.14954	6.1238737	-172.0345	-192.84001	100.0	100.0	28499	-36.709442	0.6365639	-34.314964	-38.843998	36.669624	0.026644068	251.59426641464233
20	-181.58618	3.8601704	-175.91115	-188.98457	-181.04965	3.7710354	-176.04576	-189.93324	100.0	100.0	29999	-36.620277	0.6708121	-34.086777	-39.026466	36.578835	0.026713802	265.7386336326599
21	-183.15387	6.7974577	-164.53429	-190.4076	-180.06583	8.270376	-165.55516	-189.89688	100.0	100.0	31499	-36.53688	0.70006377	-33.935276	-39.13414	36.493996	0.026845952	279.8969256877899
22	-180.38484	4.9886036	-172.92064	-187.83264	-175.32013	6.0095034	-165.72598	-183.04623	100.0	100.0	32999	-36.46725	0.723038	-33.82104	-39.217155	36.423153	0.0279424	294.02448320388794
23	-179.96361	5.189342	-167.3647	-186.37552	-181.15321	2.5645287	-177.59195	-184.6729	100.0	100.0	34499	-36.37052	0.7544712	-33.704494	-39.010086	36.32536	0.026801243	308.08808040618896
24	-178.15141	6.33197	-163.5788	-188.80696	-180.69812	6.1170673	-165.31917	-189.12263	100.0	100.0	35999	-36.287033	0.77964383	-33.67425	-39.218998	36.242058	0.027350774	322.14724469184875
25	-181.44238	5.721851	-167.44954	-190.28357	-176.1932	7.6868362	-163.75983	-188.96193	100.0	100.0	37499	-36.218277	0.79903513	-33.55671	-39.130306	36.171104	0.02790556	336.3192775249481
26	-180.00996	8.037158	-161.77727	-189.90521	-181.4058	5.5732594	-174.07178	-188.88812	100.0	100.0	38999	-36.153164	0.8165751	-33.44821	-39.007572	36.105457	0.028491374	350.5643119812012
27	-176.24043	7.3952456	-161.35164	-188.25981	-177.15128	5.4636006	-167.58095	-190.2234	100.0	100.0	40499	-36.09482	0.8404378	-33.46295	-39.196785	36.046444	0.029504012	364.6721682548523
28	-176.95512	3.1897333	-169.93774	-181.161	-178.7883	6.7966614	-167.84906	-190.0032	100.0	100.0	41999	-36.013676	0.8723176	-33.386765	-39.415474	35.96563	0.029058687	378.8377420902252
29	-174.82285	5.1860213	-162.57474	-185.04103	-176.47202	7.479486	-160.79596	-185.50352	100.0	100.0	43499	-35.932724	0.89982134	-33.26989	-39.23994	35.883858	0.028942406	393.0785336494446
30	-175.8657	6.516558	-157.43279	-185.76122	-174.84341	7.324109	-160.08885	-185.56583	100.0	100.0	44999	-35.85784	0.9276604	-32.981853	-39.0591	35.807396	0.030051244	407.24940037727356
31	-176.79736	4.700437	-164.55655	-185.78555	-174.2158	4.6361966	-165.19075	-182.25327	100.0	100.0	46499	-35.77035	0.93702906	-32.853573	-38.76132	35.718426	0.030261027	421.3054311275482
32	-179.5534	5.900869	-169.92093	-188.46297	-179.61089	4.419738	-170.67046	-187.1397	100.0	100.0	47999	-35.711777	0.9384359	-32.78936	-39.383858	35.65975	0.030188465	435.6754083633423
