Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-377.58673	4.227091	-369.6841	-381.88626	-376.50693	14.276316	-339.11365	-387.8019	100.0	100.0	1499	-6.509404	2.0986485	0.07124036	-11.281042	6.3600464	0.42414883	5.048265695571899
2	-380.13632	3.8560889	-369.61783	-385.188	-383.83435	5.4138765	-371.76517	-392.03305	100.0	100.0	2999	-22.02388	7.123788	-8.967642	-36.73627	21.884567	0.06407729	14.03337049484253
3	-378.54474	5.5056977	-366.75626	-386.14243	-378.4228	7.33278	-360.14542	-385.765	100.0	100.0	4499	-46.70307	7.1659193	-32.164455	-62.11105	46.531677	0.1221981	22.998008012771606
4	-378.6056	5.778418	-363.08856	-386.79187	-382.01657	6.4866705	-371.10773	-389.81674	100.0	100.0	5999	-71.03288	6.9951053	-56.27341	-86.68413	70.85751	0.19197084	32.70702600479126
5	-378.9212	5.055516	-368.24918	-387.40698	-371.56866	6.193579	-363.0911	-384.49692	100.0	100.0	7499	-94.61795	6.7885303	-79.59829	-110.49558	94.43279	0.25031352	41.88535451889038
6	-379.3618	4.114769	-368.9867	-385.24463	-372.02222	16.500168	-326.34103	-385.46832	100.0	100.0	8999	-117.43849	6.5912023	-102.89103	-133.20993	117.27255	0.30776247	51.009721994400024
7	-379.3364	3.982887	-369.23825	-387.1909	-376.58807	5.2062416	-369.82593	-386.8491	100.0	100.0	10499	-139.58632	6.4077964	-125.03107	-154.72981	139.42578	0.36533976	60.311949014663696
8	-376.8511	5.247137	-365.61414	-384.4393	-375.30487	5.425763	-365.18246	-383.04	100.0	100.0	11999	-160.95987	6.2111125	-147.03876	-176.54301	160.81546	0.39430648	69.74087119102478
9	-372.23407	13.2613	-340.60104	-386.62927	-367.26273	13.05268	-343.7229	-389.29666	100.0	100.0	13499	-181.5962	5.9941707	-168.12132	-196.69554	181.45871	0.40048552	79.77231812477112
10	-364.47345	17.45311	-321.07504	-384.63916	-371.0011	14.078641	-338.204	-385.49567	100.0	100.0	14999	-201.50565	5.814006	-187.6405	-216.20694	201.37817	0.4266168	89.33733224868774
11	-369.23965	9.262053	-347.5595	-381.90677	-368.79755	9.199381	-345.47083	-381.6618	100.0	100.0	16499	-220.65343	5.6331224	-206.61617	-235.64647	220.52286	0.44814965	98.7980089187622
12	-369.4841	10.713267	-346.16986	-387.0192	-357.58322	25.161386	-288.7501	-377.99445	100.0	100.0	17999	-239.00296	5.4621243	-224.35356	-253.5252	238.87523	0.4686365	108.18972730636597
13	-363.44775	10.309927	-336.20016	-374.52512	-373.89218	7.0361085	-361.02673	-382.52875	100.0	100.0	19499	-256.58548	5.268574	-241.12022	-271.09262	256.44504	0.49683633	117.6339008808136
