,ddpg_e10,ddpg_se_xe10b01,ddpg_se_xe10b001,ddpg_se_xe10b001_mher,ddpg_se_xe10b001_vher
$	heta$ MAE (rad),0.1742,0.1995,0.3098,0.1315,1.572
$\phi$ MAE (rad),0.1175,0.2098,0.2015,0.1301,1.5705
$	heta$ MSSE (rad),0.0865,0.1166,0.2196,0.0414,
$\phi$ MSSE (rad),0.0627,0.1453,0.1316,0.0526,1.5235
$	heta$ in bounds (%),86.0,90.05,68.52,98.72,0.0
$\phi$ in bounds (%),87.25,75.55,83.75,94.74,0.0
$	heta$ unsteady (%),9.19,4.73,4.61,0.68,100.0
$\phi$ unsteady (%),11.05,10.04,6.09,4.57,99.97
$	heta$ rise time (s),0.5794,0.5317,0.5146,0.4814,
$\phi$ rise time (s),0.3373,0.4161,0.3497,0.3573,
$	heta$ settling time (s),0.7869,0.8207,0.9572,0.7936,
$\phi$ settling time (s),0.5999,0.7832,0.8016,0.6844,
u1 (V),1.1867,2.1258,3.6811,2.8342,10.0
u2 (V),1.787,2.8783,4.3566,4.6492,10.0
u1 variation (V),1.0054,2.8494,5.7136,4.2313,0.0
u2 variation (V),2.5539,4.8372,7.6671,8.2772,0.0
Convergence time (min),0.0,0.0,0.0,0.0,0.0
