Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	6.521739	10.470951	30.0	0.0	0.0	0.0	0.0	0.0	64.434784	20.7	1499	0.2363516	0.80413085	19.48637	-0.6876561	-0.43978167	0.6046194	9.292941808700562
2	7.368421	9.647528	30.0	0.0	1.0	3.0	10.0	0.0	78.31579	71.9	2999	2.5276725	4.1369634	62.866753	-1.3146088	-3.1893067	0.7583123	35.55508494377136
3	7.6190476	14.769583	50.0	0.0	8.0	16.0	40.0	0.0	69.09524	100.0	4499	10.332626	10.653411	119.5677	-2.6809778	-11.924684	2.3613627	57.42981696128845
4	7.7272725	12.767793	50.0	0.0	36.0	95.099945	320.0	0.0	70.454544	100.0	5999	23.696745	22.632318	206.01643	-6.2025986	-26.610792	7.488427	77.04501581192017
5	2.5	4.3301272	10.0	0.0	1.0	3.0	10.0	0.0	53.32143	100.0	7499	48.033897	42.967102	335.0354	-18.04055	-53.02468	24.618877	93.47998809814453
6	3.1818182	5.5484343	20.0	0.0	11.0	23.0	70.0	0.0	69.454544	100.0	8999	83.12459	69.65934	467.79965	-31.95491	-90.08682	55.660843	110.75268483161926
7	9.090909	13.787046	50.0	0.0	10.0	16.7332	50.0	0.0	64.22727	100.0	10499	130.71614	105.750404	633.88824	-53.51948	-139.58516	113.49292	131.63820815086365
8	1.1111112	3.142697	10.0	0.0	1.0	3.0	10.0	0.0	83.94444	70.9	11999	192.5086	153.51854	825.1356	-121.711975	-201.20038	161.2641	150.83539581298828
9	21.875	60.12682	250.0	0.0	10.0	23.66432	80.0	0.0	95.6875	100.0	13499	249.56146	191.8555	920.0646	-126.8026	-257.90857	187.01584	167.7581639289856
10	1.3333334	4.9888763	20.0	0.0	3.0	9.0	30.0	0.0	97.0	97.5	14999	289.4015	216.42148	1031.1785	-159.99414	-297.13605	197.61684	184.6099259853363
11	9.333333	19.482187	60.0	0.0	4.0	12.0	40.0	0.0	100.0	94.9	16499	330.6558	238.51205	1120.0214	-192.77963	-337.7924	202.38396	201.7244520187378
12	8.125	15.4994955	60.0	0.0	10.0	20.493902	60.0	0.0	95.625	100.0	17999	360.43805	248.8127	1168.2789	-164.15634	-367.19626	202.95491	218.25215077400208
13	36.666668	68.475464	260.0	0.0	14.0	14.282857	50.0	0.0	100.0	100.0	19499	389.31735	258.54974	1219.4375	-290.4287	-395.8625	202.5614	234.910630941391
14	16.0	26.78308	90.0	0.0	83.0	242.40668	810.0	0.0	100.0	100.0	20999	419.69064	268.70154	1257.3563	-206.05563	-425.9089	197.32169	253.82124590873718
15	8.125	14.238482	40.0	0.0	16.0	17.435596	50.0	0.0	95.625	100.0	22499	451.05466	274.55173	1280.4241	-240.3144	-457.0258	190.54663	287.20853996276855
16	45.294117	113.091194	480.0	0.0	5.0	12.0415945	40.0	0.0	84.64706	100.0	23999	469.64865	280.46045	1309.0156	-289.07327	-475.2186	183.10876	313.7721309661865
17	3.6842105	6.657427	20.0	0.0	76.0	172.4065	580.0	0.0	80.947365	84.1	25499	498.59808	290.36646	1369.6561	-242.68092	-504.20184	186.83769	339.71478295326233
18	11.333333	32.632633	130.0	0.0	9.0	27.0	90.0	0.0	100.0	100.0	26999	522.5715	294.81778	1361.1602	-338.38135	-528.39014	185.53946	362.79508686065674
19	56.666668	176.01768	710.0	0.0	8.0	18.330303	60.0	0.0	100.0	100.0	28499	547.38605	299.48148	1411.0044	-407.841	-553.39594	196.68158	385.8971469402313
20	15.333333	28.720879	90.0	0.0	14.0	20.59126	70.0	0.0	100.0	100.0	29999	564.5036	303.72882	1409.5482	-246.65349	-570.4109	182.95921	412.3130419254303
21	14.666667	21.249838	70.0	0.0	70.0	203.37158	680.0	0.0	100.0	100.0	31499	577.60095	304.25897	1415.415	-388.43423	-583.1679	175.72339	442.83443999290466
22	10.0	26.457514	80.0	0.0	0.0	0.0	0.0	0.0	93.9375	100.0	32999	590.80884	300.24664	1407.5864	-359.1344	-596.2035	183.26584	462.315838098526
